MetaTest/Average/AverageDiscountedReturn,reach-v1/AverageReturn,reach-v1/NumEpisodes,Average/SuccessRate,MetaTest/reach-v1/TerminationRate,reach-v1/AverageDiscountedReturn,policy/Entropy,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTest/reach-v1/StdReturn,Average/NumEpisodes,reach-v1/MaxReturn,MetaTest/reach-v1/NumEpisodes,Average/TerminationRate,Average/MinReturn,reach-v1/Iteration,reach-v1/TerminationRate,MetaTest/Average/SuccessRate,reach-v1/SuccessRate,Average/Iteration,policy/KLBefore,MetaTest/Average/StdReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageReturn,MetaTest/reach-v1/AverageDiscountedReturn,Average/AverageReturn,policy/KL,reach-v1/MinReturn,MetaTest/reach-v1/Iteration,MetaTest/reach-v1/MaxReturn,MetaTest/reach-v1/AverageReturn,MetaTest/Average/TerminationRate,Average/MaxReturn,policy/dLoss,LinearFeatureBaseline/ExplainedVariance,Average/AverageDiscountedReturn,TotalEnvSteps,MetaTest/reach-v1/MinReturn,reach-v1/StdReturn,Average/StdReturn,MetaTest/Average/NumEpisodes,policy/LossBefore,policy/LossAfter,MetaTest/reach-v1/SuccessRate
2884.6364327357633,3063.2099933352806,100,0.0,0.0,2612.493643649927,5.6733627,6434.766542449852,817.9111916160925,1695.6447645533747,100,7927.633280759057,10,0.0,843.1399182407606,0,0.0,0.0,0.0,0,0.0,1695.6447645533747,0,2884.6364327357633,2884.6364327357633,3063.2099933352806,0.005445937,843.1399182407606,0,6434.766542449852,2884.6364327357633,0.0,7927.633280759057,3.2030015,0.5455733964525773,2612.493643649927,20000,817.9111916160925,1576.3410772065547,1576.3410772065547,10,2.4487538,-0.75424767,0.0
,4234.86774909545,100,0.0,,3539.3447586378525,5.6495943,,,,100,10013.659404509284,,0.0,1200.4457389697238,1,0.0,,0.0,1,0.0,,,,,4234.86774909545,0.005228882,1200.4457389697238,,,,,10013.659404509284,2.7663422,0.5406805990023095,3539.3447586378525,40000,,1534.974489338734,1534.974489338734,,-0.34637657,-3.1127188,
,4350.068748248171,100,0.0,,3580.45397907778,5.644674,,,,100,10284.206595944384,,0.0,1144.600990897007,2,0.0,,0.0,2,0.0,,,,,4350.068748248171,0.008344208,1144.600990897007,,,,,10284.206595944384,2.9028938,0.5706937382482107,3580.45397907778,60000,,2072.2368475446133,2072.2368475446133,,2.648489,-0.2544047,
,4474.133783942031,100,0.0,,3704.459635361828,5.6477537,,,,100,11382.227453945865,,0.0,1041.4444008241553,3,0.0,,0.0,3,0.0,,,,,4474.133783942031,0.007406942,1041.4444008241553,,,,,11382.227453945865,3.3703969,0.4302537859039244,3704.459635361828,80000,,2217.778545794057,2217.778545794057,,3.3469343,-0.0234625,
,4589.664623943903,100,0.0,,3686.622340749985,5.63813,,,,100,14713.313407585829,,0.0,1255.5532667691243,4,0.0,,0.0,4,0.0,,,,,4589.664623943903,0.007292505,1255.5532667691243,,,,,14713.313407585829,3.68603,0.5783229928951342,3686.622340749985,100000,,3100.9744541031027,3100.9744541031027,,0.61692655,-3.0691032,
,5330.215534240179,100,0.0,,4307.758854492297,5.627906,,,,100,12044.529912015225,,0.0,1773.4165337961358,5,0.0,,0.0,5,0.0,,,,,5330.215534240179,0.0057917135,1773.4165337961358,,,,,12044.529912015225,3.6036708,0.5857796185677785,4307.758854492297,120000,,2912.34468224067,2912.34468224067,,3.1870146,-0.41665626,
,4729.08648908205,100,0.0,,3920.955888745506,5.622699,,,,100,10932.09913239143,,0.0,2383.1632354737962,6,0.0,,0.0,6,0.0,,,,,4729.08648908205,0.009123011,2383.1632354737962,,,,,10932.09913239143,2.3144922,0.6591095209490887,3920.955888745506,140000,,1307.204319579137,1307.204319579137,,0.26175782,-2.0527344,
,5045.594926386576,100,0.0,,4169.61589681104,5.625712,,,,100,11609.377264841016,,0.0,1821.966046950647,7,0.0,,0.0,7,0.0,,,,,5045.594926386576,0.00519157,1821.966046950647,,,,,11609.377264841016,2.5923824,0.44075861210766254,4169.61589681104,160000,,2119.2232731990252,2119.2232731990252,,0.5334271,-2.0589552,
,5902.630326662699,100,0.0,,4749.493354700353,5.6300664,,,,100,12877.83451972913,,0.0,1506.522966675115,8,0.0,,0.0,8,0.0,,,,,5902.630326662699,0.006800123,1506.522966675115,,,,,12877.83451972913,2.2431173,0.5718640682712404,4749.493354700353,180000,,2432.3217497811925,2432.3217497811925,,3.9521515,1.7090343,
,7382.649161901403,100,0.0,,5861.217132300185,5.6222844,,,,100,15373.095143402532,,0.0,1332.6331609596816,9,0.0,,0.0,9,0.0,,,,,7382.649161901403,0.0047293617,1332.6331609596816,,,,,15373.095143402532,2.9366906,0.6607113462338204,5861.217132300185,200000,,3519.347830270051,3519.347830270051,,0.27105314,-2.6656375,
4907.507684445863,4495.649592764475,100,0.0,0.0,3726.8067990847503,5.6091394,12715.421639044078,2526.4645730095103,2845.6707993406035,100,8867.059569201563,10,0.0,1717.4260000992927,10,0.0,0.0,0.0,10,0.0,2845.6707993406035,1,4907.507684445863,4907.507684445863,4495.649592764475,0.0055526285,1717.4260000992927,1,12715.421639044078,4907.507684445863,0.0,8867.059569201563,1.6513593,0.6478082369987529,3726.8067990847503,220000,2526.4645730095103,1433.7770637571998,1433.7770637571998,10,2.239489,0.5881297,0.0
,7467.526104569929,100,0.0,,5815.298549125166,5.610074,,,,100,15416.980351498614,,0.0,2502.0856641667056,11,0.0,,0.0,11,0.0,,,,,7467.526104569929,0.00749232,2502.0856641667056,,,,,15416.980351498614,4.266692,0.6155965352535541,5815.298549125166,240000,,2741.4336876362268,2741.4336876362268,,1.7163937,-2.5502985,
,6749.828530789218,100,0.0,,5403.951014686733,5.613129,,,,100,17703.532408266285,,0.0,2112.821111597231,12,0.0,,0.0,12,0.0,,,,,6749.828530789218,0.004740953,2112.821111597231,,,,,17703.532408266285,2.724878,0.7103220448860394,5403.951014686733,260000,,2615.120435685394,2615.120435685394,,-0.3109,-3.035778,
,7493.101630358213,100,0.0,,5919.305626466682,5.608971,,,,100,17448.569186055982,,0.0,2143.745069546414,13,0.0,,0.0,13,0.0,,,,,7493.101630358213,0.00927433,2143.745069546414,,,,,17448.569186055982,2.6458783,0.6941238929782978,5919.305626466682,280000,,3619.4637077646807,3619.4637077646807,,2.0257595,-0.62011874,
,7746.022620605986,100,0.0,,6070.384781671134,5.6011057,,,,100,17530.532538904725,,0.0,1598.3274664953433,14,0.0,,0.0,14,0.0,,,,,7746.022620605986,0.005790721,1598.3274664953433,,,,,17530.532538904725,2.846039,0.711126844476719,6070.384781671134,300000,,3572.18145339957,3572.18145339957,,4.1561375,1.3100984,
,8913.608057369082,100,0.01,,6937.608194931259,5.595309,,,,100,23080.553398512424,,0.0,4195.945952296985,15,0.0,,0.01,15,0.0,,,,,8913.608057369082,0.007079984,4195.945952296985,,,,,23080.553398512424,4.045935,0.5984892929219857,6937.608194931259,320000,,3863.233517827213,3863.233517827213,,6.97534,2.9294047,
,10870.58818947487,100,0.0,,8206.339850645798,5.578186,,,,100,28282.781592474737,,0.0,3276.7654204728165,16,0.0,,0.0,16,0.0,,,,,10870.58818947487,0.0069130277,3276.7654204728165,,,,,28282.781592474737,5.7645626,0.5456076867724724,8206.339850645798,340000,,5112.353074019854,5112.353074019854,,4.9977565,-0.76680624,
,11108.228651800615,100,0.03,,8365.031068370685,5.5573325,,,,100,28772.292175008814,,0.0,2043.5828476763859,17,0.0,,0.03,17,0.0,,,,,11108.228651800615,0.008878739,2043.5828476763859,,,,,28772.292175008814,7.354681,0.6438796856353707,8365.031068370685,360000,,5580.838322018307,5580.838322018307,,2.61475,-4.739931,
