Average/AverageReturn,Average/TerminationRate,policy/LossBefore,MetaTest/Average/AverageDiscountedReturn,Average/StdReturn,MetaTest/reach-v1/MinReturn,LinearFeatureBaseline/ExplainedVariance,MetaTest/Average/TerminationRate,reach-v1/TerminationRate,MetaTest/reach-v1/AverageReturn,Average/MaxReturn,reach-v1/Iteration,MetaTest/reach-v1/NumEpisodes,policy/dLoss,reach-v1/SuccessRate,Average/NumEpisodes,Average/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageReturn,reach-v1/StdReturn,MetaTest/Average/MinReturn,MetaTest/reach-v1/AverageDiscountedReturn,Average/SuccessRate,policy/KL,reach-v1/AverageDiscountedReturn,TotalEnvSteps,MetaTest/reach-v1/StdReturn,policy/LossAfter,MetaTest/reach-v1/MaxReturn,MetaTest/reach-v1/TerminationRate,reach-v1/NumEpisodes,MetaTest/reach-v1/SuccessRate,MetaTest/Average/MaxReturn,reach-v1/MinReturn,Average/Iteration,policy/Entropy,MetaTest/reach-v1/Iteration,MetaTest/Average/StdReturn,reach-v1/MaxReturn,MetaTest/Average/SuccessRate,Average/AverageDiscountedReturn,reach-v1/AverageReturn,MetaTest/Average/Iteration,policy/KLBefore
3006.6806538953765,0.0,1.7085958,2794.99236734578,1371.4995716216204,1293.6663421522132,0.5794686158443144,0.0,0.0,2794.99236734578,6645.4434086685515,0,10,2.4475129,0.0,100,1113.6754255308347,10,2794.99236734578,1371.4995716216204,1293.6663421522132,2794.99236734578,0.0,0.006599419,2548.8552047493854,20000,1767.7535670058587,-0.7389172,7436.760026934826,0.0,100,0.0,7436.760026934826,1113.6754255308347,0,5.664335,0,1767.7535670058587,6645.4434086685515,0.0,2548.8552047493854,3006.6806538953765,0,0.0
3653.7669520064123,0.0,0.7583488,,1666.366445957931,,0.5530147398209627,,0.0,,10601.90750918579,1,,2.3348026,0.0,100,1241.5156878749285,,,1666.366445957931,,,0.0,0.004828144,3073.8698567288175,40000,,-1.5764539,,,100,,,1241.5156878749285,1,5.6594896,,,10601.90750918579,,3073.8698567288175,3653.7669520064123,,0.0
4046.29926844172,0.0,1.3755656,,1867.8977618184858,,0.5629141304435923,,0.0,,10122.735191312328,2,,3.120775,0.0,100,1563.3242095135781,,,1867.8977618184858,,,0.0,0.008180688,3355.4422430114537,60000,,-1.7452093,,,100,,,1563.3242095135781,2,5.6504793,,,10122.735191312328,,3355.4422430114537,4046.29926844172,,0.0
4583.880584634239,0.0,2.6459405,,3884.9782313378682,,0.6165401279730963,,0.0,,17473.162577389132,3,,4.8492966,0.0,100,938.8281934893339,,,3884.9782313378682,,,0.0,0.006439056,3459.07128191611,80000,,-2.2033563,,,100,,,938.8281934893339,3,5.645108,,,17473.162577389132,,3459.07128191611,4583.880584634239,,0.0
3361.787497889441,0.0,0.7945047,,1832.1136583585994,,0.42660351827144494,,0.0,,9651.118878398745,4,,1.5541773,0.0,100,1469.485988719024,,,1832.1136583585994,,,0.0,0.005782376,2861.6401111676655,100000,,-0.75967264,,,100,,,1469.485988719024,4,5.6409173,,,9651.118878398745,,2861.6401111676655,3361.787497889441,,0.0
3853.7412688334034,0.0,0.25729376,,1321.9589955501415,,0.5370493990319933,,0.0,,7576.415892876266,5,,1.5767078,0.0,100,1234.524837976036,,,1321.9589955501415,,,0.0,0.0049664313,3213.604277144616,120000,,-1.319414,,,100,,,1234.524837976036,5,5.636718,,,7576.415892876266,,3213.604277144616,3853.7412688334034,,0.0
4411.8428314264565,0.0,1.3388547,,1897.6467027685449,,0.5879837699637791,,0.0,,10766.538892503291,6,,2.4712749,0.0,100,1418.0608556875895,,,1897.6467027685449,,,0.0,0.0075086947,3616.5596373506523,140000,,-1.1324203,,,100,,,1418.0608556875895,6,5.6428704,,,10766.538892503291,,3616.5596373506523,4411.8428314264565,,0.0
4608.536572418414,0.0,2.0092394,,1754.9070434764606,,0.6228988803150615,,0.0,,8604.42565355624,7,,1.5937507,0.0,100,2022.7711177683564,,,1754.9070434764606,,,0.0,0.004286809,3802.0182349118986,160000,,0.41548866,,,100,,,2022.7711177683564,7,5.642057,,,8604.42565355624,,3802.0182349118986,4608.536572418414,,0.0
6619.161949455642,0.0,1.1322324,,3889.7472848654943,,0.556627806395986,,0.0,,17436.479856570953,8,,5.029792,0.0,100,2655.991144377277,,,3889.7472848654943,,,0.0,0.0047091725,5015.736025240087,180000,,-3.8975594,,,100,,,2655.991144377277,8,5.6288915,,,17436.479856570953,,5015.736025240087,6619.161949455642,,0.0
5223.089366070773,0.0,1.8730234,,1864.2473037374468,,0.5511736709279644,,0.0,,10240.581650229704,9,,2.7936015,0.0,100,1775.6852415660653,,,1864.2473037374468,,,0.0,0.007251326,4273.814560331155,200000,,-0.9205781,,,100,,,1775.6852415660653,9,5.6266913,,,10240.581650229704,,4273.814560331155,5223.089366070773,,0.0
4597.0037677366745,0.0,0.5672852,5614.311494119686,1986.843339405997,2851.3232467529306,0.6887708952819229,0.0,0.0,5614.311494119686,12003.273218670434,10,10,2.4898844,0.0,100,2176.7019770639267,10,5614.311494119686,1986.843339405997,2851.3232467529306,5614.311494119686,0.0,0.007904786,3711.8857737384865,220000,2102.6429092047347,-1.9225992,9101.42237694709,0.0,100,0.0,9101.42237694709,2176.7019770639267,10,5.6282115,1,2102.6429092047347,12003.273218670434,0.0,3711.8857737384865,4597.0037677366745,1,0.0
6201.498808362045,0.0,0.5681125,,1590.8898283854448,,0.7154395865477903,,0.0,,9971.144719869248,11,,2.1596498,0.0,100,3042.377743007097,,,1590.8898283854448,,,0.0,0.0033439538,4953.887371255073,240000,,-1.5915375,,,100,,,3042.377743007097,11,5.626027,,,9971.144719869248,,4953.887371255073,6201.498808362045,,0.0
6929.836912625577,0.0,-0.44811094,,4339.900397477685,,0.5315260583295119,,0.0,,18470.348869316826,12,,6.886786,0.0,100,2029.8152521477857,,,4339.900397477685,,,0.0,0.0063145193,5205.8903951146885,260000,,-7.334897,,,100,,,2029.8152521477857,12,5.6325707,,,18470.348869316826,,5205.8903951146885,6929.836912625577,,0.0
7725.420246320884,0.0,1.4817781,,3270.8212752673644,,0.6442399071332887,,0.0,,21468.655435779834,13,,3.522776,0.01,100,3882.5551984491135,,,3270.8212752673644,,,0.01,0.0036675679,6119.0220335592585,280000,,-2.0409977,,,100,,,3882.5551984491135,13,5.6338954,,,21468.655435779834,,6119.0220335592585,7725.420246320884,,0.0
8475.582070223727,0.0,0.12612344,,4117.903325581876,,0.5691312732566173,,0.0,,18078.00745162015,14,,3.720561,0.0,100,2732.321182946118,,,4117.903325581876,,,0.0,0.004565414,6352.944540529995,300000,,-3.5944376,,,100,,,2732.321182946118,14,5.6320043,,,18078.00745162015,,6352.944540529995,8475.582070223727,,0.0
