Average/SuccessRate,policy/LossAfter,LinearFeatureBaseline/ExplainedVariance,MetaTest/shelf-place-v1/AverageDiscountedReturn,MetaTest/shelf-place-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,shelf-place-v1/MaxReturn,TotalEnvSteps,shelf-place-v1/NumEpisodes,MetaTest/Average/Iteration,Average/AverageDiscountedReturn,shelf-place-v1/MinReturn,MetaTest/shelf-place-v1/MaxReturn,policy/KLBefore,MetaTest/Average/MinReturn,MetaTest/Average/SuccessRate,MetaTest/shelf-place-v1/Iteration,MetaTest/shelf-place-v1/SuccessRate,shelf-place-v1/StdReturn,MetaTest/Average/TerminationRate,Average/NumEpisodes,policy/LossBefore,shelf-place-v1/Iteration,policy/Entropy,Average/TerminationRate,policy/KL,Average/MaxReturn,MetaTest/shelf-place-v1/MinReturn,MetaTest/Average/StdReturn,Average/Iteration,Average/MinReturn,shelf-place-v1/AverageDiscountedReturn,policy/dLoss,shelf-place-v1/TerminationRate,Average/AverageReturn,shelf-place-v1/SuccessRate,Average/StdReturn,MetaTest/shelf-place-v1/AverageReturn,MetaTest/shelf-place-v1/NumEpisodes,MetaTest/Average/NumEpisodes,shelf-place-v1/AverageReturn,MetaTest/Average/AverageReturn,MetaTest/shelf-place-v1/StdReturn,MetaTest/Average/MaxReturn
0.0,-0.0529266,0.4330256930833495,-54.35591538191697,0.0,-54.35591538191697,-30.174428638036602,20000,100,0,-21.521793141752866,-104.47600301879433,-37.4159282730087,0.0,-84.87781688526019,0.0,0,0.0,15.790014676675161,0.0,100,-0.024830628,0,5.665954,0.0,0.0071267043,-30.174428638036602,-84.87781688526019,13.064597483139535,0,-104.47600301879433,-21.521793141752866,0.028095972,0.0,-61.25103935998663,0.0,15.790014676675161,-54.35591538191699,10,10,-61.25103935998663,-54.35591538191699,13.064597483139535,-37.4159282730087
0.0,-0.0096237,0.31232307330540743,,,,-17.198126273653614,40000,100,,-16.809401390974863,-76.71183796664762,,0.0,,,,,12.963479651938714,,100,-0.0028560974,1,5.655538,0.0,0.009829933,-17.198126273653614,,,1,-76.71183796664762,-16.809401390974863,0.0067676026,0.0,-44.41237929752839,0.0,12.963479651938714,,,,-44.41237929752839,,,
0.0,-0.029109845,0.30367416613393083,,,,-26.365778026731657,60000,100,,-18.09343498732471,-96.78354364915369,,0.0,,,,,14.420043191673436,,100,-0.01343132,2,5.652778,0.0,0.012169188,-26.365778026731657,,,2,-96.78354364915369,-18.09343498732471,0.015678525,0.0,-49.88574675399751,0.0,14.420043191673436,,,,-49.88574675399751,,,
0.0,-0.08256005,0.2023947096914659,,,,500.59636228413,80000,100,,-15.169518378731393,-79.46361280781443,,0.0,,,,,55.495280219391134,,100,-0.01723889,3,5.64623,0.0,0.007576396,500.59636228413,,,3,-79.46361280781443,-15.169518378731393,0.065321155,0.0,-37.95470809118341,0.0,55.495280219391134,,,,-37.95470809118341,,,
0.0,-0.011621824,0.4314027868906797,,,,-4.532862088570821,100000,100,,-16.647920230820695,-92.6527048280671,,0.0,,,,,14.779620144281512,,100,-0.001908783,4,5.62827,0.0,0.014465408,-4.532862088570821,,,4,-92.6527048280671,-16.647920230820695,0.009713041,0.0,-44.07960605289823,0.0,14.779620144281512,,,,-44.07960605289823,,,
0.0,-0.023086242,0.37208263741408754,,,,-24.55707781395804,120000,100,,-16.62133142948087,-85.21139490556246,,0.0,,,,,12.192189198839968,,100,-0.013173886,5,5.6193414,0.0,0.00899278,-24.55707781395804,,,5,-85.21139490556246,-16.62133142948087,0.009912357,0.0,-43.87683782775546,0.0,12.192189198839968,,,,-43.87683782775546,,,
0.0,-0.015631428,0.4333936653621586,,,,-16.89691775337025,140000,100,,-16.584834841869014,-85.45235003218112,,0.0,,,,,12.731209576459024,,100,-0.003569722,6,5.616157,0.0,0.0061481316,-16.89691775337025,,,6,-85.45235003218112,-16.584834841869014,0.012061706,0.0,-41.42266010283135,0.0,12.731209576459024,,,,-41.42266010283135,,,
0.0,-0.015808042,0.4721393697506854,,,,-22.792773281633963,160000,100,,-16.173112782206815,-78.86137332299032,,0.0,,,,,10.937242489738795,,100,-0.008099255,7,5.610357,0.0,0.011191045,-22.792773281633963,,,7,-78.86137332299032,-16.173112782206815,0.007708787,0.0,-41.47691636938323,0.0,10.937242489738795,,,,-41.47691636938323,,,
0.0,-0.0071401643,0.3784935488756913,,,,-23.039482926279135,180000,100,,-15.314634900825558,-71.71359922364528,,0.0,,,,,9.980809890765421,,100,-0.002731105,8,5.606937,0.0,0.009469583,-23.039482926279135,,,8,-71.71359922364528,-15.314634900825558,0.004409059,0.0,-39.58483127823031,0.0,9.980809890765421,,,,-39.58483127823031,,,
0.0,-0.017693827,0.319802459953765,,,,-17.83645255860109,200000,100,,-15.446845451398497,-86.05866531591906,,0.0,,,,,12.2029600752366,,100,-0.008279814,9,5.596428,0.0,0.011590396,-17.83645255860109,,,9,-86.05866531591906,-15.446845451398497,0.009414013,0.0,-38.56273193798026,0.0,12.2029600752366,,,,-38.56273193798026,,,
