MetaTest/sweep-into-v1/AverageDiscountedReturn,MetaTest/sweep-into-v1/AverageReturn,policy/KL,MetaTest/sweep-into-v1/StdReturn,policy/LossBefore,sweep-into-v1/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,policy/LossAfter,MetaTest/Average/MinReturn,sweep-into-v1/SuccessRate,Average/Iteration,Average/AverageDiscountedReturn,sweep-into-v1/StdReturn,Average/AverageReturn,MetaTest/sweep-into-v1/SuccessRate,MetaTest/sweep-into-v1/MinReturn,sweep-into-v1/NumEpisodes,MetaTest/Average/TerminationRate,policy/dLoss,Average/SuccessRate,MetaTest/sweep-into-v1/NumEpisodes,MetaTest/sweep-into-v1/MaxReturn,MetaTest/Average/Iteration,sweep-into-v1/TerminationRate,Average/MaxReturn,sweep-into-v1/Iteration,sweep-into-v1/MaxReturn,policy/Entropy,MetaTest/sweep-into-v1/Iteration,MetaTest/Average/StdReturn,LinearFeatureBaseline/ExplainedVariance,policy/KLBefore,TotalEnvSteps,MetaTest/sweep-into-v1/TerminationRate,sweep-into-v1/AverageReturn,Average/TerminationRate,Average/StdReturn,sweep-into-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,Average/NumEpisodes,MetaTest/Average/AverageReturn,MetaTest/Average/NumEpisodes,Average/MinReturn
-56.630950998989285,-56.630950998989285,0.012255066,6.560012464710723,-0.024106706,-21.772291887596467,-48.038481986776546,0.0,-0.05257387,-68.52756276483255,0.0,0,-21.772291887596467,10.97392987991913,-57.81316984146886,0.0,-68.52756276483255,100,0.0,0.028467165,0.0,10,-48.038481986776546,0,0.0,-33.331833480684104,0,-33.331833480684104,5.6783853,0,6.560012464710723,0.6008656980291034,0.0,20000,0.0,-57.81316984146886,0.0,10.97392987991913,-79.50051698235731,-56.630950998989285,100,-56.630950998989285,10,-79.50051698235731
,,0.028564228,,-0.019912738,-15.445128825376173,,,-0.07157556,,0.0,1,-15.445128825376173,28.782334440176168,-39.00719951813245,,,100,,0.05166282,0.0,,,,0.0,172.76064236215603,1,172.76064236215603,5.675964,,,0.1561225053830526,0.0,40000,,-39.00719951813245,0.0,28.782334440176168,-72.76165877877334,,100,,,-72.76165877877334
,,0.013693664,,-0.13908276,8.102440961819584,,,-0.44885293,,0.04,2,8.102440961819584,159.45614461017297,19.661424836913156,,,100,,0.30977017,0.04,,,,0.0,1117.9564169634177,2,1117.9564169634177,5.6575246,,,0.22421203049071403,0.0,60000,,19.661424836913156,0.0,159.45614461017297,-59.127706591328625,,100,,,-59.127706591328625
,,0.011263536,,0.03612549,12.103256115445763,,,-0.10404905,,0.01,3,12.103256115445763,116.6917721889665,23.05191386148514,,,100,,0.14017454,0.01,,,,0.0,493.3880621161725,3,493.3880621161725,5.6521173,,,0.1527107471707263,0.0,80000,,23.05191386148514,0.0,116.6917721889665,-42.1430460172897,,100,,,-42.1430460172897
,,0.010894326,,0.043902196,10.768517624601202,,,-0.079432175,,0.01,4,10.768517624601202,146.9980553143039,29.340028211543284,,,100,,0.12333437,0.01,,,,0.0,1056.196707848359,4,1056.196707848359,5.6479897,,,0.10927712480324314,0.0,100000,,29.340028211543284,0.0,146.9980553143039,-61.283964012050724,,100,,,-61.283964012050724
,,0.0059259487,,0.21009766,79.97460144463793,,,-0.8317848,,0.0,5,79.97460144463793,806.1464144608896,209.54212299523425,,,100,,1.0418824,0.0,,,,0.0,6094.383802507099,5,6094.383802507099,5.6100454,,,0.1414577700859202,0.0,120000,,209.54212299523425,0.0,806.1464144608896,-53.123056211307606,,100,,,-53.123056211307606
,,0.007248845,,0.09008711,212.29524468551753,,,-1.8462024,,0.04,6,212.29524468551753,1653.4344942651796,584.2293037334284,,,100,,1.9362894,0.04,,,,0.0,10089.819337916451,6,10089.819337916451,5.583514,,,0.1737658120812201,0.0,140000,,584.2293037334284,0.0,1653.4344942651796,-46.911356149770576,,100,,,-46.911356149770576
,,0.0047155702,,0.8605754,157.35630826004416,,,-0.34517577,,0.02,7,157.35630826004416,1445.3896433164844,382.1563908974572,,,100,,1.2057512,0.02,,,,0.0,11989.293273194593,7,11989.293273194593,5.564796,,,0.2414375833506115,0.0,160000,,382.1563908974572,0.0,1445.3896433164844,-51.85192744394043,,100,,,-51.85192744394043
,,0.0056906696,,-0.8669324,154.4213071907794,,,-2.4376621,,0.02,8,154.4213071907794,1672.619199572277,364.5122137210903,,,100,,1.5707297,0.02,,,,0.0,15751.875432372924,8,15751.875432372924,5.533997,,,0.18319295617501252,0.0,180000,,364.5122137210903,0.0,1672.619199572277,-45.479242373267944,,100,,,-45.479242373267944
,,0.004881209,,-0.12122188,242.1239006041504,,,-1.1401165,,0.05,9,242.1239006041504,1127.0132339995323,464.5909193521258,,,100,,1.0188946,0.05,,,,0.0,6582.964392448899,9,6582.964392448899,5.5093303,,,0.20776616068109466,0.0,200000,,464.5909193521258,0.0,1127.0132339995323,-49.9299631299836,,100,,,-49.9299631299836
