policy/dLoss,Average/AverageReturn,sweep-v1/StdReturn,MetaTest/Average/NumEpisodes,TotalEnvSteps,MetaTest/Average/MaxReturn,Average/TerminationRate,Average/MaxReturn,policy/Entropy,MetaTest/sweep-v1/NumEpisodes,policy/KL,MetaTest/sweep-v1/MaxReturn,Average/StdReturn,MetaTest/Average/TerminationRate,sweep-v1/TerminationRate,MetaTest/sweep-v1/AverageDiscountedReturn,Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate,sweep-v1/AverageReturn,MetaTest/sweep-v1/StdReturn,MetaTest/Average/MinReturn,sweep-v1/MaxReturn,policy/KLBefore,Average/NumEpisodes,policy/LossBefore,Average/MinReturn,MetaTest/sweep-v1/MinReturn,policy/LossAfter,MetaTest/Average/AverageReturn,MetaTest/Average/Iteration,MetaTest/sweep-v1/Iteration,sweep-v1/AverageDiscountedReturn,Average/AverageDiscountedReturn,LinearFeatureBaseline/ExplainedVariance,sweep-v1/SuccessRate,MetaTest/sweep-v1/AverageReturn,sweep-v1/Iteration,MetaTest/sweep-v1/TerminationRate,MetaTest/sweep-v1/SuccessRate,sweep-v1/NumEpisodes,sweep-v1/MinReturn,Average/SuccessRate
0.028290566,-58.73628104446675,10.086092478644124,10,20000,-45.47340362648546,0.0,-31.50096949821012,5.6785917,10,0.011161952,-45.47340362648546,10.086092478644124,0.0,0.0,-56.94991751475534,0,-56.94991751475534,8.281026505523373,0.0,-58.73628104446675,8.281026505523373,-71.99641643423085,-31.50096949821012,0.0,100,-0.024004199,-79.5059342699538,-71.99641643423085,-0.052294765,-56.94991751475531,0,0,-22.02777405385084,-22.02777405385084,0.563165942167097,0.0,-56.94991751475531,0,0.0,0.0,100,-79.5059342699538,0.0
0.022824468,-44.18268071533378,10.464429730202898,,40000,,0.0,-14.07889355064437,5.680985,,0.022688583,,10.464429730202898,,0.0,,1,,,,-44.18268071533378,,,-14.07889355064437,0.0,100,-0.017995453,-70.06215704767204,,-0.04081992,,,,-17.748058066720066,-17.748058066720066,0.5290225264629171,0.0,,1,,,100,-70.06215704767204,0.0
0.022652704,-32.04373495587204,17.532548871196592,,60000,,0.0,111.11895346475038,5.668083,,0.025734393,,17.532548871196592,,0.0,,2,,,,-32.04373495587204,,,111.11895346475038,0.0,100,0.005502997,-53.6736639975164,,-0.017149707,,,,-13.721720591778778,-13.721720591778778,0.3280370547512448,0.0,,2,,,100,-53.6736639975164,0.0
0.22048162,23.13069216448634,222.91127633872662,,80000,,0.0,1914.2363507121252,5.6569986,,0.008325124,,222.91127633872662,,0.0,,3,,,,23.13069216448634,,,1914.2363507121252,0.0,100,-0.11685918,-53.065438648522,,-0.3373408,,,,5.928847804373573,5.928847804373573,0.12464156533135995,0.0,,3,,,100,-53.065438648522,0.0
0.29652324,18.506015009745457,247.29116811336655,,100000,,0.0,2420.926508579589,5.6547446,,0.0065769204,,247.29116811336655,,0.0,,4,,,,18.506015009745457,,,2420.926508579589,0.0,100,0.20639697,-40.39137925727249,,-0.09012627,,,,2.1005205730841965,2.1005205730841965,0.1400217989870034,0.0,,4,,,100,-40.39137925727249,0.0
0.2321226,36.28559977260819,209.57958277266536,,120000,,0.0,1237.2231757713575,5.6466074,,0.0058348402,,209.57958277266536,,0.0,,5,,,,36.28559977260819,,,1237.2231757713575,0.0,100,-0.12163511,-62.08719914510057,,-0.3537577,,,,6.198397548343388,6.198397548343388,0.24790742713315306,0.0,,5,,,100,-62.08719914510057,0.0
0.36696178,83.81608763081326,327.37424186443513,,140000,,0.0,1823.7809152956409,5.658311,,0.0064735794,,327.37424186443513,,0.0,,6,,,,83.81608763081326,,,1823.7809152956409,0.0,100,0.44351715,-38.11738209552192,,0.07655537,,,,30.25636829561816,30.25636829561816,0.16143798602375548,0.0,,6,,,100,-38.11738209552192,0.0
0.6347549,144.75283528072256,607.7435769106498,,160000,,0.0,4915.192556543436,5.63736,,0.006750512,,607.7435769106498,,0.0,,7,,,,144.75283528072256,,,4915.192556543436,0.0,100,0.31137344,-49.1842932713538,,-0.32338145,,,,47.03151170263405,47.03151170263405,0.34184838752999214,0.0,,7,,,100,-49.1842932713538,0.0
0.05206167,9.211405134144034,107.10763860143395,,180000,,0.0,549.8046242517189,5.6195273,,0.013279805,,107.10763860143395,,0.0,,8,,,,9.211405134144034,,,549.8046242517189,0.0,100,-0.050153583,-43.541661633962825,,-0.10221525,,,,-0.9898273638883767,-0.9898273638883767,0.1864797573013911,0.0,,8,,,100,-43.541661633962825,0.0
0.62818474,121.08846771766413,530.1224463266562,,200000,,0.0,3771.932834016329,5.6072474,,0.008393928,,530.1224463266562,,0.0,,9,,,,121.08846771766413,,,3771.932834016329,0.0,100,0.13745366,-45.48757680290751,,-0.49073106,,,,26.850517587898093,26.850517587898093,0.10764642168918881,0.0,,9,,,100,-45.48757680290751,0.0
1.6666981,382.36657950150527,1057.2175634358011,10,220000,1974.1584790112734,0.0,6923.964041053943,5.5783,10,0.0063615944,1974.1584790112734,1057.2175634358011,0.0,0.0,457.38399408719323,10,457.38399408719323,654.9464384456375,0.0,382.36657950150527,654.9464384456375,-27.841743027487016,6923.964041053943,0.0,100,-1.1896299,-43.953680447099494,-27.841743027487016,-2.856328,457.3839940871934,1,1,103.65364626888847,103.65364626888847,0.15786853441326598,0.0,457.3839940871934,10,0.0,0.0,100,-43.953680447099494,0.0
0.8169193,293.64281097187705,685.7540943643567,,240000,,0.0,3495.4167175307757,5.532504,,0.006307084,,685.7540943643567,,0.0,,11,,,,293.64281097187705,,,3495.4167175307757,0.0,100,-0.26198268,-31.228450746739586,,-1.078902,,,,85.3330370091411,85.3330370091411,0.24414559828714522,0.0,,11,,,100,-31.228450746739586,0.0
2.235319,614.7651150106669,1756.0182075918,,260000,,0.0,12035.852305725168,5.488008,,0.005830961,,1756.0182075918,,0.0,,12,,,,614.7651150106669,,,12035.852305725168,0.0,100,0.5180487,-37.56968211890404,,-1.7172701,,,,165.2189854910187,165.2189854910187,0.19299001345490607,0.0,,12,,,100,-37.56968211890404,0.0
1.4277387,530.1936009569469,1341.859526764,,280000,,0.0,9903.605308918924,5.4611216,,0.0057969005,,1341.859526764,,0.0,,13,,,,530.1936009569469,,,9903.605308918924,0.0,100,1.075027,-42.17785939046724,,-0.3527117,,,,143.6724236126459,143.6724236126459,0.1736040585332428,0.0,,13,,,100,-42.17785939046724,0.0
1.4089346,541.9797812498012,1340.5534288521235,,300000,,0.0,8759.260750593667,5.474378,,0.0069927284,,1340.5534288521235,,0.0,,14,,,,541.9797812498012,,,8759.260750593667,0.0,100,0.57011044,-31.76767426095613,,-0.8388242,,,,180.11589986421149,180.11589986421149,0.228165561737242,0.0,,14,,,100,-31.76767426095613,0.0
2.6612203,525.0252824580791,2172.106148439622,,320000,,0.0,13877.918166056676,5.4640727,,0.009257968,,2172.106148439622,,0.0,,15,,,,525.0252824580791,,,13877.918166056676,0.0,100,0.93466914,-38.85253635866061,,-1.7265512,,,,154.04162679572173,154.04162679572173,0.2268119403766804,0.0,,15,,,100,-38.85253635866061,0.0
0.9265821,575.1834026379566,1284.276032179214,,340000,,0.0,8039.844671035528,5.4351726,,0.0059165247,,1284.276032179214,,0.0,,16,,,,575.1834026379566,,,8039.844671035528,0.0,100,-0.41033652,-35.84347088314134,,-1.3369186,,,,196.56954456335944,196.56954456335944,0.19308537915305735,0.0,,16,,,100,-35.84347088314134,0.0
1.0527195,415.1769915532692,1118.8408487126314,,360000,,0.0,5376.33026744799,5.415001,,0.008844041,,1118.8408487126314,,0.0,,17,,,,415.1769915532692,,,5376.33026744799,0.0,100,-0.3462422,-37.304297129024626,,-1.3989617,,,,138.93046368644585,138.93046368644585,0.23618689184926367,0.0,,17,,,100,-37.304297129024626,0.0
2.7177227,1027.5735645679933,2130.9572105331654,,380000,,0.0,13831.081129334776,5.3798513,,0.008014148,,2130.9572105331654,,0.0,,18,,,,1027.5735645679933,,,13831.081129334776,0.0,100,1.0987383,-31.081559387885402,,-1.6189843,,,,293.85082380856153,293.85082380856153,0.17975521510760828,0.0,,18,,,100,-31.081559387885402,0.0
3.5329328,1708.1645184307179,2646.5544159753154,,400000,,0.0,12283.04940082003,5.32748,,0.008849447,,2646.5544159753154,,0.0,,19,,,,1708.1645184307179,,,12283.04940082003,0.0,100,1.1795375,-35.93613452679598,,-2.3533952,,,,470.1006390690865,470.1006390690865,0.1946116113775891,0.04,,19,,,100,-35.93613452679598,0.04
3.468001,1381.8679046575262,2913.830567344737,10,420000,15824.524810646983,0.0,14277.882405677434,5.308548,10,0.007131757,15824.524810646983,2913.830567344737,0.0,0.0,1929.7268939844648,20,1929.7268939844648,4701.51137948949,0.0,1381.8679046575262,4701.51137948949,-26.963386225379356,14277.882405677434,0.0,100,2.4974153,-38.693451036993736,-26.963386225379356,-0.9705855,1929.7268939844653,2,2,403.13126835958263,403.13126835958263,0.3392450454699626,0.01,1929.7268939844653,20,0.0,0.0,100,-38.693451036993736,0.01
3.0059621,1355.5180444402154,2654.9078506116293,,440000,,0.0,13402.532662277972,5.303749,,0.008984809,,2654.9078506116293,,0.0,,21,,,,1355.5180444402154,,,13402.532662277972,0.0,100,0.79471993,-38.96871930350035,,-2.2112422,,,,381.20150631655923,381.20150631655923,0.2605659961592174,0.02,,21,,,100,-38.96871930350035,0.02
6.4572062,2745.610604367895,4650.85421378181,,460000,,0.0,27104.198497270183,5.278245,,0.005969491,,4650.85421378181,,0.0,,22,,,,2745.610604367895,,,27104.198497270183,0.0,100,-3.6287532,-29.65363555130409,,-10.085959,,,,786.0727282519946,786.0727282519946,0.26346117678326875,0.06,,22,,,100,-29.65363555130409,0.06
6.255594,3295.3427159554585,4710.488026974872,,480000,,0.0,17742.55595255673,5.2409415,,0.0062870667,,4710.488026974872,,0.0,,23,,,,3295.3427159554585,,,17742.55595255673,0.0,100,3.8361406,-35.5265753099754,,-2.4194531,,,,864.2572560254957,864.2572560254957,0.2943362839753756,0.04,,23,,,100,-35.5265753099754,0.04
5.8251624,3186.2560895128477,4410.809282729459,,500000,,0.0,27739.85142299257,5.1947656,,0.0071580284,,4410.809282729459,,0.0,,24,,,,3186.2560895128477,,,27739.85142299257,0.0,100,-0.2350953,-33.11902972396117,,-6.060258,,,,954.0621466066725,954.0621466066725,0.18481148386026436,0.09,,24,,,100,-33.11902972396117,0.09
8.237656,5300.172589882174,5894.796096875913,,520000,,0.0,24289.21629932428,5.1499963,,0.0073177237,,5894.796096875913,,0.0,,25,,,,5300.172589882174,,,24289.21629932428,0.0,100,-2.502261,-29.739842132854694,,-10.739917,,,,1568.5926924198068,1568.5926924198068,0.23623267718236685,0.06,,25,,,100,-29.739842132854694,0.06
8.72814,5730.41251599137,6950.858746663183,,540000,,0.0,23986.57698608974,5.106827,,0.00759936,,6950.858746663183,,0.0,,26,,,,5730.41251599137,,,23986.57698608974,0.0,100,-1.4589835,-26.019048081844552,,-10.187123,,,,1661.3380765006123,1661.3380765006123,0.23415284601974773,0.05,,26,,,100,-26.019048081844552,0.05
6.31475,5255.7507641495795,5870.288138109428,,560000,,0.0,21970.347724056923,5.065287,,0.0078212675,,5870.288138109428,,0.0,,27,,,,5255.7507641495795,,,21970.347724056923,0.0,100,0.96817815,-33.37525305696085,,-5.346572,,,,1442.4598276237311,1442.4598276237311,0.25062912527936076,0.11,,27,,,100,-33.37525305696085,0.11
8.506319,5414.108348668279,6135.457060380225,,580000,,0.0,23363.414929693026,5.034691,,0.0068999636,,6135.457060380225,,0.0,,28,,,,5414.108348668279,,,23363.414929693026,0.0,100,2.9455907,-28.654085243899264,,-5.560728,,,,1498.7188538385763,1498.7188538385763,0.2133323638962612,0.05,,28,,,100,-28.654085243899264,0.05
7.6997657,5216.9424329381045,6514.92145296192,,600000,,0.0,24949.61711011594,4.9966154,,0.008071249,,6514.92145296192,,0.0,,29,,,,5216.9424329381045,,,24949.61711011594,0.0,100,3.8481328,-30.88927077133239,,-3.8516328,,,,1448.4114237824137,1448.4114237824137,0.24273990162459935,0.06,,29,,,100,-30.88927077133239,0.06
6.037719,5660.9081150887405,5882.527026842651,10,620000,19188.487002564765,0.0,19786.276934841328,4.9886446,10,0.0077631683,19188.487002564765,5882.527026842651,0.0,0.0,7917.931568244999,30,7917.931568244999,7253.373422019102,0.0,5660.9081150887405,7253.373422019102,-26.60503453523544,19786.276934841328,0.0,100,-1.8497859,-33.72180240675167,-26.60503453523544,-7.8875046,7917.931568244996,3,3,1656.8378601472007,1656.8378601472007,0.2336448519433938,0.04,7917.931568244996,30,0.0,0.0,100,-33.72180240675167,0.04
4.275103,7068.325166578762,6781.25850391766,,640000,,0.0,21876.944465530254,4.9788213,,0.013644365,,6781.25850391766,,0.0,,31,,,,7068.325166578762,,,21876.944465530254,0.0,100,2.4973376,-27.690775090466065,,-1.7777656,,,,1955.4881298168962,1955.4881298168962,0.25075147341302617,0.02,,31,,,100,-27.690775090466065,0.02
