MetaTest/window-open-v1/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,Average/SuccessRate,policy/LossAfter,policy/dLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,Average/StdReturn,MetaTest/Average/SuccessRate,MetaTest/window-open-v1/Iteration,MetaTest/Average/AverageReturn,MetaTest/window-open-v1/TerminationRate,Average/MaxReturn,Average/TerminationRate,MetaTest/window-open-v1/MinReturn,MetaTest/Average/NumEpisodes,Average/NumEpisodes,window-open-v1/StdReturn,policy/KLBefore,policy/Entropy,window-open-v1/SuccessRate,Average/Iteration,MetaTest/window-open-v1/AverageReturn,MetaTest/window-open-v1/SuccessRate,window-open-v1/NumEpisodes,MetaTest/Average/TerminationRate,window-open-v1/MaxReturn,policy/KL,policy/LossBefore,MetaTest/Average/StdReturn,Average/AverageReturn,MetaTest/window-open-v1/NumEpisodes,window-open-v1/AverageReturn,TotalEnvSteps,window-open-v1/Iteration,MetaTest/window-open-v1/MaxReturn,MetaTest/window-open-v1/StdReturn,window-open-v1/TerminationRate,Average/AverageDiscountedReturn,Average/MinReturn,LinearFeatureBaseline/ExplainedVariance,window-open-v1/AverageDiscountedReturn,window-open-v1/MinReturn
-61.81269481014506,0,-69.67634566330494,0.0,-0.04007826,0.024612939,-61.81269481014506,-45.14948468580232,11.263771109697846,0.0,0,-61.81269481014508,0.0,-35.98607138768401,0.0,-69.67634566330494,10,100,11.263771109697846,0.0,5.6877365,0.0,0,-61.81269481014508,0.0,100,0.0,-35.98607138768401,0.0056711994,-0.015465321,6.96054796893147,-62.991068802485785,10,-62.991068802485785,20000,0,-45.14948468580232,6.96054796893147,0.0,-24.04013030954293,-86.05631196598591,0.6065502690782026,-24.04013030954293,-86.05631196598591
,,,0.0,-0.036553673,0.016872533,,,12.682936695021219,,,,,-14.662497979422978,0.0,,,100,12.682936695021219,0.0,5.679909,0.0,1,,,100,,-14.662497979422978,0.024493214,-0.01968114,,-52.10353694733683,,-52.10353694733683,40000,1,,,0.0,-20.35028862374496,-79.2582380735272,0.6773128775627373,-20.35028862374496,-79.2582380735272
,,,0.08,1.5516,13.268194,,,23123.11605877191,,,,,148580.92772090164,0.0,,,100,23123.11605877191,0.0,5.6704035,0.08,2,,,100,,148580.92772090164,0.00532202,14.819794,,9178.823046555435,,9178.823046555435,60000,2,,,0.0,2691.404117766473,-59.3404713851583,0.6134514654086594,2691.404117766473,-59.3404713851583
,,,0.0,-0.37579864,0.6310766,,,2179.1427262578973,,,,,14620.320770673552,0.0,,,100,2179.1427262578973,0.0,5.6602755,0.0,3,,,100,,14620.320770673552,0.011471354,0.25527793,,377.81332028067294,,377.81332028067294,80000,3,,,0.0,66.19057036438554,-58.09435654680044,0.558923472523682,66.19057036438554,-58.09435654680044
,,,0.0,-1.9537742,3.2850251,,,4400.140266373399,,,,,30441.622765906424,0.0,,,100,4400.140266373399,0.0,5.667176,0.0,4,,,100,,30441.622765906424,0.008847839,1.3312508,,844.3082248492855,,844.3082248492855,100000,4,,,0.0,282.2245186211829,-58.838717083966486,0.588508369604804,282.2245186211829,-58.838717083966486
,,,0.03,-11.2452965,7.829359,,,16766.48468267063,,,,,96756.96441487005,0.0,,,100,16766.48468267063,0.0,5.680358,0.03,5,,,100,,96756.96441487005,0.0071354127,-3.4159374,,4803.0391817858435,,4803.0391817858435,120000,5,,,0.0,1401.2262936977809,-62.36613835083051,0.5927113489039477,1401.2262936977809,-62.36613835083051
,,,0.04,-3.9494905,10.391218,,,22669.25733218791,,,,,170599.90347893865,0.0,,,100,22669.25733218791,0.0,5.679443,0.04,6,,,100,,170599.90347893865,0.0056230696,6.441728,,5346.983517269753,,5346.983517269753,140000,6,,,0.0,1338.7494555309286,-48.568847309375336,0.5549433228334897,1338.7494555309286,-48.568847309375336
,,,0.01,-0.18935312,4.018128,,,9786.889291767593,,,,,79864.95962267101,0.0,,,100,9786.889291767593,0.0,5.6816535,0.01,7,,,100,,79864.95962267101,0.009363084,3.828775,,2151.313546978494,,2151.313546978494,160000,7,,,0.0,511.4843857592753,-56.21787234560982,0.48536037068206006,511.4843857592753,-56.21787234560982
,,,0.02,-12.312703,10.580331,,,15406.367081753415,,,,,92969.07418244361,0.0,,,100,15406.367081753415,0.0,5.6791587,0.02,8,,,100,,92969.07418244361,0.006049112,-1.7323719,,5387.523289266457,,5387.523289266457,180000,8,,,0.0,1232.3759095856462,-45.286306159077405,0.5134744560201394,1232.3759095856462,-45.286306159077405
,,,0.07,-11.968287,16.357548,,,26781.452162400426,,,,,142538.83839590318,0.0,,,100,26781.452162400426,0.0,5.666549,0.07,9,,,100,,142538.83839590318,0.00526842,4.3892593,,11480.995465709115,,11480.995465709115,200000,9,,,0.0,3021.6724904475336,-38.4840248072164,0.6289951714985424,3021.6724904475336,-38.4840248072164
206.4466807364999,1,-33.302995070264735,0.02,-3.197425,6.745776,206.4466807364999,2183.38019101687,12980.970698851563,0.0,1,206.4466807364999,0.0,97977.44145339412,0.0,-33.302995070264735,10,100,12980.970698851563,0.0,5.6595306,0.02,10,206.4466807364999,0.0,100,0.0,97977.44145339412,0.0051151,3.5483515,659.2207231613153,3382.8835846162565,10,3382.8835846162565,220000,10,2183.38019101687,659.2207231613153,0.0,823.9523755167717,-42.71646714999404,0.45828499111772825,823.9523755167717,-42.71646714999404
,,,0.08,5.729781,13.748895,,,23133.63431640851,,,,,122649.73842069879,0.0,,,100,23133.63431640851,0.0,5.6568227,0.08,11,,,100,,122649.73842069879,0.004853696,19.478676,,8834.897552007333,,8834.897552007333,240000,11,,,0.0,2013.3485623523636,-35.40195881709543,0.5437460915413795,2013.3485623523636,-35.40195881709543
,,,0.05,-14.324244,11.500071,,,17160.61207799779,,,,,89093.74876240437,0.0,,,100,17160.61207799779,0.0,5.6649084,0.05,12,,,100,,89093.74876240437,0.004219037,-2.8241735,,5474.855579577259,,5474.855579577259,260000,12,,,0.0,1303.6396637753344,-40.15006591644039,0.5952373027787805,1303.6396637753344,-40.15006591644039
,,,0.03,-13.564294,10.945687,,,20270.746761320355,,,,,123942.48869000463,0.0,,,100,20270.746761320355,0.0,5.670311,0.03,13,,,100,,123942.48869000463,0.00540279,-2.6186063,,5345.439704943277,,5345.439704943277,280000,13,,,0.0,1272.613080583337,-39.62142391810757,0.5485579199238166,1272.613080583337,-39.62142391810757
,,,0.07,-6.928753,14.121403,,,28119.78275130753,,,,,168624.310727714,0.0,,,100,28119.78275130753,0.0,5.6916146,0.07,14,,,100,,168624.310727714,0.002771202,7.19265,,8039.2761522584005,,8039.2761522584005,300000,14,,,0.0,1959.3606427923667,-45.289342769328535,0.6647758725764046,1959.3606427923667,-45.289342769328535
