MetaTrain/Average/Alpha,MetaTest/Average/SuccessRate,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTest/Average/AverageReturn,MetaTest/basketball-v1/MinReturn,MetaTest/basketball-v1/NumTrajs,MetaTest/basketball-v1/Iteration,MetaTrain/Average/PolicyLoss,MetaTest/basketball-v1/AverageReturn,MetaTrain/Average/QfLoss,MetaTest/Average/NumTrajs,MetaTest/basketball-v1/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/basketball-v1/MaxReturn,MetaTest/Average/StdReturn,MetaTrain/Average/AlphaLoss,MetaTest/basketball-v1/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/ContrastiveLoss,TotalEnvSteps,MetaTest/Average/TerminationRate,MetaTest/basketball-v1/AverageDiscountedReturn,MetaTest/basketball-v1/StdReturn
nan,0.0,0,-33.60100435638494,-29.930011667047655,-33.60100435638494,10,0,-5.04137,-29.930011667047655,4.340469,10,0.0,-27.291319921905167,-27.291319921905167,1.6168743536346932,6.729375,0.0,-29.930011667047648,8.682789,224000,0.0,-29.930011667047648,1.6168743536346932
nan,0.0,1,-30.41758037436903,-28.775524658657027,-30.41758037436903,10,1,-3.5827656,-28.775524658657027,6.761475,10,0.0,-25.087575322880465,-25.087575322880465,1.7917540498876925,6.7053876,0.0,-28.775524658657027,8.021306,248000,0.0,-28.775524658657027,1.7917540498876925
nan,0.0,2,-30.150849550937302,-20.740981628505494,-30.150849550937302,10,2,-3.981142,-20.740981628505494,9.46076,10,0.0,-16.006380416345735,-16.006380416345735,4.451763853549527,6.6572576,0.0,-20.74098162850549,7.8090463,272000,0.0,-20.74098162850549,4.451763853549527
nan,0.0,3,-31.096298953946192,-23.95165966830508,-31.096298953946192,10,3,-6.5557237,-23.95165966830508,13.28505,10,0.0,-15.85794410227569,-15.85794410227569,6.303889919130608,6.598748,0.0,-23.951659668305084,7.964044,296000,0.0,-23.951659668305084,6.303889919130608
nan,0.0,4,-23.20574156153497,-20.63319080672857,-23.20574156153497,10,4,-11.004761,-20.63319080672857,16.780676,10,0.0,-17.773225195365864,-17.773225195365864,1.577798438497502,6.5394936,0.0,-20.63319080672857,8.156871,320000,0.0,-20.63319080672857,1.577798438497502
nan,0.0,5,-20.78546569318187,-19.936002537378897,-20.78546569318187,10,5,-15.563426,-19.936002537378897,20.34862,10,0.0,-17.87283355793107,-17.87283355793107,0.7722564816670323,6.4907103,0.0,-19.93600253737889,7.6580215,344000,0.0,-19.93600253737889,0.7722564816670323
nan,0.0,6,-19.932180026219253,-18.66284979137092,-19.932180026219253,10,6,-22.068989,-18.66284979137092,22.5824,10,0.0,-17.80938032744439,-17.80938032744439,0.7300363867054934,6.454583,0.0,-18.662849791370924,8.603615,368000,0.0,-18.662849791370924,0.7300363867054934
nan,0.0,7,-19.343548880026766,-18.081663107256723,-19.343548880026766,10,7,-27.320023,-18.081663107256723,25.290344,10,0.0,-16.764811010277526,-16.764811010277526,0.8660410095416333,6.4287744,0.0,-18.081663107256727,7.640218,392000,0.0,-18.081663107256727,0.8660410095416333
nan,0.0,8,-20.719795163365163,-19.09478429839313,-20.719795163365163,10,8,-32.65159,-19.09478429839313,27.302488,10,0.0,-17.812809525321963,-17.812809525321963,0.8379098627210999,6.4082217,0.0,-19.094784298393137,7.9983864,416000,0.0,-19.094784298393137,0.8379098627210999
nan,0.0,9,-19.788431491911414,-18.0230593265475,-19.788431491911414,10,9,-37.88537,-18.0230593265475,28.953367,10,0.0,-16.88473374434924,-16.88473374434924,0.955249407562688,6.3978105,0.0,-18.023059326547497,7.925648,440000,0.0,-18.023059326547497,0.955249407562688
nan,0.0,10,-19.152779045889076,-17.81236945976417,-19.152779045889076,10,10,-43.57853,-17.81236945976417,30.262259,10,0.0,-16.467895111533615,-16.467895111533615,0.818452475929919,6.388426,0.0,-17.81236945976417,7.659935,464000,0.0,-17.81236945976417,0.818452475929919
nan,0.0,11,-19.757679822276927,-18.62302003722724,-19.757679822276927,10,11,-48.648155,-18.62302003722724,31.366177,10,0.0,-17.718184271967722,-17.718184271967722,0.6816294346758838,6.3840327,0.0,-18.623020037227235,7.6789584,488000,0.0,-18.623020037227235,0.6816294346758838
nan,0.0,12,-21.285227721631628,-18.4876784931833,-21.285227721631628,10,12,-52.154507,-18.4876784931833,32.871536,10,0.0,-17.09957785533773,-17.09957785533773,1.1690521877459086,6.373009,0.0,-18.4876784931833,8.106252,512000,0.0,-18.4876784931833,1.1690521877459086
nan,0.0,13,-17.06187434418097,-15.347762048155497,-17.06187434418097,10,13,-55.315697,-15.347762048155497,34.607185,10,0.0,-14.571285805772632,-14.571285805772632,0.6956330159295732,6.364027,0.0,-15.347762048155499,7.6382375,536000,0.0,-15.347762048155499,0.6956330159295732
nan,0.0,14,-19.445053719028238,-16.78193718216049,-19.445053719028238,10,14,-58.95595,-16.78193718216049,38.04893,10,0.0,-14.941922186207593,-14.941922186207593,1.4056040683427042,6.3521085,0.0,-16.78193718216049,8.166514,560000,0.0,-16.78193718216049,1.4056040683427042
nan,0.0,15,-19.496141629906987,-16.950828380030238,-19.496141629906987,10,15,-63.249992,-16.950828380030238,40.27983,10,0.0,-15.190066748715832,-15.190066748715832,1.5631001914887426,6.349656,0.0,-16.95082838003024,7.7449164,584000,0.0,-16.95082838003024,1.5631001914887426
nan,0.0,16,-19.43046263085723,-16.950266148993222,-19.43046263085723,10,16,-66.75809,-16.950266148993222,44.415337,10,0.0,-15.490015898012606,-15.490015898012606,1.3844824926914154,6.340454,0.0,-16.950266148993226,7.7172227,608000,0.0,-16.950266148993226,1.3844824926914154
nan,0.0,17,-19.727202311855553,-17.0053955981109,-19.727202311855553,10,17,-69.38263,-17.0053955981109,49.355156,10,0.0,-14.730580188901474,-14.730580188901474,1.5905766189310266,6.32937,0.0,-17.00539559811091,7.629433,632000,0.0,-17.00539559811091,1.5905766189310266
nan,0.0,18,-21.418219278353266,-16.449853206018425,-21.418219278353266,10,18,-72.350174,-16.449853206018425,55.21673,10,0.0,-13.764372812460032,-13.764372812460032,2.517113810997737,6.319008,0.0,-16.44985320601842,7.634676,656000,0.0,-16.44985320601842,2.517113810997737
nan,0.0,19,-20.60807448610344,-18.435344448068257,-20.60807448610344,10,19,-75.62181,-18.435344448068257,70.00715,10,0.0,-16.54565910576057,-16.54565910576057,1.2347548330683098,6.301916,0.0,-18.435344448068257,7.6286373,680000,0.0,-18.435344448068257,1.2347548330683098
nan,0.0,20,-20.36158656098082,-18.168335660460222,-20.36158656098082,10,20,-83.15734,-18.168335660460222,185.02887,10,0.0,-15.57700849094072,-15.57700849094072,1.4595476678366677,6.159252,0.0,-18.168335660460226,7.625601,704000,0.0,-18.168335660460226,1.4595476678366677
nan,0.0,21,-85.11099798782335,-7.901592031255651,-85.11099798782335,10,21,-103.02601,-7.901592031255651,661.7401,10,0.0,252.05329313804808,252.05329313804808,94.71177897503578,5.808533,0.0,-7.901592031255643,7.624632,728000,0.0,-7.901592031255643,94.71177897503578
nan,0.0,22,-84.36364070811013,-49.20470197242854,-84.36364070811013,10,22,-270.81213,-49.20470197242854,3789.651,10,0.0,-10.863873426150885,-10.863873426150885,31.39498543867004,3.9624958,0.0,-49.204701972428545,7.624632,752000,0.0,-49.204701972428545,31.39498543867004
nan,0.0,23,-88.85899467263407,83.16161885764016,-88.85899467263407,10,23,-723.1689,83.16161885764016,10248.072,10,0.0,1324.9847259545343,1324.9847259545343,414.1784748780609,1.1681159,0.0,83.16161885764004,7.624632,776000,0.0,83.16161885764004,414.1784748780609
nan,0.0,24,-95.77518312014939,-67.49166007142,-95.77518312014939,10,24,-1433.5833,-67.49166007142,19062.396,10,0.0,-43.36349932462766,-43.36349932462766,17.87039308316646,-0.4400658,0.0,-67.49166007141999,7.624632,800000,0.0,-67.49166007141999,17.87039308316646
nan,0.0,25,-91.42457585622797,-76.8797946768708,-91.42457585622797,10,25,-2124.969,-76.8797946768708,20925.955,10,0.0,-59.165890416468585,-59.165890416468585,9.713588561156913,-0.78146,0.0,-76.87979467687082,7.624632,824000,0.0,-76.87979467687082,9.713588561156913
nan,0.0,26,-81.64983468185976,-68.18716933219821,-81.64983468185976,10,26,-2568.6082,-68.18716933219821,14661.936,10,0.0,-55.24168912403076,-55.24168912403076,9.384591039628187,-0.8664506,0.0,-68.18716933219822,7.624632,848000,0.0,-68.18716933219822,9.384591039628187
nan,0.0,27,-86.18354501554263,-82.94583533255467,-86.18354501554263,10,27,-2874.807,-82.94583533255467,12799.061,10,0.0,-78.88689384822108,-78.88689384822108,2.422375245412048,-2.093539,0.0,-82.94583533255467,7.624632,872000,0.0,-82.94583533255467,2.422375245412048
