MetaTest/box-close-v1/AverageReturn,MetaTest/box-close-v1/NumTrajs,MetaTest/box-close-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/box-close-v1/AverageDiscountedReturn,MetaTest/box-close-v1/MaxReturn,MetaTest/Average/StdReturn,MetaTrain/Average/AlphaLoss,MetaTest/box-close-v1/StdReturn,MetaTrain/Average/QfLoss,MetaTest/Average/NumTrajs,MetaTest/Average/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/box-close-v1/SuccessRate,MetaTest/Average/Iteration,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/MaxReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/MinReturn,MetaTest/box-close-v1/Iteration,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTrain/Average/Alpha,MetaTest/box-close-v1/MinReturn
-50.31011770781778,10,0.0,-50.31011770781778,-50.31011770781778,-41.94467102889874,5.4835004188984255,6.723203,5.4835004188984255,3.697429,10,0.0,0.0,0.0,0,8.232441,-41.94467102889874,2.2163496,-61.17966082760136,0,-50.31011770781778,224000,nan,-61.17966082760136
-33.55881782834889,10,0.0,-33.55881782834889,-33.55881782834889,-20.29575726859689,5.367271926077288,6.6941133,5.367271926077288,7.728515,10,0.0,0.0,0.0,1,7.8978853,-20.29575726859689,11.281467,-40.1732751206457,1,-33.55881782834889,248000,nan,-40.1732751206457
-14.710053819911005,10,0.0,-14.710053819911002,-14.710053819911002,-7.830233171950494,4.430964714954335,6.6453466,4.430964714954335,12.155703,10,0.0,0.0,0.0,2,7.691754,-7.830233171950494,18.953812,-22.28390031761676,2,-14.710053819911005,272000,nan,-22.28390031761676
-24.0920441217317,10,0.0,-24.0920441217317,-24.0920441217317,-20.982532244599565,1.3586333605903738,6.588625,1.3586333605903738,16.885729,10,0.0,0.0,0.0,3,7.7531404,-20.982532244599565,23.89713,-26.45073922507718,3,-24.0920441217317,296000,nan,-26.45073922507718
-13.170175190978487,10,0.0,-13.170175190978489,-13.170175190978489,-12.341007109743176,0.5611931078451593,6.5302844,0.5611931078451593,22.329762,10,0.0,0.0,0.0,4,7.663285,-12.341007109743176,27.616426,-14.140738561889753,4,-13.170175190978487,320000,nan,-14.140738561889753
-9.04686709591342,10,0.0,-9.046867095913422,-9.046867095913422,-8.144951589641398,0.7349507163746528,6.467604,0.7349507163746528,28.52966,10,0.0,0.0,0.0,5,7.6795506,-8.144951589641398,28.88563,-10.696077802814242,5,-9.04686709591342,344000,nan,-10.696077802814242
-9.443281346358898,10,0.0,-9.443281346358898,-9.443281346358898,-7.386808669560766,2.320801097020677,6.407373,2.320801097020677,33.73677,10,0.0,0.0,0.0,6,7.6499763,-7.386808669560766,26.954304,-15.853816893394525,6,-9.443281346358898,368000,nan,-15.853816893394525
-8.015647854166847,10,0.0,-8.01564785416685,-8.01564785416685,-4.875772596296601,4.044316018711423,6.352635,4.044316018711423,40.206295,10,0.0,0.0,0.0,7,7.63516,-4.875772596296601,23.736504,-15.946655112714287,7,-8.015647854166847,392000,nan,-15.946655112714287
-4.435571938624074,10,0.0,-4.435571938624072,-4.435571938624072,-3.8694589893590257,0.676973056528144,6.2983737,0.676973056528144,45.73854,10,0.0,0.0,0.0,8,7.6409416,-3.8694589893590257,17.07002,-6.247220995242328,8,-4.435571938624074,416000,nan,-6.247220995242328
-5.05332491090544,10,0.0,-5.05332491090544,-5.05332491090544,-4.2296624627774255,0.675121977481467,6.246158,0.675121977481467,51.461445,10,0.0,0.0,0.0,9,7.63025,-4.2296624627774255,9.7297945,-6.230855664471094,9,-5.05332491090544,440000,nan,-6.230855664471094
