MetaTest/Average/SuccessRate,MetaTrain/Average/Alpha,MetaTest/Average/TerminationRate,MetaTest/Average/NumTrajs,MetaTest/button-press-topdown-v1/NumTrajs,MetaTest/Average/MaxReturn,MetaTest/button-press-topdown-v1/AverageReturn,MetaTrain/Average/PolicyLoss,TotalEnvSteps,MetaTest/button-press-topdown-v1/Iteration,MetaTrain/Average/AlphaLoss,MetaTrain/Average/QfLoss,MetaTest/button-press-topdown-v1/TerminationRate,MetaTest/button-press-topdown-v1/SuccessRate,MetaTest/Average/StdReturn,MetaTest/button-press-topdown-v1/AverageDiscountedReturn,MetaTest/button-press-topdown-v1/MaxReturn,MetaTest/Average/Iteration,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/button-press-topdown-v1/MinReturn,MetaTest/button-press-topdown-v1/StdReturn
0.0,nan,0.0,10,10,-42.29332614446197,-48.91299056375771,16.027542,224000,0,6.7281523,2.9897728,0.0,0.0,5.017551505611465,-48.912990563757695,-42.29332614446197,0,9.143084,-57.51423277067,-48.912990563757695,-48.91299056375771,-57.51423277067,5.017551505611465
0.0,nan,0.0,10,10,-29.973912905893986,-35.99445313527364,47.37571,248000,1,6.719926,2.8455346,0.0,0.0,5.121105884618964,-35.99445313527364,-29.973912905893986,1,8.166004,-45.344194740690334,-35.99445313527364,-35.99445313527364,-45.344194740690334,5.121105884618964
0.0,nan,0.0,10,10,-22.492017159596443,-37.58385579618922,31.390509,272000,2,4.58008,53431.81,0.0,0.0,7.789818930226264,-37.58385579618922,-22.492017159596443,2,7.902833,-49.93855630298119,-37.58385579618922,-37.58385579618922,-49.93855630298119,7.789818930226264
0.0,nan,0.0,10,10,-40.57741680193862,-46.43578676207204,-350.17422,296000,3,2.7589345,945216.7,0.0,0.0,12.130040874516167,-46.43578676207205,-40.57741680193862,3,2097.477,-82.65573548781576,-46.43578676207205,-46.43578676207204,-82.65573548781576,12.130040874516167
0.0,nan,0.0,10,10,-41.96844520249408,-50.481792849035095,-618.97723,320000,4,0.8604129,474801.78,0.0,0.0,7.067134745248028,-50.4817928490351,-41.96844520249408,4,6719.9727,-66.66256631147746,-50.4817928490351,-50.481792849035095,-66.66256631147746,7.067134745248028
0.0,nan,0.0,10,10,-59.92131575650837,-69.01207392956819,-978.8364,344000,5,-0.11432278,622594.3,0.0,0.0,13.680983948427864,-69.0120739295682,-59.92131575650837,5,6765.21,-108.82174343115032,-69.0120739295682,-69.01207392956819,-108.82174343115032,13.680983948427864
0.0,nan,0.0,10,10,-41.05530588865482,-43.74791530868513,-6966.382,368000,6,-7.2877755,2317997.2,0.0,0.0,1.1177300571941264,-43.74791530868514,-41.05530588865482,6,12066.613,-45.397331887157186,-43.74791530868514,-43.74791530868513,-45.397331887157186,1.1177300571941264
0.3,nan,0.0,10,10,220092.2121358755,21977.978364831997,-18748.023,392000,7,-10.428012,2408106.8,0.0,0.3,66038.07871403458,21977.97836483199,220092.2121358755,7,2649.3245,-54.91796045254607,21977.97836483199,21977.978364831997,-54.91796045254607,66038.07871403458
0.0,nan,0.0,10,10,-17.719895909297062,-49.27536705181912,-38767.04,416000,8,-15.667423,4447107.0,0.0,0.0,13.629931925615574,-49.27536705181911,-17.719895909297062,8,4702.743,-62.90260198090442,-49.27536705181911,-49.27536705181912,-62.90260198090442,13.629931925615574
0.0,nan,0.0,10,10,-22.284929046981652,-122.33492227284464,-70096.336,440000,9,-17.028784,8337613.5,0.0,0.0,37.65926309952743,-122.3349222728447,-22.284929046981652,9,7560.103,-158.98597636158172,-122.3349222728447,-122.33492227284464,-158.98597636158172,37.65926309952743
0.1,nan,0.0,10,10,302147.66164198786,36523.268659312365,-112663.86,464000,10,-20.275587,14865847.0,0.0,0.1,90455.72198324656,36523.268659312365,302147.66164198786,10,12017.94,-112.73321473023543,36523.268659312365,36523.268659312365,-112.73321473023543,90455.72198324656
0.3,nan,0.0,10,10,332635.4709686027,135538.94112334,-195514.84,488000,11,-22.49729,27832938.0,0.0,0.3,139690.4549209,135538.9411233399,332635.4709686027,11,7283.748,-54.32335738651342,135538.9411233399,135538.94112334,-54.32335738651342,139690.4549209
0.6,nan,0.0,10,10,326913.6289152833,152898.19904279997,-309631.88,512000,12,-23.301956,44697536.0,0.0,0.6,130598.50578002635,152898.19904279994,326913.6289152833,12,7100.532,-19.815117010864316,152898.19904279994,152898.19904279997,-19.815117010864316,130598.50578002635
0.1,nan,0.0,10,10,281813.9180121733,67850.66163570568,-416357.12,536000,13,-24.392765,53545196.0,0.0,0.1,105708.93112363451,67850.66163570568,281813.9180121733,13,10333.754,-96.75371032418084,67850.66163570568,67850.66163570568,-96.75371032418084,105708.93112363451
0.0,nan,0.0,10,10,-21.383309904936787,-136.70824182131037,-414710.03,560000,14,-25.002441,53752970.0,0.0,0.0,39.42154877276603,-136.7082418213104,-21.383309904936787,14,11974.404,-165.36293213858846,-136.7082418213104,-136.70824182131037,-165.36293213858846,39.42154877276603
0.3,nan,0.0,10,10,332393.93776291306,135044.50452356573,-446385.28,584000,15,-27.11929,56155996.0,0.0,0.3,140113.32499429156,135044.5045235657,332393.93776291306,15,61512.055,-74.33990657728684,135044.5045235657,135044.50452356573,-74.33990657728684,140113.32499429156
0.1,nan,0.0,10,10,333756.9930449112,122341.13567618022,-499979.84,608000,16,-25.344398,59802600.0,0.0,0.1,125695.78504091277,122341.13567618016,333756.9930449112,16,32918.098,-58.647136676703276,122341.13567618016,122341.13567618022,-58.647136676703276,125695.78504091277
