MetaTest/button-press-topdown-v1/MinReturn,MetaTest/button-press-topdown-v1/MaxReturn,MetaTest/Average/NumTrajs,TotalEnvSteps,MetaTest/Average/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/StdReturn,MetaTest/button-press-topdown-v1/AverageReturn,MetaTrain/Average/PolicyLoss,MetaTrain/Average/QfLoss,MetaTest/button-press-topdown-v1/AverageDiscountedReturn,MetaTest/button-press-topdown-v1/StdReturn,MetaTest/button-press-topdown-v1/NumTrajs,MetaTest/button-press-topdown-v1/SuccessRate,MetaTest/Average/SuccessRate,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/AlphaLoss,MetaTest/button-press-topdown-v1/Iteration,MetaTest/button-press-topdown-v1/TerminationRate,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTrain/Average/Alpha
-113.94949991244795,-86.8159087724288,10,224000,-101.75105810101498,0,8.587748585079204,-101.75105810101498,-550.482,964949.94,-101.75105810101495,8.587748585079204,10,0.0,0.0,35.40904,-1.3519822,0,0.0,-113.94949991244795,0.0,-101.75105810101495,-86.8159087724288,nan
-75.75891113481471,-51.064060507930385,10,248000,-59.43137276755524,1,7.562288041602205,-59.43137276755524,-1173.2524,2217586.0,-59.43137276755526,7.562288041602205,10,0.0,0.0,542.244,-4.41207,1,0.0,-75.75891113481471,0.0,-59.43137276755526,-51.064060507930385,nan
-127.6526334989157,-19.027630787170466,10,272000,-43.237291846445515,2,29.150808790384488,-43.237291846445515,-1801.5083,960228.3,-43.23729184644552,29.150808790384488,10,0.0,0.0,481.10226,0.43216074,2,0.0,-127.6526334989157,0.0,-43.23729184644552,-19.027630787170466,nan
-80.27929626842273,-35.43976607346955,10,296000,-52.107896127607674,3,17.114805650101353,-52.107896127607674,-5414.7686,2192489.5,-52.107896127607674,17.114805650101353,10,0.0,0.0,299.98895,-4.54145,3,0.0,-80.27929626842273,0.0,-52.107896127607674,-35.43976607346955,nan
-149.43957869563272,79513.52764434305,10,320000,9866.374536733576,4,23550.033502325197,9866.374536733576,-70424.68,5359703.0,9866.374536733576,23550.033502325197,10,0.1,0.1,328.43613,-25.251858,4,0.0,-149.43957869563272,0.0,9866.374536733576,79513.52764434305,nan
-110.91343636485269,-82.34312175814067,10,344000,-95.88664945621494,5,10.508666841227331,-95.88664945621494,-196367.45,48952076.0,-95.88664945621494,10.508666841227331,10,0.0,0.0,66341.15,-37.39112,5,0.0,-110.91343636485269,0.0,-95.88664945621494,-82.34312175814067,nan
-100.10711153606435,-67.06589768946465,10,368000,-83.45253072209535,6,11.209231598171218,-83.45253072209535,-5254.545,2961437.2,-83.45253072209533,11.209231598171218,10,0.0,0.0,42592.434,-37.44978,6,0.0,-100.10711153606435,0.0,-83.45253072209533,-67.06589768946465,nan
-151.1263786127382,-125.20556590124683,10,392000,-140.80855091438855,7,7.182487916379955,-140.80855091438855,-9152.379,3060790.0,-140.80855091438855,7.182487916379955,10,0.0,0.0,41962.645,-37.168007,7,0.0,-151.1263786127382,0.0,-140.80855091438855,-125.20556590124683,nan
-100.78929423287286,-68.73673549010573,10,416000,-84.38306772325575,8,11.230249486328926,-84.38306772325575,-6789.5503,3957345.8,-84.38306772325575,11.230249486328926,10,0.0,0.0,27573.764,-37.53415,8,0.0,-100.78929423287286,0.0,-84.38306772325575,-68.73673549010573,nan
-102.38618907958154,-67.98208588614806,10,440000,-90.42395401695383,9,9.866196723914955,-90.42395401695383,431.3955,4987288.0,-90.42395401695381,9.866196723914955,10,0.0,0.0,6903.245,-37.59245,9,0.0,-102.38618907958154,0.0,-90.42395401695381,-67.98208588614806,nan
