MetaTest/Average/NumTrajs,MetaTest/Average/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,TotalEnvSteps,MetaTest/button-press-topdown-wall-v1/MaxReturn,MetaTest/button-press-topdown-wall-v1/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/button-press-topdown-wall-v1/Iteration,MetaTest/button-press-topdown-wall-v1/NumTrajs,MetaTest/button-press-topdown-wall-v1/AverageReturn,MetaTest/Average/Iteration,MetaTest/button-press-topdown-wall-v1/TerminationRate,MetaTrain/Average/PolicyLoss,MetaTest/button-press-topdown-wall-v1/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/QfLoss,MetaTrain/Average/Alpha,MetaTest/button-press-topdown-wall-v1/StdReturn,MetaTest/button-press-topdown-wall-v1/MinReturn,MetaTest/Average/SuccessRate
10,4.771860079579433,-123.47043363189675,-123.47043363189678,12.492869,-114.4112998837562,-129.18408535823696,224000,-114.4112998837562,0.0,0.99081224,0,10,-123.47043363189675,0,0.0,-71.05773,-123.47043363189678,0.0,62684.258,nan,4.771860079579433,-129.18408535823696,0.0
10,16.782164664835026,-91.04055708332854,-91.04055708332854,78.52966,-68.22895733723749,-131.74639651705164,248000,-68.22895733723749,0.0,-3.3081772,1,10,-91.04055708332854,1,0.0,-297.83792,-91.04055708332854,0.0,55720.395,nan,16.782164664835026,-131.74639651705164,0.0
10,8.463931787816046,-75.13475683609764,-75.13475683609762,517.66656,-62.592324313083836,-92.95923492619109,272000,-62.592324313083836,0.0,-3.506748,2,10,-75.13475683609764,2,0.0,-2047.1548,-75.13475683609762,0.0,93948.14,nan,8.463931787816046,-92.95923492619109,0.0
10,3.4608313312540755,-92.89691820764,-92.89691820764003,3400.4285,-87.89574574807999,-99.53403859558095,296000,-87.89574574807999,0.0,-13.196827,3,10,-92.89691820764,3,0.0,-15754.632,-92.89691820764003,0.0,238597.77,nan,3.4608313312540755,-99.53403859558095,0.0
10,4.4303094638969505,-92.45572424028028,-92.4557242402803,1806.9034,-87.45840884888236,-102.7779503890127,320000,-87.45840884888236,0.0,-16.745848,4,10,-92.45572424028028,4,0.0,-32430.592,-92.4557242402803,0.0,235008.7,nan,4.4303094638969505,-102.7779503890127,0.0
10,4.459522320104559,-139.1071292803488,-139.1071292803488,3254.9736,-133.03787257928872,-146.16354017072618,344000,-133.03787257928872,0.0,-20.460602,5,10,-139.1071292803488,5,0.0,-45602.617,-139.1071292803488,0.0,150278.28,nan,4.459522320104559,-146.16354017072618,0.0
10,3.1493533909177627,-43.42740857666285,-43.42740857666287,6072.621,-35.5053883111261,-47.965097382015216,368000,-35.5053883111261,0.0,-14.744272,6,10,-43.42740857666285,6,0.0,-47708.434,-43.42740857666287,0.0,251776.6,nan,3.1493533909177627,-47.965097382015216,0.0
10,54.987970147282816,-83.51460554631319,-83.5146055463132,47.561844,-20.38210227137143,-151.7504983794749,392000,-20.38210227137143,0.0,-11.366084,7,10,-83.51460554631319,7,0.0,-25343.611,-83.5146055463132,0.0,115272.61,nan,54.987970147282816,-151.7504983794749,0.0
10,3.4099025549651176,-74.4914669733479,-74.49146697334787,43253.85,-69.6597778507997,-80.67869029955764,416000,-69.6597778507997,0.0,2.2192442,8,10,-74.4914669733479,8,0.0,-2062.7012,-74.49146697334787,0.0,17932364.0,nan,3.4099025549651176,-80.67869029955764,0.0
10,20.209674366945283,-55.210269517459395,-55.210269517459366,2160.3596,-37.07726131261419,-112.17918839770682,440000,-37.07726131261419,0.0,-0.49401605,9,10,-55.210269517459395,9,0.0,-827.548,-55.210269517459366,0.0,1196055.8,nan,20.209674366945283,-112.17918839770682,0.0
10,3.962320725556912,-44.233262320491086,-44.23326232049109,3573.8862,-37.58911895501748,-50.49827160132714,464000,-37.58911895501748,0.0,-2.9729543,10,10,-44.233262320491086,10,0.0,-1861.3971,-44.23326232049109,0.0,1642323.5,nan,3.962320725556912,-50.49827160132714,0.0
10,32.92418895161691,-118.45700632930966,-118.45700632930966,3127.4575,-51.00736463297038,-150.63222416413083,488000,-51.00736463297038,0.0,-3.4761393,11,10,-118.45700632930966,11,0.0,-3384.7505,-118.45700632930966,0.0,1558945.8,nan,32.92418895161691,-150.63222416413083,0.0
10,7.762372149588073,-143.03744252374673,-143.0374425237468,19759.34,-131.71167820380708,-154.45631757708267,512000,-131.71167820380708,0.0,-9.338883,12,10,-143.03744252374673,12,0.0,-8619.92,-143.0374425237468,0.0,1774216.8,nan,7.762372149588073,-154.45631757708267,0.0
10,110365.98573992487,68523.55265370745,68523.55265370746,8397.278,320277.9042362314,-50.24764014371546,536000,320277.9042362314,0.4,-10.477363,13,10,68523.55265370745,13,0.0,-10759.299,68523.55265370746,0.0,1564654.5,nan,110365.98573992487,-50.24764014371546,0.4
10,541.0833309516325,154.72035556796223,154.72035556796237,10300.209,1777.8469779942495,-39.407107662508935,560000,1777.8469779942495,0.0,-11.904228,14,10,154.72035556796223,14,0.0,-24271.488,154.72035556796237,0.0,4131688.5,nan,541.0833309516325,-39.407107662508935,0.0
10,3.1396570111074227,-22.77285101817032,-22.77285101817032,14754.169,-17.81741647806765,-27.410810309876705,584000,-17.81741647806765,0.0,-13.967397,15,10,-22.77285101817032,15,0.0,-51078.535,-22.77285101817032,0.0,4599035.0,nan,3.1396570111074227,-27.410810309876705,0.0
10,111840.15416555156,231397.87092935917,231397.87092935917,6088.44,303729.14058676874,-20.44103599954592,608000,303729.14058676874,0.9,-15.516516,16,10,231397.87092935917,16,0.0,-91614.81,231397.87092935917,0.0,7153614.0,nan,111840.15416555156,-20.44103599954592,0.9
10,122594.7988610356,117236.40256301186,117236.40256301186,10266.539,294487.4571184945,-18.902414873990864,632000,294487.4571184945,0.3,-17.46477,17,10,117236.40256301186,17,0.0,-138901.31,117236.40256301186,0.0,12479980.0,nan,122594.7988610356,-18.902414873990864,0.3
10,144470.6480847402,136047.85267087695,136047.85267087695,14101.561,319122.948182658,-23.749782087998582,656000,319122.948182658,0.6,-19.579563,18,10,136047.85267087695,18,0.0,-197631.64,136047.85267087695,0.0,18507878.0,nan,144470.6480847402,-23.749782087998582,0.6
10,1.9629033298371272,-39.1888959781525,-39.18889597815249,21380.73,-34.79768792069076,-42.01736140602319,680000,-34.79768792069076,0.0,-18.426243,19,10,-39.1888959781525,19,0.0,-205853.19,-39.18889597815249,0.0,17365570.0,nan,1.9629033298371272,-42.01736140602319,0.0
10,3.9803629989592224,-68.69402109307478,-68.69402109307478,9345.498,-62.27207827268256,-74.70678273674498,704000,-62.27207827268256,0.0,-18.386787,20,10,-68.69402109307478,20,0.0,-225946.8,-68.69402109307478,0.0,15375991.0,nan,3.9803629989592224,-74.70678273674498,0.0
10,102926.70694209331,255201.03430785082,255201.03430785082,3053.0483,312865.4057188041,8600.133595128693,728000,312865.4057188041,0.9,-19.840261,21,10,255201.03430785082,21,0.0,-223225.19,255201.03430785082,0.0,13973783.0,nan,102926.70694209331,8600.133595128693,0.9
10,127196.34463167135,86886.15031094554,86886.1503109456,2667.2625,303690.93217360676,-23.204235318353277,752000,303690.93217360676,0.6,-20.807737,22,10,86886.15031094554,22,0.0,-247850.36,86886.1503109456,0.0,15964967.0,nan,127196.34463167135,-23.204235318353277,0.6
10,133915.3858665165,105553.34069240624,105553.34069240624,2985.3145,304820.9302212537,-23.27151342290995,776000,304820.9302212537,0.5,-21.478222,23,10,105553.34069240624,23,0.0,-286709.94,105553.34069240624,0.0,20233708.0,nan,133915.3858665165,-23.27151342290995,0.5
10,153512.06399338102,190096.32849460884,190096.32849460878,4391.885,324064.60455864115,-26.742540708905118,800000,324064.60455864115,0.8,-22.286469,24,10,190096.32849460884,24,0.0,-333703.2,190096.32849460878,0.0,25176888.0,nan,153512.06399338102,-26.742540708905118,0.8
10,108912.55037241502,202623.80264189796,202623.80264189804,5501.169,315658.8398645325,-18.176502032706313,824000,315658.8398645325,0.7,-22.81143,25,10,202623.80264189796,25,0.0,-428679.16,202623.80264189804,0.0,30447158.0,nan,108912.55037241502,-18.176502032706313,0.7
10,44504.98085035391,14812.21893904414,14812.218939044145,6242.3516,148327.1613951715,-25.967298812812828,848000,148327.1613951715,0.0,-23.780354,26,10,14812.21893904414,26,0.0,-532692.5,14812.218939044145,0.0,45208784.0,nan,44504.98085035391,-25.967298812812828,0.0
10,6296.770291533808,2489.0922989575647,2489.092298957566,3764.9128,21029.168363155703,-27.252661559968335,872000,21029.168363155703,0.1,-25.300207,27,10,2489.0922989575647,27,0.0,-545259.6,2489.092298957566,0.0,59713204.0,nan,6296.770291533808,-27.252661559968335,0.1
10,129453.98299756467,188238.36666107713,188238.3666610772,10341.899,299976.321919907,-23.067889321187298,896000,299976.321919907,0.7,-25.11428,28,10,188238.36666107713,28,0.0,-595351.06,188238.3666610772,0.0,63259960.0,nan,129453.98299756467,-23.067889321187298,0.7
10,89278.41904135252,259139.61651608796,259139.61651608784,8008.677,317687.2519899817,47610.48074744057,920000,317687.2519899817,0.8,-26.013195,29,10,259139.61651608796,29,0.0,-630194.2,259139.61651608784,0.0,64649220.0,nan,89278.41904135252,47610.48074744057,0.8
10,89414.94445255572,95794.09497095601,95794.09497095602,6183.319,298414.4760292189,-23.340854629490558,944000,298414.4760292189,0.3,-28.601452,30,10,95794.09497095601,30,0.0,-632747.3,95794.09497095602,0.0,72835150.0,nan,89414.94445255572,-23.340854629490558,0.3
10,122795.56159573239,85656.67651510533,85656.67651510533,5225.7563,315551.5441318928,-26.87149154701476,968000,315551.5441318928,0.3,-29.573341,31,10,85656.67651510533,31,0.0,-617776.6,85656.67651510533,0.0,83888430.0,nan,122795.56159573239,-26.87149154701476,0.3
10,4346.748515729529,2174.011722195692,2174.011722195692,7162.4624,13963.758709688129,-39.38762754878811,992000,13963.758709688129,0.2,-33.56188,32,10,2174.011722195692,32,0.0,-666340.44,2174.011722195692,0.0,417013860.0,nan,4346.748515729529,-39.38762754878811,0.2
10,102823.75012009096,67114.95096908399,67114.95096908398,4368.307,305351.0447136371,-129.83325092943784,1016000,305351.0447136371,0.2,-34.566723,33,10,67114.95096908399,33,0.0,-573259.1,67114.95096908398,0.0,101705864.0,nan,102823.75012009096,-129.83325092943784,0.2
10,124245.4035541948,101458.66279576252,101458.6627957625,3385.2734,327497.99705288105,-55.94731764657923,1040000,327497.99705288105,0.4,-31.426855,34,10,101458.66279576252,34,0.0,-491238.34,101458.6627957625,0.0,111659020.0,nan,124245.4035541948,-55.94731764657923,0.4
10,76541.20536461523,34731.83596617084,34731.83596617084,32565.545,245268.45795093372,-61.500842262217574,1064000,245268.45795093372,0.3,-43.210182,35,10,34731.83596617084,35,0.0,-846394.75,34731.83596617084,0.0,3537673700.0,nan,76541.20536461523,-61.500842262217574,0.3
