MetaTest/Average/StdReturn,MetaTest/button-press-topdown-wall-v1/StdReturn,MetaTest/Average/NumTrajs,MetaTest/button-press-topdown-wall-v1/AverageReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/Alpha,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/button-press-topdown-wall-v1/SuccessRate,TotalEnvSteps,MetaTest/Average/MinReturn,MetaTrain/Average/QfLoss,MetaTrain/Average/PolicyLoss,MetaTest/button-press-topdown-wall-v1/Iteration,MetaTest/Average/TerminationRate,MetaTest/button-press-topdown-wall-v1/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/button-press-topdown-wall-v1/MinReturn,MetaTest/button-press-topdown-wall-v1/MaxReturn,MetaTest/button-press-topdown-wall-v1/TerminationRate,MetaTest/Average/Iteration,MetaTest/button-press-topdown-wall-v1/NumTrajs,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/AlphaLoss
4.718597146728965,4.718597146728965,10,-91.99529354936512,0.0,nan,-91.99529354936514,-85.38061194815155,0.0,224000,-100.09937530654032,514863.88,-445.5182,0,0.0,-91.99529354936514,-91.99529354936512,-100.09937530654032,-85.38061194815155,0.0,0,10,31.814388,-4.145896
2.6304950267731093,2.6304950267731093,10,-37.98268706011835,0.0,nan,-37.98268706011835,-33.77166503251069,0.0,248000,-42.61823305530122,405359.3,-1686.456,1,0.0,-37.98268706011835,-37.98268706011835,-42.61823305530122,-33.77166503251069,0.0,1,10,104.18245,-8.861015
10.078085669135904,10.078085669135904,10,-122.9705047885682,0.0,nan,-122.97050478856822,-108.83552905419204,0.0,272000,-139.87757678484348,552191.9,-3857.6226,2,0.0,-122.97050478856822,-122.9705047885682,-139.87757678484348,-108.83552905419204,0.0,2,10,162.2753,-11.212296
67650.32622386818,67650.32622386818,10,22459.480330276554,0.1,nan,22459.480330276565,225410.42784436446,0.1,296000,-139.385338541573,11654780.0,-8091.236,3,0.0,22459.480330276565,22459.480330276554,-139.385338541573,225410.42784436446,0.0,3,10,39332.125,-15.610157
66382.18675240423,66382.18675240423,10,59469.43021390572,0.7,nan,59469.43021390571,167661.36218709688,0.7,320000,-53.26374080313128,4016978.8,-14484.161,4,0.0,59469.43021390571,59469.43021390572,-53.26374080313128,167661.36218709688,0.0,4,10,2115.269,-15.516367
52955.41027430333,52955.41027430333,10,53295.84161089532,0.6,nan,53295.84161089532,167659.7344704255,0.6,344000,-57.61520288688927,13246544.0,-36113.957,5,0.0,53295.84161089532,53295.84161089532,-57.61520288688927,167659.7344704255,0.0,5,10,5014.518,-19.091328
31692.954109141974,31692.954109141974,10,11983.822713987707,0.2,nan,11983.822713987707,106142.27861799252,0.2,368000,-150.6113599589658,25867186.0,-88799.95,6,0.0,11983.822713987707,11983.822713987707,-150.6113599589658,106142.27861799252,0.0,6,10,152287.02,-30.903622
73645.19035254724,73645.19035254724,10,57996.79366019719,0.3,nan,57996.79366019716,194368.50953568425,0.3,392000,-147.7604292728932,28735344.0,-138246.42,7,0.0,57996.79366019716,57996.79366019719,-147.7604292728932,194368.50953568425,0.0,7,10,18671.672,-34.80568
80092.82333187657,80092.82333187657,10,87173.09628859685,0.6,nan,87173.09628859686,232884.53110938185,0.6,416000,-98.3272648707598,39498896.0,-190867.27,8,0.0,87173.09628859686,87173.09628859685,-98.3272648707598,232884.53110938185,0.0,8,10,15690.974,-34.63803
18869.3832665461,18869.3832665461,10,14468.374535840263,0.1,nan,14468.374535840261,50031.91579895895,0.1,440000,-147.33588010774298,60822576.0,-301176.53,9,0.0,14468.374535840261,14468.374535840263,-147.33588010774298,50031.91579895895,0.0,9,10,96069.33,-36.2824
