MetaTest/Average/TerminationRate,MetaTest/button-press-v1/SuccessRate,MetaTest/Average/StdReturn,MetaTest/button-press-v1/NumTrajs,MetaTest/Average/MaxReturn,MetaTest/button-press-v1/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/button-press-v1/Iteration,MetaTest/Average/NumTrajs,MetaTest/button-press-v1/StdReturn,MetaTest/button-press-v1/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/Alpha,TotalEnvSteps,MetaTrain/Average/QfLoss,MetaTest/button-press-v1/MaxReturn,MetaTest/button-press-v1/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTest/button-press-v1/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/AverageReturn,MetaTrain/Average/PolicyLoss
0.0,0.3,75560.17217943448,10,216501.0004477901,0.0,0.3,0,10,75560.17217943448,48278.14217250269,48278.14217250268,nan,224000,20211276.0,216501.0004477901,48278.14217250268,-4.9157734,0,-110.61660320711549,-110.61660320711549,15984.513,48278.14217250269,-10039.796
0.0,0.0,1303.427083176179,10,4271.626878951922,0.0,0.0,1,10,1303.427083176179,437.8877524979319,437.8877524979325,nan,248000,21467362.0,4271.626878951922,437.8877524979325,-8.5693445,1,-100.59702261671157,-100.59702261671157,8253.741,437.8877524979319,-13172.858
0.0,0.3,67884.26060339193,10,216877.31834001894,0.0,0.3,2,10,67884.26060339193,32467.10260933621,32467.102609336183,nan,272000,21964352.0,216877.31834001894,32467.102609336183,-21.032595,2,-70.92170192346758,-70.92170192346758,4542.9463,32467.10260933621,-41185.48
0.0,0.5,144853.5318925924,10,361533.3377477685,0.0,0.5,3,10,144853.5318925924,92117.21384575644,92117.21384575649,nan,296000,24989460.0,361533.3377477685,92117.21384575649,-34.076138,3,-31.40908785440924,-31.40908785440924,6221.536,92117.21384575644,-126762.195
0.0,0.3,2483.6868013036647,10,6422.819751054282,0.0,0.3,4,10,2483.6868013036647,2049.3560266619925,2049.3560266619925,nan,320000,26338668.0,6422.819751054282,2049.3560266619925,-36.983936,4,-16.620389782579707,-16.620389782579707,1475.9203,2049.3560266619925,-117070.37
0.0,0.1,95084.35409561293,10,312936.5002889335,0.0,0.1,5,10,95084.35409561293,50893.752636535195,50893.75263653519,nan,344000,34696420.0,312936.5002889335,50893.75263653519,-36.055798,5,-16.50412248730399,-16.50412248730399,598.32776,50893.752636535195,-139453.81
0.0,0.3,72117.66560785194,10,231212.65699081554,0.0,0.3,6,10,72117.66560785194,34267.894235955115,34267.89423595513,nan,368000,62005790.0,231212.65699081554,34267.89423595513,-37.220387,6,-27.78673047658178,-27.78673047658178,228630.61,34267.894235955115,109120.195
0.0,0.6,92182.48606543413,10,320289.73517286894,0.0,0.6,7,10,92182.48606543413,143214.06905460104,143214.06905460102,nan,392000,38206372.0,320289.73517286894,143214.06905460102,-36.901337,7,26465.208016862005,26465.208016862005,8042.5527,143214.06905460104,-99122.27
0.0,0.2,128809.18025356886,10,335030.03269008733,0.0,0.2,8,10,128809.18025356886,86395.19934185836,86395.19934185836,nan,416000,54079660.0,335030.03269008733,86395.19934185836,-36.68875,8,-29.099975337368466,-29.099975337368466,1169.5121,86395.19934185836,-195314.5
0.0,0.7,148888.82041827752,10,357929.97839754913,0.0,0.7,9,10,148888.82041827752,224017.59484878654,224017.59484878654,nan,440000,67885944.0,357929.97839754913,224017.59484878654,-36.866924,9,-19.884118366579028,-19.884118366579028,1177.1538,224017.59484878654,-224662.69
