MetaTest/button-press-v1/TerminationRate,TotalEnvSteps,MetaTest/button-press-v1/NumTrajs,MetaTrain/Average/PolicyLoss,MetaTrain/Average/ContrastiveLoss,MetaTest/button-press-v1/MinReturn,MetaTest/button-press-v1/AverageReturn,MetaTrain/Average/Alpha,MetaTest/button-press-v1/MaxReturn,MetaTest/Average/StdReturn,MetaTest/Average/Iteration,MetaTrain/Average/AlphaLoss,MetaTest/Average/NumTrajs,MetaTest/Average/TerminationRate,MetaTrain/Average/QfLoss,MetaTest/button-press-v1/AverageDiscountedReturn,MetaTest/button-press-v1/Iteration,MetaTest/Average/MinReturn,MetaTest/button-press-v1/SuccessRate,MetaTest/button-press-v1/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/Average/MaxReturn
0.0,224000,10,-5498.9917,6049.6104,-26.760916396925918,37536.44388118787,nan,360799.17445204826,107778.3160239444,0,-0.80386543,10,0.0,22621712.0,37536.443881187835,0,-26.760916396925918,0.4,107778.3160239444,37536.443881187835,37536.44388118787,0.4,360799.17445204826
0.0,248000,10,-19890.893,68.542694,-111.52541421071865,-97.08112930679366,nan,-84.58637236630562,8.314985312999083,1,-12.417788,10,0.0,21807532.0,-97.08112930679374,1,-111.52541421071865,0.0,8.314985312999083,-97.08112930679374,-97.08112930679366,0.0,-84.58637236630562
0.0,272000,10,-44569.996,73.255424,-42.62987944841166,849.4651799591213,nan,4372.037177919443,1739.2022877036995,2,-21.849247,10,0.0,20362978.0,849.4651799591211,2,-42.62987944841166,0.0,1739.2022877036995,849.4651799591211,849.4651799591213,0.0,4372.037177919443
0.0,296000,10,-75132.055,147.30858,-14.255595969187445,123562.94772472691,nan,313603.8387279664,131205.1261990725,3,-25.605589,10,0.0,26617578.0,123562.9477247269,3,-14.255595969187445,0.2,131205.1261990725,123562.9477247269,123562.94772472691,0.2,313603.8387279664
0.0,320000,10,-118798.445,3129.965,225499.00361781273,316875.15600920044,nan,360122.32617667847,42498.92395030001,4,-30.349615,10,0.0,44409004.0,316875.1560092004,4,225499.00361781273,0.8,42498.92395030001,316875.1560092004,316875.15600920044,0.8,360122.32617667847
0.0,344000,10,-202590.81,392.08408,2570.7086295421286,176894.04807322792,nan,312708.4193198879,113923.33659876359,5,-31.949318,10,0.0,74356740.0,176894.04807322792,5,2570.7086295421286,0.4,113923.33659876359,176894.04807322792,176894.04807322792,0.4,312708.4193198879
0.0,368000,10,-274317.56,771.0001,-16.937098627094336,277889.8518036461,nan,360467.65433886927,104360.128616206,6,-32.05694,10,0.0,109279496.0,277889.85180364613,6,-16.937098627094336,0.7,104360.128616206,277889.85180364613,277889.8518036461,0.7,360467.65433886927
0.0,392000,10,-326843.84,2870.998,247524.7076654135,337592.3242402194,nan,366050.2088274023,41833.630930609725,7,-32.180252,10,0.0,142332530.0,337592.32424021943,7,247524.7076654135,1.0,41833.630930609725,337592.32424021943,337592.3242402194,1.0,366050.2088274023
0.0,416000,10,-376025.94,3779.5415,-11.00382780361896,316929.91125257954,nan,369725.4034564016,107408.6697290761,8,-31.640905,10,0.0,176745520.0,316929.91125257965,8,-11.00382780361896,0.9,107408.6697290761,316929.91125257965,316929.91125257954,0.9,369725.4034564016
0.0,440000,10,-426052.7,2401.1782,261062.68777866632,332355.78979332175,nan,368376.8180520532,31578.286096141826,9,-31.930082,10,0.0,217097200.0,332355.7897933217,9,261062.68777866632,0.9,31578.286096141826,332355.7897933217,332355.78979332175,0.9,368376.8180520532
0.0,464000,10,-531527.0,4688.9717,-13.284639241851313,297587.2053770778,nan,371084.70209229406,104453.3005680759,10,-31.246023,10,0.0,288416320.0,297587.2053770778,10,-13.284639241851313,0.7,104453.3005680759,297587.2053770778,297587.2053770778,0.7,371084.70209229406
0.0,488000,10,-608168.44,395.16574,-12.334848410571505,294970.610114066,nan,356375.4565463723,102002.3299990675,11,-30.721563,10,0.0,341686370.0,294970.61011406605,11,-12.334848410571505,0.8,102002.3299990675,294970.61011406605,294970.610114066,0.8,356375.4565463723
