MetaTest/Average/AverageReturn,MetaTest/coffee-pull-v1/MinReturn,MetaTrain/Average/AlphaLoss,MetaTest/coffee-pull-v1/TerminationRate,MetaTest/Average/SuccessRate,MetaTrain/Average/QfLoss,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/NumTrajs,MetaTest/coffee-pull-v1/AverageReturn,MetaTest/coffee-pull-v1/NumTrajs,MetaTest/coffee-pull-v1/SuccessRate,MetaTrain/Average/Alpha,MetaTrain/Average/PolicyLoss,MetaTest/coffee-pull-v1/StdReturn,MetaTest/Average/MaxReturn,MetaTest/coffee-pull-v1/MaxReturn,MetaTrain/Average/ContrastiveLoss,TotalEnvSteps,MetaTest/Average/AverageDiscountedReturn,MetaTest/coffee-pull-v1/Iteration,MetaTest/Average/StdReturn,MetaTest/coffee-pull-v1/AverageDiscountedReturn
38.60930237323395,-28.371801329139306,6.729461,0.0,0.0,2.6038935,0,-28.371801329139306,0.0,10,38.60930237323395,10,0.0,nan,1.8789979,193.19586273297335,618.1608099713956,618.1608099713956,8.919457,224000,38.60930237323396,0,193.19586273297335,38.60930237323396
-52.423579487114786,-57.18565002351561,6.710316,0.0,0.0,75.86218,1,-57.18565002351561,0.0,10,-52.423579487114786,10,0.0,nan,6.563183,4.008597739994966,-45.85129359962567,-45.85129359962567,32.4106,248000,-52.42357948711479,1,4.008597739994966,-52.42357948711479
-15.229755337970527,-17.461087574303622,6.5942755,0.0,0.0,249.60066,2,-17.461087574303622,0.0,10,-15.229755337970527,10,0.0,nan,-1.7839974,1.1392180605605504,-12.94365090728365,-12.94365090728365,8.954625,272000,-15.229755337970527,2,1.1392180605605504,-15.229755337970527
2362.4558577836638,-7.131480388534776,6.152628,0.0,0.0,875.4449,3,-7.131480388534776,0.0,10,2362.4558577836638,10,0.0,nan,-46.46184,2384.6597530567988,8596.435179762424,8596.435179762424,9.502863,296000,2362.455857783664,3,2384.6597530567988,2362.455857783664
1376.0031230378904,-35.53016051563883,3.8817742,0.0,0.0,7427.1406,4,-35.53016051563883,0.0,10,1376.0031230378904,10,0.0,nan,-519.06085,2876.1596181115897,9696.295072595805,9696.295072595805,11.04817,320000,1376.0031230378904,4,2876.1596181115897,1376.0031230378904
787.7300038726422,-36.15230860297417,-2.8196154,0.0,0.0,44730.047,5,-36.15230860297417,0.0,10,787.7300038726422,10,0.0,nan,-2660.7666,1090.5959410174476,3204.5103698415674,3204.5103698415674,37.610245,344000,787.7300038726419,5,1090.5959410174476,787.7300038726419
171.89955478223072,-35.10611896610488,-6.556654,0.0,0.0,65704.33,6,-35.10611896610488,0.0,10,171.89955478223072,10,0.0,nan,-5532.7773,245.08090940713126,675.2768723134632,675.2768723134632,61.221054,368000,171.89955478223072,6,245.08090940713126,171.89955478223072
964.4252321397868,-32.803581930632724,-7.348333,0.0,0.0,70557.71,7,-32.803581930632724,0.0,10,964.4252321397868,10,0.0,nan,-7083.065,1622.4213082839851,4267.174888019365,4267.174888019365,75.56857,392000,964.4252321397864,7,1622.4213082839851,964.4252321397864
1797.6779443674764,-34.77338605253329,-7.763652,0.0,0.0,71310.79,8,-34.77338605253329,0.0,10,1797.6779443674764,10,0.0,nan,-8096.37,1953.4852091098141,6597.853417590364,6597.853417590364,73.164894,416000,1797.6779443674761,8,1953.4852091098141,1797.6779443674761
1432.6606118279865,-13.813288518478133,-8.137461,0.0,0.0,74385.36,9,-13.813288518478133,0.0,10,1432.6606118279865,10,0.0,nan,-8794.302,1028.4375701943316,3151.5281790241916,3151.5281790241916,86.52557,440000,1432.6606118279863,9,1028.4375701943316,1432.6606118279863
4272.810657409109,1074.2542270271754,-8.017647,0.0,0.0,80255.3,10,1074.2542270271754,0.0,10,4272.810657409109,10,0.0,nan,-9425.028,3048.8074950594214,8553.756784938552,8553.756784938552,49.26297,464000,4272.810657409107,10,3048.8074950594214,4272.810657409107
5150.80622550687,-35.5016104782335,-8.233705,0.0,0.0,88336.016,11,-35.5016104782335,0.0,10,5150.80622550687,10,0.0,nan,-9923.028,4887.032792916926,13943.306477746613,13943.306477746613,42.76854,488000,5150.806225506871,11,4887.032792916926,5150.806225506871
4264.510096619995,-23.63875985080319,-8.4493,0.0,0.0,104632.27,12,-23.63875985080319,0.0,10,4264.510096619995,10,0.0,nan,-10716.004,4948.575674390222,13539.242467498829,13539.242467498829,79.841194,512000,4264.510096619996,12,4948.575674390222,4264.510096619996
2030.9558728672105,-22.32713290580405,-9.0240135,0.0,0.0,124762.36,13,-22.32713290580405,0.0,10,2030.9558728672105,10,0.0,nan,-11885.272,2465.3846578759917,6107.427850463774,6107.427850463774,115.28575,536000,2030.9558728672105,13,2465.3846578759917,2030.9558728672105
1599.743749715531,-24.47537391646677,-9.438025,0.0,0.0,139486.08,14,-24.47537391646677,0.0,10,1599.743749715531,10,0.0,nan,-13384.966,4867.864330659093,16203.336584511388,16203.336584511388,107.79181,560000,1599.7437497155304,14,4867.864330659093,1599.7437497155304
2907.5170029511246,-24.119655829211723,-9.259985,0.0,0.0,155502.44,15,-24.119655829211723,0.0,10,2907.5170029511246,10,0.0,nan,-14687.87,4331.386083993216,11926.894160200447,11926.894160200447,106.120865,584000,2907.5170029511237,15,4331.386083993216,2907.5170029511237
1214.627920711429,-23.62487940597032,-9.188028,0.0,0.0,172947.52,16,-23.62487940597032,0.0,10,1214.627920711429,10,0.0,nan,-15923.168,1956.1223212723896,6846.684969355633,6846.684969355633,92.23454,608000,1214.627920711429,16,1956.1223212723896,1214.627920711429
3688.141765606096,-24.50306765367123,-9.469758,0.0,0.0,184532.86,17,-24.50306765367123,0.0,10,3688.141765606096,10,0.0,nan,-16244.004,4368.829009159423,14202.08170059441,14202.08170059441,172.97707,632000,3688.141765606096,17,4368.829009159423,3688.141765606096
1742.693753070537,-25.42659752272475,-9.387549,0.0,0.0,196365.36,18,-25.42659752272475,0.0,10,1742.693753070537,10,0.0,nan,-16779.98,1323.220363992003,3974.023776295595,3974.023776295595,225.8266,656000,1742.693753070537,18,1323.220363992003,1742.693753070537
264.15536417670285,-23.311055450837014,-8.912892,0.0,0.0,200355.27,19,-23.311055450837014,0.0,10,264.15536417670285,10,0.0,nan,-16416.357,378.5758732064409,989.1430792152897,989.1430792152897,247.54521,680000,264.1553641767026,19,378.5758732064409,264.1553641767026
1495.1883379783344,-26.39473833989906,-8.488707,0.0,0.0,202991.83,20,-26.39473833989906,0.0,10,1495.1883379783344,10,0.0,nan,-16157.376,1629.2764115585412,4505.219049375325,4505.219049375325,186.9745,704000,1495.1883379783344,20,1629.2764115585412,1495.1883379783344
2519.691487753239,-25.927145009912667,-8.144223,0.0,0.0,212208.7,21,-25.927145009912667,0.0,10,2519.691487753239,10,0.0,nan,-16223.294,4092.5533178499836,12969.844265933036,12969.844265933036,195.08353,728000,2519.6914877532395,21,4092.5533178499836,2519.6914877532395
1752.4662667506811,-28.984087473553867,-7.843631,0.0,0.0,207334.95,22,-28.984087473553867,0.0,10,1752.4662667506811,10,0.0,nan,-15955.052,2707.9453256440997,8605.664400790105,8605.664400790105,88.115585,752000,1752.4662667506814,22,2707.9453256440997,1752.4662667506814
6068.892395062583,-30.69137719451793,-7.9231844,0.0,0.0,208696.52,23,-30.69137719451793,0.0,10,6068.892395062583,10,0.0,nan,-15239.146,5920.529765252467,15063.102531661885,15063.102531661885,91.52161,776000,6068.892395062584,23,5920.529765252467,6068.892395062584
3614.3000311833976,358.48846941393134,-7.4985547,0.0,0.0,213967.75,24,358.48846941393134,0.0,10,3614.3000311833976,10,0.0,nan,-15159.724,3431.634395362884,11031.541704251333,11031.541704251333,94.64891,800000,3614.3000311833966,24,3431.634395362884,3614.3000311833966
6037.345785887164,88.3766462849193,-7.242702,0.0,0.0,221441.92,25,88.3766462849193,0.0,10,6037.345785887164,10,0.0,nan,-15024.672,3876.03577052631,12860.097513285602,12860.097513285602,82.75242,824000,6037.345785887166,25,3876.03577052631,6037.345785887166
5982.875046563828,2330.1972739246635,-7.3186593,0.0,0.0,226454.2,26,2330.1972739246635,0.0,10,5982.875046563828,10,0.0,nan,-14360.82,3223.110638017926,13401.865733156788,13401.865733156788,70.5739,848000,5982.875046563828,26,3223.110638017926,5982.875046563828
4194.9697849054155,1360.5402171519818,-7.3006525,0.0,0.0,236696.42,27,1360.5402171519818,0.0,10,4194.9697849054155,10,0.0,nan,-13900.329,2653.744315310767,10109.947690546494,10109.947690546494,89.496826,872000,4194.9697849054155,27,2653.744315310767,4194.9697849054155
3224.685905461209,-24.811471154684035,-7.1017766,0.0,0.0,251409.62,28,-24.811471154684035,0.0,10,3224.685905461209,10,0.0,nan,-13872.202,3073.685354954007,9392.503945292488,9392.503945292488,85.04361,896000,3224.685905461208,28,3073.685354954007,3224.685905461208
4351.367871942572,-29.064362778310645,-6.8861866,0.0,0.0,263682.97,29,-29.064362778310645,0.0,10,4351.367871942572,10,0.0,nan,-13723.448,5697.61036638906,16305.956395126505,16305.956395126505,75.027596,920000,4351.367871942572,29,5697.61036638906,4351.367871942572
5483.77593642011,861.3616814552303,-6.8209777,0.0,0.0,265157.9,30,861.3616814552303,0.0,10,5483.77593642011,10,0.0,nan,-13408.779,3755.6967025598856,13446.892190858745,13446.892190858745,88.62839,944000,5483.775936420109,30,3755.6967025598856,5483.775936420109
8201.149928614654,1911.061929790744,-6.805634,0.0,0.0,270677.7,31,1911.061929790744,0.0,10,8201.149928614654,10,0.0,nan,-13053.522,6558.555659488858,26035.875082984057,26035.875082984057,85.332275,968000,8201.149928614654,31,6558.555659488858,8201.149928614654
5280.433911270911,556.810368586089,-6.6488876,0.0,0.0,271044.88,32,556.810368586089,0.0,10,5280.433911270911,10,0.0,nan,-12085.991,4424.872208546351,13254.44822930605,13254.44822930605,80.99705,992000,5280.4339112709085,32,4424.872208546351,5280.4339112709085
6245.473755382269,555.7078751890803,-7.0438914,0.0,0.0,281788.47,33,555.7078751890803,0.0,10,6245.473755382269,10,0.0,nan,-11383.754,5091.740184690193,16817.673465879394,16817.673465879394,89.21535,1016000,6245.473755382271,33,5091.740184690193,6245.473755382271
5434.598066448319,-29.81126340014378,-7.3448105,0.0,0.0,285478.72,34,-29.81126340014378,0.0,10,5434.598066448319,10,0.0,nan,-10190.61,5990.69120130963,16525.73555472772,16525.73555472772,142.36449,1040000,5434.5980664483195,34,5990.69120130963,5434.5980664483195
5467.98859754603,-42.774973297235086,-7.456704,0.0,0.0,299639.16,35,-42.774973297235086,0.0,10,5467.98859754603,10,0.0,nan,-9941.012,3967.8601632700934,11847.30749940308,11847.30749940308,129.91267,1064000,5467.988597546031,35,3967.8601632700934,5467.988597546031
4539.580400521842,909.4274746918182,-7.8847632,0.0,0.0,321429.5,36,909.4274746918182,0.0,10,4539.580400521842,10,0.0,nan,-9832.995,3188.444113362094,10808.885827593635,10808.885827593635,247.74962,1088000,4539.580400521841,36,3188.444113362094,4539.580400521841
-28.75642265959463,-79.4832890715518,-5.401073,0.0,0.0,244573.31,37,-79.4832890715518,0.0,10,-28.75642265959463,10,0.0,nan,-1814.8917,25.175068403481053,-13.881875760370225,-13.881875760370225,1452.655,1112000,-28.75642265959463,37,25.175068403481053,-28.75642265959463
5582.15520537528,-26.31582066641267,-9.559777,0.0,0.0,196540.0,38,-26.31582066641267,0.0,10,5582.15520537528,10,0.0,nan,-6678.453,5568.353860201362,16753.193902078172,16753.193902078172,703.1435,1136000,5582.155205375281,38,5568.353860201362,5582.155205375281
10813.571692009235,7141.169330913758,-8.770985,0.0,0.0,266955.4,39,7141.169330913758,0.0,10,10813.571692009235,10,0.0,nan,-9376.859,3323.5470642447717,19244.626004914913,19244.626004914913,212.61562,1160000,10813.571692009229,39,3323.5470642447717,10813.571692009229
10485.72402732717,195.5058330951265,-8.36187,0.0,0.0,286484.22,40,195.5058330951265,0.0,10,10485.72402732717,10,0.0,nan,-9819.618,11755.657578436932,34349.940492723974,34349.940492723974,229.84921,1184000,10485.72402732717,40,11755.657578436932,10485.72402732717
3396.1075321531707,750.1434120600394,-8.363104,0.0,0.0,310921.9,41,750.1434120600394,0.0,10,3396.1075321531707,10,0.0,nan,-11029.814,1797.020773805606,5984.835102144161,5984.835102144161,163.23247,1208000,3396.1075321531707,41,1797.020773805606,3396.1075321531707
