MetaTest/Average/Iteration,TotalEnvSteps,MetaTest/coffee-push-v1/SuccessRate,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,MetaTest/coffee-push-v1/AverageReturn,MetaTest/coffee-push-v1/TerminationRate,MetaTest/Average/NumTrajs,MetaTrain/Average/PolicyLoss,MetaTest/coffee-push-v1/MaxReturn,MetaTest/coffee-push-v1/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/coffee-push-v1/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/QfLoss,MetaTest/Average/MinReturn,MetaTest/coffee-push-v1/NumTrajs,MetaTest/coffee-push-v1/StdReturn,MetaTrain/Average/Alpha,MetaTest/Average/StdReturn,MetaTest/coffee-push-v1/MinReturn
0,224000,0.0,0.0,-69.53391410564802,10.38062,-56.809667577671334,0.0,-69.53391410564802,0.0,10,-4.293746,-56.809667577671334,-69.53391410564805,6.7257514,0,-69.53391410564805,9.348262,-74.72778442542275,10,4.8132527739346145,nan,4.8132527739346145,-74.72778442542275
1,248000,0.0,0.0,0.013052146588088797,9.57642,159.83747564177125,0.0,0.013052146588088797,0.0,10,-25.7214,159.83747564177125,0.013052146588107005,6.099163,1,0.013052146588107005,334.50287,-27.32112660539563,10,53.68112113925069,nan,53.68112113925069,-27.32112660539563
2,272000,0.0,0.0,588.1113301463944,43.9671,2223.3225790928477,0.0,588.1113301463944,0.0,10,-272.22543,2223.3225790928477,588.1113301463947,4.6007857,2,588.1113301463947,19467.922,-15.12095214183843,10,627.5691805488823,nan,627.5691805488823,-15.12095214183843
3,296000,0.0,0.0,24514.74198147172,145.26562,80967.36629859696,0.0,24514.74198147172,0.0,10,-1243.407,80967.36629859696,24514.74198147172,1.5008897,3,24514.74198147172,54425.08,-48.96705268981024,10,30092.929337069858,nan,30092.929337069858,-48.96705268981024
4,320000,0.0,0.0,5913.197295065195,93.53083,31859.367953371624,0.0,5913.197295065195,0.0,10,-3947.317,31859.367953371624,5913.197295065195,-3.4459703,4,5913.197295065195,250423.11,-32.543717023424264,10,9955.109883790981,nan,9955.109883790981,-32.543717023424264
5,344000,0.0,0.0,3088.933657290049,138.04243,27354.628240591435,0.0,3088.933657290049,0.0,10,-8899.301,27354.628240591435,3088.933657290049,-5.9502587,5,3088.933657290049,402309.2,-50.892717544979604,10,8138.958706910134,nan,8138.958706910134,-50.892717544979604
6,368000,0.0,0.0,14631.338498714336,591.84796,81337.2449821438,0.0,14631.338498714336,0.0,10,-22200.072,81337.2449821438,14631.33849871433,-10.539557,6,14631.33849871433,1114408.8,-50.14348724041337,10,27652.030418468832,nan,27652.030418468832,-50.14348724041337
7,392000,0.0,0.0,6303.673257404505,370.89877,61787.45008519648,0.0,6303.673257404505,0.0,10,-32495.607,61787.45008519648,6303.673257404508,-12.119943,7,6303.673257404508,1601461.2,-51.62276601237747,10,18497.326865734725,nan,18497.326865734725,-51.62276601237747
8,416000,0.1,0.0,13790.23906184336,461.87653,137527.44231655888,0.1,13790.23906184336,0.0,10,-43096.91,137527.44231655888,13790.239061843353,-14.698496,8,13790.239061843353,1971738.4,-52.97671381869944,10,41245.98865957656,nan,41245.98865957656,-52.97671381869944
9,440000,0.0,0.0,20351.020495032666,582.5865,74770.65792229105,0.0,20351.020495032666,0.0,10,-56227.406,74770.65792229105,20351.020495032673,-15.526473,9,20351.020495032673,2858887.2,-64.08520912460472,10,29076.849691515923,nan,29076.849691515923,-64.08520912460472
