TotalEnvSteps,MetaTest/coffee-push-v1/AverageDiscountedReturn,MetaTest/coffee-push-v1/MinReturn,MetaTest/coffee-push-v1/StdReturn,MetaTest/coffee-push-v1/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/AverageReturn,MetaTrain/Average/QfLoss,MetaTest/coffee-push-v1/AverageReturn,MetaTest/Average/Iteration,MetaTest/coffee-push-v1/TerminationRate,MetaTest/Average/SuccessRate,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/NumTrajs,MetaTest/Average/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/coffee-push-v1/NumTrajs,MetaTest/coffee-push-v1/MaxReturn,MetaTest/Average/MaxReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/StdReturn,MetaTest/coffee-push-v1/Iteration,MetaTrain/Average/Alpha
224000,-62.05118338265546,-112.41213529081837,42.232207909663835,0.0,0.089961305,-62.05118338265546,115900.766,-62.05118338265546,0,0.0,0.0,24.275194,10,-112.41213529081837,-62.05118338265546,0.0,10,28.815950039171067,28.815950039171067,-342.22507,42.232207909663835,0,nan
248000,-95.1862082619765,-106.31949711350191,4.7381418293019575,0.0,-1.9998232,-95.18620826197655,111837.805,-95.18620826197655,1,0.0,0.0,80.995476,10,-106.31949711350191,-95.1862082619765,0.0,10,-89.85827427808951,-89.85827427808951,-932.8257,4.7381418293019575,1,nan
272000,-65.5739771677527,-81.32994320738763,10.903967852868469,0.0,-4.332786,-65.5739771677527,237208.89,-65.5739771677527,2,0.0,0.0,353.5531,10,-81.32994320738763,-65.5739771677527,0.0,10,-43.428229470146995,-43.428229470146995,-2580.343,10.903967852868469,2,nan
296000,782.8503569980782,-35.608732035391434,613.4897824508693,0.0,-5.179422,782.850356998078,589364.6,782.850356998078,3,0.0,0.0,677.1342,10,-35.608732035391434,782.8503569980782,0.0,10,1892.4429835602,1892.4429835602,-8756.144,613.4897824508693,3,nan
320000,903.7244877269901,-35.978887486020085,1876.146729840668,0.0,-6.0469813,903.7244877269901,507857.22,903.7244877269901,4,0.0,0.0,2961.269,10,-35.978887486020085,903.7244877269901,0.0,10,6386.962513959963,6386.962513959963,-10378.146,1876.146729840668,4,nan
344000,-33.28307475973326,-38.02164158300545,3.932953420265909,0.0,-8.052739,-33.28307475973326,591770.44,-33.28307475973326,5,0.0,0.0,1912.4305,10,-38.02164158300545,-33.28307475973326,0.0,10,-23.457836158149764,-23.457836158149764,-33430.527,3.932953420265909,5,nan
368000,-40.84517785696993,-115.3119708574648,55.91615217927617,0.0,-4.4045167,-40.84517785696995,384213.94,-40.84517785696995,6,0.0,0.0,2626.8582,10,-115.3119708574648,-40.84517785696993,0.0,10,69.89496568400024,69.89496568400024,-20418.412,55.91615217927617,6,nan
392000,3835.661860678192,-65.99631826269122,10163.308845575626,0.1,-9.533153,3835.6618606781894,1030581.25,3835.6618606781894,7,0.0,0.1,878.1231,10,-65.99631826269122,3835.661860678192,0.0,10,34210.12896781,34210.12896781,-52772.72,10163.308845575626,7,nan
416000,-28.52923096325287,-114.56359198259825,96.10030540306154,0.0,-5.767533,-28.52923096325286,722549.0,-28.52923096325286,8,0.0,0.0,2222.9248,10,-114.56359198259825,-28.52923096325287,0.0,10,181.98482843109915,181.98482843109915,-30283.244,96.10030540306154,8,nan
440000,-2.364761204049402,-95.79997420878111,139.88604874163624,0.0,-6.6785545,-2.3647612040494126,711470.94,-2.3647612040494126,9,0.0,0.0,2365.0972,10,-95.79997420878111,-2.364761204049402,0.0,10,411.99659312246973,411.99659312246973,-23893.912,139.88604874163624,9,nan
464000,-52.43683549730332,-95.43733321271402,21.951618558753353,0.0,-2.8186133,-52.43683549730332,902868.1,-52.43683549730332,10,0.0,0.0,4619.7554,10,-95.43733321271402,-52.43683549730332,0.0,10,-31.9766898315706,-31.9766898315706,-10526.948,21.951618558753353,10,nan
488000,-52.692166019225354,-85.24424776716329,22.645919850251754,0.0,-6.1182,-52.692166019225354,1094764.8,-52.692166019225354,11,0.0,0.0,1764.1122,10,-85.24424776716329,-52.692166019225354,0.0,10,-23.632267827483002,-23.632267827483002,-13480.538,22.645919850251754,11,nan
512000,2309.519245744529,-91.47111201427919,3772.7813251035973,0.1,-6.1323056,2309.519245744529,1300351.0,2309.519245744529,12,0.0,0.1,3259.165,10,-91.47111201427919,2309.519245744529,0.0,10,10931.918658945353,10931.918658945353,-12627.402,3772.7813251035973,12,nan
536000,1763.8438556277379,-114.97608937188801,2349.294649512868,0.1,-8.288526,1763.8438556277374,2025732.9,1763.8438556277374,13,0.0,0.1,3204.5317,10,-114.97608937188801,1763.8438556277379,0.0,10,7803.388284077165,7803.388284077165,-16622.26,2349.294649512868,13,nan
560000,-87.75103215927842,-129.42884379965412,37.774320440318974,0.0,-10.310553,-87.75103215927842,2801127.0,-87.75103215927842,14,0.0,0.0,5935.159,10,-129.42884379965412,-87.75103215927842,0.0,10,-40.75512674975088,-40.75512674975088,-21160.348,37.774320440318974,14,nan
584000,-5.1981876475028725,-56.9936206112722,87.30013218913135,0.1,-12.428507,-5.198187647502865,3110348.8,-5.198187647502865,15,0.0,0.1,9015.078,10,-56.9936206112722,-5.1981876475028725,0.0,10,252.94714335686072,252.94714335686072,-25722.6,87.30013218913135,15,nan
608000,-81.49319000058836,-122.50466169055794,59.63799771984434,0.0,-11.430549,-81.49319000058836,4606848.0,-81.49319000058836,16,0.0,0.0,16505.953,10,-122.50466169055794,-81.49319000058836,0.0,10,94.0130446250112,94.0130446250112,-31831.457,59.63799771984434,16,nan
632000,-41.21419569145415,-88.2570106171194,19.256557680511737,0.0,-11.677766,-41.21419569145414,6198248.5,-41.21419569145414,17,0.0,0.0,8366.304,10,-88.2570106171194,-41.21419569145415,0.0,10,-17.458873196995164,-17.458873196995164,-39314.703,19.256557680511737,17,nan
656000,-49.697599003339356,-88.92757649550931,24.399619559576635,0.2,-12.173709,-49.697599003339356,8008429.5,-49.697599003339356,18,0.0,0.2,12615.54,10,-88.92757649550931,-49.697599003339356,0.0,10,-17.52890555101291,-17.52890555101291,-49335.984,24.399619559576635,18,nan
680000,1781.402052295983,-34.93924858255183,2909.820960869233,0.2,-9.630981,1781.402052295983,9944361.0,1781.402052295983,19,0.0,0.2,54264.543,10,-34.93924858255183,1781.402052295983,0.0,10,9301.97079639108,9301.97079639108,-50935.973,2909.820960869233,19,nan
704000,-76.4742946112398,-94.48757772373499,21.313578217400934,0.0,-14.809179,-76.4742946112398,1277126900.0,-76.4742946112398,20,0.0,0.0,3016055.8,10,-94.48757772373499,-76.4742946112398,0.0,10,-34.08376191286512,-34.08376191286512,-46559.215,21.313578217400934,20,nan
728000,-83.77962784350915,-105.10485958157682,13.303407869181603,0.0,-12.193525,-83.77962784350915,13984942.0,-83.77962784350915,21,0.0,0.0,256292.98,10,-105.10485958157682,-83.77962784350915,0.0,10,-62.078926955445134,-62.078926955445134,-83923.234,13.303407869181603,21,nan
752000,-61.724365760383215,-87.7307955513308,12.263064680639909,0.0,-4.143492,-61.724365760383215,8972525.0,-61.724365760383215,22,0.0,0.0,91032.21,10,-87.7307955513308,-61.724365760383215,0.0,10,-43.21635039049499,-43.21635039049499,-34684.35,12.263064680639909,22,nan
776000,-33.85320380956411,-38.73594604298495,2.3181352996590827,0.0,-2.7181103,-33.8532038095641,4197206.0,-33.8532038095641,23,0.0,0.0,25528.879,10,-38.73594604298495,-33.85320380956411,0.0,10,-30.773891451516988,-30.773891451516988,-9733.051,2.3181352996590827,23,nan
800000,-70.41990315086443,-81.64205356020997,7.084241275460459,0.0,-1.8988041,-70.41990315086443,6369773.5,-70.41990315086443,24,0.0,0.0,65675.61,10,-81.64205356020997,-70.41990315086443,0.0,10,-53.60187257887258,-53.60187257887258,-6329.3145,7.084241275460459,24,nan
824000,-36.85398837785711,-45.81598056426104,4.538676735937296,0.0,-4.2579765,-36.85398837785711,3470609.2,-36.85398837785711,25,0.0,0.0,9501.088,10,-45.81598056426104,-36.85398837785711,0.0,10,-31.17017568205415,-31.17017568205415,-4055.3926,4.538676735937296,25,nan
848000,81.65515121088444,-49.882325698230225,161.79683561112114,0.0,-5.554777,81.65515121088444,3277003.5,81.65515121088444,26,0.0,0.0,52250.445,10,-49.882325698230225,81.65515121088444,0.0,10,406.17680910623994,406.17680910623994,-5021.702,161.79683561112114,26,nan
872000,11.893730474286595,-42.87752814690838,83.70920949081453,0.0,-3.3226454,11.893730474286604,1552786.2,11.893730474286604,27,0.0,0.0,10410.52,10,-42.87752814690838,11.893730474286595,0.0,10,216.25049686440408,216.25049686440408,-5233.599,83.70920949081453,27,nan
896000,-15.57332266959176,-49.008937917686374,57.16711942882896,0.0,-4.0328016,-15.573322669591766,1482959.6,-15.573322669591766,28,0.0,0.0,7439.601,10,-49.008937917686374,-15.57332266959176,0.0,10,155.00147064745923,155.00147064745923,-5440.921,57.16711942882896,28,nan
920000,-12.709471961497652,-47.63408767840665,65.26632730906145,0.0,-4.5332417,-12.709471961497673,1519791.1,-12.709471961497673,29,0.0,0.0,7546.278,10,-47.63408767840665,-12.709471961497652,0.0,10,181.62333875806056,181.62333875806056,-4868.5513,65.26632730906145,29,nan
944000,-29.7712131140185,-52.62073063761588,11.864132891033247,0.0,-5.8856826,-29.7712131140185,1593762.5,-29.7712131140185,30,0.0,0.0,11994.403,10,-52.62073063761588,-29.7712131140185,0.0,10,-17.252306123822173,-17.252306123822173,-6218.327,11.864132891033247,30,nan
968000,12409.184057760725,-31.468944853000135,29682.840906925383,0.1,-6.9970355,12409.18405776072,1825811.4,12409.18405776072,31,0.0,0.1,16058.842,10,-31.468944853000135,12409.184057760725,0.0,10,100101.29942787737,100101.29942787737,-10056.72,29682.840906925383,31,nan
992000,586.5411164631366,-45.194699930213844,1843.6144812487541,0.0,-8.595303,586.5411164631364,2148028.2,586.5411164631364,32,0.0,0.0,8898.074,10,-45.194699930213844,586.5411164631366,0.0,10,6117.3019311080725,6117.3019311080725,-10148.059,1843.6144812487541,32,nan
