MetaTest/dissassemble-v1/NumTrajs,TotalEnvSteps,MetaTrain/Average/Alpha,MetaTest/Average/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/dissassemble-v1/MaxReturn,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/ContrastiveLoss,MetaTest/dissassemble-v1/SuccessRate,MetaTest/dissassemble-v1/AverageDiscountedReturn,MetaTest/dissassemble-v1/StdReturn,MetaTrain/Average/PolicyLoss,MetaTest/dissassemble-v1/TerminationRate,MetaTest/dissassemble-v1/AverageReturn,MetaTest/dissassemble-v1/Iteration,MetaTrain/Average/AlphaLoss,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/dissassemble-v1/MinReturn,MetaTest/Average/AverageReturn,MetaTrain/Average/QfLoss
10,224000,nan,10,-42.790725813873344,0,-31.689543661932685,6.42160621847661,0.0,8.773899,0.0,-42.790725813873344,6.42160621847661,16.884052,0.0,-42.79072581387333,0,6.7224336,-54.94711642715412,0.0,-31.689543661932685,-54.94711642715412,-42.79072581387333,2.378303
10,248000,nan,10,-34.18755498809693,1,-26.129120209224194,4.677202928763239,0.0,8.356364,0.0,-34.18755498809693,4.677202928763239,51.861652,0.0,-34.18755498809693,1,6.6760926,-40.96210306207297,0.0,-26.129120209224194,-40.96210306207297,-34.18755498809693,5.597516
10,272000,nan,10,-29.30412174573194,2,-27.85061437136905,0.9683849470887533,0.0,7.6865726,0.0,-29.30412174573194,0.9683849470887533,75.52256,0.0,-29.30412174573194,2,6.594134,-30.9215637860534,0.0,-27.85061437136905,-30.9215637860534,-29.30412174573194,10.776324
10,296000,nan,10,-28.96448895643036,3,-25.6320266076135,1.528974416594136,0.0,7.827553,0.0,-28.96448895643036,1.528974416594136,90.086044,0.0,-28.964488956430365,3,6.494079,-30.956118578544473,0.0,-25.6320266076135,-30.956118578544473,-28.964488956430365,17.722876
10,320000,nan,10,-27.00851236011161,4,-22.806445281664896,2.810299156992389,0.0,7.6783504,0.0,-27.00851236011161,2.810299156992389,95.58835,0.0,-27.00851236011161,4,6.397575,-31.47447585735353,0.0,-22.806445281664896,-31.47447585735353,-27.00851236011161,24.725079
10,344000,nan,10,-27.89921052911049,5,-23.305227072476747,2.05476619138525,0.0,7.707916,0.0,-27.89921052911049,2.05476619138525,95.430954,0.0,-27.899210529110483,5,6.313411,-30.367655359794107,0.0,-23.305227072476747,-30.367655359794107,-27.899210529110483,30.589027
10,368000,nan,10,-27.788362515748293,6,-24.169584691794395,1.5456956777489828,0.0,7.6803536,0.0,-27.788362515748293,1.5456956777489828,92.23711,0.0,-27.788362515748297,6,6.257915,-29.722981544393814,0.0,-24.169584691794395,-29.722981544393814,-27.788362515748297,35.3171
10,392000,nan,10,-24.13374137714623,7,-19.56227601768633,2.114335019077399,0.0,7.679758,0.0,-24.13374137714623,2.114335019077399,88.451584,0.0,-24.13374137714623,7,6.211846,-26.44928644680862,0.0,-19.56227601768633,-26.44928644680862,-24.13374137714623,39.554092
10,416000,nan,10,-25.336372024785188,8,-21.76710395495941,2.5145108703941403,0.0,7.6781044,0.0,-25.336372024785188,2.5145108703941403,81.650696,0.0,-25.336372024785188,8,6.171354,-29.0264997663344,0.0,-21.76710395495941,-29.0264997663344,-25.336372024785188,43.158695
10,440000,nan,10,-25.67789596627548,9,-21.29893000145205,2.587553817371038,0.0,7.640281,0.0,-25.67789596627548,2.587553817371038,74.53328,0.0,-25.677895966275475,9,6.1445227,-28.861998039450175,0.0,-21.29893000145205,-28.861998039450175,-25.677895966275475,46.851486
