MetaTest/dissassemble-v1/SuccessRate,MetaTest/Average/Iteration,MetaTest/dissassemble-v1/AverageReturn,MetaTest/dissassemble-v1/NumTrajs,MetaTrain/Average/Alpha,TotalEnvSteps,MetaTest/Average/MinReturn,MetaTest/Average/StdReturn,MetaTest/dissassemble-v1/MinReturn,MetaTrain/Average/AlphaLoss,MetaTest/dissassemble-v1/StdReturn,MetaTest/Average/MaxReturn,MetaTest/dissassemble-v1/TerminationRate,MetaTrain/Average/QfLoss,MetaTest/Average/NumTrajs,MetaTest/dissassemble-v1/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/dissassemble-v1/MaxReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/SuccessRate,MetaTrain/Average/PolicyLoss,MetaTest/dissassemble-v1/Iteration
0.0,0,-50.99414689452844,10,nan,224000,-65.29102543958005,9.862249298908166,-65.29102543958005,6.724268,9.862249298908166,-35.02895578615297,0.0,2.3990839,10,-50.994146894528456,-50.99414689452844,-50.994146894528456,-35.02895578615297,0.0,8.15501,0.0,5.646095,0
0.0,1,-35.710909434420074,10,nan,248000,-41.23999070980224,2.8168914141842736,-41.23999070980224,6.6762085,2.8168914141842736,-31.156136278428544,0.0,5.605028,10,-35.71090943442008,-35.710909434420074,-35.71090943442008,-31.156136278428544,0.0,8.343757,0.0,20.42626,1
0.0,2,-30.64648020867037,10,nan,272000,-34.544527631076164,2.299567577933831,-34.544527631076164,6.594677,2.299567577933831,-27.933569359328082,0.0,10.211875,10,-30.64648020867037,-30.64648020867037,-30.64648020867037,-27.933569359328082,0.0,7.826377,0.0,29.266758,2
0.0,3,-30.20539884147172,10,nan,296000,-34.47919000653657,2.800008325228998,-34.47919000653657,6.499031,2.800008325228998,-26.21230447928279,0.0,15.966766,10,-30.20539884147172,-30.20539884147172,-30.20539884147172,-26.21230447928279,0.0,7.764328,0.0,32.086514,3
0.0,4,-26.951891230457278,10,nan,320000,-31.45272854745889,2.4633458396109433,-31.45272854745889,6.412012,2.4633458396109433,-24.312244344286093,0.0,21.675938,10,-26.95189123045729,-26.951891230457278,-26.95189123045729,-24.312244344286093,0.0,7.6879587,0.0,29.155535,4
0.0,5,-23.576472231277066,10,nan,344000,-26.41915505353107,1.5389785724111829,-26.41915505353107,6.34458,1.5389785724111829,-21.724273692015306,0.0,26.479366,10,-23.576472231277062,-23.576472231277066,-23.576472231277062,-21.724273692015306,0.0,7.6715536,0.0,23.321953,5
0.0,6,-27.96838312113865,10,nan,368000,-30.613080229299086,1.7971761393684902,-30.613080229299086,6.3024044,1.7971761393684902,-25.143539900233375,0.0,29.881823,10,-27.968383121138647,-27.96838312113865,-27.968383121138647,-25.143539900233375,0.0,7.695877,0.0,16.348637,6
0.0,7,-24.866577454726823,10,nan,392000,-28.964953475218085,2.396474476472721,-28.964953475218085,6.2820225,2.396474476472721,-21.64721205647064,0.0,31.656773,10,-24.86657745472681,-24.866577454726823,-24.86657745472681,-21.64721205647064,0.0,7.664668,0.0,7.4696474,7
0.0,8,-23.10747809346021,10,nan,416000,-26.767393577862606,2.2517073546145925,-26.767393577862606,6.26071,2.2517073546145925,-18.84467153536039,0.0,32.623238,10,-23.10747809346021,-23.10747809346021,-23.10747809346021,-18.84467153536039,0.0,7.6706476,0.0,-1.756295,8
0.0,9,-22.21879087511609,10,nan,440000,-25.625478840233725,1.6354733535160375,-25.625478840233725,6.251035,1.6354733535160375,-20.068272237488355,0.0,33.65093,10,-22.21879087511608,-22.21879087511609,-22.21879087511608,-20.068272237488355,0.0,7.6636844,0.0,-10.841328,9
0.0,10,-22.574308256200048,10,nan,464000,-27.20472436356831,2.1671751757534574,-27.20472436356831,6.2485156,2.1671751757534574,-19.408608592258485,0.0,34.411114,10,-22.57430825620005,-22.574308256200048,-22.57430825620005,-19.408608592258485,0.0,7.6727567,0.0,-19.511875,10
0.0,11,-23.963671404700577,10,nan,488000,-29.13693079837595,2.4164410953768005,-29.13693079837595,6.2462034,2.4164410953768005,-20.851050105147895,0.0,34.71403,10,-23.963671404700573,-23.963671404700577,-23.963671404700573,-20.851050105147895,0.0,7.650464,0.0,-26.541613,11
0.0,12,-24.854152569734826,10,nan,512000,-30.446459267692312,3.591317272503407,-30.446459267692312,6.250107,3.591317272503407,-17.269402621841927,0.0,34.59377,10,-24.85415256973483,-24.854152569734826,-24.85415256973483,-17.269402621841927,0.0,7.6493673,0.0,-34.10243,12
0.0,13,-23.935087689486995,10,nan,536000,-26.658403540693243,1.7609544049296175,-26.658403540693243,6.2555184,1.7609544049296175,-20.179136374318137,0.0,34.243538,10,-23.93508768948699,-23.935087689486995,-23.93508768948699,-20.179136374318137,0.0,7.6554956,0.0,-40.0454,13
0.0,14,-25.29415799007032,10,nan,560000,-29.37677457891878,2.419783283517436,-29.37677457891878,6.2622805,2.419783283517436,-21.524178766295066,0.0,33.69024,10,-25.294157990070325,-25.29415799007032,-25.294157990070325,-21.524178766295066,0.0,7.63624,0.0,-45.875576,14
0.0,15,-23.57304029209963,10,nan,584000,-28.42245114746646,3.9435285140000884,-28.42245114746646,6.266956,3.9435285140000884,-17.303330622425175,0.0,33.388725,10,-23.573040292099627,-23.57304029209963,-23.573040292099627,-17.303330622425175,0.0,7.6309423,0.0,-50.728325,15
0.0,16,-21.159621596490148,10,nan,608000,-25.538254853383183,3.276432660656345,-25.538254853383183,6.277901,3.276432660656345,-15.049676383703758,0.0,32.51119,10,-21.159621596490148,-21.159621596490148,-21.159621596490148,-15.049676383703758,0.0,7.6311893,0.0,-55.733994,16
0.0,17,-22.146012703576694,10,nan,632000,-26.993966396439724,2.6906795077680057,-26.993966396439724,6.2843094,2.6906795077680057,-18.46926861441421,0.0,32.168076,10,-22.1460127035767,-22.146012703576694,-22.1460127035767,-18.46926861441421,0.0,7.6252413,0.0,-59.449295,17
0.0,18,-23.801374533247937,10,nan,656000,-28.59857469652457,3.0946034807858074,-28.59857469652457,6.2968326,3.0946034807858074,-18.405564480358787,0.0,31.401945,10,-23.801374533247934,-23.801374533247937,-23.801374533247934,-18.405564480358787,0.0,7.628293,0.0,-63.286713,18
0.0,19,-24.19544976572455,10,nan,680000,-27.88361572336179,2.0488005310320734,-27.88361572336179,6.3005977,2.0488005310320734,-21.517004348264937,0.0,31.094553,10,-24.19544976572455,-24.19544976572455,-24.19544976572455,-21.517004348264937,0.0,7.625025,0.0,-65.90753,19
0.0,20,-22.644053928316374,10,nan,704000,-27.770135303177742,2.680742440604023,-27.770135303177742,6.309756,2.680742440604023,-19.13099327369737,0.0,30.244577,10,-22.644053928316378,-22.644053928316374,-22.644053928316378,-19.13099327369737,0.0,7.624634,0.0,-69.040955,20
0.0,21,-24.35672043908117,10,nan,728000,-27.015301776884943,1.614486291731021,-27.015301776884943,6.316045,1.614486291731021,-20.628555250116083,0.0,29.667547,10,-24.356720439081165,-24.35672043908117,-24.356720439081165,-20.628555250116083,0.0,7.624632,0.0,-71.299736,21
0.0,22,-23.192783877542826,10,nan,752000,-28.85467535376145,2.8069650962848365,-28.85467535376145,6.323465,2.8069650962848365,-19.821601127288524,0.0,29.287554,10,-23.192783877542823,-23.192783877542826,-23.192783877542823,-19.821601127288524,0.0,7.624632,0.0,-73.196014,22
0.0,23,-26.066775138186294,10,nan,776000,-29.98686336841958,2.2933241945239793,-29.98686336841958,6.328973,2.2933241945239793,-22.730751895385204,0.0,28.619766,10,-26.06677513818629,-26.066775138186294,-26.06677513818629,-22.730751895385204,0.0,7.624632,0.0,-75.52105,23
0.0,24,-25.009223761899523,10,nan,800000,-29.67453399829982,2.8955000552579206,-29.67453399829982,6.3368206,2.8955000552579206,-21.625078069617867,0.0,28.29121,10,-25.009223761899523,-25.009223761899523,-25.009223761899523,-21.625078069617867,0.0,7.624632,0.0,-77.172615,24
0.0,25,-22.71248012262672,10,nan,824000,-29.379470150397843,3.23220845036877,-29.379470150397843,6.343377,3.23220845036877,-17.40096204057213,0.0,27.709745,10,-22.712480122626722,-22.71248012262672,-22.712480122626722,-17.40096204057213,0.0,7.624632,0.0,-79.43831,25
0.0,26,-24.088022125119366,10,nan,848000,-28.347794940250512,2.2937237015483602,-28.347794940250512,6.345819,2.2937237015483602,-20.131158988998354,0.0,27.597746,10,-24.08802212511938,-24.088022125119366,-24.08802212511938,-20.131158988998354,0.0,7.624632,0.0,-80.7069,26
0.0,27,-22.996065328269545,10,nan,872000,-28.58940258685914,2.507775662181761,-28.58940258685914,6.35208,2.507775662181761,-19.87516666901868,0.0,27.029375,10,-22.996065328269534,-22.996065328269545,-22.996065328269534,-19.87516666901868,0.0,7.624632,0.0,-82.39458,27
0.0,28,-24.709449695379412,10,nan,896000,-27.97198381665848,2.7791168837090607,-27.97198381665848,6.3577523,2.7791168837090607,-19.1290938384643,0.0,26.59223,10,-24.709449695379416,-24.709449695379412,-24.709449695379416,-19.1290938384643,0.0,7.624632,0.0,-83.74942,28
0.0,29,-24.01485554309557,10,nan,920000,-28.283428744218302,2.659613875269797,-28.283428744218302,6.362644,2.659613875269797,-18.10267091670998,0.0,26.175272,10,-24.01485554309557,-24.01485554309557,-24.01485554309557,-18.10267091670998,0.0,7.624632,0.0,-85.18018,29
0.0,30,-24.931893281737135,10,nan,944000,-28.968783757659356,2.5301018489946014,-28.968783757659356,6.3693833,2.5301018489946014,-20.802580835424973,0.0,25.632347,10,-24.931893281737132,-24.931893281737135,-24.931893281737132,-20.802580835424973,0.0,7.624632,0.0,-86.65981,30
