MetaTest/Average/MinReturn,MetaTest/door-unlock-v1/MaxReturn,MetaTest/door-unlock-v1/AverageReturn,MetaTest/Average/AverageReturn,MetaTrain/Average/AlphaLoss,TotalEnvSteps,MetaTest/Average/SuccessRate,MetaTest/Average/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTest/door-unlock-v1/NumTrajs,MetaTrain/Average/Alpha,MetaTest/door-unlock-v1/Iteration,MetaTrain/Average/QfLoss,MetaTrain/Average/PolicyLoss,MetaTest/door-unlock-v1/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/Iteration,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/StdReturn,MetaTest/door-unlock-v1/TerminationRate,MetaTest/door-unlock-v1/SuccessRate,MetaTest/door-unlock-v1/StdReturn,MetaTest/door-unlock-v1/MinReturn,MetaTest/Average/TerminationRate
-31.32689008229006,5176.650566365689,493.55071211328107,493.55071211328107,6.7301707,224000,0.1,10,493.55071211328124,10,nan,0,1.9516045,5.2509065,493.55071211328124,5176.650566365689,0,8.458852,1561.0353423245888,0.0,0.1,1561.0353423245888,-31.32689008229006,0.0
-42.34490227212821,-29.782483221269285,-38.17417237887723,-38.17417237887723,6.593559,248000,0.0,10,-38.174172378877245,10,nan,1,800.2154,14.201744,-38.174172378877245,-29.782483221269285,1,361.80975,4.160652766378463,0.0,0.0,4.160652766378463,-42.34490227212821,0.0
-33.79487508053232,6565.360801165416,1152.1617730176813,1152.1617730176813,6.3343534,272000,0.0,10,1152.1617730176808,10,nan,2,1016.1276,1.000449,1152.1617730176808,6565.360801165416,2,8.5382185,2372.7539538546357,0.0,0.0,2372.7539538546357,-33.79487508053232,0.0
-33.08429127190822,13241.85952924666,4703.665327098448,4703.665327098448,4.2233534,296000,0.3,10,4703.665327098448,10,nan,3,8823.21,-421.2518,4703.665327098448,13241.85952924666,3,12.488225,5685.232946972699,0.0,0.3,5685.232946972699,-33.08429127190822,0.0
-44.985489817040765,1409.2857447443778,112.60945709644447,112.60945709644447,1.1742672,320000,0.6,10,112.60945709644457,10,nan,4,40192.96,-1777.509,112.60945709644457,1409.2857447443778,4,42.969307,432.305741647828,0.0,0.6,432.305741647828,-44.985489817040765,0.0
-107.18298071672174,145284.8605607407,14663.525633163847,14663.525633163847,-3.5774186,344000,0.3,10,14663.525633163847,10,nan,5,142143.39,-4895.24,14663.525633163847,145284.8605607407,5,61.934155,43541.92557889382,0.0,0.3,43541.92557889382,-107.18298071672174,0.0
-131.77767544832483,19.185148618704204,-73.25782840448426,-73.25782840448426,-3.0568652,368000,0.0,10,-73.25782840448424,10,nan,6,451837.56,-4925.8716,-73.25782840448424,19.185148618704204,6,212.74266,43.13481080129726,0.0,0.0,43.13481080129726,-131.77767544832483,0.0
-116.49778054653018,-38.17751509729968,-92.53677835347894,-92.53677835347894,-3.8841474,392000,0.0,10,-92.53677835347894,10,nan,7,1101810.4,-9740.484,-92.53677835347894,-38.17751509729968,7,740.12524,21.143817158226142,0.0,0.0,21.143817158226142,-116.49778054653018,0.0
-84.19233940651266,-62.970973169187,-75.52143788961534,-75.52143788961534,-5.2117453,416000,0.0,10,-75.52143788961534,10,nan,8,991985.8,-4912.756,-75.52143788961534,-62.970973169187,8,1957.2803,5.657326656118057,0.0,0.0,5.657326656118057,-84.19233940651266,0.0
-90.76914727454705,-24.31384758756575,-58.92458589669859,-58.92458589669859,-8.14794,440000,0.0,10,-58.92458589669859,10,nan,9,935629.75,-6410.001,-58.92458589669859,-24.31384758756575,9,2557.1858,21.79338519175552,0.0,0.0,21.79338519175552,-90.76914727454705,0.0
