MetaTrain/Average/QfLoss,MetaTest/Average/MinReturn,MetaTest/door-unlock-v1/TerminationRate,MetaTest/door-unlock-v1/Iteration,MetaTest/door-unlock-v1/MaxReturn,MetaTest/door-unlock-v1/MinReturn,MetaTest/door-unlock-v1/NumTrajs,MetaTest/Average/Iteration,MetaTest/Average/NumTrajs,MetaTest/Average/SuccessRate,MetaTrain/Average/PolicyLoss,MetaTrain/Average/ContrastiveLoss,MetaTest/door-unlock-v1/StdReturn,MetaTest/door-unlock-v1/AverageDiscountedReturn,MetaTest/door-unlock-v1/AverageReturn,MetaTrain/Average/AlphaLoss,TotalEnvSteps,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTrain/Average/Alpha,MetaTest/door-unlock-v1/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate
8960.546,-39.43099607539299,0.0,0,-21.47973289786862,-39.43099607539299,10,0,10,0.0,-71.90112,9.892379,7.393013753077091,-28.044678891982407,-28.044678891982414,5.3126855,224000,-28.044678891982407,7.393013753077091,nan,0.0,-28.044678891982414,-21.47973289786862,0.0
9720.902,-50.642894432409896,0.0,1,1.280424551588263,-50.642894432409896,10,1,10,0.2,-297.132,15.422803,13.231141907561812,-32.73106303036943,-32.73106303036942,4.036119,248000,-32.73106303036943,13.231141907561812,nan,0.2,-32.73106303036942,1.280424551588263,0.0
32678.1,-39.35768246207361,0.0,2,15822.207918539993,-39.35768246207361,10,2,10,0.0,-808.49884,19.126575,5353.755360233854,2574.9903617163563,2574.990361716358,2.4355912,272000,2574.9903617163563,5353.755360233854,nan,0.0,2574.990361716358,15822.207918539993,0.0
92861.74,-42.65065387183948,0.0,3,6196.393143091605,-42.65065387183948,10,3,10,0.3,-1788.9955,44.781174,1922.3109286420179,993.755674388494,993.755674388494,-1.5396583,296000,993.755674388494,1922.3109286420179,nan,0.3,993.755674388494,6196.393143091605,0.0
280258.28,-17.023705665887036,0.0,4,15085.38111144276,-17.023705665887036,10,4,10,0.0,-4872.0586,81.71441,6430.803114002264,6345.005756166386,6345.005756166383,-5.6952505,320000,6345.005756166386,6430.803114002264,nan,0.0,6345.005756166383,15085.38111144276,0.0
443078.28,-23.38787235529373,0.0,5,16446.30538232347,-23.38787235529373,10,5,10,0.1,-9447.32,71.61667,6754.540521121771,5481.0977870438555,5481.097787043856,-8.795102,344000,5481.0977870438555,6754.540521121771,nan,0.1,5481.097787043856,16446.30538232347,0.0
547755.06,-24.83928376883003,0.0,6,16447.659171730953,-24.83928376883003,10,6,10,0.1,-12259.376,63.652958,4906.474647558497,2301.6119135310646,2301.6119135310637,-9.559436,368000,2301.6119135310646,4906.474647558497,nan,0.1,2301.6119135310637,16447.659171730953,0.0
689630.2,-24.61130387163958,0.0,7,15199.926406945235,-24.61130387163958,10,7,10,0.4,-14297.444,100.28936,4570.408850715441,2119.3729418394623,2119.3729418394632,-9.906725,392000,2119.3729418394623,4570.408850715441,nan,0.4,2119.3729418394632,15199.926406945235,0.0
919904.4,-36.05795017644688,0.0,8,5102.04129006906,-36.05795017644688,10,8,10,0.4,-15538.192,173.67865,1548.3949431068002,836.295038880299,836.2950388802992,-10.683034,416000,836.295038880299,1548.3949431068002,nan,0.4,836.2950388802992,5102.04129006906,0.0
995225.5,-24.802968374440553,0.0,9,23015.712368207274,-24.802968374440553,10,9,10,0.4,-14514.287,221.44377,6747.801993307218,5475.733147906687,5475.733147906683,-10.151451,440000,5475.733147906687,6747.801993307218,nan,0.4,5475.733147906683,23015.712368207274,0.0
1157661.8,-26.669454624654747,0.0,10,18367.667270826063,-26.669454624654747,10,10,10,0.2,-15673.622,229.61235,7143.675614748612,6534.43865535994,6534.438655359939,-9.928331,464000,6534.43865535994,7143.675614748612,nan,0.2,6534.438655359939,18367.667270826063,0.0
1601720.9,-38.15375335071898,0.0,11,17289.52201580689,-38.15375335071898,10,11,10,0.1,-19617.703,295.64548,6814.247786948069,5416.310029488808,5416.310029488808,-10.325498,488000,5416.310029488808,6814.247786948069,nan,0.1,5416.310029488808,17289.52201580689,0.0
1861522.8,-31.231700497812618,0.0,12,16269.697590569409,-31.231700497812618,10,12,10,0.4,-20855.332,457.521,6536.630961131224,8581.10116613568,8581.10116613568,-10.091221,512000,8581.10116613568,6536.630961131224,nan,0.4,8581.10116613568,16269.697590569409,0.0
1892553.9,-12.303703688698745,0.0,13,17477.943657439508,-12.303703688698745,10,13,10,0.1,-20757.143,524.76794,5821.636019182997,9816.357849194865,9816.357849194865,-9.245865,536000,9816.357849194865,5821.636019182997,nan,0.1,9816.357849194865,17477.943657439508,0.0
2096478.8,2016.8957840633334,0.0,14,18261.74084112249,2016.8957840633334,10,14,10,0.1,-21316.496,337.4792,6570.042306438296,12562.510511530021,12562.510511530018,-9.3117075,560000,12562.510511530021,6570.042306438296,nan,0.1,12562.510511530018,18261.74084112249,0.0
2234588.0,5939.107237882723,0.0,15,19147.995129930106,5939.107237882723,10,15,10,0.5,-21774.057,319.87238,4447.026583355974,12578.543447951479,12578.543447951479,-9.305068,584000,12578.543447951479,4447.026583355974,nan,0.5,12578.543447951479,19147.995129930106,0.0
2534973.5,-15.68994732857009,0.0,16,16793.46645735958,-15.68994732857009,10,16,10,0.1,-23197.664,244.8694,6667.004082961248,10152.80952687101,10152.80952687101,-9.280043,608000,10152.80952687101,6667.004082961248,nan,0.1,10152.80952687101,16793.46645735958,0.0
2635463.2,66.61405477359834,0.0,17,41299.09352170965,66.61405477359834,10,17,10,0.5,-23457.516,239.025,11541.845443049493,13599.705654678295,13599.705654678295,-9.7878,632000,13599.705654678295,11541.845443049493,nan,0.5,13599.705654678295,41299.09352170965,0.0
2847455.2,163.6448670947461,0.0,18,21122.689533596113,163.6448670947461,10,18,10,0.2,-24596.752,305.49094,7928.511832911426,12121.168572549754,12121.168572549757,-9.9224615,656000,12121.168572549754,7928.511832911426,nan,0.2,12121.168572549757,21122.689533596113,0.0
3106208.0,-15.822354706943969,0.0,19,20233.015291505897,-15.822354706943969,10,19,10,0.2,-26276.13,252.31891,6602.604112385041,12468.177800514288,12468.177800514284,-10.095249,680000,12468.177800514288,6602.604112385041,nan,0.2,12468.177800514284,20233.015291505897,0.0
3231925.5,759.4284890319165,0.0,20,27268.403729606915,759.4284890319165,10,20,10,0.2,-27700.932,357.90427,7313.4080667040525,17348.535188766342,17348.535188766342,-10.30985,704000,17348.535188766342,7313.4080667040525,nan,0.2,17348.535188766342,27268.403729606915,0.0
3617772.0,804.9944745149497,0.0,21,44513.85267515248,804.9944745149497,10,21,10,0.2,-29372.732,257.24808,11150.999147574597,14138.723946772248,14138.723946772254,-10.461251,728000,14138.723946772248,11150.999147574597,nan,0.2,14138.723946772254,44513.85267515248,0.0
