MetaTest/Average/Iteration,MetaTest/drawer-open-v1/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/drawer-open-v1/StdReturn,MetaTest/Average/NumTrajs,MetaTest/drawer-open-v1/AverageDiscountedReturn,MetaTrain/Average/QfLoss,MetaTest/Average/TerminationRate,MetaTrain/Average/Alpha,MetaTest/drawer-open-v1/TerminationRate,MetaTest/drawer-open-v1/NumTrajs,MetaTest/drawer-open-v1/MaxReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/SuccessRate,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/drawer-open-v1/MinReturn,MetaTest/drawer-open-v1/AverageReturn,TotalEnvSteps,MetaTrain/Average/PolicyLoss,MetaTest/Average/StdReturn,MetaTest/drawer-open-v1/Iteration
0,0.0,-35.5837918652999,-47.644499860728246,11.527461659980744,10,-35.58379186529991,9845.441,0.0,nan,0.0,10,-16.598841806032553,4.516756,0.0,10.1838455,-16.598841806032553,-35.58379186529991,-47.644499860728246,-35.5837918652999,224000,-134.71312,11.527461659980744,0
1,0.0,-23.125039707320752,-33.429032393803546,5.4574935658841515,10,-23.12503970732075,13410.484,0.0,nan,0.0,10,-16.699906787856836,2.41221,0.0,35.603428,-16.699906787856836,-23.12503970732075,-33.429032393803546,-23.125039707320752,248000,-455.5845,5.4574935658841515,1
2,0.0,69.77835569019523,-24.28517348546222,252.94272556916317,10,69.77835569019524,28373.191,0.0,nan,0.0,10,828.3706975737844,-0.55957603,0.0,49.17205,828.3706975737844,69.77835569019524,-24.28517348546222,69.77835569019523,272000,-933.2678,252.94272556916317,2
3,0.0,-5.201609468688188,-44.196384882865985,46.916791045850054,10,-5.201609468688209,48981.863,0.0,nan,0.0,10,96.97751658069885,-4.7458625,0.0,100.067665,96.97751658069885,-5.201609468688209,-44.196384882865985,-5.201609468688188,296000,-1850.4261,46.916791045850054,3
4,0.0,1553.1075303779944,170.54868654085072,1214.354269940905,10,1553.1075303779946,81242.336,0.0,nan,0.0,10,3361.987561205782,-7.661223,0.0,92.330376,3361.987561205782,1553.1075303779946,170.54868654085072,1553.1075303779944,320000,-3136.3071,1214.354269940905,4
5,0.0,3214.120929690682,-77.1211171648264,3093.086810448509,10,3214.1209296906827,84228.96,0.0,nan,0.0,10,9427.015864047502,-8.914739,0.0,71.31872,9427.015864047502,3214.1209296906827,-77.1211171648264,3214.120929690682,344000,-4561.613,3093.086810448509,5
6,0.0,-58.64098717260488,-78.3044218069735,8.998220058254368,10,-58.64098717260488,434547.6,0.0,nan,0.0,10,-47.32112781603279,-17.892902,0.0,176.25943,-47.32112781603279,-58.64098717260488,-78.3044218069735,-58.64098717260488,368000,-7647.5425,8.998220058254368,6
7,0.0,-81.51420164604205,-86.05968010276253,4.948383981013506,10,-81.51420164604204,654194.3,0.0,nan,0.0,10,-68.21868413330687,-16.675524,0.0,1238.2345,-68.21868413330687,-81.51420164604204,-86.05968010276253,-81.51420164604205,392000,-10109.192,4.948383981013506,7
8,0.0,-77.43213067445754,-81.01175247425157,1.7733604759735822,10,-77.43213067445755,577041.75,0.0,nan,0.0,10,-74.84138025723938,-18.702723,0.0,7782.686,-74.84138025723938,-77.43213067445755,-81.01175247425157,-77.43213067445754,416000,-6060.396,1.7733604759735822,8
9,0.0,-64.61285035475535,-70.56816104888328,4.2133261923485925,10,-64.61285035475534,811262.56,0.0,nan,0.0,10,-59.4052834255413,-20.046711,0.0,5081.623,-59.4052834255413,-64.61285035475534,-70.56816104888328,-64.61285035475535,440000,-4771.42,4.2133261923485925,9
10,0.0,-68.40036919921462,-70.8275699023367,1.84421206286855,10,-68.40036919921462,2187469.2,0.0,nan,0.0,10,-63.33264579491857,-14.377899,0.0,3935.8855,-63.33264579491857,-68.40036919921462,-70.8275699023367,-68.40036919921462,464000,-13692.658,1.84421206286855,10
11,0.0,-99.12942209890213,-104.86896975688182,2.102613624620172,10,-99.12942209890213,1339558.9,0.0,nan,0.0,10,-97.12651300280517,-10.982143,0.0,8540.569,-97.12651300280517,-99.12942209890213,-104.86896975688182,-99.12942209890213,488000,-13086.466,2.102613624620172,11
12,0.0,364.9062738324857,-61.94868868676809,863.6599190970838,10,364.90627383248557,1288644.5,0.0,nan,0.0,10,2711.6381930491048,-9.175728,0.0,13993.762,2711.6381930491048,364.90627383248557,-61.94868868676809,364.9062738324857,512000,-7556.758,863.6599190970838,12
13,0.0,-43.125913416076614,-65.34700187820889,20.393970306999666,10,-43.12591341607662,613375.0,0.0,nan,0.0,10,-21.48672570076226,-5.3752365,0.0,12005.598,-21.48672570076226,-43.12591341607662,-65.34700187820889,-43.125913416076614,536000,-3953.62,20.393970306999666,13
14,0.1,-33.09773736145289,-45.03939445876697,10.782719184740815,10,-33.097737361452886,581244.56,0.0,nan,0.0,10,-16.445730509398516,-6.497659,0.1,7712.094,-16.445730509398516,-33.097737361452886,-45.03939445876697,-33.09773736145289,560000,-5611.9043,10.782719184740815,14
15,0.0,-29.914584364151317,-59.2266593053466,12.668150100252543,10,-29.914584364151306,799348.75,0.0,nan,0.0,10,-16.9890124041335,-9.769741,0.0,3779.225,-16.9890124041335,-29.914584364151306,-59.2266593053466,-29.914584364151317,584000,-10547.212,12.668150100252543,15
16,0.0,-67.82558244099074,-68.75830649635384,1.0809368746705061,10,-67.82558244099076,819518.2,0.0,nan,0.0,10,-65.13596973235086,-8.819616,0.0,2410.9421,-65.13596973235086,-67.82558244099076,-68.75830649635384,-67.82558244099074,608000,-13052.036,1.0809368746705061,16
17,0.0,-64.07837162791942,-71.54933130613112,14.138543874310042,10,-64.07837162791944,1076004.9,0.0,nan,0.0,10,-22.84206757027514,-10.520414,0.0,381.0733,-22.84206757027514,-64.07837162791944,-71.54933130613112,-64.07837162791942,632000,-13337.101,14.138543874310042,17
18,0.0,-72.2769496824711,-91.32425460162106,9.26897294585613,10,-72.27694968247111,2186276.8,0.0,nan,0.0,10,-66.78531213100291,-14.367061,0.0,255.2744,-66.78531213100291,-72.27694968247111,-91.32425460162106,-72.2769496824711,656000,-8530.971,9.26897294585613,18
19,0.0,-72.22736033326782,-91.38696486299757,20.37698390406477,10,-72.22736033326785,736263.0,0.0,nan,0.0,10,-26.126255327590652,-6.512069,0.0,3813.2517,-26.126255327590652,-72.22736033326785,-91.38696486299757,-72.22736033326782,680000,-6239.723,20.37698390406477,19
20,0.0,-89.18896114233802,-94.55399610076573,8.845256686959578,10,-89.18896114233803,1067290.1,0.0,nan,0.0,10,-64.24315895738388,-6.7878904,0.0,609.8422,-64.24315895738388,-89.18896114233803,-94.55399610076573,-89.18896114233802,704000,-8925.458,8.845256686959578,20
21,0.0,-80.17886867750437,-93.8697468038917,21.725406601690963,10,-80.17886867750437,1324309.0,0.0,nan,0.0,10,-21.664674704476116,-9.016203,0.0,228.96274,-21.664674704476116,-80.17886867750437,-93.8697468038917,-80.17886867750437,728000,-10172.992,21.725406601690963,21
22,0.0,-72.80624685878722,-76.99699339036549,2.767328571955906,10,-72.80624685878722,1934974.2,0.0,nan,0.0,10,-69.1614699468846,-10.855826,0.0,1456.1147,-69.1614699468846,-72.80624685878722,-76.99699339036549,-72.80624685878722,752000,-7253.905,2.767328571955906,22
23,0.0,-69.37221993308152,-74.05236352471233,1.6713896753391169,10,-69.37221993308152,4161921.0,0.0,nan,0.0,10,-67.97353173713333,-10.566451,0.0,433.3647,-67.97353173713333,-69.37221993308152,-74.05236352471233,-69.37221993308152,776000,-10157.138,1.6713896753391169,23
24,0.0,-63.781640739066916,-69.91995289935102,8.149775666896295,10,-63.78164073906693,6555327.5,0.0,nan,0.0,10,-48.39254722639116,-14.010633,0.0,1510.4976,-48.39254722639116,-63.78164073906693,-69.91995289935102,-63.781640739066916,800000,-15733.674,8.149775666896295,24
25,0.0,-64.86557581525378,-119.2788711336606,21.07174482572982,10,-64.86557581525376,7654943.5,0.0,nan,0.0,10,-46.23734431933693,-17.932554,0.0,1226.2798,-46.23734431933693,-64.86557581525376,-119.2788711336606,-64.86557581525378,824000,-19835.04,21.07174482572982,25
26,0.1,-44.969334623951944,-89.97874319185094,17.992532409782147,10,-44.96933462395193,9397004.0,0.0,nan,0.0,10,-22.35796694938917,-20.243216,0.1,1595.0764,-22.35796694938917,-44.96933462395193,-89.97874319185094,-44.969334623951944,848000,-21818.65,17.992532409782147,26
27,0.0,-62.02386309985219,-99.74385636951787,31.835741393213294,10,-62.0238630998522,9068095.0,0.0,nan,0.0,10,-13.13912351755511,-18.508297,0.0,1241.1134,-13.13912351755511,-62.0238630998522,-99.74385636951787,-62.02386309985219,872000,-18707.662,31.835741393213294,27
28,0.0,529.2785463049086,-97.58455488973254,980.4327665587336,10,529.2785463049086,4571613.0,0.0,nan,0.0,10,2976.0318635172885,-4.132449,0.0,21286.043,2976.0318635172885,529.2785463049086,-97.58455488973254,529.2785463049086,896000,-1947.4042,980.4327665587336,28
29,0.0,-55.79694603462908,-90.19383130140076,31.050903229181827,10,-55.79694603462908,1141524.2,0.0,nan,0.0,10,-15.38619867311099,1.0292857,0.0,10873.178,-15.38619867311099,-55.79694603462908,-90.19383130140076,-55.79694603462908,920000,3675.597,31.050903229181827,29
30,0.0,-20.6901693805012,-27.024437891255207,3.2011483074399325,10,-20.6901693805012,691846.0,0.0,nan,0.0,10,-17.732922017545018,2.5050282,0.0,10483.731,-17.732922017545018,-20.6901693805012,-27.024437891255207,-20.6901693805012,944000,3380.8396,3.2011483074399325,30
31,0.0,-89.96707359894674,-100.3787799610251,6.629116365267864,10,-89.96707359894673,124786.984,0.0,nan,0.0,10,-76.81744937850996,2.0108182,0.0,8693.951,-76.81744937850996,-89.96707359894673,-100.3787799610251,-89.96707359894674,968000,5821.9873,6.629116365267864,31
32,0.0,-31.670452549604192,-41.313174282562045,9.11304661759527,10,-31.670452549604192,109967.664,0.0,nan,0.0,10,-13.006265009683071,3.0956151,0.0,5830.657,-13.006265009683071,-31.670452549604192,-41.313174282562045,-31.670452549604192,992000,8646.151,9.11304661759527,32
33,0.0,500.48277238051,-82.5040901309369,1159.7517079879904,10,500.48277238051,64930.8,0.0,nan,0.0,10,3317.1021519241967,3.5928514,0.0,1755.4468,3317.1021519241967,500.48277238051,-82.5040901309369,500.48277238051,1016000,2129.179,1159.7517079879904,33
34,0.0,-68.91603053469699,-75.10731726454128,6.276089610589794,10,-68.916030534697,74371.03,0.0,nan,0.0,10,-51.76652162782911,3.2943614,0.0,3460.344,-51.76652162782911,-68.916030534697,-75.10731726454128,-68.91603053469699,1040000,1211.4344,6.276089610589794,34
35,0.0,-94.3640311065282,-98.25461050008944,3.6746010657954313,10,-94.36403110652815,58552.625,0.0,nan,0.0,10,-87.81788278090744,1.5217954,0.0,1056.811,-87.81788278090744,-94.36403110652815,-98.25461050008944,-94.3640311065282,1064000,748.2681,3.6746010657954313,35
36,0.0,-43.237550939819634,-94.75055929706137,20.58447993602275,10,-43.23755093981964,103742.15,0.0,nan,0.0,10,-16.143887037322884,0.78060335,0.0,1160.305,-16.143887037322884,-43.23755093981964,-94.75055929706137,-43.237550939819634,1088000,2288.7085,20.58447993602275,36
37,0.0,-55.57990476659559,-72.94978593944901,20.305204546463003,10,-55.57990476659559,223442.05,0.0,nan,0.0,10,-14.249751664811654,0.5880505,0.0,2141.242,-14.249751664811654,-55.57990476659559,-72.94978593944901,-55.57990476659559,1112000,904.92285,20.305204546463003,37
38,0.0,-25.765952050458463,-59.762493035083466,33.44830112226944,10,-25.76595205045847,129336.516,0.0,nan,0.0,10,60.78823105205928,2.2715507,0.0,1978.4601,60.78823105205928,-25.76595205045847,-59.762493035083466,-25.765952050458463,1136000,2726.0535,33.44830112226944,38
39,0.0,1301.5107133783663,-23.107504926936834,1616.39618834184,10,1301.5107133783663,345372.2,0.0,nan,0.0,10,3350.773274557413,-2.882596,0.0,1525.56,3350.773274557413,1301.5107133783663,-23.107504926936834,1301.5107133783663,1160000,1811.0123,1616.39618834184,39
40,0.0,-46.1609610277565,-68.01848310637656,16.753651215872516,10,-46.16096102775651,520232.22,0.0,nan,0.0,10,-21.362774121544366,-2.862827,0.0,1301.1898,-21.362774121544366,-46.16096102775651,-68.01848310637656,-46.1609610277565,1184000,-606.5792,16.753651215872516,40
41,0.0,-74.23180282416108,-90.9391320087299,12.761002007598401,10,-74.23180282416106,548732.56,0.0,nan,0.0,10,-46.57124847232717,-5.1865973,0.0,2047.699,-46.57124847232717,-74.23180282416106,-90.9391320087299,-74.23180282416108,1208000,-1980.6378,12.761002007598401,41
42,0.0,-89.637525666573,-106.38818147948689,9.677963478670996,10,-89.63752566657301,831274.06,0.0,nan,0.0,10,-74.90337756913488,-8.213975,0.0,2731.6655,-74.90337756913488,-89.63752566657301,-106.38818147948689,-89.637525666573,1232000,-3857.2812,9.677963478670996,42
43,0.0,-65.93012313688,-127.80512131829163,53.333107977470725,10,-65.93012313687998,987943.56,0.0,nan,0.0,10,59.02664563961885,-8.195555,0.0,1800.568,59.02664563961885,-65.93012313687998,-127.80512131829163,-65.93012313688,1256000,-4851.695,53.333107977470725,43
44,0.1,689.5681669287447,-77.03174641369019,1701.1772194923547,10,689.5681669287447,1829362.5,0.0,nan,0.0,10,5594.371648532258,-12.624279,0.1,1415.3275,5594.371648532258,689.5681669287447,-77.03174641369019,689.5681669287447,1280000,-9352.418,1701.1772194923547,44
45,0.1,438.62713683250996,-84.34463046008928,1072.5342311694715,10,438.6271368325097,2901001.0,0.0,nan,0.0,10,3397.4160004358187,-16.972383,0.1,674.8818,3397.4160004358187,438.6271368325097,-84.34463046008928,438.62713683250996,1304000,-15393.318,1072.5342311694715,45
46,0.1,23.267795080560603,-89.50339512825872,259.10792255048125,10,23.267795080560497,4028538.2,0.0,nan,0.0,10,798.2544522361143,-18.454813,0.1,793.51355,798.2544522361143,23.267795080560497,-89.50339512825872,23.267795080560603,1328000,-21042.66,259.10792255048125,46
47,0.0,-43.902124778144604,-97.56175581643518,97.00858836398184,10,-43.902124778144646,3705901.0,0.0,nan,0.0,10,242.23588668242388,-14.830602,0.0,1871.3424,242.23588668242388,-43.902124778144646,-97.56175581643518,-43.902124778144604,1352000,-18496.527,97.00858836398184,47
48,0.0,-84.5101313623398,-106.33581012417915,22.327674120218102,10,-84.5101313623398,3700813.8,0.0,nan,0.0,10,-34.556679902860836,-12.5631275,0.0,1946.3395,-34.556679902860836,-84.5101313623398,-106.33581012417915,-84.5101313623398,1376000,-17444.18,22.327674120218102,48
49,0.0,233.26942457607507,-87.18011282049096,859.1100044764207,10,233.26942457607515,3362913.2,0.0,nan,0.0,10,2807.8671006132313,-8.922287,0.0,3479.6309,2807.8671006132313,233.26942457607515,-87.18011282049096,233.26942457607507,1400000,-12528.136,859.1100044764207,49
50,0.0,-96.20378969299274,-118.53300993942807,14.205885594718339,10,-96.20378969299277,536616.25,0.0,nan,0.0,10,-65.43605149816929,0.66042227,0.0,3242.2078,-65.43605149816929,-96.20378969299277,-118.53300993942807,-96.20378969299274,1424000,111.26583,14.205885594718339,50
51,0.0,-61.36689916099449,-80.33336327359234,22.819199828844013,10,-61.36689916099448,164867.33,0.0,nan,0.0,10,-12.28796112870487,3.8915787,0.0,2254.2925,-12.28796112870487,-61.36689916099448,-80.33336327359234,-61.36689916099449,1448000,446.55063,22.819199828844013,51
52,0.0,-84.98305072083056,-113.26859921991634,26.84503829470401,10,-84.98305072083058,97036.4,0.0,nan,0.0,10,-14.603812433892964,2.181104,0.0,1600.01,-14.603812433892964,-84.98305072083058,-113.26859921991634,-84.98305072083056,1472000,391.634,26.84503829470401,52
53,0.0,600.3582810581108,-94.65796806143439,1362.62808980694,10,600.3582810581105,121387.34,0.0,nan,0.0,10,3328.0905580793774,0.28916582,0.0,2881.182,3328.0905580793774,600.3582810581105,-94.65796806143439,600.3582810581108,1496000,-66.20986,1362.62808980694,53
54,0.0,-111.94614234545023,-122.36417667431769,7.3365656479300885,10,-111.94614234545024,103842.87,0.0,nan,0.0,10,-101.14492327786961,-0.053699464,0.0,3494.7766,-101.14492327786961,-111.94614234545024,-122.36417667431769,-111.94614234545023,1520000,1102.2894,7.3365656479300885,54
55,0.0,-58.71699665668026,-70.57595467817366,15.774731777162058,10,-58.71699665668024,95551.3,0.0,nan,0.0,10,-20.20488294888396,1.92478,0.0,3033.7432,-20.20488294888396,-58.71699665668024,-70.57595467817366,-58.71699665668026,1544000,1889.2635,15.774731777162058,55
56,0.0,-85.88294894713076,-115.23384711499517,21.151365067972158,10,-85.88294894713076,136361.62,0.0,nan,0.0,10,-55.405278168140455,1.5855906,0.0,6171.4893,-55.405278168140455,-85.88294894713076,-115.23384711499517,-85.88294894713076,1568000,1284.1536,21.151365067972158,56
57,0.0,-36.45063000164273,-52.337746596242724,10.512436466315584,10,-36.45063000164272,310455.44,0.0,nan,0.0,10,-12.016545565499706,0.11007431,0.0,8366.59,-12.016545565499706,-36.45063000164272,-52.337746596242724,-36.45063000164273,1592000,2179.5642,10.512436466315584,57
58,0.0,99.64545990200585,-75.24932431957308,451.10356837174913,10,99.6454599020058,501874.1,0.0,nan,0.0,10,1451.984602720887,0.6460515,0.0,8275.681,1451.984602720887,99.6454599020058,-75.24932431957308,99.64545990200585,1616000,3275.803,451.10356837174913,58
59,0.0,-49.51461602091888,-65.93514512568473,8.614416133672751,10,-49.51461602091889,1583426.5,0.0,nan,0.0,10,-38.431481298993965,-4.100376,0.0,8861.985,-38.431481298993965,-49.51461602091889,-65.93514512568473,-49.51461602091888,1640000,-937.5946,8.614416133672751,59
60,0.0,-56.67715576063953,-69.00545414649012,11.898156424616857,10,-56.677155760639536,3526558.2,0.0,nan,0.0,10,-39.553102918434725,-16.316437,0.0,11893.065,-39.553102918434725,-56.677155760639536,-69.00545414649012,-56.67715576063953,1664000,-10024.886,11.898156424616857,60
61,0.1,87.14501511907747,-39.92264757628211,363.0314458983247,10,87.1450151190775,3820092.0,0.0,nan,0.0,10,1176.1962060705773,-15.379268,0.1,10363.196,1176.1962060705773,87.1450151190775,-39.92264757628211,87.14501511907747,1688000,-12571.182,363.0314458983247,61
62,0.0,1186.4905701660264,-87.37469709306869,1523.6823567498946,10,1186.490570166026,3456189.8,0.0,nan,0.0,10,3330.3010916909234,-9.534227,0.0,11935.638,3330.3010916909234,1186.490570166026,-87.37469709306869,1186.4905701660264,1712000,-10089.561,1523.6823567498946,62
63,0.1,-0.528546148083484,-111.38140086206336,196.82555079513435,10,-0.5285461480832879,3550487.0,0.0,nan,0.0,10,583.4193833645675,-7.8675847,0.1,10240.984,583.4193833645675,-0.5285461480832879,-111.38140086206336,-0.528546148083484,1736000,-8974.796,196.82555079513435,63
64,0.1,-44.479785032370174,-103.58405947953665,49.14974328544025,10,-44.47978503237017,3969702.5,0.0,nan,0.0,10,77.62712563293937,-8.595248,0.1,6835.371,77.62712563293937,-44.47978503237017,-103.58405947953665,-44.479785032370174,1760000,-11093.418,49.14974328544025,64
65,0.1,-49.284632065316636,-67.66353879923422,15.662773536124456,10,-49.284632065316636,2402969.5,0.0,nan,0.0,10,-17.164300586043186,-3.331353,0.1,15512.26,-17.164300586043186,-49.284632065316636,-67.66353879923422,-49.284632065316636,1784000,-5102.2173,15.662773536124456,65
66,0.0,-51.350281366032775,-71.72133439338262,19.238865219284676,10,-51.350281366032775,3250172.0,0.0,nan,0.0,10,-16.27543934814992,-9.669955,0.0,50824.887,-16.27543934814992,-51.350281366032775,-71.72133439338262,-51.350281366032775,1808000,-8417.208,19.238865219284676,66
67,0.0,-70.31045922961866,-100.0141237797014,25.8164074313953,10,-70.31045922961866,4678585.5,0.0,nan,0.0,10,-17.3602613967173,-6.648758,0.0,39912.2,-17.3602613967173,-70.31045922961866,-100.0141237797014,-70.31045922961866,1832000,-3647.7688,25.8164074313953,67
68,0.0,-49.61434423446481,-59.40505731732191,11.569310379269593,10,-49.6143442344648,2417162.5,0.0,nan,0.0,10,-18.181165766495283,-1.4663908,0.0,14730.352,-18.181165766495283,-49.6143442344648,-59.40505731732191,-49.61434423446481,1856000,1393.1512,11.569310379269593,68
69,0.0,85.13026129249326,-86.27620456337579,285.84211090799425,10,85.13026129249322,677965.44,0.0,nan,0.0,10,882.7861736329822,0.36370102,0.0,7313.775,882.7861736329822,85.13026129249322,-86.27620456337579,85.13026129249326,1880000,3609.5881,285.84211090799425,69
70,0.0,-112.57128043547473,-126.19591983559181,9.748159204427571,10,-112.57128043547485,350702.53,0.0,nan,0.0,10,-93.63910939543268,1.2645755,0.0,5330.876,-93.63910939543268,-112.57128043547485,-126.19591983559181,-112.57128043547473,1904000,4205.389,9.748159204427571,70
71,0.0,-103.1690116444958,-125.31335078024703,12.8648269976824,10,-103.16901164449582,190527.97,0.0,nan,0.0,10,-85.26103673448584,-0.35141328,0.0,5690.5483,-85.26103673448584,-103.16901164449582,-125.31335078024703,-103.1690116444958,1928000,2757.2444,12.8648269976824,71
72,0.0,-59.51368398479563,-93.36485228517145,26.885466270929673,10,-59.513683984795605,207733.31,0.0,nan,0.0,10,-17.250404691798877,0.52722013,0.0,4266.93,-17.250404691798877,-59.513683984795605,-93.36485228517145,-59.51368398479563,1952000,1741.2378,26.885466270929673,72
73,0.0,-95.23800461940758,-125.42107800768053,21.792867715850885,10,-95.23800461940759,548000.2,0.0,nan,0.0,10,-72.21572007816555,2.1895516,0.0,5864.518,-72.21572007816555,-95.23800461940759,-125.42107800768053,-95.23800461940758,1976000,4083.6096,21.792867715850885,73
