MetaTest/Average/Iteration,MetaTest/Average/SuccessRate,MetaTest/Average/StdReturn,MetaTrain/Average/QfLoss,MetaTest/drawer-open-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/drawer-open-v1/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/drawer-open-v1/MinReturn,MetaTest/drawer-open-v1/AverageReturn,MetaTest/Average/NumTrajs,TotalEnvSteps,MetaTest/Average/MinReturn,MetaTest/drawer-open-v1/Iteration,MetaTest/drawer-open-v1/NumTrajs,MetaTest/Average/AverageReturn,MetaTrain/Average/Alpha,MetaTrain/Average/PolicyLoss,MetaTrain/Average/AlphaLoss,MetaTest/drawer-open-v1/StdReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/drawer-open-v1/SuccessRate,MetaTest/drawer-open-v1/MaxReturn
0,0.0,5.562980893981591,19957.807,0.0,-27.379154518975845,-21.223762415536513,-27.379154518975845,0.0,-42.04343807283851,-27.379154518975838,10,224000,-42.04343807283851,0,10,-27.379154518975838,nan,-118.68242,4.682347,5.562980893981591,10.826759,0.0,-21.223762415536513
1,0.0,2.7578256963200922,23149.28,0.0,-59.97716673269885,-55.0180283848023,-59.97716673269885,0.0,-63.79733499873445,-59.977166732698834,10,248000,-63.79733499873445,1,10,-59.977166732698834,nan,-495.7469,2.054352,2.7578256963200922,32.721703,0.0,-55.0180283848023
2,0.0,323.9651609252749,29765.176,0.0,100.56300061868299,1070.9940854202036,100.56300061868299,0.0,-28.475725275898828,100.56300061868292,10,272000,-28.475725275898828,2,10,100.56300061868292,nan,-1090.5382,0.6003984,323.9651609252749,61.52187,0.0,1070.9940854202036
3,0.0,1118.7063792555564,73147.62,0.0,871.23008337375,3262.4595407913994,871.23008337375,0.0,-25.44076965207786,871.23008337375,10,296000,-25.44076965207786,3,10,871.23008337375,nan,-2154.2793,-3.4672906,1118.7063792555564,154.03188,0.0,3262.4595407913994
4,0.0,1218.8041861731558,151077.28,0.0,1048.5720179177038,3651.6762405179456,1048.5720179177038,0.0,-20.189656491508707,1048.5720179177038,10,320000,-20.189656491508707,4,10,1048.5720179177038,nan,-3725.4548,-6.790963,1218.8041861731558,81.0042,0.0,3651.6762405179456
5,0.0,1563.621149035481,200866.69,0.0,1851.5851588972096,3364.916901525102,1851.5851588972096,0.0,-15.33615285496681,1851.5851588972087,10,344000,-15.33615285496681,5,10,1851.5851588972087,nan,-5479.0063,-8.096086,1563.621149035481,114.90717,0.0,3364.916901525102
6,0.0,1663.6271510164822,196137.12,0.0,1842.4207959689497,4119.291638149411,1842.4207959689497,0.0,-17.61044308277257,1842.4207959689502,10,368000,-17.61044308277257,6,10,1842.4207959689502,nan,-6996.5654,-7.9782434,1663.6271510164822,108.27273,0.0,4119.291638149411
7,0.0,1537.5979818962546,195253.4,0.0,1080.4154262182576,3403.286549893816,1080.4154262182576,0.0,-87.21759739939705,1080.4154262182576,10,392000,-87.21759739939705,7,10,1080.4154262182576,nan,-7846.594,-6.9771523,1537.5979818962546,260.78683,0.0,3403.286549893816
8,0.1,38082.31556162526,217916.12,0.0,14043.405110560354,128221.70644735551,14043.405110560354,0.0,-52.67913472040733,14043.405110560363,10,416000,-52.67913472040733,8,10,14043.405110560363,nan,-8768.089,-6.9505644,38082.31556162526,171.18874,0.1,128221.70644735551
9,0.0,2040.1073025238948,245711.64,0.0,2324.9352916381617,5630.43592668097,2324.9352916381617,0.0,-67.01684955112688,2324.9352916381617,10,440000,-67.01684955112688,9,10,2324.9352916381617,nan,-9259.456,-7.205723,2040.1073025238948,242.20541,0.0,5630.43592668097
10,0.0,1590.2951379589613,369997.2,0.0,1747.022597128779,3430.887493011962,1747.022597128779,0.0,-71.83088527242575,1747.0225971287794,10,464000,-71.83088527242575,10,10,1747.0225971287794,nan,-9977.795,-8.048152,1590.2951379589613,500.4879,0.0,3430.887493011962
11,0.0,1462.6441329043698,607357.56,0.0,1303.11443764353,3409.2812285316477,1303.11443764353,0.0,-104.51242770349485,1303.1144376435302,10,488000,-104.51242770349485,11,10,1303.1144376435302,nan,-10608.424,-7.8354893,1462.6441329043698,625.98315,0.0,3409.2812285316477
12,0.0,37.606043550618566,912679.3,0.0,-73.33784867094434,-18.172721112732326,-73.33784867094434,0.0,-122.5205587473757,-73.33784867094434,10,512000,-122.5205587473757,12,10,-73.33784867094434,nan,-11888.379,-7.7218633,37.606043550618566,460.87247,0.0,-18.172721112732326
13,0.0,898.5103560893126,954166.56,0.0,491.9268348449159,2700.4768891287636,491.9268348449159,0.0,-93.59030818781852,491.9268348449156,10,536000,-93.59030818781852,13,10,491.9268348449156,nan,-11445.759,-7.2112803,898.5103560893126,559.98315,0.0,2700.4768891287636
14,0.0,23.763851848147397,1424811.6,0.0,-45.20112146728981,-14.927194942673985,-45.20112146728981,0.0,-69.35678183339795,-45.201121467289795,10,560000,-69.35678183339795,14,10,-45.201121467289795,nan,-11272.074,-8.7744465,23.763851848147397,1509.4752,0.0,-14.927194942673985
15,0.0,992.0619499322489,1399220.0,0.0,405.7758869522374,3309.348110753911,405.7758869522374,0.0,-69.06979342802678,405.77588695223733,10,584000,-69.06979342802678,15,10,405.77588695223733,nan,-8274.05,-12.45841,992.0619499322489,4892.0747,0.0,3309.348110753911
16,0.0,1488.4102619644282,1650063.9,0.0,2234.6208331883818,3365.2063910420266,2234.6208331883818,0.0,-21.59166071964162,2234.620833188381,10,608000,-21.59166071964162,16,10,2234.620833188381,nan,-6842.5693,-13.948085,1488.4102619644282,9963.218,0.0,3365.2063910420266
17,0.0,837.0062427731947,543595.0,0.0,227.8513945193567,2737.853762673739,227.8513945193567,0.0,-70.1082250454787,227.85139451935675,10,632000,-70.1082250454787,17,10,227.85139451935675,nan,-7147.643,-7.563032,837.0062427731947,4251.648,0.0,2737.853762673739
18,0.0,1497.2820302419857,855667.7,0.0,887.594861947095,3380.733862821929,887.594861947095,0.0,-132.97228959812153,887.5948619470948,10,656000,-132.97228959812153,18,10,887.5948619470948,nan,-10506.238,-7.2875085,1497.2820302419857,1407.5789,0.0,3380.733862821929
19,0.0,1445.683168350163,1135009.1,0.0,870.2023006003737,3114.486900171454,870.2023006003737,0.0,-94.9801757754934,870.2023006003737,10,680000,-94.9801757754934,19,10,870.2023006003737,nan,-8691.506,-7.467116,1445.683168350163,1749.938,0.0,3114.486900171454
20,0.0,1922.4841128569622,275979.78,0.0,2347.8333833042225,6024.764542845136,2347.8333833042225,0.0,-16.80883266072636,2347.833383304223,10,704000,-16.80883266072636,20,10,2347.833383304223,nan,-3377.48,-8.400325,1922.4841128569622,1313.0848,0.0,6024.764542845136
21,0.0,1805.8559300083339,585059.06,0.0,1694.2793870004818,4167.727388609194,1694.2793870004818,0.0,-126.82958938255673,1694.2793870004812,10,728000,-126.82958938255673,21,10,1694.2793870004812,nan,-6255.162,-4.5110254,1805.8559300083339,638.5721,0.0,4167.727388609194
22,0.0,2059.7585012425006,947290.0,0.0,1192.0744517091014,6059.203783248819,1192.0744517091014,0.0,-108.15219545899518,1192.0744517091011,10,752000,-108.15219545899518,22,10,1192.0744517091011,nan,-4758.752,-4.2218575,2059.7585012425006,1509.011,0.0,6059.203783248819
23,0.0,30.587908695500648,2220522.2,0.0,-50.10631046523305,-12.605166861707929,-50.10631046523305,0.0,-101.4615641061502,-50.10631046523304,10,776000,-101.4615641061502,23,10,-50.10631046523304,nan,-4947.26,-4.925035,30.587908695500648,2296.3018,0.0,-12.605166861707929
24,0.0,25.109603380843627,903856.9,0.0,-44.270809443201195,-14.360691227843809,-44.270809443201195,0.0,-89.83462304443366,-44.2708094432012,10,800000,-89.83462304443366,24,10,-44.2708094432012,nan,-4202.039,-3.7792463,25.109603380843627,1928.5007,0.0,-14.360691227843809
25,0.0,1241.6236005212584,1138508.5,0.0,801.8223468128226,2902.6259858539465,801.8223468128226,0.0,-95.88781173437266,801.8223468128227,10,824000,-95.88781173437266,25,10,801.8223468128227,nan,-3168.36,-2.8142328,1241.6236005212584,3678.0105,0.0,2902.6259858539465
26,0.0,15.984197234960885,406637.56,0.0,-90.99751915171237,-71.72147106588744,-90.99751915171237,0.0,-114.16695142352651,-90.99751915171238,10,848000,-114.16695142352651,26,10,-90.99751915171238,nan,-1114.5956,-1.5856427,15.984197234960885,3812.1106,0.0,-71.72147106588744
27,0.0,1683.0391889341297,264862.94,0.0,2056.441924032667,3799.8161724541337,2056.441924032667,0.0,-17.22526079917965,2056.4419240326674,10,872000,-17.22526079917965,27,10,2056.4419240326674,nan,-758.77185,-1.4578971,1683.0391889341297,5467.827,0.0,3799.8161724541337
28,0.0,956.7508233208363,57393.42,0.0,396.5707252662478,3187.5027361223915,396.5707252662478,0.0,-20.0910187085364,396.5707252662479,10,896000,-20.0910187085364,28,10,396.5707252662479,nan,-671.57306,-0.4324712,956.7508233208363,2381.7415,0.0,3187.5027361223915
29,0.0,1145.0656039716546,89082.86,0.0,686.2686588639787,3422.76283786574,686.2686588639787,0.0,-78.40782053308834,686.2686588639785,10,920000,-78.40782053308834,29,10,686.2686588639785,nan,-1653.4026,-1.9073026,1145.0656039716546,2748.425,0.0,3422.76283786574
30,0.0,1738.2561793410996,132049.23,0.0,1387.1107816822575,3797.7118406586715,1387.1107816822575,0.0,-41.71453487284569,1387.110781682258,10,944000,-41.71453487284569,30,10,1387.110781682258,nan,-2812.036,-2.5226822,1738.2561793410996,2598.3435,0.0,3797.7118406586715
31,0.0,18.97150507023198,1085658.2,0.0,-55.38841454778443,-20.13672118995647,-55.38841454778443,0.0,-74.783852518642,-55.38841454778443,10,968000,-74.783852518642,31,10,-55.38841454778443,nan,-6068.044,-3.3419774,18.97150507023198,7168.67,0.0,-20.13672118995647
32,0.0,21.364628546833078,4241336.0,0.0,-30.167867174700064,-16.188207497964356,-30.167867174700064,0.0,-88.55887884681201,-30.167867174700056,10,992000,-88.55887884681201,32,10,-30.167867174700056,nan,-12030.172,-7.8706074,21.364628546833078,4486.1304,0.0,-16.188207497964356
33,0.0,14.33936832217267,8317908.0,0.0,-44.66585969543549,-16.74798075417656,-44.66585969543549,0.0,-63.21362000696185,-44.665859695435486,10,1016000,-63.21362000696185,33,10,-44.665859695435486,nan,-10181.948,-7.0832095,14.33936832217267,9813.132,0.0,-16.74798075417656
34,0.0,17.907383875338446,54051300.0,0.0,-42.628443508501206,-19.700961239553738,-42.628443508501206,0.0,-78.04546308787769,-42.62844350850122,10,1040000,-78.04546308787769,34,10,-42.62844350850122,nan,-60737.223,-22.195005,17.907383875338446,9176.448,0.0,-19.700961239553738
35,0.0,12.568614967845448,74252730.0,0.0,-32.09193411186136,-14.877256707794984,-32.09193411186136,0.0,-50.30337235441025,-32.091934111861356,10,1064000,-50.30337235441025,35,10,-32.091934111861356,nan,-77480.19,-20.892332,12.568614967845448,17869.746,0.0,-14.877256707794984
36,0.0,25.450619717596073,87701580.0,0.0,-49.048950304815506,-20.6672161107898,-49.048950304815506,0.0,-99.73600318632326,-49.0489503048155,10,1088000,-99.73600318632326,36,10,-49.0489503048155,nan,-86602.16,-18.541292,25.450619717596073,13177.308,0.0,-20.6672161107898
