TotalEnvSteps,MetaTest/Average/NumTrajs,MetaTest/hammer-v1/Iteration,MetaTest/hammer-v1/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/hammer-v1/NumTrajs,MetaTest/Average/MinReturn,MetaTest/hammer-v1/StdReturn,MetaTrain/Average/Alpha,MetaTest/hammer-v1/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/hammer-v1/MinReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/SuccessRate,MetaTest/hammer-v1/MaxReturn,MetaTrain/Average/QfLoss,MetaTest/hammer-v1/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/hammer-v1/TerminationRate,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/PolicyLoss
224000,10,0,-20.124284621226902,3.635969059843114,10,-24.826753430582826,3.635969059843114,nan,0.0,-20.1242846212269,-20.124284621226902,0,-24.826753430582826,6.731292,0.0,-15.68041558760431,1.4766978,-20.1242846212269,-15.68041558760431,0.0,0.0,8.788144,-5.8049016
248000,10,1,-20.969738230557176,3.333720712977978,10,-25.07643161682285,3.333720712977978,nan,0.0,-20.969738230557176,-20.969738230557176,1,-25.07643161682285,6.7204723,0.0,-14.068167462787764,2.2678008,-20.969738230557176,-14.068167462787764,0.0,0.0,8.46318,-7.780593
272000,10,2,-15.364741477410217,5.3786905724151275,10,-25.155352751418743,5.3786905724151275,nan,0.0,-15.364741477410215,-15.364741477410217,2,-25.155352751418743,6.703634,0.0,-9.042410972420601,3.7214944,-15.364741477410215,-9.042410972420601,0.0,0.0,8.538851,-14.17219
296000,10,3,-12.914265847067245,2.9693460819498174,10,-18.80723234719065,2.9693460819498174,nan,0.0,-12.914265847067242,-12.914265847067245,3,-18.80723234719065,6.6823463,0.0,-8.547790973091312,5.6894126,-12.914265847067242,-8.547790973091312,0.0,0.0,8.533773,-20.232481
320000,10,4,-11.125229153886087,2.584006499123527,10,-15.926283945351297,2.584006499123527,nan,0.0,-11.125229153886089,-11.125229153886087,4,-15.926283945351297,6.65696,0.0,-6.508567568328643,7.821934,-11.125229153886089,-6.508567568328643,0.0,0.0,7.636349,-25.898064
344000,10,5,-9.29378128897432,1.7083399407752005,10,-13.137372213026572,1.7083399407752005,nan,0.0,-9.293781288974323,-9.29378128897432,5,-13.137372213026572,6.626499,0.0,-6.772995885156028,9.922781,-9.293781288974323,-6.772995885156028,0.0,0.0,8.151309,-32.330673
368000,10,6,-8.220903334004506,1.2375706036083374,10,-10.276009036962026,1.2375706036083374,nan,0.0,-8.220903334004502,-8.220903334004506,6,-10.276009036962026,6.5899386,0.0,-6.475268601869212,12.205418,-8.220903334004502,-6.475268601869212,0.0,0.0,7.7001944,-38.549408
392000,10,7,-7.196632937187405,1.321375824820324,10,-9.398920886230162,1.321375824820324,nan,0.0,-7.196632937187405,-7.196632937187405,7,-9.398920886230162,6.55205,0.0,-4.96377795459656,15.516115,-7.196632937187405,-4.96377795459656,0.0,0.0,7.6332364,-47.059025
416000,10,8,-5.822949314282634,0.8480064146163484,10,-7.08432645168479,0.8480064146163484,nan,0.0,-5.822949314282634,-5.822949314282634,8,-7.08432645168479,6.5144176,0.0,-4.703710992510714,18.91399,-5.822949314282634,-4.703710992510714,0.0,0.0,7.8453326,-54.669548
440000,10,9,-6.373923320169448,0.718693939054272,10,-7.424899991104941,0.718693939054272,nan,0.0,-6.37392332016945,-6.373923320169448,9,-7.424899991104941,6.4746237,0.0,-5.030617785008617,23.96796,-6.37392332016945,-5.030617785008617,0.0,0.0,7.7217274,-63.50461
464000,10,10,-7.3652300615854145,0.6420190351720373,10,-8.41121075208007,0.6420190351720373,nan,0.0,-7.365230061585416,-7.3652300615854145,10,-8.41121075208007,6.4435215,0.0,-6.5280372972763345,30.49368,-7.365230061585416,-6.5280372972763345,0.0,0.0,7.642703,-73.102036
488000,10,11,-7.45079434689787,0.7381200485905709,10,-9.410348998958762,0.7381200485905709,nan,0.0,-7.45079434689787,-7.45079434689787,11,-9.410348998958762,6.4184217,0.0,-6.58227160689154,45.817997,-7.45079434689787,-6.58227160689154,0.0,0.0,7.675799,-81.618065
512000,10,12,-6.388308804758571,0.8735427589997089,10,-7.467784899314099,0.8735427589997089,nan,0.0,-6.388308804758571,-6.388308804758571,12,-7.467784899314099,6.3733582,0.0,-4.850423580589097,99.34025,-6.388308804758571,-4.850423580589097,0.0,0.0,7.627563,-89.63034
536000,10,13,760.347498208077,2300.242926035981,10,-8.334617556486364,2300.242926035981,nan,0.0,760.347498208077,760.347498208077,13,-8.334617556486364,6.2218227,0.0,7661.074745803496,258.57104,760.347498208077,7661.074745803496,0.0,0.0,7.6248293,-99.22664
560000,10,14,-62.91021276431646,18.71664860448253,10,-100.39426506372843,18.71664860448253,nan,0.0,-62.910212764316476,-62.91021276431646,14,-100.39426506372843,2.7920928,0.0,-40.84443806063657,14207.456,-62.910212764316476,-40.84443806063657,0.0,0.0,9.514093,-368.9292
584000,10,15,598.950888247027,1836.6547801436857,10,-34.00975297135214,1836.6547801436857,nan,0.0,598.9508882470274,598.950888247027,15,-34.00975297135214,0.104702726,0.0,6108.860888054553,125579.805,598.9508882470274,6108.860888054553,0.0,0.0,11.973696,-1350.3137
608000,10,16,297.7887602605286,925.3273910615451,10,-25.125386687548616,925.3273910615451,nan,0.0,297.78876026052865,297.7887602605286,16,-25.125386687548616,-3.208735,0.0,3073.4493179550186,361206.12,297.78876026052865,3073.4493179550186,0.0,0.0,12.404858,-3159.2114
632000,10,17,4989.522481070545,10204.741987822646,10,-32.564310957325695,10204.741987822646,nan,0.0,4989.522481070545,4989.522481070545,17,-32.564310957325695,-7.8842363,0.0,29381.780402730856,839636.9,4989.522481070545,29381.780402730856,0.0,0.0,24.469732,-6703.455
656000,10,18,11249.349213398034,15903.629471071352,10,-33.47806313574962,15903.629471071352,nan,0.0,11249.349213398036,11249.349213398034,18,-33.47806313574962,-13.174511,0.0,41080.16809602543,1420513.8,11249.349213398036,41080.16809602543,0.0,0.0,41.540955,-14226.272
680000,10,19,-22.928843917972017,6.000611594509456,10,-37.29658096334166,6.000611594509456,nan,0.0,-22.928843917972024,-22.928843917972017,19,-37.29658096334166,-16.682442,0.0,-18.081844463926224,1286384.2,-22.928843917972024,-18.081844463926224,0.0,0.0,43.84578,-27459.438
704000,10,20,-23.056384023140026,7.3610269551823455,10,-38.33528009434063,7.3610269551823455,nan,0.0,-23.056384023140026,-23.056384023140026,20,-38.33528009434063,-15.638081,0.0,-16.45418360323789,910010.25,-23.056384023140026,-16.45418360323789,0.0,0.0,27.396044,-39099.55
728000,10,21,-28.849938605907802,7.122944589717924,10,-39.410888429509754,7.122944589717924,nan,0.0,-28.849938605907806,-28.849938605907802,21,-39.410888429509754,-14.702161,0.0,-16.536737339909344,1149556.5,-28.849938605907806,-16.536737339909344,0.0,0.0,25.781452,-43525.105
752000,10,22,4417.56930330485,13331.176539116346,10,-45.1975459084059,13331.176539116346,nan,0.0,4417.5693033048465,4417.56930330485,22,-45.1975459084059,-15.96237,0.0,44411.085561276166,1684081.6,4417.5693033048465,44411.085561276166,0.0,0.0,27.64868,-43530.945
776000,10,23,1115.3117410681625,3407.9387097085437,10,-36.618028766653815,3407.9387097085437,nan,0.0,1115.311741068163,1115.3117410681625,23,-36.618028766653815,-15.56854,0.0,11339.088152462657,2270790.0,1115.311741068163,11339.088152462657,0.0,0.0,22.261955,-46436.984
800000,10,24,-51.857214511833945,41.189091107050466,10,-125.20987805747411,41.189091107050466,nan,0.0,-51.857214511833945,-51.857214511833945,24,-125.20987805747411,-15.514459,0.0,-15.79579251081336,2372509.5,-51.857214511833945,-15.79579251081336,0.0,0.0,108.541435,-49521.65
824000,10,25,524.6462801529163,1640.4332779963459,10,-55.3224434369623,1640.4332779963459,nan,0.0,524.6462801529168,524.6462801529163,25,-55.3224434369623,-15.941848,0.0,5445.647256339209,2564596.8,524.6462801529168,5445.647256339209,0.0,0.0,145.66605,-47445.785
848000,10,26,3737.3347670460253,11300.741860143518,10,-63.1917241785566,11300.741860143518,nan,0.0,3737.3347670460253,3737.3347670460253,26,-63.1917241785566,-15.74249,0.0,37639.53307136449,3206333.2,3737.3347670460253,37639.53307136449,0.0,0.0,43.60122,-61330.938
872000,10,27,2050.422295020835,6248.2517697345365,10,-51.57442617582037,6248.2517697345365,nan,0.0,2050.4222950208373,2050.422295020835,27,-51.57442617582037,-15.547148,0.0,20795.128753100118,3604341.8,2050.4222950208373,20795.128753100118,0.0,0.0,24.064129,-65352.176
