MetaTest/Average/AverageReturn,MetaTrain/Average/PolicyLoss,MetaTest/hammer-v1/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTest/hammer-v1/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/hammer-v1/TerminationRate,MetaTest/Average/StdReturn,MetaTest/Average/Iteration,MetaTest/Average/SuccessRate,MetaTest/hammer-v1/MaxReturn,MetaTrain/Average/QfLoss,MetaTest/Average/TerminationRate,MetaTest/hammer-v1/Iteration,MetaTest/Average/MaxReturn,MetaTest/Average/NumTrajs,MetaTrain/Average/AlphaLoss,MetaTest/hammer-v1/StdReturn,TotalEnvSteps,MetaTest/hammer-v1/AverageDiscountedReturn,MetaTest/hammer-v1/AverageReturn,MetaTest/Average/MinReturn,MetaTest/hammer-v1/SuccessRate,MetaTrain/Average/Alpha
-16.700655249787566,-8.167264,10,-16.700655249787566,-20.875366518848004,9.200709,0.0,1.7738354239622918,0,0.0,-14.745883146668794,2.1882617,0.0,0,-14.745883146668794,10,6.7302685,1.7738354239622918,224000,-16.700655249787566,-16.700655249787566,-20.875366518848004,0.0,nan
-11.375177763656088,-15.839676,10,-11.375177763656092,-16.20427829605396,8.811127,0.0,2.16047868123364,1,0.0,-9.300464196704025,3.8472662,0.0,1,-9.300464196704025,10,6.7193294,2.16047868123364,248000,-11.375177763656092,-11.375177763656088,-16.20427829605396,0.0,nan
-12.360005154115413,-23.862606,10,-12.360005154115415,-17.731848682160944,7.9996667,0.0,2.49182609400982,2,0.0,-9.635054842492396,4.9348025,0.0,2,-9.635054842492396,10,6.7022595,2.49182609400982,272000,-12.360005154115415,-12.360005154115413,-17.731848682160944,0.0,nan
-10.456279462384376,-32.58695,10,-10.456279462384376,-14.157155196227631,8.258285,0.0,1.8980328120038603,3,0.0,-8.488352953152454,6.4476385,0.0,3,-8.488352953152454,10,6.6797295,1.8980328120038603,296000,-10.456279462384376,-10.456279462384376,-14.157155196227631,0.0,nan
-8.762784686610972,-41.96386,10,-8.762784686610974,-9.556947260198783,8.1194515,0.0,0.7108379570840502,4,0.0,-7.027375454793533,8.400536,0.0,4,-7.027375454793533,10,6.65171,0.7108379570840502,320000,-8.762784686610974,-8.762784686610972,-9.556947260198783,0.0,nan
-6.311787808746187,-51.372776,10,-6.311787808746187,-8.988961384004606,7.7762547,0.0,1.376409690757482,5,0.0,-4.604510216279114,11.481112,0.0,5,-4.604510216279114,10,6.61922,1.376409690757482,344000,-6.311787808746187,-6.311787808746187,-8.988961384004606,0.0,nan
-8.404047417170487,-62.430603,10,-8.404047417170487,-9.732043455679106,7.94354,0.0,1.0837403130773053,6,0.0,-6.726985932755987,13.861313,0.0,6,-6.726985932755987,10,6.584251,1.0837403130773053,368000,-8.404047417170487,-8.404047417170487,-9.732043455679106,0.0,nan
-8.693785603374836,-72.413124,10,-8.693785603374835,-12.010363770098047,7.7174854,0.0,1.5725554803020694,7,0.0,-6.501266224621136,17.883354,0.0,7,-6.501266224621136,10,6.5423236,1.5725554803020694,392000,-8.693785603374835,-8.693785603374836,-12.010363770098047,0.0,nan
-7.674186448847083,-84.2965,10,-7.674186448847083,-10.85216183214903,7.7474914,0.0,1.5048849001004672,8,0.0,-5.824791467642679,23.870289,0.0,8,-5.824791467642679,10,6.498811,1.5048849001004672,416000,-7.674186448847083,-7.674186448847083,-10.85216183214903,0.0,nan
-8.29337810707014,-93.80208,10,-8.293378107070136,-9.940987143885227,7.716752,0.0,0.9028591100266204,9,0.0,-7.289989163526294,37.33226,0.0,9,-7.289989163526294,10,6.4589834,0.9028591100266204,440000,-8.293378107070136,-8.29337810707014,-9.940987143885227,0.0,nan
-10.54481690991977,-101.20829,10,-10.54481690991977,-12.14446614374066,7.633529,0.0,1.142107939702898,10,0.0,-8.780045852493082,71.11373,0.0,10,-8.780045852493082,10,6.4237237,1.142107939702898,464000,-10.54481690991977,-10.54481690991977,-12.14446614374066,0.0,nan
-8.011261804764487,-106.239716,10,-8.011261804764487,-10.048283413322677,7.6275196,0.0,1.4232402446999073,11,0.0,-5.421152946767594,120.20463,0.0,11,-5.421152946767594,10,6.4042025,1.4232402446999073,488000,-8.011261804764487,-8.011261804764487,-10.048283413322677,0.0,nan
-15.84980311378435,-111.11309,10,-15.849803113784356,-32.023775159456896,11.054457,0.0,5.843395654169513,12,0.0,-9.582278727048253,2279.192,0.0,12,-9.582278727048253,10,6.137263,5.843395654169513,512000,-15.849803113784356,-15.84980311378435,-32.023775159456896,0.0,nan
-64.56160294036152,-211.46124,10,-64.56160294036151,-113.28653172105369,92.95356,0.0,33.34332716620936,13,0.0,-20.794756176643602,16629.072,0.0,13,-20.794756176643602,10,4.7178826,33.34332716620936,536000,-64.56160294036151,-64.56160294036152,-113.28653172105369,0.0,nan
-119.48073816068809,-695.8942,10,-119.48073816068805,-125.51090914932094,43.26406,0.0,4.637121360642398,14,0.0,-110.03355906412338,87488.016,0.0,14,-110.03355906412338,10,2.324671,4.637121360642398,560000,-119.48073816068805,-119.48073816068809,-125.51090914932094,0.0,nan
-28.106405875271243,-1418.9542,10,-28.106405875271243,-53.35530608684498,69.96847,0.0,12.642807083493965,15,0.0,-13.035260910543606,254580.25,0.0,15,-13.035260910543606,10,-1.1481333,12.642807083493965,584000,-28.106405875271243,-28.106405875271243,-53.35530608684498,0.0,nan
549.8518436802837,-2633.5818,10,549.8518436802833,-102.6355567561148,181.43034,0.0,1818.5206008327605,16,0.0,6004.415876150867,676600.8,0.0,16,6004.415876150867,10,-2.4768798,1818.5206008327605,608000,549.8518436802833,549.8518436802837,-102.6355567561148,0.0,nan
-18.80775758875192,-7891.3877,10,-18.80775758875192,-56.985009858835454,157.26231,0.0,18.783835125258584,17,0.0,12.639200117354646,2554394.0,0.0,17,12.639200117354646,10,-7.0019717,18.783835125258584,632000,-18.80775758875192,-18.80775758875192,-56.985009858835454,0.0,nan
-28.794899931209038,-24678.736,10,-28.794899931209034,-40.979134679166556,60.541332,0.0,8.368653970955313,18,0.0,-17.096089367644563,4368937.0,0.0,18,-17.096089367644563,10,-14.319899,8.368653970955313,656000,-28.794899931209034,-28.794899931209038,-40.979134679166556,0.0,nan
-56.86108360036553,-79685.44,10,-56.86108360036553,-70.99493456918239,39.16955,0.0,5.4323597268849575,19,0.0,-49.710984318596815,2750892.5,0.0,19,-49.710984318596815,10,-22.03677,5.4323597268849575,680000,-56.86108360036553,-56.86108360036553,-70.99493456918239,0.0,nan
-43.639299923410654,-133294.77,10,-43.639299923410654,-52.977551293803955,17.6703,0.0,6.274379998268023,20,0.0,-31.60876791117148,1079090.0,0.0,20,-31.60876791117148,10,-22.354456,6.274379998268023,704000,-43.639299923410654,-43.639299923410654,-52.977551293803955,0.0,nan
-34.61976119280163,-117696.49,10,-34.61976119280162,-39.64848429358319,8.817562,0.0,3.2047879189761037,21,0.0,-29.005217045149394,571932.94,0.0,21,-29.005217045149394,10,-18.628012,3.2047879189761037,728000,-34.61976119280162,-34.61976119280163,-39.64848429358319,0.0,nan
-29.3894270532934,-83943.04,10,-29.3894270532934,-36.86546374977161,7.624351,0.0,5.324145667600796,22,0.0,-22.06591606587622,680747.9,0.0,22,-22.06591606587622,10,-14.564183,5.324145667600796,752000,-29.3894270532934,-29.3894270532934,-36.86546374977161,0.0,nan
-30.543749888643656,-59809.758,10,-30.543749888643656,-35.91279404049738,7.9412117,0.0,3.723845610084381,23,0.0,-24.997034667922478,1194746.5,0.0,23,-24.997034667922478,10,-12.337609,3.723845610084381,776000,-30.543749888643656,-30.543749888643656,-35.91279404049738,0.0,nan
-22.20449882386962,-44637.965,10,-22.204498823869613,-30.557801072864613,9.006047,0.0,5.045792970465118,24,0.0,-14.89240866108941,1895534.6,0.0,24,-14.89240866108941,10,-10.687824,5.045792970465118,800000,-22.204498823869613,-22.20449882386962,-30.557801072864613,0.0,nan
-24.10756348491555,-36959.03,10,-24.107563484915538,-36.25703930647873,8.476442,0.0,6.259560284302021,25,0.0,-12.160946967894583,2778647.5,0.0,25,-12.160946967894583,10,-11.559003,6.259560284302021,824000,-24.107563484915538,-24.10756348491555,-36.25703930647873,0.0,nan
-56.740045496972655,-22473.611,10,-56.74004549697266,-85.69510563427114,181.70688,0.0,27.41029518639967,26,0.0,-15.462968188039046,3423744.0,0.0,26,-15.462968188039046,10,-9.803614,27.41029518639967,848000,-56.74004549697266,-56.740045496972655,-85.69510563427114,0.0,nan
-23.17391274410158,-33242.758,10,-23.173912744101578,-28.66466667256598,36.396965,0.0,4.874398766779026,27,0.0,-11.21889584910003,9639301.0,0.0,27,-11.21889584910003,10,-13.1211195,4.874398766779026,872000,-23.173912744101578,-23.17391274410158,-28.66466667256598,0.0,nan
-113.36383126744083,-8795.12,10,-113.36383126744086,-122.85031649570293,2271.3372,0.0,4.355930672699661,28,0.0,-106.30347396655436,3061675.0,0.0,28,-106.30347396655436,10,-7.865212,4.355930672699661,896000,-113.36383126744086,-113.36383126744083,-122.85031649570293,0.0,nan
-109.12570464567537,-11973.324,10,-109.12570464567537,-116.58589933299062,1287.3612,0.0,4.142651338177453,29,0.0,-104.89960255275572,4427331.5,0.0,29,-104.89960255275572,10,-7.8571463,4.142651338177453,920000,-109.12570464567537,-109.12570464567537,-116.58589933299062,0.0,nan
-74.89593556366528,-8544.546,10,-74.89593556366523,-108.86635070246824,2192.2192,0.0,14.895451776155028,30,0.0,-56.64646600849923,4349088.5,0.0,30,-56.64646600849923,10,-5.5769835,14.895451776155028,944000,-74.89593556366523,-74.89593556366528,-108.86635070246824,0.0,nan
-20.190801769249735,-15002.91,10,-20.190801769249738,-25.336100981680264,2014.3364,0.0,3.711918520555849,31,0.0,-12.394451661048462,9682850.0,0.0,31,-12.394451661048462,10,-10.875324,3.711918520555849,968000,-20.190801769249738,-20.190801769249735,-25.336100981680264,0.0,nan
-24.09869973244821,-83420.945,10,-24.098699732448218,-107.07352041879878,995.6296,0.0,27.910094099609367,32,0.0,-5.236029703536955,24720580.0,0.0,32,-5.236029703536955,10,-24.014318,27.910094099609367,992000,-24.098699732448218,-24.09869973244821,-107.07352041879878,0.0,nan
1696.9735924905042,-113806.55,10,1696.9735924905049,-109.65444325564977,6376.26,0.0,2713.4443054708904,33,0.0,6356.761877098085,25514622.0,0.0,33,6356.761877098085,10,-26.50923,2713.4443054708904,1016000,1696.9735924905049,1696.9735924905042,-109.65444325564977,0.0,nan
-63.64044113874938,-137590.14,10,-63.640441138749395,-124.45892097755929,5262.2734,0.0,53.558059337214296,34,0.0,-5.3069881421323535,28771898.0,0.0,34,-5.3069881421323535,10,-28.57915,53.558059337214296,1040000,-63.640441138749395,-63.64044113874938,-124.45892097755929,0.0,nan
782.3938792770098,-160963.81,10,782.3938792770102,-133.16835009175836,4584.2393,0.0,1719.5347358925937,35,0.0,4675.3438566297755,29090782.0,0.0,35,4675.3438566297755,10,-33.167156,1719.5347358925937,1064000,782.3938792770102,782.3938792770098,-133.16835009175836,0.0,nan
-20.541029094685854,-185498.75,10,-20.54102909468585,-126.92298278166278,3792.6748,0.0,88.59974998662686,36,0.3,219.19284032494306,35055936.0,0.0,36,219.19284032494306,10,-34.95885,88.59974998662686,1088000,-20.54102909468585,-20.541029094685854,-126.92298278166278,0.3,nan
4445.468282735374,-204313.8,10,4445.468282735374,-23.334209392890248,435.1722,0.0,7744.855928388779,37,0.0,26001.433142270977,38478804.0,0.0,37,26001.433142270977,10,-33.40953,7744.855928388779,1112000,4445.468282735374,4445.468282735374,-23.334209392890248,0.0,nan
-22.237103879849123,-227549.48,10,-22.237103879849123,-27.00000407010414,305.1404,0.0,3.131839007837658,38,0.0,-17.181602508877614,27864614.0,0.0,38,-17.181602508877614,10,-33.0016,3.131839007837658,1136000,-22.237103879849123,-22.237103879849123,-27.00000407010414,0.0,nan
-63.95264306027616,-105630.72,10,-63.95264306027616,-130.28441577134723,9053.466,0.0,47.85409537198676,39,0.0,-10.642033347522423,13033409.0,0.0,39,-10.642033347522423,10,-20.410097,47.85409537198676,1160000,-63.95264306027616,-63.95264306027616,-130.28441577134723,0.0,nan
-69.55280913873939,-79408.9,10,-69.55280913873939,-133.53771490196692,14029.2,0.0,45.14769283367728,40,0.0,-20.927836709898568,10156862.0,0.0,40,-20.927836709898568,10,-14.119578,45.14769283367728,1184000,-69.55280913873939,-69.55280913873939,-133.53771490196692,0.0,nan
1093.525905713411,-202805.12,10,1093.5259057134103,-126.97654921000166,12983.515,0.0,3424.754511181432,41,0.0,11367.47658140659,13229870.0,0.0,41,11367.47658140659,10,-31.078022,3424.754511181432,1208000,1093.5259057134103,1093.525905713411,-126.97654921000166,0.0,nan
-38.03308130869666,-189195.47,10,-38.03308130869666,-97.14678165893963,26942.264,0.0,20.283067714521177,42,0.0,-20.856795747670876,12127521.0,0.0,42,-20.856795747670876,10,-29.796856,20.283067714521177,1232000,-38.03308130869666,-38.03308130869666,-97.14678165893963,0.0,nan
-29.992366092103577,-90155.71,10,-29.992366092103577,-52.85522926552651,27891.639,0.0,8.302775550329752,43,0.0,-21.0441785174424,8784639.0,0.0,43,-21.0441785174424,10,-17.295023,8.302775550329752,1256000,-29.992366092103577,-29.992366092103577,-52.85522926552651,0.0,nan
-50.25600995958835,3506.8374,10,-50.25600995958835,-124.01646402096986,21280.611,0.0,37.12922918235349,44,0.0,-22.717987573571484,3266963.5,0.0,44,-22.717987573571484,10,-4.365352,37.12922918235349,1280000,-50.25600995958835,-50.25600995958835,-124.01646402096986,0.0,nan
-110.0687063066932,23617.957,10,-110.0687063066932,-121.08755614883901,28047.389,0.0,10.53135079255791,45,0.0,-82.32715938262196,4964139.0,0.0,45,-82.32715938262196,10,-7.9691257,10.53135079255791,1304000,-110.0687063066932,-110.0687063066932,-121.08755614883901,0.0,nan
-26.91529472089649,24555.613,10,-26.91529472089648,-59.034931930193636,21657.275,0.0,12.450979890266325,46,0.0,-12.583827741943466,52784.496,0.0,46,-12.583827741943466,10,0.26974094,12.450979890266325,1328000,-26.91529472089648,-26.91529472089649,-59.034931930193636,0.0,nan
-62.768224754882795,13403.071,10,-62.76822475488281,-72.99816208152582,5277.395,0.0,8.59925215066531,47,0.0,-42.290759527759164,35896.16,0.0,47,-42.290759527759164,10,-2.0357552,8.59925215066531,1352000,-62.76822475488281,-62.768224754882795,-72.99816208152582,0.0,nan
-68.92170613578985,7320.175,10,-68.92170613578985,-96.9038649014336,1821.7395,0.0,18.819069450616485,48,0.0,-39.283800924399095,20113.055,0.0,48,-39.283800924399095,10,-0.5456036,18.819069450616485,1376000,-68.92170613578985,-68.92170613578985,-96.9038649014336,0.0,nan
-55.943970929396855,7323.528,10,-55.94397092939685,-61.769266035953464,342.7741,0.0,4.202801436664388,49,0.0,-48.55654573811228,25847.225,0.0,49,-48.55654573811228,10,-1.8290713,4.202801436664388,1400000,-55.94397092939685,-55.943970929396855,-61.769266035953464,0.0,nan
-43.26951886835332,6886.4097,10,-43.2695188683533,-52.515124016155674,748.97437,0.0,5.82264715669051,50,0.0,-35.773819847092724,60693.668,0.0,50,-35.773819847092724,10,-3.4822443,5.82264715669051,1424000,-43.2695188683533,-43.26951886835332,-52.515124016155674,0.0,nan
-52.51283528621425,4046.9272,10,-52.51283528621425,-71.1889371403739,1312.0635,0.0,10.597709394739574,51,0.0,-34.35244286049042,106863.74,0.0,51,-34.35244286049042,10,-4.0014,10.597709394739574,1448000,-52.51283528621425,-52.51283528621425,-71.1889371403739,0.0,nan
-36.725870783149304,2926.2932,10,-36.725870783149325,-55.30058499566362,2126.0066,0.0,8.847843372081538,52,0.0,-26.06410338889108,173165.3,0.0,52,-26.06410338889108,10,-4.692023,8.847843372081538,1472000,-36.725870783149325,-36.725870783149304,-55.30058499566362,0.0,nan
-112.33891751574815,289.69736,10,-112.33891751574814,-127.05605259438678,40559.234,0.0,12.223461513303493,53,0.0,-79.29268800905622,18401438.0,0.0,53,-79.29268800905622,10,-16.037374,12.223461513303493,1496000,-112.33891751574814,-112.33891751574815,-127.05605259438678,0.0,nan
-53.9573290940019,152.69356,10,-53.9573290940019,-96.75642204904884,8407.251,0.0,14.918473733704987,54,0.1,-43.871168929688864,1266787.6,0.0,54,-43.871168929688864,10,-6.9185057,14.918473733704987,1520000,-53.9573290940019,-53.9573290940019,-96.75642204904884,0.1,nan
-62.6943184759589,2610.956,10,-62.694318475958895,-91.75058372273881,9420.71,0.0,18.73077495328096,55,0.0,-36.977726944245255,289713.03,0.0,55,-36.977726944245255,10,-1.7395027,18.73077495328096,1544000,-62.694318475958895,-62.6943184759589,-91.75058372273881,0.0,nan
-23.938958537755635,6326.956,10,-23.93895853775564,-37.36088726078999,995.65,0.0,9.535322723076566,56,0.0,-5.724701397282396,82674.875,0.0,56,-5.724701397282396,10,-2.9204926,9.535322723076566,1568000,-23.93895853775564,-23.938958537755635,-37.36088726078999,0.0,nan
-27.680464458496868,1452.0175,10,-27.680464458496868,-35.515208109837516,164.41881,0.0,5.2750857603988415,57,0.0,-18.736176058012987,103489.125,0.0,57,-18.736176058012987,10,-4.9619355,5.2750857603988415,1592000,-27.680464458496868,-27.680464458496868,-35.515208109837516,0.0,nan
-27.282733404079117,509.40927,10,-27.282733404079124,-36.15734808476822,457.6207,0.0,5.127756438076914,58,0.0,-17.34062190383396,235067.25,0.0,58,-17.34062190383396,10,-6.7214823,5.127756438076914,1616000,-27.282733404079124,-27.282733404079117,-36.15734808476822,0.0,nan
-44.93756143501524,895.2127,10,-44.93756143501524,-113.95468473107086,1246.8754,0.0,31.379522624749153,59,0.0,-16.64963583713158,301081.22,0.0,59,-16.64963583713158,10,-7.341622,31.379522624749153,1640000,-44.93756143501524,-44.93756143501524,-113.95468473107086,0.0,nan
-32.24517806799848,-4306.54,10,-32.24517806799848,-46.29507862394605,599.245,0.0,8.036684301495155,60,0.0,-18.100582226004523,494964.1,0.0,60,-18.100582226004523,10,-10.698159,8.036684301495155,1664000,-32.24517806799848,-32.24517806799848,-46.29507862394605,0.0,nan
420.9175829153646,-7445.3716,10,420.91758291536445,-103.4944958856066,222.73984,0.0,1401.9588987143438,61,0.0,4626.112732148846,706419.3,0.0,61,4626.112732148846,10,-11.003065,1401.9588987143438,1688000,420.91758291536445,420.9175829153646,-103.4944958856066,0.0,nan
4641.970315674167,-10143.422,10,4641.970315674169,-131.41328000383893,225.83221,0.0,8937.824356736506,62,0.0,27167.08764601782,870945.8,0.0,62,27167.08764601782,10,-12.161939,8937.824356736506,1712000,4641.970315674169,4641.970315674167,-131.41328000383893,0.0,nan
373.1269786394936,-11720.857,10,373.126978639494,-109.81939455874381,565.2551,0.0,1302.685470477888,63,0.0,4278.799708460645,926514.2,0.0,63,4278.799708460645,10,-12.26294,1302.685470477888,1736000,373.126978639494,373.1269786394936,-109.81939455874381,0.0,nan
-42.56968960967108,4995.118,10,-42.56968960967107,-80.19966169733976,11647.923,0.0,24.214346326586803,64,0.0,-15.775125664811137,714615.0,0.0,64,-15.775125664811137,10,-5.336424,24.214346326586803,1760000,-42.56968960967107,-42.56968960967108,-80.19966169733976,0.0,nan
-28.66808399761897,-4776.014,10,-28.66808399761897,-94.23166250334924,3141.9585,0.0,31.596085538265655,65,0.0,-4.641514248383239,568745.06,0.0,65,-4.641514248383239,10,-6.5062175,31.596085538265655,1784000,-28.66808399761897,-28.66808399761897,-94.23166250334924,0.0,nan
-31.188380352575496,-17249.994,10,-31.188380352575486,-73.25170726736128,1516.64,0.0,26.364222954153025,66,0.0,-1.4593040724375852,1013245.7,0.0,66,-1.4593040724375852,10,-12.939836,26.364222954153025,1808000,-31.188380352575486,-31.188380352575496,-73.25170726736128,0.0,nan
-22.23324288675371,-18065.496,10,-22.233242886753715,-25.68314890839231,874.6899,0.0,1.7930923307930169,67,0.0,-19.465037749153446,1017712.94,0.0,67,-19.465037749153446,10,-12.778766,1.7930923307930169,1832000,-22.233242886753715,-22.23324288675371,-25.68314890839231,0.0,nan
-18.128772523298604,-23229.893,10,-18.128772523298615,-21.83715420048015,1940.0833,0.0,1.976824229664644,68,0.0,-14.835813230925881,1198979.4,0.0,68,-14.835813230925881,10,-14.861192,1.976824229664644,1856000,-18.128772523298615,-18.128772523298604,-21.83715420048015,0.0,nan
-17.9807952973854,-24082.678,10,-17.980795297385402,-22.717269054006763,537.41486,0.0,3.011616428417484,69,0.0,-13.348521852411046,1280042.5,0.0,69,-13.348521852411046,10,-15.596572,3.011616428417484,1880000,-17.980795297385402,-17.9807952973854,-22.717269054006763,0.0,nan
-13.635743847396247,-24613.48,10,-13.635743847396242,-21.260246118696102,898.67285,0.0,8.628912158542882,70,0.0,11.023619122733042,1330301.9,0.0,70,11.023619122733042,10,-16.188566,8.628912158542882,1904000,-13.635743847396242,-13.635743847396247,-21.260246118696102,0.0,nan
-16.5631122783136,-26438.02,10,-16.5631122783136,-21.657140136872112,253.42143,0.0,4.798131279306882,71,0.0,-8.25559126180065,1422637.2,0.0,71,-8.25559126180065,10,-16.261942,4.798131279306882,1928000,-16.5631122783136,-16.5631122783136,-21.657140136872112,0.0,nan
-19.582679619274366,-25965.832,10,-19.582679619274366,-112.20573407338055,697.8,0.0,31.316662237271093,72,0.0,-2.1662176720963435,1547335.2,0.0,72,-2.1662176720963435,10,-15.794525,31.316662237271093,1952000,-19.582679619274366,-19.582679619274366,-112.20573407338055,0.0,nan
731.6385585675425,-28412.996,10,731.638558567542,-128.13370268072572,1443.5269,0.0,2279.118199150792,73,0.0,7566.358589486331,1803281.4,0.0,73,7566.358589486331,10,-16.899128,2279.118199150792,1976000,731.638558567542,731.6385585675425,-128.13370268072572,0.0,nan
