MetaTrain/Average/Alpha,MetaTest/Average/NumTrajs,MetaTest/handle-press-v1/MaxReturn,TotalEnvSteps,MetaTest/handle-press-v1/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/handle-press-v1/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/handle-press-v1/SuccessRate,MetaTest/handle-press-v1/Iteration,MetaTest/Average/AverageReturn,MetaTest/handle-press-v1/TerminationRate,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTest/handle-press-v1/NumTrajs,MetaTest/Average/SuccessRate,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/handle-press-v1/StdReturn,MetaTrain/Average/QfLoss,MetaTrain/Average/PolicyLoss,MetaTest/handle-press-v1/MinReturn,MetaTrain/Average/ContrastiveLoss
nan,10,37019.800528257525,224000,7796.366810200355,37019.800528257525,7796.36681020036,7796.36681020036,1.424719,0.0,0,7796.366810200355,0.0,0,-106.29363865939412,10,0.0,14124.269591611315,0.0,14124.269591611315,1727261.8,-2517.2002,-106.29363865939412,1430.7836
nan,10,3426.587624461093,248000,363.64673613801943,3426.587624461093,363.64673613801966,363.64673613801966,-3.7904773,0.0,1,363.64673613801943,0.0,1,-34.756780972678165,10,0.0,1030.861460910156,0.0,1030.861460910156,1884517.9,-5211.6323,-34.756780972678165,937.5505
nan,10,4146.038125497531,272000,701.6591019502824,4146.038125497531,701.6591019502825,701.6591019502825,-15.272196,0.0,2,701.6591019502824,0.0,2,-56.39929084681658,10,0.0,1236.4084211465074,0.0,1236.4084211465074,1516177.0,-7212.222,-56.39929084681658,350.2734
nan,10,70897.3245812305,296000,21278.1290657836,70897.3245812305,21278.129065783603,21278.129065783603,-11.281762,0.0,3,21278.1290657836,0.0,3,-15.234781146541632,10,0.0,23964.420420881313,0.0,23964.420420881313,2104388.2,-18468.863,-15.234781146541632,512.27966
nan,10,72740.79267924286,320000,15559.555803929597,72740.79267924286,15559.555803929597,15559.555803929597,-9.986121,0.0,4,15559.555803929597,0.0,4,-38.10228637986792,10,0.0,24175.710380753495,0.0,24175.710380753495,3730884.0,-33207.125,-38.10228637986792,475.0263
nan,10,184614.52181863127,344000,24589.113116950968,184614.52181863127,24589.113116950968,24589.113116950968,-11.879161,0.1,5,24589.113116950968,0.0,5,-30.113706832193987,10,0.1,56217.12218382156,0.0,56217.12218382156,5557441.5,-42948.168,-30.113706832193987,433.94394
nan,10,76358.78927891109,368000,44874.02897054953,76358.78927891109,44874.02897054953,44874.02897054953,-13.007611,0.0,6,44874.02897054953,0.0,6,-13.529304573072025,10,0.0,25122.83859024302,0.0,25122.83859024302,6643415.0,-46027.438,-13.529304573072025,427.86307
nan,10,68405.94726626684,392000,30894.499736676917,68405.94726626684,30894.499736676913,30894.499736676913,-15.278387,0.0,7,30894.499736676917,0.0,7,1888.492480870982,10,0.0,22385.8380118935,0.0,22385.8380118935,7605093.5,-46383.848,1888.492480870982,383.43683
nan,10,59719.58744215039,416000,20753.363504998495,59719.58744215039,20753.36350499851,20753.36350499851,-16.667229,0.0,8,20753.363504998495,0.0,8,-14.532349333272242,10,0.0,23072.13835511899,0.0,23072.13835511899,8875596.0,-47583.1,-14.532349333272242,347.0878
nan,10,64480.50133372666,440000,29210.918332998997,64480.50133372666,29210.91833299899,29210.91833299899,-18.923386,0.0,9,29210.918332998997,0.0,9,-15.409422615683122,10,0.0,24150.295979999206,0.0,24150.295979999206,9921729.0,-51239.44,-15.409422615683122,321.58905
nan,10,70232.49851354377,464000,47876.55810380423,70232.49851354377,47876.55810380423,47876.55810380423,-19.82594,0.0,10,47876.55810380423,0.0,10,4599.489138070436,10,0.0,22607.315416715996,0.0,22607.315416715996,12299493.0,-55383.004,4599.489138070436,308.9007
nan,10,65513.09267715013,488000,48760.73354895973,65513.09267715013,48760.73354895974,48760.73354895974,-21.091394,0.0,11,48760.73354895973,0.0,11,25808.966170282096,10,0.0,9933.839549244996,0.0,9933.839549244996,15937004.0,-61983.04,25808.966170282096,282.19067
nan,10,156349.81369646365,512000,69170.23661623977,156349.81369646365,69170.23661623975,69170.23661623975,-20.940237,0.2,12,69170.23661623977,0.0,12,43727.414422522794,10,0.2,41291.81143734805,0.0,41291.81143734805,19126386.0,-70448.23,43727.414422522794,274.26282
nan,10,174967.04982778925,536000,82755.95393151577,174967.04982778925,82755.9539315158,82755.9539315158,-21.368834,0.4,13,82755.95393151577,0.0,13,2891.9217231495336,10,0.4,45847.12964419268,0.0,45847.12964419268,23107082.0,-79477.93,2891.9217231495336,295.09766
nan,10,158277.78562482964,560000,95522.44302061092,158277.78562482964,95522.44302061095,95522.44302061095,-21.919565,0.4,14,95522.44302061092,0.0,14,54010.27742441004,10,0.4,37788.540990281916,0.0,37788.540990281916,29343260.0,-90251.15,54010.27742441004,399.8261
