MetaTest/handle-pull-side-v1/TerminationRate,MetaTest/handle-pull-side-v1/StdReturn,MetaTest/handle-pull-side-v1/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/handle-pull-side-v1/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/handle-pull-side-v1/MaxReturn,MetaTest/Average/SuccessRate,MetaTest/Average/TerminationRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/AverageReturn,MetaTrain/Average/Alpha,MetaTest/handle-pull-side-v1/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTrain/Average/QfLoss,MetaTest/handle-pull-side-v1/NumTrajs,TotalEnvSteps,MetaTrain/Average/ContrastiveLoss,MetaTest/handle-pull-side-v1/MinReturn,MetaTest/handle-pull-side-v1/Iteration,MetaTest/Average/NumTrajs,MetaTrain/Average/PolicyLoss
0.0,13366.18484896039,23278.2709256282,0,13366.18484896039,23278.270925628196,0.0,44802.987220388204,44802.987220388204,0.0,0.0,-1.4093409,23278.2709256282,nan,23278.270925628196,5544.160990668188,299438.06,10,224000,19.841629,5544.160990668188,0,10,-911.84735
0.0,4.643264106188418,-46.280887345564274,1,4.643264106188418,-46.28088734556427,0.0,-40.494499378140524,-40.494499378140524,0.0,0.0,-8.503252,-46.280887345564274,nan,-46.28088734556427,-57.135860684217164,467348.78,10,248000,31.550838,-57.135860684217164,1,10,-9982.426
0.0,4.53969264212491,-60.87169725381331,2,4.53969264212491,-60.871697253813316,0.0,-53.51806339334903,-53.51806339334903,0.0,0.0,-13.601207,-60.87169725381331,nan,-60.871697253813316,-67.26440343092129,573825.56,10,272000,167.71848,-67.26440343092129,2,10,-27701.424
0.0,4.878257301231295,-43.4313153437441,3,4.878257301231295,-43.431315343744096,0.0,-35.802687163419705,-35.802687163419705,0.0,0.0,-14.166804,-43.4313153437441,nan,-43.431315343744096,-52.183019167312914,655347.75,10,296000,194.19818,-52.183019167312914,3,10,-42732.32
0.0,6.73589263419555,-34.68854025364179,4,6.73589263419555,-34.68854025364179,0.0,-24.144488160233582,-24.144488160233582,0.0,0.0,-12.737817,-34.68854025364179,nan,-34.68854025364179,-45.012042388107425,684826.3,10,320000,890.31915,-45.012042388107425,4,10,-40833.04
0.0,10435.257522736065,6388.003918394279,5,10435.257522736065,6388.003918394281,0.0,35045.75645609743,35045.75645609743,0.0,0.0,-13.651755,6388.003918394279,nan,6388.003918394281,-17.19727110712546,650746.75,10,344000,735.4393,-17.19727110712546,5,10,-37949.168
0.0,2692.1806337028243,40449.0895369674,6,2692.1806337028243,40449.0895369674,0.0,45665.50058531741,45665.50058531741,0.0,0.0,-15.861814,40449.0895369674,nan,40449.0895369674,36661.7825499426,1036818.1,10,368000,435.56674,36661.7825499426,6,10,-49942.07
0.0,1637.0819929436227,37820.68916770081,7,1637.0819929436227,37820.68916770081,0.0,40532.0919075805,40532.0919075805,0.0,0.0,-16.56177,37820.68916770081,nan,37820.68916770081,35534.904018875015,1613816.1,10,392000,307.82495,35534.904018875015,7,10,-63563.137
0.0,1259.9522039894807,44834.13252076342,8,1259.9522039894807,44834.13252076342,0.0,46057.21928115871,46057.21928115871,0.0,0.0,-15.883925,44834.13252076342,nan,44834.13252076342,41873.847692179435,2052815.2,10,416000,280.84094,41873.847692179435,8,10,-74009.34
0.0,1506.0689232355687,44775.1859648429,9,1506.0689232355687,44775.185964842894,0.0,46072.822009898795,46072.822009898795,0.0,0.0,-16.923414,44775.1859648429,nan,44775.185964842894,41153.79820676648,2625001.8,10,440000,387.90558,41153.79820676648,9,10,-78617.95
0.0,17361.75240687603,35357.84455415494,10,17361.75240687603,35357.84455415495,0.0,46052.8690228682,46052.8690228682,0.0,0.0,-17.59864,35357.84455415494,nan,35357.84455415495,1206.0342850731408,3114674.2,10,464000,951.8398,1206.0342850731408,10,10,-78018.4
0.0,18063.31763256658,36465.61995811573,11,18063.31763256658,36465.619958115705,0.0,46069.20351695792,46069.20351695792,0.0,0.0,-15.69015,36465.61995811573,nan,36465.619958115705,-12.64466138491805,3924670.5,10,488000,493.6905,-12.64466138491805,11,10,-89925.12
0.0,529.8205226560348,45117.23883691802,12,529.8205226560348,45117.23883691802,0.0,46058.31174779865,46058.31174779865,0.0,0.0,-15.577461,45117.23883691802,nan,45117.23883691802,44327.57899140011,4806523.0,10,512000,161.46371,44327.57899140011,12,10,-106218.56
0.0,13542.431638320322,40571.5105116711,13,13542.431638320322,40571.510511671106,0.0,46063.64250224535,46063.64250224535,0.0,0.0,-15.716741,40571.5105116711,nan,40571.510511671106,-12.856456297339065,5417538.5,10,536000,295.0586,-12.856456297339065,13,10,-110886.26
0.0,17644.200676201468,36091.248160946365,14,17644.200676201468,36091.24816094636,0.0,45826.31741449461,45826.31741449461,0.0,0.0,-16.016338,36091.248160946365,nan,36091.24816094636,231.36833758675485,5793058.5,10,560000,790.01086,231.36833758675485,14,10,-107179.12
0.0,13265.199661115155,40986.84953526979,15,13265.199661115155,40986.849535269794,0.0,45825.79527772624,45825.79527772624,0.0,0.0,-15.99708,40986.84953526979,nan,40986.849535269794,1205.721497521353,6180757.5,10,584000,715.29425,1205.721497521353,15,10,-108530.43
0.0,424.3541688222409,45548.24908065694,16,424.3541688222409,45548.24908065695,0.0,45829.77791585653,45829.77791585653,0.0,0.0,-16.60482,45548.24908065694,nan,45548.24908065695,44329.884333180366,7005518.0,10,608000,313.01785,44329.884333180366,16,10,-118634.46
0.0,9477.060817972064,42275.24538146927,17,9477.060817972064,42275.24538146928,0.0,45831.56493311552,45831.56493311552,0.0,0.0,-17.16467,42275.24538146927,nan,42275.24538146928,13854.608976600457,7298711.0,10,632000,501.8085,13854.608976600457,17,10,-123711.57
0.0,511.1175783662976,45616.66226820184,18,511.1175783662976,45616.66226820186,0.0,46075.76505052166,46075.76505052166,0.0,0.0,-17.428528,45616.66226820184,nan,45616.66226820186,44396.807371676725,7319594.0,10,656000,519.333,44396.807371676725,18,10,-120010.58
0.0,311.5583233339349,45477.169712499584,19,311.5583233339349,45477.169712499584,0.0,45830.9320907447,45830.9320907447,0.0,0.0,-17.285797,45477.169712499584,nan,45477.169712499584,45046.002697459386,6878792.5,10,680000,600.17566,45046.002697459386,19,10,-109841.6
0.0,13905.478672007992,38993.017808557204,20,13905.478672007992,38993.01780855719,0.0,45829.13828680526,45829.13828680526,0.0,0.0,-15.975698,38993.017808557204,nan,38993.01780855719,718.5052538449302,6862886.0,10,704000,421.44113,718.5052538449302,20,10,-112992.16
0.0,1998.532018794411,44657.279845942394,21,1998.532018794411,44657.27984594241,0.0,45749.731278698244,45749.731278698244,0.0,0.0,-16.70611,44657.279845942394,nan,44657.27984594241,38712.462374457325,7015739.5,10,728000,325.1804,38712.462374457325,21,10,-119322.93
0.0,547.4905503306317,45018.02236199698,22,547.4905503306317,45018.02236199698,0.0,45817.35398804205,45817.35398804205,0.0,0.0,-16.745687,45018.02236199698,nan,45018.02236199698,44113.00491757936,7087348.5,10,752000,252.18372,44113.00491757936,22,10,-121219.99
0.0,1912.555476175052,44527.1498724606,23,1912.555476175052,44527.1498724606,0.0,45848.735815686545,45848.735815686545,0.0,0.0,-15.941428,44527.1498724606,nan,44527.1498724606,39218.31313493519,7135053.5,10,776000,328.30414,39218.31313493519,23,10,-122804.43
0.0,646.1397482747639,45395.31678571422,24,646.1397482747639,45395.31678571422,0.0,46516.860427053274,46516.860427053274,0.0,0.0,-15.512679,45395.31678571422,nan,45395.31678571422,43877.12161672811,7290326.0,10,800000,254.89125,43877.12161672811,24,10,-126415.875
0.0,265.17775908598037,45494.09599254765,25,265.17775908598037,45494.095992547656,0.0,45908.51706524161,45908.51706524161,0.0,0.0,-15.34991,45494.09599254765,nan,45494.095992547656,45029.418359803014,7234025.0,10,824000,201.08284,45029.418359803014,25,10,-128119.71
0.0,5787.35773384288,42569.03029936033,26,5787.35773384288,42569.03029936034,0.0,45978.938390059324,45978.938390059324,0.0,0.0,-14.9797735,42569.03029936033,nan,42569.03029936034,25816.43015734154,7161789.5,10,848000,163.73105,25816.43015734154,26,10,-130621.35
