MetaTrain/Average/PolicyLoss,MetaTrain/Average/QfLoss,MetaTest/Average/MinReturn,MetaTest/lever-pull-v1/MinReturn,MetaTest/Average/NumTrajs,MetaTest/lever-pull-v1/Iteration,MetaTest/lever-pull-v1/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/Iteration,TotalEnvSteps,MetaTrain/Average/Alpha,MetaTest/Average/StdReturn,MetaTrain/Average/AlphaLoss,MetaTest/lever-pull-v1/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/lever-pull-v1/AverageReturn,MetaTest/lever-pull-v1/NumTrajs,MetaTest/Average/TerminationRate,MetaTest/lever-pull-v1/AverageDiscountedReturn,MetaTest/lever-pull-v1/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/lever-pull-v1/StdReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/ContrastiveLoss
-14.916649,0.8228104,-27.48396063050739,-27.48396063050739,10,0,0.0,-22.18961754983669,0,224000,nan,3.6792616508915263,6.732867,0.0,-15.953619892436091,-22.18961754983669,10,0.0,-22.189617549836697,-15.953619892436091,-22.189617549836697,3.6792616508915263,0.0,8.499192
-33.744923,1.758676,-15.6531307473016,-15.6531307473016,10,1,0.0,-12.365302753317021,1,248000,nan,1.8355241722525286,6.727632,0.0,-8.848200797680017,-12.365302753317021,10,0.0,-12.36530275331702,-8.848200797680017,-12.36530275331702,1.8355241722525286,0.0,10.033005
-48.41065,5.1851974,-14.11043701935315,-14.11043701935315,10,2,0.0,-11.175071570227924,2,272000,nan,1.8106577522660154,6.717695,0.0,-8.978515057569965,-11.175071570227924,10,0.0,-11.175071570227924,-8.978515057569965,-11.175071570227924,1.8106577522660154,0.0,7.795954
-60.30775,3.9028165,-11.340784660618587,-11.340784660618587,10,3,0.0,-8.002856321176917,3,296000,nan,1.831004446542055,6.7038965,0.0,-5.762742571848167,-8.002856321176917,10,0.0,-8.002856321176921,-5.762742571848167,-8.002856321176921,1.831004446542055,0.0,9.217249
-71.37923,5.426132,-11.122672070232852,-11.122672070232852,10,4,0.0,-7.776845065185827,4,320000,nan,2.346671023197973,6.68513,0.0,-5.105799045976555,-7.776845065185827,10,0.0,-7.776845065185827,-5.105799045976555,-7.776845065185827,2.346671023197973,0.0,8.510412
-81.35874,6.693126,-10.586570441626757,-10.586570441626757,10,5,0.0,-8.165384971943084,5,344000,nan,1.5793777694402982,6.6639485,0.0,-5.315983279692983,-8.165384971943084,10,0.0,-8.165384971943084,-5.315983279692983,-8.165384971943084,1.5793777694402982,0.0,7.6284676
-90.9108,8.24057,-8.615236222469518,-8.615236222469518,10,6,0.0,-6.506892499322018,6,368000,nan,1.1612387182581216,6.64132,0.0,-5.139816018020097,-6.506892499322018,10,0.0,-6.506892499322018,-5.139816018020097,-6.506892499322018,1.1612387182581216,0.0,7.8765674
-99.88476,10.346996,-9.831350192792844,-9.831350192792844,10,7,0.0,-7.873839916525656,7,392000,nan,1.1404336309649423,6.6176844,0.0,-5.797956486253592,-7.873839916525656,10,0.0,-7.873839916525656,-5.797956486253592,-7.873839916525656,1.1404336309649423,0.0,8.11354
-107.845085,11.714586,-7.276015681642566,-7.276015681642566,10,8,0.0,-6.040083978219114,8,416000,nan,0.7178052006454795,6.595061,0.0,-4.852892494048949,-6.040083978219114,10,0.0,-6.040083978219114,-4.852892494048949,-6.040083978219114,0.7178052006454795,0.0,7.6298923
-114.35734,13.304573,-8.132644978461997,-8.132644978461997,10,9,0.0,-5.4820315684975025,9,440000,nan,1.3800507147992591,6.573223,0.0,-4.0866182767222705,-5.4820315684975025,10,0.0,-5.4820315684975025,-4.0866182767222705,-5.4820315684975025,1.3800507147992591,0.0,7.7582264
