MetaTest/Average/Iteration,MetaTest/peg-insert-side-v1/StdReturn,MetaTest/Average/StdReturn,MetaTest/peg-insert-side-v1/MaxReturn,MetaTest/Average/NumTrajs,MetaTrain/Average/PolicyLoss,MetaTest/Average/MaxReturn,MetaTest/peg-insert-side-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/peg-insert-side-v1/SuccessRate,MetaTrain/Average/Alpha,MetaTest/peg-insert-side-v1/AverageDiscountedReturn,MetaTest/peg-insert-side-v1/AverageReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/QfLoss,MetaTest/peg-insert-side-v1/MinReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/peg-insert-side-v1/NumTrajs,MetaTest/Average/AverageReturn,MetaTest/peg-insert-side-v1/Iteration,TotalEnvSteps
0,4.245554602806598,4.245554602806598,-18.420763959908875,10,-7.0000076,-18.420763959908875,0.0,-24.866273318554782,0.0,nan,-24.866273318554782,-24.86627331855479,0.0,2.0685415,-32.24764997521048,0.0,6.7310967,-32.24764997521048,8.280072,10,-24.86627331855479,0,224000
1,9.10769618091736,9.10769618091736,-15.566894865105638,10,-12.044657,-15.566894865105638,0.0,-28.871916247871944,0.0,nan,-28.871916247871944,-28.871916247871958,0.0,3.6538177,-48.18095243148131,0.0,6.7207785,-48.18095243148131,7.9771123,10,-28.871916247871958,1,248000
2,3.6101057424302154,3.6101057424302154,-19.415717100744267,10,-16.694033,-19.415717100744267,0.0,-24.74052574647971,0.0,nan,-24.74052574647971,-24.740525746479708,0.0,5.940344,-30.255586342467932,0.0,6.702422,-30.255586342467932,8.046177,10,-24.740525746479708,2,272000
3,4.404394601611709,4.404394601611709,-17.987601420492965,10,-21.566586,-17.987601420492965,0.0,-25.342228518540356,0.0,nan,-25.342228518540356,-25.34222851854036,0.0,8.386351,-31.189719668512073,0.0,6.679539,-31.189719668512073,7.83167,10,-25.34222851854036,3,296000
4,1.7691963950954,1.7691963950954,-25.366518314525,10,-25.968344,-25.366518314525,0.0,-29.898544840610942,0.0,nan,-29.898544840610942,-29.898544840610942,0.0,11.020025,-31.470112074737262,0.0,6.6534014,-31.470112074737262,7.9212093,10,-29.898544840610942,4,320000
5,4.394883870110759,4.394883870110759,-17.959273759671873,10,-30.722881,-17.959273759671873,0.0,-26.12223725653173,0.0,nan,-26.12223725653173,-26.12223725653173,0.0,13.518088,-31.982313860173157,0.0,6.626669,-31.982313860173157,8.160161,10,-26.12223725653173,5,344000
6,4.7878503143620526,4.7878503143620526,-17.274017801665675,10,-35.041203,-17.274017801665675,0.0,-25.387333459613135,0.0,nan,-25.387333459613135,-25.387333459613128,0.0,15.890163,-30.935586388721966,0.0,6.602585,-30.935586388721966,7.7312016,10,-25.387333459613128,6,368000
7,16.184421087411362,16.184421087411362,-15.069264104848129,10,-38.293495,-15.069264104848129,0.0,-26.103612823497542,0.0,nan,-26.103612823497542,-26.103612823497542,0.0,17.753948,-71.52795649811708,0.0,6.5811095,-71.52795649811708,7.699969,10,-26.103612823497542,7,392000
8,4.867219011558293,4.867219011558293,-16.76134107302139,10,-41.71269,-16.76134107302139,0.0,-21.88525392336546,0.0,nan,-21.88525392336546,-21.88525392336546,0.0,19.781694,-29.9722952379686,0.0,6.5608416,-29.9722952379686,7.6662803,10,-21.88525392336546,8,416000
9,3.436574803377708,3.436574803377708,-16.740696974027863,10,-44.52542,-16.740696974027863,0.0,-20.00042184470437,0.0,nan,-20.00042184470437,-20.000421844704373,0.0,21.733454,-27.66614262031797,0.0,6.5476003,-27.66614262031797,7.656831,10,-20.000421844704373,9,440000
10,8.615184611724004,8.615184611724004,-18.581760777335944,10,-47.754364,-18.581760777335944,0.0,-24.46131987425299,0.0,nan,-24.46131987425299,-24.46131987425299,0.0,22.943304,-48.796019422089024,0.0,6.5348144,-48.796019422089024,7.7111516,10,-24.46131987425299,10,464000
11,2.9460699558816823,2.9460699558816823,-17.157413776651197,10,-51.02771,-17.157413776651197,0.0,-21.52676306509765,0.0,nan,-21.52676306509765,-21.526763065097658,0.0,24.556828,-28.63257488128805,0.0,6.5223446,-28.63257488128805,7.6650662,10,-21.526763065097658,11,488000
