MetaTrain/Average/AlphaLoss,MetaTest/peg-insert-side-v1/AverageDiscountedReturn,MetaTrain/Average/PolicyLoss,MetaTrain/Average/Alpha,MetaTest/Average/AverageDiscountedReturn,MetaTest/peg-insert-side-v1/AverageReturn,TotalEnvSteps,MetaTrain/Average/QfLoss,MetaTest/Average/MinReturn,MetaTest/peg-insert-side-v1/NumTrajs,MetaTest/peg-insert-side-v1/SuccessRate,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/SuccessRate,MetaTest/Average/TerminationRate,MetaTest/peg-insert-side-v1/MaxReturn,MetaTest/peg-insert-side-v1/MinReturn,MetaTest/Average/AverageReturn,MetaTest/peg-insert-side-v1/StdReturn,MetaTest/peg-insert-side-v1/TerminationRate,MetaTest/peg-insert-side-v1/Iteration,MetaTest/Average/Iteration,MetaTest/Average/MaxReturn,MetaTest/Average/StdReturn,MetaTest/Average/NumTrajs
6.7307744,-28.281721194567012,-4.8758693,nan,-28.281721194567012,-28.281721194567012,224000,5.774197,-47.2106455258382,10,0.0,8.323058,0.0,0.0,-18.78367092972318,-47.2106455258382,-28.281721194567012,7.773238940359011,0.0,0,0,-18.78367092972318,7.773238940359011,10
6.718466,-25.57832538103007,-6.0499043,nan,-25.57832538103007,-25.578325381030073,248000,7.8558297,-27.152469010934507,10,0.0,7.6884723,0.0,0.0,-23.691287952381188,-27.152469010934507,-25.578325381030073,0.9673503128249524,0.0,1,1,-23.691287952381188,0.9673503128249524,10
6.69618,-26.80084170343547,-7.7555227,nan,-26.80084170343547,-26.800841703435463,272000,10.248975,-28.89390727991378,10,0.0,7.8996143,0.0,0.0,-23.826986362779696,-28.89390727991378,-26.800841703435463,1.3551039598005326,0.0,2,2,-23.826986362779696,1.3551039598005326,10
6.663769,-19.485446235106025,-10.108006,nan,-19.485446235106025,-19.485446235106025,296000,13.516408,-29.91743765955609,10,0.0,7.9925413,0.0,0.0,-14.24437678276498,-29.91743765955609,-19.485446235106025,4.816336401017304,0.0,3,3,-14.24437678276498,4.816336401017304,10
6.6235437,-15.699037787353983,-13.315371,nan,-15.699037787353983,-15.699037787353982,320000,17.9361,-30.131588216360143,10,0.0,7.7951174,0.0,0.0,-7.110264523375037,-30.131588216360143,-15.699037787353982,7.868389240760582,0.0,4,4,-7.110264523375037,7.868389240760582,10
6.578506,-25.863483839529927,-18.950933,nan,-25.863483839529927,-25.86348383952993,344000,25.463856,-48.2056330798036,10,0.0,7.7430835,0.0,0.0,-15.980010235433799,-48.2056330798036,-25.86348383952993,9.612120632520702,0.0,5,5,-15.980010235433799,9.612120632520702,10
6.525863,-16.466161457262867,-26.898027,nan,-16.466161457262867,-16.466161457262867,368000,39.40095,-31.856800778309214,10,0.0,7.656378,0.0,0.0,-7.841369025847833,-31.856800778309214,-16.466161457262867,7.727757023261049,0.0,6,6,-7.841369025847833,7.727757023261049,10
6.4762464,-13.852407088516532,-34.309593,nan,-13.852407088516532,-13.852407088516532,392000,62.81947,-22.51831100027318,10,0.0,7.652092,0.0,0.0,-6.890938295966073,-22.51831100027318,-13.852407088516532,4.254166625066307,0.0,7,7,-6.890938295966073,4.254166625066307,10
6.4104443,-12.784432194198766,-40.695168,nan,-12.784432194198766,-12.78443219419876,416000,94.888084,-18.474238802445203,10,0.0,7.6328163,0.0,0.0,-6.6966322174552255,-18.474238802445203,-12.78443219419876,3.6722241046495743,0.0,8,8,-6.6966322174552255,3.6722241046495743,10
6.3195233,5.03752413924443,-50.81578,nan,5.03752413924443,5.037524139244427,440000,161.58044,-66.86214286267099,10,0.0,7.626077,0.0,0.0,78.44549312023835,-66.86214286267099,5.037524139244427,36.92389501808392,0.0,9,9,78.44549312023835,36.92389501808392,10
6.016732,605.8990018446625,-68.538994,nan,605.8990018446625,605.8990018446624,464000,471.83005,-29.20646441622544,10,0.0,7.624633,0.0,0.0,6230.879405402455,-29.20646441622544,605.8990018446624,1874.9993116601615,0.0,10,10,6230.879405402455,1874.9993116601615,10
4.0074816,-64.52186832741276,-205.41454,nan,-64.52186832741276,-64.52186832741279,488000,20186.775,-97.391786123675,10,0.0,188.51027,0.0,0.0,-29.598279893698745,-97.391786123675,-64.52186832741279,16.72618928792387,0.0,11,11,-29.598279893698745,16.72618928792387,10
0.42156166,-51.666385999538946,-970.1179,nan,-51.666385999538946,-51.66638599953895,512000,68295.59,-63.44124370092398,10,0.0,574.3113,0.0,0.0,-26.026088604053978,-63.44124370092398,-51.66638599953895,10.779942880706354,0.0,12,12,-26.026088604053978,10.779942880706354,10
-2.4467154,-74.34169261098876,-2576.405,nan,-74.34169261098876,-74.34169261098873,536000,218295.44,-104.85640183667502,10,0.0,257.18677,0.0,0.0,-34.46135362189552,-104.85640183667502,-74.34169261098873,19.158724169857525,0.0,13,13,-34.46135362189552,19.158724169857525,10
-5.135622,-73.85275709382827,-5384.8574,nan,-73.85275709382827,-73.85275709382829,560000,550782.06,-126.03469136964597,10,0.0,151.54924,0.0,0.0,-21.943494063043275,-126.03469136964597,-73.85275709382829,29.385555130981874,0.0,14,14,-21.943494063043275,29.385555130981874,10
-10.015413,-76.93996664743115,-10114.0,nan,-76.93996664743115,-76.93996664743113,584000,1144491.2,-96.46918139054453,10,0.0,207.88214,0.0,0.0,-50.6854110789673,-96.46918139054453,-76.93996664743113,14.552757599018415,0.0,15,15,-50.6854110789673,14.552757599018415,10
-11.795934,-62.10416315326141,-16781.96,nan,-62.10416315326141,-62.1041631532614,608000,2217588.8,-80.47469986126468,10,0.0,255.19409,0.0,0.0,-33.86318897585441,-80.47469986126468,-62.1041631532614,12.565801295628813,0.0,16,16,-33.86318897585441,12.565801295628813,10
-13.679847,-56.92952912688903,-24622.797,nan,-56.92952912688903,-56.92952912688903,632000,4012781.0,-67.61776251791557,10,0.0,381.72256,0.0,0.0,-37.9076156812203,-67.61776251791557,-56.92952912688903,8.536243798732354,0.0,17,17,-37.9076156812203,8.536243798732354,10
-14.6082115,-49.67218037904712,-32972.285,nan,-49.67218037904712,-49.672180379047106,656000,6037333.0,-68.80806277624062,10,0.0,377.80948,0.0,0.0,2.2325773057644835,-68.80806277624062,-49.672180379047106,18.884746981803,0.0,18,18,2.2325773057644835,18.884746981803,10
-16.211176,133.00153503403865,-43628.367,nan,133.00153503403865,133.0015350340388,680000,7730095.0,-143.38026354336827,10,0.0,911.9072,0.0,0.0,2180.2102574266987,-143.38026354336827,133.0015350340388,683.4413597891117,0.0,19,19,2180.2102574266987,683.4413597891117,10
-17.30975,-32.34916284367083,-57975.656,nan,-32.34916284367083,-32.349162843670825,704000,7820082.5,-124.3853689737639,10,0.0,556.8886,0.0,0.0,16.323684405612315,-124.3853689737639,-32.349162843670825,35.48203877238876,0.0,20,20,16.323684405612315,35.48203877238876,10
-20.183367,-61.609918423576154,-70158.33,nan,-61.609918423576154,-61.60991842357614,728000,6045708.0,-88.24643933446822,10,0.0,625.63385,0.0,0.0,-20.60239588674266,-88.24643933446822,-61.60991842357614,20.07221686491105,0.0,21,21,-20.60239588674266,20.07221686491105,10
-20.468657,-68.1068409532277,-62939.844,nan,-68.1068409532277,-68.1068409532277,752000,4141040.8,-113.87298211534483,10,0.0,1253.901,0.0,0.0,-38.32291504867363,-113.87298211534483,-68.1068409532277,24.235289960680156,0.0,22,22,-38.32291504867363,24.235289960680156,10
