MetaTrain/Average/PolicyLoss,MetaTest/plate-slide-back-v1/StdReturn,MetaTest/plate-slide-back-v1/SuccessRate,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/plate-slide-back-v1/MaxReturn,MetaTest/Average/MinReturn,MetaTest/plate-slide-back-v1/NumTrajs,MetaTest/Average/MaxReturn,MetaTest/plate-slide-back-v1/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/plate-slide-back-v1/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/plate-slide-back-v1/TerminationRate,MetaTest/Average/StdReturn,MetaTest/Average/NumTrajs,MetaTest/Average/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/plate-slide-back-v1/MinReturn,MetaTest/plate-slide-back-v1/Iteration,MetaTest/Average/Iteration,MetaTrain/Average/Alpha,MetaTrain/Average/QfLoss,TotalEnvSteps
-9.418556,0.1579892492282073,0.0,10.487023,-37.427413737429205,-37.10082598927083,-37.65930806833393,10,-37.10082598927083,-37.427413737429205,6.7277355,-37.427413737429184,0.0,0.0,0.1579892492282073,10,-37.427413737429184,0.0,-37.65930806833393,0,0,nan,57.009617,224000
-19.250652,0.39945750039999134,0.0,7.736622,-36.44096277949501,-35.47726946892093,-37.14694381100984,10,-35.47726946892093,-36.44096277949501,6.6845536,-36.440962779495024,0.0,0.0,0.39945750039999134,10,-36.440962779495024,0.0,-37.14694381100984,1,1,nan,61.212418,248000
-31.700129,0.6546049778545107,0.0,7.969314,-32.040294480954785,-31.027949541883903,-33.25147223468075,10,-31.027949541883903,-32.040294480954785,6.40294,-32.04029448095478,0.0,0.0,0.6546049778545107,10,-32.04029448095478,0.0,-33.25147223468075,2,2,nan,106.787,272000
-66.62576,0.4405308535582797,0.0,7.854015,-26.84355583028748,-26.464288102575775,-27.61431873234359,10,-26.464288102575775,-26.84355583028748,5.8192167,-26.84355583028748,0.0,0.0,0.4405308535582797,10,-26.84355583028748,0.0,-27.61431873234359,3,3,nan,349.41183,296000
-270.6139,1.579089393410816,0.0,7.633515,-26.6730752886799,-25.27149007894513,-30.104435094033562,10,-25.27149007894513,-26.6730752886799,3.6709044,-26.673075288679893,0.0,0.0,1.579089393410816,10,-26.673075288679893,0.0,-30.104435094033562,4,4,nan,2744.7197,320000
-795.9444,7962.314770107996,0.0,11.823857,2767.248134477508,26649.345347074723,-19.034038225964338,10,26649.345347074723,2767.248134477508,0.19540961,2767.2481344775065,0.0,0.0,7962.314770107996,10,2767.2481344775065,0.0,-19.034038225964338,5,5,nan,7565.1846,344000
-1770.5262,1.5527591574101762,0.0,37.394062,-18.07283261034249,-15.821347713304904,-21.99892416154855,10,-15.821347713304904,-18.07283261034249,-3.7972112,-18.072832610342495,0.0,0.0,1.5527591574101762,10,-18.072832610342495,0.0,-21.99892416154855,6,6,nan,21310.156,368000
-2768.3276,1968.305597897348,0.0,144.2711,639.2431430866674,6544.052611358894,-33.9767543781866,10,6544.052611358894,639.2431430866674,-6.312463,639.243143086667,0.0,0.0,1968.305597897348,10,639.243143086667,0.0,-33.9767543781866,7,7,nan,30482.703,392000
-3496.9695,0.6040346743798378,0.0,441.21378,-78.70492965236443,-78.48742198081752,-80.51405358697532,10,-78.48742198081752,-78.70492965236443,-4.3340135,-78.70492965236443,0.0,0.0,0.6040346743798378,10,-78.70492965236443,0.0,-80.51405358697532,8,8,nan,32013.531,416000
-5661.166,485.3603036811381,0.0,178.54755,1585.4667021453934,2665.235298796957,970.6286341965705,10,2665.235298796957,1585.4667021453934,-5.869545,1585.466702145393,0.0,0.0,485.3603036811381,10,1585.466702145393,0.0,970.6286341965705,9,9,nan,40804.426,440000
