MetaTrain/Average/QfLoss,MetaTest/plate-slide-side-v1/StdReturn,MetaTest/Average/NumTrajs,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/plate-slide-side-v1/AverageReturn,MetaTest/plate-slide-side-v1/MaxReturn,MetaTest/plate-slide-side-v1/Iteration,MetaTest/plate-slide-side-v1/NumTrajs,MetaTest/plate-slide-side-v1/MinReturn,MetaTest/plate-slide-side-v1/TerminationRate,TotalEnvSteps,MetaTrain/Average/AlphaLoss,MetaTest/Average/StdReturn,MetaTrain/Average/PolicyLoss,MetaTest/plate-slide-side-v1/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/Average/TerminationRate,MetaTest/Average/Iteration,MetaTrain/Average/Alpha,MetaTest/plate-slide-side-v1/SuccessRate
20.442337,0.5169002037729027,10,-19.798862510807805,-21.824097267105454,12.558307,-20.661652553675996,-20.661652553675996,-19.798862510807805,0,10,-21.824097267105454,0.0,224000,6.7149863,0.5169002037729027,-6.163881,-20.661652553675996,-20.661652553675996,0.0,0.0,0,nan,0.0
32.705612,5.388578940044869,10,-38.21760117564679,-53.42508197375319,9.251566,-46.79824797305582,-46.79824797305581,-38.21760117564679,1,10,-53.42508197375319,0.0,248000,6.496724,5.388578940044869,-16.554348,-46.79824797305582,-46.79824797305581,0.0,0.0,1,nan,0.0
722.3983,12.100854267977581,10,-38.18283885849871,-68.3261375811274,8.390912,-55.031825183094654,-55.03182518309467,-38.18283885849871,2,10,-68.3261375811274,0.0,272000,5.924501,12.100854267977581,-42.6906,-55.031825183094654,-55.03182518309467,0.0,0.0,2,nan,0.0
3853.8916,1234.6840504026566,10,3191.737877480885,-50.26238750467499,17.249725,1121.6580081646146,1121.6580081646148,3191.737877480885,3,10,-50.26238750467499,0.0,296000,3.709681,1234.6840504026566,-201.56659,1121.6580081646146,1121.6580081646148,0.0,0.0,3,nan,0.0
35129.95,1.4328723869028683,10,-24.022979288919384,-28.468574144863364,26.904446,-27.25187961917495,-27.251879619174957,-24.022979288919384,4,10,-28.468574144863364,0.0,320000,-2.039008,1.4328723869028683,-1249.3279,-27.25187961917495,-27.251879619174957,0.0,0.0,4,nan,0.0
193181.88,3559.3322509706168,10,11235.205146892104,-55.342801001489484,173.06178,1925.7751780083877,1925.7751780083854,11235.205146892104,5,10,-55.342801001489484,0.0,344000,-9.452926,3559.3322509706168,-6368.303,1925.7751780083877,1925.7751780083854,0.1,0.0,5,nan,0.1
600899.9,15.058389952492792,10,-27.083098764698978,-70.88625643871734,122.82484,-57.53810590216557,-57.53810590216557,-27.083098764698978,6,10,-70.88625643871734,0.0,368000,-15.896403,15.058389952492792,-22160.518,-57.53810590216557,-57.53810590216557,0.0,0.0,6,nan,0.0
529328.9,16169.451797596572,10,54173.59104576442,-104.82033327513334,252.74048,5986.143370262477,5986.143370262471,54173.59104576442,7,10,-104.82033327513334,0.0,392000,-12.885455,16169.451797596572,-20799.406,5986.143370262477,5986.143370262471,0.0,0.0,7,nan,0.0
989201.4,10133.952442086684,10,28198.769514350897,-95.44269959246725,507.58817,5826.001693649467,5826.001693649463,28198.769514350897,8,10,-95.44269959246725,0.0,416000,-13.03886,10133.952442086684,-22900.44,5826.001693649467,5826.001693649463,0.1,0.0,8,nan,0.1
1991075.9,4690.053963332957,10,14042.915881270419,-95.40242126145729,433.09995,2612.9390630198127,2612.9390630198127,14042.915881270419,9,10,-95.40242126145729,0.0,440000,-15.822177,4690.053963332957,-37129.168,2612.9390630198127,2612.9390630198127,0.2,0.0,9,nan,0.2
2820223.0,4.949372548626622,10,-38.44332764566825,-54.56102020383263,594.3071,-48.33568149364596,-48.335681493645964,-38.44332764566825,10,10,-54.56102020383263,0.0,464000,-16.471258,4.949372548626622,-45194.13,-48.33568149364596,-48.335681493645964,0.1,0.0,10,nan,0.1
3192626.2,34.67860316161196,10,-39.00029987334228,-136.86925455378517,655.9064,-80.93390613700008,-80.93390613700006,-39.00029987334228,11,10,-136.86925455378517,0.0,488000,-16.60964,34.67860316161196,-48927.156,-80.93390613700008,-80.93390613700006,0.2,0.0,11,nan,0.2
3900959.0,32.10628470898921,10,-13.707259932198745,-115.12156573574126,2077.8154,-48.90240958833662,-48.90240958833661,-13.707259932198745,12,10,-115.12156573574126,0.0,512000,-15.721149,32.10628470898921,-52545.273,-48.90240958833662,-48.90240958833661,0.5,0.0,12,nan,0.5
3482994.5,6.167603534726984,10,-28.524452055839305,-48.90621193457025,1281.215,-35.73791132797125,-35.73791132797122,-28.524452055839305,13,10,-48.90621193457025,0.0,536000,-14.778555,6.167603534726984,-45267.375,-35.73791132797125,-35.73791132797122,0.5,0.0,13,nan,0.5
3582357.5,856.7182188246585,10,2612.249569542774,-112.2685600568762,1749.9707,424.27858713479355,424.2785871347936,2612.249569542774,14,10,-112.2685600568762,0.0,560000,-15.678313,856.7182188246585,-40553.668,424.27858713479355,424.2785871347936,0.0,0.0,14,nan,0.0
4624609.5,58652.070310061266,10,158550.58535290387,-125.99577456760986,2029.204,45109.45100512267,45109.45100512265,158550.58535290387,15,10,-125.99577456760986,0.0,584000,-15.8414345,58652.070310061266,-46670.76,45109.45100512267,45109.45100512265,0.3,0.0,15,nan,0.3
5587509.0,10885.939535972355,10,36829.21561246359,-98.26522539086851,1881.5406,5246.186685932202,5246.186685932202,36829.21561246359,16,10,-98.26522539086851,0.0,608000,-16.381155,10885.939535972355,-51483.273,5246.186685932202,5246.186685932202,0.0,0.0,16,nan,0.0
5221750.0,3371.3629153558795,10,11191.216882531548,-63.698402556387585,3476.4336,1077.1533260186404,1077.1533260186404,11191.216882531548,17,10,-63.698402556387585,0.0,632000,-16.528801,3371.3629153558795,-49101.39,1077.1533260186404,1077.1533260186404,0.0,0.0,17,nan,0.0
6803339.0,34101.55957747752,10,113879.38995181075,-63.703828908790626,4516.763,13631.671513348309,13631.671513348318,113879.38995181075,18,10,-63.703828908790626,0.0,656000,-17.40298,34101.55957747752,-62314.555,13631.671513348309,13631.671513348318,0.1,0.0,18,nan,0.1
9039220.0,53004.237239015514,10,144682.55550863917,5070.163917063235,2681.0488,46257.739254217966,46257.73925421799,144682.55550863917,19,10,5070.163917063235,0.0,680000,-18.308744,53004.237239015514,-73889.15,46257.739254217966,46257.73925421799,0.4,0.0,19,nan,0.4
10262782.0,15676.168434564976,10,47796.4400492768,-29.923547025904774,910.5405,14604.778754778157,14604.778754778154,47796.4400492768,20,10,-29.923547025904774,0.0,704000,-19.09475,15676.168434564976,-80912.34,14604.778754778157,14604.778754778154,0.4,0.0,20,nan,0.4
9885371.0,11134.000261882575,10,38216.855943233364,-61.33705763036491,706.2384,5216.3242948807465,5216.324294880744,38216.855943233364,21,10,-61.33705763036491,0.0,728000,-17.637646,11134.000261882575,-74081.13,5216.3242948807465,5216.324294880744,0.6,0.0,21,nan,0.6
11220760.0,2865.7629512023527,10,7869.3652605131065,-33.723776111952404,979.0131,1770.6357466737143,1770.6357466737143,7869.3652605131065,22,10,-33.723776111952404,0.0,752000,-18.394503,2865.7629512023527,-79264.625,1770.6357466737143,1770.6357466737143,0.1,0.0,22,nan,0.1
11213554.0,8944.023548177935,10,28510.363164449594,-25.95951848907329,262.79266,6246.925870472118,6246.925870472117,28510.363164449594,23,10,-25.95951848907329,0.0,776000,-19.751629,8944.023548177935,-83546.8,6246.925870472118,6246.925870472117,0.3,0.0,23,nan,0.3
10985651.0,15071.765140318585,10,45995.77181194279,-57.89588658902245,703.7464,10756.512356205789,10756.512356205794,45995.77181194279,24,10,-57.89588658902245,0.0,800000,-19.027401,15071.765140318585,-83255.84,10756.512356205789,10756.512356205794,0.2,0.0,24,nan,0.2
11634201.0,877.5927417305813,10,2887.5210790568467,-49.140379110613296,785.5854,254.82838750255468,254.82838750255465,2887.5210790568467,25,10,-49.140379110613296,0.0,824000,-20.036669,877.5927417305813,-85925.055,254.82838750255468,254.82838750255465,0.1,0.0,25,nan,0.1
12801646.0,8473.180720808727,10,27410.644373145697,-85.41189312647879,1723.2421,4565.702647696327,4565.7026476963265,27410.644373145697,26,10,-85.41189312647879,0.0,848000,-20.74799,8473.180720808727,-86417.54,4565.702647696327,4565.7026476963265,0.0,0.0,26,nan,0.0
8840061.0,15660.909424646678,10,50151.88632607328,-40.850589454678364,2223.9358,9732.807061832547,9732.807061832542,50151.88632607328,27,10,-40.850589454678364,0.0,872000,-20.613295,15660.909424646678,-75704.62,9732.807061832547,9732.807061832542,0.1,0.0,27,nan,0.1
9434830.0,6364.762107199902,10,19290.67961749167,-60.43868110151974,513.9023,3602.8893840263736,3602.8893840263736,19290.67961749167,28,10,-60.43868110151974,0.0,896000,-19.779007,6364.762107199902,-80235.78,3602.8893840263736,3602.8893840263736,0.0,0.0,28,nan,0.0
9004711.0,25421.92127643646,10,85929.44774719965,-44.801690689418784,720.53186,10446.920841537241,10446.920841537243,85929.44774719965,29,10,-44.801690689418784,0.0,920000,-18.752857,25421.92127643646,-74140.445,10446.920841537241,10446.920841537243,0.0,0.0,29,nan,0.0
6812634.0,8623.749774903312,10,28696.458827487633,-94.42331507434398,980.74744,2825.3243599943894,2825.3243599943885,28696.458827487633,30,10,-94.42331507434398,0.0,944000,-16.69026,8623.749774903312,-50241.2,2825.3243599943894,2825.3243599943885,0.1,0.0,30,nan,0.1
8801405.0,12625.771561199454,10,36316.125851197496,-60.27034257924936,1126.2622,9617.785236132553,9617.785236132551,36316.125851197496,31,10,-60.27034257924936,0.0,968000,-17.205105,12625.771561199454,-50192.383,9617.785236132553,9617.785236132551,0.4,0.0,31,nan,0.4
12119751.0,16909.510243117755,10,55744.74582045884,-94.11808792961587,1744.8423,10266.20697402504,10266.206974025034,55744.74582045884,32,10,-94.11808792961587,0.0,992000,-18.712673,16909.510243117755,-61140.188,10266.20697402504,10266.206974025034,0.0,0.0,32,nan,0.0
12280912.0,28081.743856424444,10,94389.07513002555,-63.95415113624018,3137.4836,11394.844168517951,11394.844168517951,94389.07513002555,33,10,-63.95415113624018,0.0,1016000,-18.729912,28081.743856424444,-55785.527,11394.844168517951,11394.844168517951,0.0,0.0,33,nan,0.0
8713943.0,5100.836756342795,10,14708.347523631837,-42.573587043681755,4237.278,3069.2572974027144,3069.257297402713,14708.347523631837,34,10,-42.573587043681755,0.0,1040000,-14.495801,5100.836756342795,-31926.664,3069.2572974027144,3069.257297402713,0.0,0.0,34,nan,0.0
13264791.0,32758.694055678472,10,108552.99706194625,7764.426963301577,917.5391,35845.31388513117,35845.31388513117,108552.99706194625,35,10,7764.426963301577,0.0,1064000,-15.68611,32758.694055678472,-50414.84,35845.31388513117,35845.31388513117,0.2,0.0,35,nan,0.2
19770028.0,10992.989051117425,10,43031.156214658404,10156.183962885967,1901.9098,22357.737960147908,22357.737960147904,43031.156214658404,36,10,10156.183962885967,0.0,1088000,-18.75412,10992.989051117425,-80001.875,22357.737960147908,22357.737960147904,0.0,0.0,36,nan,0.0
20696634.0,22811.105965110226,10,58067.23832489964,-15.866484685072088,3734.4124,20660.5588857904,20660.558885790397,58067.23832489964,37,10,-15.866484685072088,0.0,1112000,-20.444738,22811.105965110226,-80446.19,20660.5588857904,20660.558885790397,0.1,0.0,37,nan,0.1
19727278.0,26924.69148438354,10,92867.29919779152,628.4693784804465,2966.068,36980.20182924242,36980.201829242425,92867.29919779152,38,10,628.4693784804465,0.0,1136000,-20.167662,26924.69148438354,-70890.21,36980.20182924242,36980.201829242425,0.5,0.0,38,nan,0.5
18251464.0,33663.605332953295,10,99397.14514045778,-17.83655665470562,3466.5742,22901.55158751012,22901.551587510123,99397.14514045778,39,10,-17.83655665470562,0.0,1160000,-20.310865,33663.605332953295,-72248.25,22901.55158751012,22901.551587510123,0.1,0.0,39,nan,0.1
18475252.0,8247.866340870029,10,27525.573517251392,-94.50593287170116,476.1827,3800.4083717546027,3800.4083717546027,27525.573517251392,40,10,-94.50593287170116,0.0,1184000,-20.360739,8247.866340870029,-79706.016,3800.4083717546027,3800.4083717546027,0.0,0.0,40,nan,0.0
19300532.0,32430.40813147552,10,103721.73007953992,-94.09516703749894,606.2965,24504.746940257995,24504.746940257995,103721.73007953992,41,10,-94.09516703749894,0.0,1208000,-20.298828,32430.40813147552,-79751.3,24504.746940257995,24504.746940257995,0.1,0.0,41,nan,0.1
