MetaTest/Average/NumTrajs,MetaTest/Average/TerminationRate,MetaTest/soccer-v1/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/soccer-v1/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/QfLoss,MetaTest/soccer-v1/SuccessRate,MetaTest/soccer-v1/StdReturn,TotalEnvSteps,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/AverageReturn,MetaTest/soccer-v1/Iteration,MetaTest/Average/Iteration,MetaTrain/Average/Alpha,MetaTest/soccer-v1/TerminationRate,MetaTrain/Average/AlphaLoss,MetaTest/soccer-v1/AverageReturn,MetaTest/soccer-v1/MinReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/Average/StdReturn,MetaTest/soccer-v1/NumTrajs
10,0.0,-39.234013882199214,-39.234013882199214,-71.07466395386629,0.0,105133.07,0.0,22.935793997311883,224000,23.308758,-71.07466395386629,0,0,nan,0.0,4.0005927,-71.07466395386629,-102.52516668152016,-213.35417,-71.07466395386629,-102.52516668152016,22.935793997311883,10
10,0.0,-54.24987668777895,-54.24987668777895,-84.9440086863082,0.0,96255.234,0.0,13.209875578103699,248000,110.35619,-84.9440086863082,1,1,nan,0.0,0.07342407,-84.9440086863082,-101.5802732325245,-625.3712,-84.9440086863082,-101.5802732325245,13.209875578103699,10
10,0.0,-99.09094750205611,-99.09094750205611,-104.8032616784581,0.0,587014.4,0.0,3.9366718769717997,272000,7628.138,-104.80326167845814,2,2,nan,0.0,-6.1063137,-104.80326167845814,-111.63986441282397,-1827.6097,-104.8032616784581,-111.63986441282397,3.9366718769717997,10
10,0.0,-38.03780847846222,-38.03780847846222,-45.1199997290085,0.0,119507.484,0.0,5.904071597328254,296000,5486.63,-45.119999729008505,3,3,nan,0.0,-0.33681756,-45.119999729008505,-57.16217220757396,-378.83624,-45.1199997290085,-57.16217220757396,5.904071597328254,10
10,0.0,-64.06409418428377,-64.06409418428377,-75.23836986534889,0.0,461169.53,0.0,5.8699064368954295,320000,220986.12,-75.23836986534887,4,4,nan,0.0,1.9475161,-75.23836986534887,-82.42541329152344,1111.3247,-75.23836986534889,-82.42541329152344,5.8699064368954295,10
10,0.0,329.14300968585644,329.14300968585644,-27.967162683064892,0.0,73281.18,0.0,120.94413794265245,344000,753.6436,-27.96716268306494,5,5,nan,0.0,1.2650237,-27.96716268306494,-92.22697902957424,60.099274,-27.967162683064892,-92.22697902957424,120.94413794265245,10
10,0.0,-17.318261102265115,-17.318261102265115,-27.374903682445705,0.0,78978.27,0.0,7.36473838445343,368000,10205.606,-27.374903682445716,6,6,nan,0.0,3.3242097,-27.374903682445716,-40.965589604152704,295.43573,-27.374903682445705,-40.965589604152704,7.36473838445343,10
10,0.0,3799.161641339695,3799.161641339695,346.48915284141583,0.1,64600.03,0.1,1151.0520920428778,392000,811.7311,346.4891528414159,7,7,nan,0.0,4.1172185,346.4891528414159,-87.04803998775219,212.88768,346.48915284141583,-87.04803998775219,1151.0520920428778,10
10,0.0,4133.520792250674,4133.520792250674,598.8992721309273,0.0,94286.55,0.0,1287.288910139938,416000,1095.1274,598.8992721309278,8,8,nan,0.0,3.2186685,598.8992721309278,-46.71507386983761,-100.806305,598.8992721309273,-46.71507386983761,1287.288910139938,10
10,0.0,10893.605820631337,10893.605820631337,1130.7400017829796,0.0,115166.67,0.0,3261.672192093283,440000,1528.607,1130.74000178298,9,9,nan,0.0,1.1333612,1130.74000178298,-77.14633294703647,-623.10474,1130.7400017829796,-77.14633294703647,3261.672192093283,10
