MetaTest/stick-pull-v1/TerminationRate,MetaTest/Average/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/Average/Iteration,MetaTrain/Average/QfLoss,MetaTest/Average/MinReturn,MetaTest/stick-pull-v1/MaxReturn,MetaTest/stick-pull-v1/Iteration,TotalEnvSteps,MetaTest/stick-pull-v1/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/stick-pull-v1/AverageDiscountedReturn,MetaTest/Average/NumTrajs,MetaTrain/Average/Alpha,MetaTrain/Average/AlphaLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/Average/AverageReturn,MetaTrain/Average/PolicyLoss,MetaTrain/Average/ContrastiveLoss,MetaTest/stick-pull-v1/NumTrajs,MetaTest/stick-pull-v1/StdReturn,MetaTest/stick-pull-v1/SuccessRate,MetaTest/stick-pull-v1/MinReturn
0.0,0.0,-13.033324616467228,0,3.3441436,-23.84999659521297,-13.033324616467228,0,224000,-20.778396588870883,0.0,-20.778396588870883,10,nan,6.7311416,-20.778396588870883,3.1035754456532203,-20.778396588870883,-11.977241,8.463572,10,3.1035754456532203,0.0,-23.84999659521297
0.0,0.0,-11.59259412047438,1,68.08596,-22.733706963702666,-11.59259412047438,1,248000,-17.889139005588863,0.0,-17.889139005588866,10,nan,6.7190785,-17.889139005588866,3.946552282599457,-17.889139005588863,-24.837477,7.8588214,10,3.946552282599457,0.0,-22.733706963702666
0.0,0.0,-7.848567855411059,2,40.744118,-11.94439990230797,-7.848567855411059,2,272000,-9.40433963878456,0.0,-9.404339638784558,10,nan,6.699493,-9.404339638784558,1.490541988000082,-9.40433963878456,-38.906647,7.863757,10,1.490541988000082,0.0,-11.94439990230797
0.0,0.0,-6.088481927996101,3,42.381382,-9.97346811800869,-6.088481927996101,3,296000,-7.790727914007549,0.0,-7.790727914007547,10,nan,6.672868,-7.790727914007547,1.4471220646515879,-7.790727914007549,-51.343147,7.8490543,10,1.4471220646515879,0.0,-9.97346811800869
0.0,0.0,-6.094234030072317,4,39.604305,-11.212804677538033,-6.094234030072317,4,320000,-7.543639939403571,0.0,-7.543639939403572,10,nan,6.642566,-7.543639939403572,1.8712966747492836,-7.543639939403571,-62.65432,7.6766024,10,1.8712966747492836,0.0,-11.212804677538033
0.0,0.0,-9.254785821929502,5,174.03795,-15.881887219056505,-9.254785821929502,5,344000,-12.724093035952803,0.0,-12.724093035952803,10,nan,6.6096005,-12.724093035952803,2.1263340220005538,-12.724093035952803,-71.4043,181.25189,10,2.1263340220005538,0.0,-15.881887219056505
0.0,0.0,-12.073341535535357,6,202.49318,-16.29547353448524,-12.073341535535357,6,368000,-13.985480091160236,0.0,-13.985480091160236,10,nan,6.3456283,-13.985480091160236,1.309596088192083,-13.985480091160236,-77.586044,65.59174,10,1.309596088192083,0.0,-16.29547353448524
0.0,0.0,-14.825185956234838,7,438.31247,-35.387620943194655,-14.825185956234838,7,392000,-21.620416047005428,0.0,-21.62041604700543,10,nan,4.8265333,-21.62041604700543,5.8819454238155116,-21.620416047005428,-104.049164,8.323578,10,5.8819454238155116,0.0,-35.387620943194655
0.0,0.0,-13.68285259992748,8,703.93945,-48.463140744173295,-13.68285259992748,8,416000,-20.423072797267213,0.0,-20.423072797267206,10,nan,5.976868,-20.423072797267206,10.283041245801998,-20.423072797267213,-122.59642,7.80758,10,10.283041245801998,0.0,-48.463140744173295
0.0,0.0,-14.354614385379323,9,940.2866,-26.581315801208774,-14.354614385379323,9,440000,-19.83282542420809,0.0,-19.83282542420809,10,nan,5.778765,-19.83282542420809,4.173230069345978,-19.83282542420809,-130.65933,7.7034416,10,4.173230069345978,0.0,-26.581315801208774
0.0,0.0,-8.973687543615922,10,1400.7302,-31.62527527107999,-8.973687543615922,10,464000,-20.469601815378535,0.0,-20.469601815378535,10,nan,5.722918,-20.469601815378535,6.327737185806782,-20.469601815378535,-138.28644,7.668035,10,6.327737185806782,0.0,-31.62527527107999
0.0,0.0,-11.557950596750308,11,3714.3123,-33.44349589497968,-11.557950596750308,11,488000,-18.752099164614116,0.0,-18.752099164614112,10,nan,4.9015636,-18.752099164614112,7.89675554279417,-18.752099164614116,-173.5441,7.6350937,10,7.89675554279417,0.0,-33.44349589497968
0.0,0.0,-8.903462135084716,12,7870.208,-52.922486804628335,-8.903462135084716,12,512000,-26.326613380209857,0.0,-26.326613380209842,10,nan,4.6328497,-26.326613380209842,11.098324250390958,-26.326613380209857,-251.3789,7.63253,10,11.098324250390958,0.0,-52.922486804628335
0.0,0.0,-12.33999592754452,13,15607.856,-54.92433668533705,-12.33999592754452,13,536000,-28.412228115946483,0.0,-28.412228115946487,10,nan,3.3474958,-28.412228115946487,17.27401018075822,-28.412228115946483,-420.78116,7.636003,10,17.27401018075822,0.0,-54.92433668533705
0.0,0.0,-15.878980902612927,14,20003.72,-34.978066528082515,-15.878980902612927,14,560000,-27.832055823981136,0.0,-27.832055823981136,10,nan,2.2245333,-27.832055823981136,5.7106908601851645,-27.832055823981136,-828.3753,7.640101,10,5.7106908601851645,0.0,-34.978066528082515
0.0,0.0,-21.39587160376508,15,22265.969,-53.965073117569915,-21.39587160376508,15,584000,-39.647988206508884,0.0,-39.64798820650886,10,nan,-1.3395877,-39.64798820650886,10.930230194268557,-39.647988206508884,-1561.9252,8.465037,10,10.930230194268557,0.0,-53.965073117569915
0.0,0.0,-26.647409688882956,16,30958.738,-40.349699855662124,-26.647409688882956,16,608000,-33.28639351566907,0.0,-33.286393515669076,10,nan,-2.799231,-33.286393515669076,4.876666446482789,-33.28639351566907,-2370.6877,36.54197,10,4.876666446482789,0.0,-40.349699855662124
0.0,0.0,-19.442603305869948,17,19866.877,-81.47591745938489,-19.442603305869948,17,632000,-30.48781490203662,0.0,-30.487814902036614,10,nan,-2.3380387,-30.487814902036614,18.89827676776038,-30.48781490203662,-2698.5117,98.86337,10,18.89827676776038,0.0,-81.47591745938489
0.0,0.0,-22.870656004944394,18,19521.492,-53.60858129642868,-22.870656004944394,18,656000,-34.42702461684359,0.0,-34.42702461684358,10,nan,-1.0137717,-34.42702461684358,9.461237497998159,-34.42702461684359,-2629.1973,58.636303,10,9.461237497998159,0.0,-53.60858129642868
0.0,0.0,-9.18099893346115,19,26305.275,-55.63543702138956,-9.18099893346115,19,680000,-26.606358275171846,0.0,-26.60635827517184,10,nan,-0.2549793,-26.60635827517184,14.816999256556471,-26.606358275171846,-2416.195,26.283493,10,14.816999256556471,0.0,-55.63543702138956
0.0,0.0,514.0495931094126,20,54951.69,-88.34200912149439,514.0495931094126,20,704000,5.731979612024584,0.0,5.731979612024527,10,nan,-2.4544864,5.731979612024527,170.65761988244543,5.731979612024584,-2698.752,27.782156,10,170.65761988244543,0.0,-88.34200912149439
0.0,0.0,-10.025292072864945,21,116314.41,-55.19042361407115,-10.025292072864945,21,728000,-34.45450570104522,0.0,-34.45450570104522,10,nan,-4.4861054,-34.45450570104522,15.094725660244379,-34.45450570104522,-4019.4048,25.895079,10,15.094725660244379,0.0,-55.19042361407115
0.0,0.0,-17.922831275487887,22,220703.8,-105.50694305426309,-17.922831275487887,22,752000,-37.892627188863045,0.0,-37.8926271888631,10,nan,-6.7932343,-37.8926271888631,33.00670502818045,-37.892627188863045,-6335.215,73.77314,10,33.00670502818045,0.0,-105.50694305426309
0.0,0.0,-22.475551086036177,23,406734.97,-45.10141866752762,-22.475551086036177,23,776000,-28.839119221841237,0.0,-28.83911922184124,10,nan,-9.429787,-28.83911922184124,6.33826039964315,-28.839119221841237,-9590.678,152.66135,10,6.33826039964315,0.0,-45.10141866752762
0.0,0.0,0.6192010960471956,24,763395.2,-116.45867069788308,0.6192010960471956,24,800000,-44.792113438544675,0.0,-44.79211343854467,10,nan,-10.865831,-44.79211343854467,46.23650867931514,-44.792113438544675,-13905.006,113.074165,10,46.23650867931514,0.0,-116.45867069788308
