MetaTest/Average/MinReturn,MetaTest/Average/SuccessRate,MetaTest/Average/TerminationRate,MetaTest/stick-push-v1/SuccessRate,MetaTest/stick-push-v1/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/Alpha,MetaTest/stick-push-v1/AverageReturn,MetaTest/stick-push-v1/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/stick-push-v1/AverageDiscountedReturn,MetaTest/stick-push-v1/NumTrajs,MetaTest/stick-push-v1/StdReturn,MetaTest/stick-push-v1/TerminationRate,MetaTest/Average/Iteration,MetaTrain/Average/QfLoss,MetaTest/stick-push-v1/MaxReturn,MetaTest/Average/NumTrajs,MetaTrain/Average/PolicyLoss,MetaTest/Average/AverageReturn,MetaTrain/Average/AlphaLoss,TotalEnvSteps,MetaTest/Average/MaxReturn,MetaTest/Average/StdReturn
-19.605085413059907,0.0,0.0,0.0,-19.605085413059907,8.447782,nan,-16.885253743040323,0,-16.885253743040323,-16.885253743040323,10,1.748992641435775,0.0,0,3.4391644,-13.616642267369365,10,-12.388322,-16.885253743040323,6.7309866,224000,-13.616642267369365,1.748992641435775
-13.337590466425663,0.0,0.0,0.0,-13.337590466425663,8.313583,nan,-10.607873112602798,1,-10.607873112602793,-10.607873112602793,10,1.474448705691606,0.0,1,4.4761834,-8.713544958318751,10,-19.919724,-10.607873112602798,6.722075,248000,-8.713544958318751,1.474448705691606
-11.165432026382048,0.0,0.0,0.0,-11.165432026382048,7.894701,nan,-9.668743467422306,2,-9.668743467422308,-9.668743467422308,10,0.8387632216412838,0.0,2,5.9867153,-8.323680708641731,10,-32.01886,-9.668743467422306,6.7072325,272000,-8.323680708641731,0.8387632216412838
-10.515959559485335,0.0,0.0,0.0,-10.515959559485335,7.712077,nan,-8.154884957221789,3,-8.154884957221789,-8.154884957221789,10,1.1687959657501223,0.0,3,7.959731,-6.737765858460958,10,-46.496944,-8.154884957221789,6.684384,296000,-6.737765858460958,1.1687959657501223
-9.369150252191718,0.0,0.0,0.0,-9.369150252191718,69.80958,nan,-6.906982786532649,4,-6.906982786532649,-6.906982786532649,10,1.3316061335512557,0.0,4,19.866394,-5.755405697496524,10,-60.731678,-6.906982786532649,6.6534915,320000,-5.755405697496524,1.3316061335512557
-9.763240138836082,0.0,0.0,0.0,-9.763240138836082,12.380637,nan,-7.942572764077046,5,-7.942572764077049,-7.942572764077049,10,1.180239839400265,0.0,5,79.13952,-5.928156228267021,10,-73.45313,-7.942572764077046,6.61654,344000,-5.928156228267021,1.180239839400265
-13.179756415172331,0.0,0.0,0.0,-13.179756415172331,7.6381984,nan,-11.33195007195398,6,-11.33195007195398,-11.33195007195398,10,0.890705270342702,0.0,6,85.13703,-9.641353906096082,10,-87.11707,-11.33195007195398,6.5749006,368000,-9.641353906096082,0.890705270342702
-15.281244189890081,0.0,0.0,0.0,-15.281244189890081,7.634879,nan,-13.702287269316653,7,-13.702287269316653,-13.702287269316653,10,1.1333413108385457,0.0,7,130.07141,-11.351728682073274,10,-96.42386,-13.702287269316653,6.5286455,392000,-11.351728682073274,1.1333413108385457
-15.33406496615297,0.0,0.0,0.0,-15.33406496615297,7.6246314,nan,-14.09232894996697,8,-14.09232894996697,-14.09232894996697,10,0.8445561703775373,0.0,8,198.99759,-12.5781581335281,10,-103.471466,-14.09232894996697,6.464622,416000,-12.5781581335281,0.8445561703775373
-13.661705171968709,0.0,0.0,0.0,-13.661705171968709,7.624632,nan,-12.462810143702004,9,-12.462810143702,-12.462810143702,10,0.9048529114864013,0.0,9,334.9435,-11.175642704927181,10,-107.47398,-12.462810143702004,6.361862,440000,-11.175642704927181,0.9048529114864013
-12.143785029078071,0.0,0.0,0.0,-12.143785029078071,7.624632,nan,-10.162218953439828,10,-10.162218953439828,-10.162218953439828,10,0.885394979310277,0.0,10,558.6638,-9.344161109850713,10,-111.817795,-10.162218953439828,6.3258514,464000,-9.344161109850713,0.885394979310277
