MetaTest/assembly-v1/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/AverageReturn,MetaTest/assembly-v1/Iteration,TotalEnvSteps,MetaTest/Average/StdReturn,MetaTest/assembly-v1/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/assembly-v1/AverageReturn,MetaTest/assembly-v1/MaxReturn,MetaTrain/Average/AlphaLoss,MetaTest/assembly-v1/NumEpisodes,MetaTrain/Average/PolicyLoss,MetaTest/Average/NumEpisodes,MetaTest/assembly-v1/AverageDiscountedReturn,MetaTrain/Average/QfLoss,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/Average/MinReturn,MetaTrain/Average/Alpha,MetaTest/assembly-v1/TerminationRate,MetaTest/assembly-v1/StdReturn
-38.50485753530802,9.485803,-30.069833853723576,0,112000,6.396330053631763,0.0,-30.069833853723583,0.0,-19.575289904229322,-30.069833853723576,-19.575289904229322,5.85127,10,-1.0922018,10,-30.069833853723583,0.88142186,0,0.0,-38.50485753530802,0.86936766,0.0,6.396330053631763
-41.31441183956864,8.454253,-25.970945847594965,1,124000,5.8823354777943235,0.0,-25.970945847594958,0.0,-20.09572548215943,-25.970945847594965,-20.09572548215943,4.446189,10,3.8244896,10,-25.970945847594958,3.2745636,1,0.0,-41.31441183956864,0.66261053,0.0,5.8823354777943235
-36.83080880099396,8.099878,-29.004296767218953,2,136000,5.150032421694608,0.0,-29.00429676721895,0.0,-22.2120045419823,-29.004296767218953,-22.2120045419823,3.4062147,10,14.439718,10,-29.00429676721895,2.17985,2,0.0,-36.83080880099396,0.51082194,0.0,5.150032421694608
-34.343842489684114,7.8077736,-23.51025271222077,3,148000,4.953334731218035,0.0,-23.51025271222077,0.0,-16.87847749216018,-23.51025271222077,-16.87847749216018,2.6016908,10,26.04181,10,-23.51025271222077,3.3524377,3,0.0,-34.343842489684114,0.39552984,0.0,4.953334731218035
-26.168126293681357,7.7146173,-22.955906278508216,4,160000,2.7599836735788923,0.0,-22.955906278508216,0.0,-16.617389981895897,-22.955906278508216,-16.617389981895897,1.9669378,10,39.148014,10,-22.955906278508216,3.911215,4,0.0,-26.168126293681357,0.3067911,0.0,2.7599836735788923
-19.02328554962055,7.890867,-17.090649296709806,5,172000,1.1528997292497696,0.0,-17.090649296709806,0.0,-14.784868157472483,-17.090649296709806,-14.784868157472483,1.4618654,10,52.548824,10,-17.090649296709806,4.469223,5,0.0,-19.02328554962055,0.23848829,0.0,1.1528997292497696
-20.64588511898694,7.6255665,-17.636491961244282,6,184000,1.4814713241515611,0.0,-17.636491961244275,0.0,-15.65843470474269,-17.636491961244282,-15.65843470474269,1.0641174,10,65.07742,10,-17.636491961244275,4.971544,6,0.0,-20.64588511898694,0.18603274,0.0,1.4814713241515611
-18.112519698981494,7.6272187,-16.51135349118871,7,196000,1.005821741046042,0.0,-16.511353491188714,0.0,-15.121612912191255,-16.51135349118871,-15.121612912191255,0.76109755,10,75.95461,10,-16.511353491188714,5.643508,7,0.0,-18.112519698981494,0.14553387,0.0,1.005821741046042
-15.56471003886206,7.627722,-14.393487502504467,8,208000,0.5773998488882898,0.0,-14.393487502504474,0.0,-13.369311389952793,-14.393487502504467,-13.369311389952793,0.5353482,10,84.908165,10,-14.393487502504474,5.9121933,8,0.0,-15.56471003886206,0.11420592,0.0,0.5773998488882898
-15.326773104104696,7.6959734,-14.947703185800515,9,220000,0.2523120936075283,0.0,-14.947703185800515,0.0,-14.594825692533167,-14.947703185800515,-14.594825692533167,0.36971882,10,92.59101,10,-14.947703185800515,6.4044867,9,0.0,-15.326773104104696,0.08995842,0.0,0.2523120936075283
-15.137616011547335,7.8487897,-14.71210594594304,10,232000,0.22761309610550856,0.0,-14.712105945943033,0.0,-14.415438041155724,-14.71210594594304,-14.415438041155724,0.24931546,10,99.168686,10,-14.712105945943033,6.6449533,10,0.0,-15.137616011547335,0.07110152,0.0,0.22761309610550856
