MetaTrain/Average/QfLoss,MetaTrain/Average/ContrastiveLoss,TotalEnvSteps,MetaTest/bin-picking-v1/AverageDiscountedReturn,MetaTest/bin-picking-v1/AverageReturn,MetaTest/Average/StdReturn,MetaTrain/Average/Alpha,MetaTest/bin-picking-v1/NumEpisodes,MetaTest/Average/SuccessRate,MetaTest/bin-picking-v1/TerminationRate,MetaTest/Average/MinReturn,MetaTest/bin-picking-v1/StdReturn,MetaTest/bin-picking-v1/Iteration,MetaTrain/Average/AlphaLoss,MetaTest/Average/NumEpisodes,MetaTest/bin-picking-v1/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/Average/Iteration,MetaTest/bin-picking-v1/MaxReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/bin-picking-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn
1.6318257,8.059154,112000,-93.83385903503972,-93.83385903503974,37.32001822434581,0.86997646,10,0.0,0.0,-149.15158446791796,37.32001822434581,0,5.8518243,10,0.0,-93.83385903503974,0,-30.56887708879829,12.614854,-30.56887708879829,0.0,-149.15158446791796,-93.83385903503972
2.7126608,8.267716,124000,-102.72766675693417,-102.72766675693416,26.87439277384115,0.66329235,10,0.0,0.0,-139.4420457944029,26.87439277384115,1,4.449058,10,0.0,-102.72766675693416,1,-57.201879079696035,43.94274,-57.201879079696035,0.0,-139.4420457944029,-102.72766675693417
3.8460698,7.59266,136000,-82.90506410421321,-82.90506410421321,38.1820082714044,0.5113885,10,0.0,0.0,-144.76324942465297,38.1820082714044,2,3.4023995,10,0.0,-82.90506410421321,2,-28.04439064449347,76.83258,-28.04439064449347,0.0,-144.76324942465297,-82.90506410421321
4.8124533,7.8281794,148000,-58.89672491968281,-58.896724919682825,18.698017104530333,0.39584628,10,0.0,0.0,-103.61376204277501,18.698017104530333,3,2.5921683,10,0.0,-58.896724919682825,3,-40.34337428343686,108.06745,-40.34337428343686,0.0,-103.61376204277501,-58.89672491968281
5.250215,7.8224754,160000,-53.75066517002948,-53.75066517002949,26.06842093981358,0.30719665,10,0.0,0.0,-104.62572739568243,26.06842093981358,4,1.951562,10,0.0,-53.75066517002949,4,-21.281655403345777,137.33115,-21.281655403345777,0.0,-104.62572739568243,-53.75066517002948
6.6090097,7.634596,172000,-67.54096817184927,-67.54096817184926,21.519587839464474,0.2391401,10,0.0,0.0,-100.41254447090377,21.519587839464474,5,1.4379798,10,0.0,-67.54096817184926,5,-35.07992098006125,165.43948,-35.07992098006125,0.0,-100.41254447090377,-67.54096817184927
7.4204793,7.70413,184000,-57.7760268778729,-57.776026877872916,27.687649818153133,0.18689609,10,0.0,0.0,-114.94040290532017,27.687649818153133,6,1.0291345,10,0.0,-57.776026877872916,6,-28.44067307605735,185.67879,-28.44067307605735,0.0,-114.94040290532017,-57.7760268778729
8.465339,7.5058875,196000,-42.829300703423726,-42.829300703423726,28.95752384871615,0.1468645,10,0.0,0.0,-116.59751824157532,28.95752384871615,7,0.710829,10,0.0,-42.829300703423726,7,-23.69264007318715,205.31712,-23.69264007318715,0.0,-116.59751824157532,-42.829300703423726
9.432833,6.9933305,208000,-37.5011488140447,-37.501148814044704,13.766461013960301,0.11643561,10,0.0,0.0,-61.53154838008616,13.766461013960301,8,0.45668018,10,0.0,-37.501148814044704,8,-22.8482734244072,218.72806,-22.8482734244072,0.0,-61.53154838008616,-37.5011488140447
10.879189,6.5725904,220000,-48.67487142808491,-48.67487142808491,27.374324225364678,0.09342717,10,0.0,0.0,-94.05255588787016,27.374324225364678,9,0.27556768,10,0.0,-48.67487142808491,9,-24.92869658448519,230.19604,-24.92869658448519,0.0,-94.05255588787016,-48.67487142808491
12.083204,6.5349054,232000,-42.99418339390215,-42.994183393902155,16.438792313001187,0.07633617,10,0.0,0.0,-80.61560369548272,16.438792313001187,10,0.14355084,10,0.0,-42.994183393902155,10,-23.06306476982522,235.80125,-23.06306476982522,0.0,-80.61560369548272,-42.99418339390215
13.673705,6.529585,244000,-40.841915607249135,-40.841915607249135,22.093923941637705,0.064019054,10,0.0,0.0,-91.35207146172786,22.093923941637705,11,0.066958375,10,0.0,-40.841915607249135,11,-24.300864648479774,241.45282,-24.300864648479774,0.0,-91.35207146172786,-40.841915607249135
13.791917,6.5534673,256000,-34.291753715672066,-34.291753715672066,12.54558564690538,0.056374937,10,0.0,0.0,-60.736166258293274,12.54558564690538,12,0.022013912,10,0.0,-34.291753715672066,12,-21.69191203429589,246.33693,-21.69191203429589,0.0,-60.736166258293274,-34.291753715672066
15.184757,6.692308,268000,-48.155604582736174,-48.15560458273616,23.7342564541458,0.0519697,10,0.0,0.0,-96.2226305310156,23.7342564541458,13,0.008497879,10,0.0,-48.15560458273616,13,-25.73640428295381,250.11385,-25.73640428295381,0.0,-96.2226305310156,-48.155604582736174
16.139524,6.491581,280000,-64.56551637661174,-64.56551637661174,24.843892378961016,0.04917349,10,0.0,0.0,-96.04039406100675,24.843892378961016,14,0.004682764,10,0.0,-64.56551637661174,14,-27.707300890916436,251.35776,-27.707300890916436,0.0,-96.04039406100675,-64.56551637661174
16.157326,6.394498,292000,-47.74932751438772,-47.74932751438771,21.251456198989384,0.047269516,10,0.0,0.0,-78.14664261247724,21.251456198989384,15,0.0038349614,10,0.0,-47.74932751438771,15,-24.30711547999099,254.97748,-24.30711547999099,0.0,-78.14664261247724,-47.74932751438772
16.586203,6.4002843,304000,-42.520194808829515,-42.5201948088295,27.750132724135632,0.045948952,10,0.0,0.0,-98.8523338430455,27.750132724135632,16,0.0023463855,10,0.0,-42.5201948088295,16,-22.125284342020105,254.74944,-22.125284342020105,0.0,-98.8523338430455,-42.520194808829515
16.24377,6.4860168,316000,-32.24866088593719,-32.248660885937184,9.594284125294813,0.043169096,10,0.0,0.0,-56.28420636227732,9.594284125294813,17,0.0046090805,10,0.0,-32.248660885937184,17,-23.161905441046414,256.49756,-23.161905441046414,0.0,-56.28420636227732,-32.24866088593719
17.384474,6.3774486,328000,-46.80417094310135,-46.80417094310134,21.806124550553967,0.042765148,10,0.0,0.0,-82.87003171944338,21.806124550553967,18,-0.0012290813,10,0.0,-46.80417094310134,18,-24.46177438062911,255.40977,-24.46177438062911,0.0,-82.87003171944338,-46.80417094310135
16.513983,6.3593297,340000,-57.99035512843883,-57.99035512843884,27.349295073188657,0.04230485,10,0.0,0.0,-103.49294714105929,27.349295073188657,19,0.0022994261,10,0.0,-57.99035512843884,19,-25.449157535352043,256.54843,-25.449157535352043,0.0,-103.49294714105929,-57.99035512843883
