MetaTest/coffee-button-v1/MinReturn,MetaTest/Average/AverageReturn,MetaTest/coffee-button-v1/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/MinReturn,TotalEnvSteps,MetaTest/coffee-button-v1/AverageReturn,MetaTest/Average/StdReturn,MetaTest/coffee-button-v1/MaxReturn,MetaTest/coffee-button-v1/NumEpisodes,MetaTrain/Average/Alpha,MetaTest/Average/AverageDiscountedReturn,MetaTest/coffee-button-v1/Iteration,MetaTest/coffee-button-v1/SuccessRate,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/PolicyLoss,MetaTest/coffee-button-v1/TerminationRate,MetaTest/coffee-button-v1/StdReturn,MetaTest/Average/Iteration,MetaTest/Average/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTrain/Average/QfLoss
-131.6019135000917,-115.03468216867131,-115.03468216867131,10,-131.6019135000917,112000,-115.03468216867131,10.885476156969833,-93.29832103135921,10,1.0128231,-115.03468216867131,0,0.0,2590.2742,-93.29832103135921,0.0,-1163.8347,0.0,10.885476156969833,0,0.0,-0.56714195,11810568.0
-115.0489269504589,-101.85391623574296,-101.85391623574294,10,-115.0489269504589,124000,-101.85391623574296,8.84313264872274,-88.7864793238154,10,1.1944063,-101.85391623574294,1,0.0,256.56732,-88.7864793238154,0.0,-2712.0696,0.0,8.84313264872274,1,0.0,-4.1974783,10254814.0
-113.63378079569173,-97.28277872736388,-97.28277872736388,10,-113.63378079569173,136000,-97.28277872736388,14.729869741431923,-62.492556505447546,10,1.6706778,-97.28277872736388,2,0.0,198.44841,-62.492556505447546,0.0,-5277.823,0.0,14.729869741431923,2,0.0,-7.823368,8315124.0
-106.33385436534888,6861.741946652297,6861.741946652296,10,-106.33385436534888,148000,6861.741946652297,20701.362792301792,68965.78181434814,10,2.1568472,6861.741946652296,3,0.5,267.80786,68965.78181434814,0.0,-9601.82,0.0,20701.362792301792,3,0.5,-4.6143947,7101819.5
-79.06788821988522,-43.6286040293031,-43.628604029303084,10,-79.06788821988522,160000,-43.6286040293031,20.43603087357651,-16.0918518322845,10,2.7058754,-43.628604029303084,4,0.5,241.30504,-16.0918518322845,0.0,-13591.406,0.0,20.43603087357651,4,0.5,-4.613478,7374918.5
-36.890923711959694,14495.048503407346,14495.04850340734,10,-36.890923711959694,172000,14495.048503407346,24255.552275442227,76266.93977481431,10,3.6220546,14495.04850340734,5,0.8,246.90025,76266.93977481431,0.0,-20009.314,0.0,24255.552275442227,5,0.8,-7.717504,10311122.0
-96.16079169750792,34324.471227820686,34324.47122782067,10,-96.16079169750792,184000,34324.471227820686,96804.04382768593,324509.21590565395,10,5.1361628,34324.47122782067,6,0.3,1775.0126,324509.21590565395,0.0,-32462.957,0.0,96804.04382768593,6,0.3,-13.323923,17112882.0
-113.12655901873313,34164.38819943921,34164.38819943918,10,-113.12655901873313,196000,34164.38819943921,102652.61682705246,342122.22152463277,10,7.0557013,34164.38819943918,7,0.4,3002.5706,342122.22152463277,0.0,-38545.12,0.0,102652.61682705246,7,0.4,-15.335683,22161306.0
-73.64780727426204,55897.07133765713,55897.071337657144,10,-73.64780727426204,208000,55897.07133765713,114746.18417889878,336617.08814333146,10,9.413559,55897.071337657144,8,0.5,10661.888,336617.08814333146,0.0,-40092.805,0.0,114746.18417889878,8,0.5,-15.782852,22786026.0
-65.506807030993,22199.310707597368,22199.31070759736,10,-65.506807030993,220000,22199.310707597368,43219.79581101966,134931.56721914414,10,12.552342,22199.31070759736,9,0.6,10232.556,134931.56721914414,0.0,-43587.207,0.0,43219.79581101966,9,0.6,-20.292063,25341046.0
-108.54863336972777,665.7040755952819,665.7040755952823,10,-108.54863336972777,232000,665.7040755952819,1636.873633663041,5301.600535278736,10,17.204292,665.7040755952823,10,0.3,5042.2085,5301.600535278736,0.0,-63951.94,0.0,1636.873633663041,10,0.3,-31.145657,46104780.0
-104.80369599618528,97644.6907885288,97644.69078852884,10,-104.80369599618528,244000,97644.6907885288,127178.66640622597,322593.8766588511,10,22.234852,97644.69078852884,11,0.6,4110.98,322593.8766588511,0.0,-79090.22,0.0,127178.66640622597,11,0.6,-27.220047,63273836.0
-114.06714816130582,84130.56326273708,84130.56326273707,10,-114.06714816130582,256000,84130.56326273708,132161.4480755024,325395.94898008235,10,30.34842,84130.56326273707,12,0.6,3024.2534,325395.94898008235,0.0,-104660.78,0.0,132161.4480755024,12,0.6,-53.539658,77562640.0
-91.05030913926527,-69.47852608096233,-69.47852608096233,10,-91.05030913926527,268000,-69.47852608096233,9.905782297241903,-56.705928477788426,10,37.435406,-69.47852608096233,13,0.7,10055.133,-56.705928477788426,0.0,-77670.95,0.0,9.905782297241903,13,0.7,4.9685154,65102184.0
-60.29062596023407,-49.84533977030999,-49.845339770309984,10,-60.29062596023407,280000,-49.84533977030999,9.148974780065968,-33.8082509003326,10,32.282234,-49.845339770309984,14,0.1,11701.946,-33.8082509003326,0.0,-33784.97,0.0,9.148974780065968,14,0.1,26.117723,35814596.0
-26.684401436851953,176860.9246049236,176860.92460492344,10,-26.684401436851953,292000,176860.9246049236,141596.21967127002,326387.1905272327,10,28.786938,176860.92460492344,15,0.9,4512.288,326387.1905272327,0.0,-50284.168,0.0,141596.21967127002,15,0.9,10.21674,34438684.0
144149.97938875508,255346.09937045816,255346.0993704581,10,144149.97938875508,304000,255346.09937045816,47971.513350051704,305385.71254962886,10,35.34708,255346.0993704581,16,0.9,3093.443,305385.71254962886,0.0,-181746.78,0.0,47971.513350051704,16,0.9,-91.61764,124393540.0
-69.91363757033382,-48.55466771183603,-48.55466771183604,10,-69.91363757033382,316000,-48.55466771183603,17.966294344080712,-18.655568276504475,10,49.25991,-48.55466771183604,17,0.6,2660741.0,-18.655568276504475,0.0,-214365.8,0.0,17.966294344080712,17,0.6,-72.44537,173914130.0
-67.35571424741025,62522.253475515834,62522.253475515834,10,-67.35571424741025,328000,62522.253475515834,120567.07377611256,317086.871558552,10,44.60825,62522.253475515834,18,0.4,294615.88,317086.871558552,0.0,-68619.97,0.0,120567.07377611256,18,0.4,80.49534,61137572.0
-101.26969054869419,50752.19011026491,50752.19011026491,10,-101.26969054869419,340000,50752.19011026491,99978.34764995717,261259.58024256607,10,38.379467,50752.19011026491,19,0.6,92897.33,261259.58024256607,0.0,-96523.055,0.0,99978.34764995717,19,0.6,-2.545629,68543470.0
-59.12006540563561,136059.31178065244,136059.31178065247,10,-59.12006540563561,352000,136059.31178065244,130242.91847948168,320558.57175925554,10,49.055866,136059.31178065247,20,0.9,34341.707,320558.57175925554,0.0,-200462.78,0.0,130242.91847948168,20,0.9,-100.59119,132954200.0
-94.08564415973399,73993.2667724105,73993.26677241051,10,-94.08564415973399,364000,73993.2667724105,111579.66419715645,258867.72660389953,10,67.09666,73993.26677241051,21,0.2,31253.363,258867.72660389953,0.0,-239113.38,0.0,111579.66419715645,21,0.2,-88.96979,150972110.0
-68.27822465615459,150095.15920234373,150095.15920234373,10,-68.27822465615459,376000,150095.15920234373,153364.75624204628,345653.6856172213,10,75.791084,150095.15920234373,22,0.7,49373.113,345653.6856172213,0.0,-266634.03,0.0,153364.75624204628,22,0.7,-38.661243,173697980.0
-80.66197006724242,109543.94003194869,109543.94003194869,10,-80.66197006724242,388000,109543.94003194869,120816.86503487924,289226.1824352739,10,95.87597,109543.94003194869,23,0.8,177731.97,289226.1824352739,0.0,-322654.97,0.0,120816.86503487924,23,0.8,-92.39674,213912510.0
-68.5924843442872,154264.38224473636,154264.38224473633,10,-68.5924843442872,400000,154264.38224473636,147958.0308008774,351358.4895394356,10,118.63096,154264.38224473633,24,0.5,18235.932,351358.4895394356,0.0,-337950.44,0.0,147958.0308008774,24,0.5,-68.09916,225496380.0
-37.01898213226244,255564.16177550735,255564.16177550732,10,-37.01898213226244,412000,255564.16177550735,127259.95297280334,353095.1938397647,10,141.45137,255564.16177550732,25,0.8,4844.643,353095.1938397647,0.0,-378380.4,0.0,127259.95297280334,25,0.8,-89.09128,232504740.0
-22.327026189778746,269377.2529451599,269377.2529451598,10,-22.327026189778746,424000,269377.2529451599,103443.59995020935,343127.7460048841,10,180.70718,269377.2529451598,26,0.9,6027.408,343127.7460048841,0.0,-476162.5,0.0,103443.59995020935,26,0.9,-138.01056,301607360.0
242953.17387615767,296710.1409612674,296710.14096126746,10,242953.17387615767,436000,296710.1409612674,34385.25889497551,347451.0168492363,10,230.65002,296710.14096126746,27,1.0,3883.768,347451.0168492363,0.0,-554764.4,0.0,34385.25889497551,27,1.0,-93.47202,338707170.0
271653.72527667636,298265.7276964475,298265.7276964475,10,271653.72527667636,448000,298265.7276964475,17620.285741392752,329950.45319647656,10,272.7538,298265.7276964475,28,1.0,3010.261,329950.45319647656,0.0,-622514.94,0.0,17620.285741392752,28,1.0,-55.64051,367483000.0
96003.6281428118,275896.8775658716,275896.8775658715,10,96003.6281428118,460000,275896.8775658716,70778.23521140267,350367.9668660931,10,303.89008,275896.8775658715,29,1.0,2047.8909,350367.9668660931,0.0,-642878.56,0.0,70778.23521140267,29,1.0,-22.50445,381729400.0
273551.0538277756,311945.59355313686,311945.59355313686,10,273551.0538277756,472000,311945.59355313686,26642.888707700695,356364.1899574724,10,323.97348,311945.59355313686,30,1.0,1988.0144,356364.1899574724,0.0,-655554.06,0.0,26642.888707700695,30,1.0,-17.55068,386154300.0
-47.89433826961485,154361.65845416207,154361.65845416204,10,-47.89433826961485,484000,154361.65845416207,129594.87951531615,300878.6314971222,10,314.85187,154361.65845416204,31,0.8,4097.2256,300878.6314971222,0.0,-542006.56,0.0,129594.87951531615,31,0.8,234.13435,338376640.0
-80.83163932892003,155322.03875450342,155322.03875450342,10,-80.83163932892003,496000,155322.03875450342,156945.4984728864,340906.92399723455,10,237.78966,155322.03875450342,32,0.5,10774.512,340906.92399723455,0.0,-422598.1,0.0,156945.4984728864,32,0.5,274.4985,288331460.0
-63.50427960482001,188729.28530661055,188729.28530661043,10,-63.50427960482001,508000,188729.28530661055,154615.39913346787,335540.4274712135,10,208.37242,188729.28530661043,33,0.8,78230.16,335540.4274712135,0.0,-456239.12,0.0,154615.39913346787,33,0.8,111.73906,315468320.0
298584.620312016,319802.7167038177,319802.7167038176,10,298584.620312016,520000,319802.7167038177,15259.074476364645,346968.3527087628,10,201.50525,319802.7167038176,34,1.0,22679.86,346968.3527087628,0.0,-550510.4,0.0,15259.074476364645,34,1.0,-148.9402,365520300.0
-29.180887314151235,276692.9711777348,276692.97117773484,10,-29.180887314151235,532000,276692.9711777348,106372.40822494893,354001.72959546227,10,269.11395,276692.97117773484,35,0.9,1986.684,354001.72959546227,0.0,-775118.1,0.0,106372.40822494893,35,0.9,-269.47104,497288600.0
9047.984641469728,277955.0157406083,277955.0157406082,10,9047.984641469728,544000,277955.0157406083,92155.46127202785,328364.12351108034,10,332.19913,277955.0157406082,36,1.0,1919.2905,328364.12351108034,0.0,-782341.94,0.0,92155.46127202785,36,1.0,-112.4831,501326140.0
272111.483945795,319143.8084387396,319143.8084387396,10,272111.483945795,556000,319143.8084387396,21682.789265053034,350350.66471617285,10,353.37515,319143.8084387396,37,1.0,1899.502,350350.66471617285,0.0,-801154.94,0.0,21682.789265053034,37,1.0,-2.4837747,535808400.0
196792.9781629249,305550.80994481605,305550.809944816,10,196792.9781629249,568000,305550.80994481605,52225.97511520162,360257.1265706853,10,354.63074,305550.809944816,38,1.0,1724.9001,360257.1265706853,0.0,-806888.94,0.0,52225.97511520162,38,1.0,1.8314754,527062300.0
-32.94808763959699,280217.949131481,280217.949131481,10,-32.94808763959699,580000,280217.949131481,98168.26677244334,346591.5511501596,10,361.43436,280217.949131481,39,1.0,1585.2802,346591.5511501596,0.0,-824735.0,0.0,98168.26677244334,39,1.0,-14.927614,557760260.0
33336.74762480496,298813.6642388184,298813.6642388185,10,33336.74762480496,592000,298813.6642388184,92378.17658620821,352493.75177947705,10,375.8091,298813.6642388185,40,0.9,1923.2864,352493.75177947705,0.0,-828621.1,0.0,92378.17658620821,40,0.9,-0.98473406,563012540.0
110301.55454469284,278215.52242022584,278215.5224202258,10,110301.55454469284,604000,278215.52242022584,87292.03492772338,352565.4574454855,10,393.3179,278215.5224202258,41,0.9,1839.978,352565.4574454855,0.0,-869566.9,0.0,87292.03492772338,41,0.9,-14.0349865,600418700.0
188812.76235452894,313389.74617048237,313389.7461704825,10,188812.76235452894,616000,313389.74617048237,44406.40065607949,350681.7902444912,10,397.62692,313389.7461704825,42,1.0,1503.9812,350681.7902444912,0.0,-871206.44,0.0,44406.40065607949,42,1.0,-5.5416737,623000600.0
93178.13556609713,270305.630895976,270305.6308959759,10,93178.13556609713,628000,270305.630895976,90608.34623986915,351065.64750261756,10,412.3809,270305.6308959759,43,0.8,1492.0734,351065.64750261756,0.0,-883958.94,0.0,90608.34623986915,43,0.8,-17.89071,630249340.0
306763.61990168697,331206.88412019797,331206.8841201981,10,306763.61990168697,640000,331206.88412019797,14785.75534142311,352518.52831471345,10,429.12015,331206.8841201981,44,1.0,1521.0858,352518.52831471345,0.0,-895525.4,0.0,14785.75534142311,44,1.0,-3.4266782,652673900.0
187268.89149685318,299178.48939862254,299178.48939862254,10,187268.89149685318,652000,299178.48939862254,52255.2858101937,349114.5952856876,10,419.84277,299178.48939862254,45,1.0,1266.8002,349114.5952856876,0.0,-930468.6,0.0,52255.2858101937,45,1.0,18.063671,665154600.0
7120.708547482096,286244.3000029359,286244.3000029359,10,7120.708547482096,664000,286244.3000029359,113119.95365900574,359716.51899700233,10,392.62506,286244.3000029359,46,1.0,1219.1375,359716.51899700233,0.0,-937601.25,0.0,113119.95365900574,46,1.0,20.100126,655847040.0
-16.27070141136011,312381.43121937045,312381.43121937045,10,-16.27070141136011,676000,312381.43121937045,104566.59635684677,361180.44261094905,10,380.64075,312381.43121937045,47,1.0,1218.0472,361180.44261094905,0.0,-955618.8,0.0,104566.59635684677,47,1.0,3.8942173,673993500.0
-59.62770155421305,300866.4360234768,300866.4360234768,10,-59.62770155421305,688000,300866.4360234768,101025.48317322809,350563.05661113496,10,376.62064,300866.4360234768,48,0.9,1267.3921,350563.05661113496,0.0,-955724.4,0.0,101025.48317322809,48,0.9,-0.2571665,671764300.0
185163.65772038887,307631.68216233735,307631.68216233747,10,185163.65772038887,700000,307631.68216233735,59077.91610663673,361599.5856906734,10,377.94455,307631.68216233747,49,0.9,1417.9042,361599.5856906734,0.0,-959542.4,0.0,59077.91610663673,49,0.9,1.8882071,699141440.0
-101.467300132569,166594.352861045,166594.352861045,10,-101.467300132569,712000,166594.352861045,166788.63396561396,343637.16960634233,10,383.73734,166594.352861045,50,0.7,31661.553,343637.16960634233,0.0,-912149.25,0.0,166788.63396561396,50,0.7,124.789566,683265000.0
-70.09808431940141,187522.1873518698,187522.18735186977,10,-70.09808431940141,724000,187522.1873518698,156487.8704967659,350248.4465211694,10,305.72537,187522.18735186977,51,0.6,28862.797,350248.4465211694,0.0,-685164.6,0.0,156487.8704967659,51,0.6,421.67487,559005950.0
206138.11375041612,301142.19644506945,301142.1964450694,10,206138.11375041612,736000,301142.19644506945,51353.03357025451,345390.18079710717,10,290.4535,301142.1964450694,52,0.9,4554.924,345390.18079710717,0.0,-918422.56,0.0,51353.03357025451,52,0.9,-152.13464,723325630.0
163940.57661176918,318816.02847513155,318816.0284751315,10,163940.57661176918,748000,318816.02847513155,53288.95779799581,362267.8462688967,10,350.66312,318816.0284751315,53,1.0,1874.4126,362267.8462688967,0.0,-1018563.44,0.0,53288.95779799581,53,1.0,-111.4584,785688500.0
