MetaTest/Average/MaxReturn,MetaTest/hand-insert-v1/NumEpisodes,MetaTest/hand-insert-v1/Iteration,MetaTest/Average/NumEpisodes,MetaTrain/Average/Alpha,MetaTest/Average/AverageReturn,MetaTest/hand-insert-v1/TerminationRate,MetaTest/Average/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/hand-insert-v1/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/Iteration,MetaTest/hand-insert-v1/MaxReturn,MetaTest/hand-insert-v1/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/hand-insert-v1/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/QfLoss,MetaTest/Average/StdReturn,MetaTest/hand-insert-v1/MinReturn,MetaTest/hand-insert-v1/SuccessRate,TotalEnvSteps,MetaTrain/Average/PolicyLoss
-69.80914903181747,10,0,10,0.8724081,-77.16334175588236,0.0,-84.02460897596995,8.461826,-77.16334175588236,5.4637165,0,-69.80914903181747,-77.16334175588236,0.0,4.283395232526002,0.0,-77.16334175588236,1587.6932,4.283395232526002,-84.02460897596995,0.0,112000,-17.757782
-35.30357180711958,10,1,10,0.674919,-68.36885350869818,0.0,-84.8165886547616,8.967765,-68.36885350869817,3.6271431,1,-35.30357180711958,-68.36885350869818,0.0,15.485649470513609,0.0,-68.36885350869817,1480.1547,15.485649470513609,-84.8165886547616,0.0,124000,-52.219147
321022.24160320306,10,2,10,0.5367371,35216.45621092828,0.0,-32.10640546961789,62.24168,35216.45621092826,2.0731256,2,321022.24160320306,35216.45621092828,0.3,95558.79468505253,0.0,35216.45621092826,13725.582,95558.79468505253,-32.10640546961789,0.3,136000,-232.2341
323444.1126864196,10,3,10,0.5964611,41079.21999617196,0.0,-87.98852764263911,244.75189,41079.21999617196,-6.440792,3,323444.1126864196,41079.21999617196,0.5,94714.6879394701,0.0,41079.21999617196,929383.5,94714.6879394701,-87.98852764263911,0.5,148000,-2767.658
343346.52985203656,10,4,10,0.9367502,138463.94441573965,0.0,-67.12234178721427,2037.5076,138463.94441573962,-28.050636,4,343346.52985203656,138463.94441573965,0.8,156153.9355064255,0.0,138463.94441573962,11508631.0,156153.9355064255,-67.12234178721427,0.8,160000,-16482.172
360915.14317880047,10,5,10,1.3472266,80176.3765379765,0.0,-33.62866653810831,785.5614,80176.3765379765,-36.69,5,360915.14317880047,80176.3765379765,0.5,137180.08462565008,0.0,80176.3765379765,13931225.0,137180.08462565008,-33.62866653810831,0.5,172000,-41200.203
-113.63697847458609,10,6,10,1.9149692,-120.8578202033927,0.0,-127.50375291883311,1059154.2,-120.85782020339272,-69.16958,6,-113.63697847458609,-120.8578202033927,0.0,4.434912221183465,0.0,-120.85782020339272,220738130.0,4.434912221183465,-127.50375291883311,0.0,184000,-47387.33
-57.600774667811756,10,7,10,2.752698,-63.80192247836139,0.0,-70.05433578943276,282200.84,-63.80192247836139,-103.45886,7,-57.600774667811756,-63.80192247836139,0.0,3.7204428857213796,0.0,-63.80192247836139,34746500.0,3.7204428857213796,-70.05433578943276,0.0,196000,-36618.3
-56.057158961310336,10,8,10,3.8894224,-61.91348170477287,0.0,-70.36750758251209,168733.38,-61.91348170477288,-146.173,8,-56.057158961310336,-61.91348170477287,0.0,4.017710167387044,0.0,-61.91348170477288,34279184.0,4.017710167387044,-70.36750758251209,0.0,208000,-60074.613
-58.17070490708956,10,9,10,5.488711,-62.819237307839934,0.0,-70.02980954903013,110008.8,-62.81923730783994,-206.27579,9,-58.17070490708956,-62.819237307839934,0.0,3.803202203075057,0.0,-62.81923730783994,34000300.0,3.803202203075057,-70.02980954903013,0.0,220000,-59481.414
-56.89278782738934,10,10,10,7.743846,-64.3607344796445,0.0,-71.6815032382683,68910.81,-64.36073447964453,-290.25095,10,-56.89278782738934,-64.3607344796445,0.0,5.324229778226559,0.0,-64.36073447964453,32847912.0,5.324229778226559,-71.6815032382683,0.0,232000,-54057.51
-55.89826664532667,10,11,10,10.926301,-65.53901525893687,0.0,-70.22132299797255,40015.234,-65.53901525893687,-410.3515,11,-55.89826664532667,-65.53901525893687,0.0,4.705954728705738,0.0,-65.53901525893687,31876132.0,4.705954728705738,-70.22132299797255,0.0,244000,-52334.793
-57.1639960631236,10,12,10,15.4188385,-63.93151382342825,0.0,-67.5217842512257,24839.66,-63.93151382342826,-579.50385,12,-57.1639960631236,-63.93151382342825,0.0,2.96576199275374,0.0,-63.93151382342826,28686312.0,2.96576199275374,-67.5217842512257,0.0,256000,-55127.625
-57.10294329263746,10,13,10,21.744637,-65.47844076366088,0.0,-71.17198144582854,15113.859,-65.47844076366088,-817.2727,13,-57.10294329263746,-65.47844076366088,0.0,4.688980247221202,0.0,-65.47844076366088,29490844.0,4.688980247221202,-71.17198144582854,0.0,268000,-62574.246
-55.92284510616179,10,14,10,30.664759,-63.64190474422378,0.0,-71.77224203772963,9623.284,-63.641904744223766,-1152.5624,14,-55.92284510616179,-63.64190474422378,0.0,4.523686996673423,0.0,-63.641904744223766,27606366.0,4.523686996673423,-71.77224203772963,0.0,280000,-53724.0
-56.41347881053495,10,15,10,43.267082,-63.772220541008735,0.0,-71.07043596357033,7447.746,-63.77222054100874,-1626.2395,15,-56.41347881053495,-63.772220541008735,0.0,4.70601967026804,0.0,-63.77222054100874,30614560.0,4.70601967026804,-71.07043596357033,0.0,292000,-39596.348
-57.10294329263746,10,16,10,61.099876,-64.844533187955,0.0,-71.17198144582854,9206.897,-64.84453318795498,-2296.461,16,-57.10294329263746,-64.844533187955,0.0,4.05306018302132,0.0,-64.84453318795498,28251702.0,4.05306018302132,-71.17198144582854,0.0,304000,-24568.871
-21.72975124528266,10,17,10,85.41889,-67.16665425594788,0.0,-108.18028354483701,5654.34,-67.16665425594786,-2395.4014,17,-21.72975124528266,-67.16665425594788,0.0,31.31043521177612,0.0,-67.16665425594786,27803144.0,31.31043521177612,-108.18028354483701,0.0,316000,10322.058
359243.6251008562,10,18,10,95.21134,104011.98912589587,0.0,-29.47229558478894,52695.11,104011.98912589585,-137.05453,18,359243.6251008562,104011.98912589587,0.8,132161.42382811455,0.0,104011.98912589585,94826310.0,132161.42382811455,-29.47229558478894,0.8,328000,-87228.46
366326.65145672276,10,19,10,107.492325,243200.31768328702,0.0,10947.839821503703,3070.9346,243200.3176832869,-505.58524,19,366326.65145672276,243200.31768328702,1.0,152571.8336800978,0.0,243200.3176832869,71284470.0,152571.8336800978,10947.839821503703,1.0,340000,-226107.52
376957.75894935604,10,20,10,141.93542,219837.9124812156,0.0,4173.345301472571,2495.3455,219837.9124812156,-614.4888,20,376957.75894935604,219837.9124812156,1.0,145172.3289584601,0.0,219837.9124812156,82464230.0,145172.3289584601,4173.345301472571,1.0,352000,-340217.7
371538.07032064174,10,21,10,191.22432,233556.26356918583,0.0,18528.01622824076,1939.0637,233556.26356918583,-622.29,21,371538.07032064174,233556.26356918583,1.0,142423.57019833094,0.0,233556.26356918583,91683410.0,142423.57019833094,18528.01622824076,1.0,364000,-472034.94
352204.8220371263,10,22,10,251.37416,204843.2951859848,0.0,7392.649815274362,1758.482,204843.29518598487,-454.485,22,352204.8220371263,204843.2951859848,1.0,157403.4992102763,0.0,204843.29518598487,98814536.0,157403.4992102763,7392.649815274362,1.0,376000,-546511.6
