MetaTest/handle-press-side-v1/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/handle-press-side-v1/StdReturn,MetaTrain/Average/QfLoss,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/StdReturn,MetaTest/handle-press-side-v1/AverageReturn,MetaTest/handle-press-side-v1/NumEpisodes,MetaTest/Average/MinReturn,MetaTest/handle-press-side-v1/TerminationRate,MetaTest/Average/Iteration,MetaTest/Average/NumEpisodes,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/handle-press-side-v1/Iteration,MetaTest/handle-press-side-v1/MinReturn,MetaTrain/Average/Alpha,MetaTest/handle-press-side-v1/AverageDiscountedReturn,MetaTest/handle-press-side-v1/SuccessRate,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/AlphaLoss
-62.03327458044801,-62.03327458044801,0.0,-79.49067400027025,7.740949148477118,83529.016,-79.49067400027025,-142.42914,7.740949148477118,-79.49067400027025,10,-87.98754269590576,0.0,0,10,0.0,112000,0,-87.98754269590576,1.002484,-79.49067400027025,0.0,27.389679,0.32939178
-79.57171808310763,-79.57171808310763,0.0,-94.71453120589626,5.992480821857089,73406.61,-94.71453120589625,-469.40518,5.992480821857089,-94.71453120589626,10,-103.03318466035427,0.0,1,10,0.0,124000,1,-103.03318466035427,0.94619054,-94.71453120589625,0.0,123.73377,0.3479101
-13.651930659056022,-13.651930659056022,0.0,-63.946556560022884,41.09228866635116,438163.78,-63.94655656002287,-2270.9897,41.09228866635116,-63.946556560022884,10,-127.64337783476971,0.0,2,10,0.0,136000,2,-127.64337783476971,1.0676594,-63.94655656002287,0.0,1563.0714,-3.4453893
-18.26005789495861,-18.26005789495861,0.0,-59.38853808434351,18.76771325138834,106625.766,-59.38853808434351,-3328.362,18.76771325138834,-59.38853808434351,10,-73.40910959873742,0.0,3,10,0.0,148000,3,-73.40910959873742,1.1285853,-59.38853808434351,0.0,163.82219,-2.5507052
-65.68543803606481,-65.68543803606481,0.0,-75.44791978300462,6.8650207487783,146973.16,-75.44791978300462,-3797.5269,6.8650207487783,-75.44791978300462,10,-93.09756084213853,0.0,4,10,0.0,160000,4,-93.09756084213853,1.390584,-75.44791978300462,0.0,490.7509,-2.344838
1178.5878168321728,1178.5878168321728,0.0,56.45345211207666,374.12251169165035,126349.97,56.45345211207653,-106.22782,374.12251169165035,56.45345211207666,10,-76.09089114399148,0.0,5,10,0.0,172000,5,-76.09089114399148,1.2681352,56.45345211207653,0.0,1811.883,6.355134
60977.96895192338,60977.96895192338,0.0,13795.301201821983,21821.312843852724,90013.39,13795.301201821985,-236.45757,21821.312843852724,13795.301201821983,10,-66.20204624337478,0.0,6,10,0.0,184000,6,-66.20204624337478,0.9834591,13795.301201821985,0.0,572.6103,3.2614262
-17.424615913466173,-17.424615913466173,0.0,-28.506265383906783,8.489136718359536,116046.09,-28.506265383906793,-653.8168,8.489136718359536,-28.506265383906783,10,-46.81602200388938,0.0,7,10,0.0,196000,7,-46.81602200388938,0.8251001,-28.506265383906793,0.0,522.8439,1.2289802
-20.462966763611345,-20.462966763611345,0.0,-63.87721131079918,15.906390568781264,114098.32,-63.87721131079919,-698.9256,15.906390568781264,-63.87721131079918,10,-79.46925815976972,0.0,8,10,0.0,208000,8,-79.46925815976972,0.6831668,-63.87721131079919,0.0,740.5246,1.1662254
35775.80554418898,35775.80554418898,0.0,6977.849089531315,10820.283342236735,285615.1,6977.84908953132,-1454.0227,10820.283342236735,6977.849089531315,10,-60.049019198582535,0.0,9,10,0.0,220000,9,-60.049019198582535,0.73303187,6977.84908953132,0.0,948.9639,-3.0278823
