MetaTest/Average/NumEpisodes,MetaTest/peg-unplug-side-v1/TerminationRate,MetaTest/peg-unplug-side-v1/AverageReturn,MetaTest/peg-unplug-side-v1/MinReturn,MetaTest/Average/MaxReturn,MetaTrain/Average/AlphaLoss,MetaTest/peg-unplug-side-v1/Iteration,MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTest/Average/Iteration,MetaTest/peg-unplug-side-v1/StdReturn,MetaTrain/Average/QfLoss,MetaTest/Average/AverageReturn,MetaTrain/Average/PolicyLoss,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/MinReturn,MetaTest/peg-unplug-side-v1/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/peg-unplug-side-v1/NumEpisodes,MetaTest/peg-unplug-side-v1/AverageDiscountedReturn,MetaTest/peg-unplug-side-v1/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTrain/Average/Alpha
10,0.0,-51.72813312421705,-60.09514799552499,-43.431476139378844,5.82532,0,0.0,112000,0,5.998598290739714,287.88556,-51.72813312421705,2.3238544,8.222952,-60.09514799552499,-43.431476139378844,0.0,10,-51.72813312421706,0.0,-51.72813312421706,5.998598290739714,0.86937755
10,0.0,-45.56593650792449,-62.716969076992456,-31.90169174028844,4.2667284,1,0.0,124000,1,9.846165216731112,213.72778,-45.56593650792449,14.012465,7.705577,-62.716969076992456,-31.90169174028844,0.0,10,-45.56593650792449,0.0,-45.56593650792449,9.846165216731112,0.66430944
10,0.0,-60.188002427512174,-66.74347420745163,-52.40367301805334,2.9991636,2,0.0,136000,2,5.0362412772183145,223.98808,-60.188002427512174,25.752352,7.6306887,-66.74347420745163,-52.40367301805334,0.0,10,-60.188002427512174,0.0,-60.188002427512174,5.0362412772183145,0.51739323
10,0.0,-96.37498009840034,-106.19378540379836,-79.2440472774902,1.2501045,3,0.0,148000,3,7.230291403300592,307.77676,-96.37498009840034,6.508009,7.6434,-106.19378540379836,-79.2440472774902,0.0,10,-96.37498009840036,0.0,-96.37498009840036,7.230291403300592,0.41883257
10,0.0,-135.4318249852741,-153.73114474423232,-116.02555329821536,-1.2819629,4,0.0,160000,4,11.50502202995426,452.49292,-135.4318249852741,-166.18745,8.603714,-153.73114474423232,-116.02555329821536,0.0,10,-135.4318249852741,0.0,-135.4318249852741,11.50502202995426,0.43349588
10,0.0,1882.9612971720242,-166.03516505854466,18228.80088404922,-2.5413694,5,0.0,172000,5,5461.689567117658,567.89044,1882.9612971720242,-418.64117,7.7278194,-166.03516505854466,18228.80088404922,0.0,10,1882.961297172024,0.0,1882.961297172024,5461.689567117658,0.61630565
10,0.0,2953.2243844243367,-141.7424258208595,14226.287078267587,-1.2635002,6,0.0,184000,6,5613.697126029247,11470.045,2953.2243844243367,-591.35126,57.792603,-141.7424258208595,14226.287078267587,0.0,10,2953.2243844243367,0.0,2953.2243844243367,5613.697126029247,0.80418056
10,0.0,6330.06107505902,-105.76960533762674,16544.167388996506,-7.159728,7,0.0,196000,7,7185.51672495505,22371.785,6330.06107505902,-1752.8838,206.1335,-105.76960533762674,16544.167388996506,0.0,10,6330.061075059019,0.0,6330.061075059019,7185.51672495505,1.0942844
10,0.0,12292.233185329325,835.3450670928562,15386.83510550052,-8.933426,8,0.0,208000,8,4058.3453778273283,37034.426,12292.233185329325,-3185.8596,154.78734,835.3450670928562,15386.83510550052,0.0,10,12292.233185329325,0.0,12292.233185329325,4058.3453778273283,1.5812849
10,0.0,8543.372151713535,-102.18799114497817,14914.07238638865,-9.336992,9,0.0,220000,9,6400.815653082446,50760.797,8543.372151713535,-4608.201,290.54868,-102.18799114497817,14914.07238638865,0.0,10,8543.372151713535,0.0,8543.372151713535,6400.815653082446,2.135123
