MetaTest/Average/TerminationRate,MetaTest/pick-out-of-hole-v1/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate,MetaTest/Average/MaxReturn,MetaTrain/Average/AlphaLoss,MetaTest/pick-out-of-hole-v1/SuccessRate,MetaTest/pick-out-of-hole-v1/StdReturn,MetaTest/Average/NumEpisodes,MetaTest/pick-out-of-hole-v1/AverageReturn,MetaTest/pick-out-of-hole-v1/Iteration,MetaTrain/Average/QfLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/pick-out-of-hole-v1/TerminationRate,MetaTest/pick-out-of-hole-v1/MinReturn,MetaTrain/Average/PolicyLoss,MetaTest/pick-out-of-hole-v1/AverageDiscountedReturn,MetaTrain/Average/Alpha,MetaTest/Average/Iteration,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/MinReturn,MetaTest/pick-out-of-hole-v1/NumEpisodes,TotalEnvSteps
0.0,-47.342837176612996,-70.58730558495489,13.434865757613748,0.0,-47.342837176612996,5.8532896,0.0,13.434865757613748,10,-70.58730558495489,0,1.5796483,-70.58730558495489,0.0,-89.28759045809274,3.6546082,-70.58730558495489,0.86995476,0,8.122927,-89.28759045809274,10,112000
0.0,-33.84381866618793,-50.77321786129047,10.507242650706889,0.0,-33.84381866618793,4.446252,0.0,10.507242650706889,10,-50.77321786129047,1,3.3745568,-50.77321786129046,0.0,-67.36144500098042,19.655832,-50.77321786129046,0.6637543,1,8.055234,-67.36144500098042,10,124000
0.0,-27.31319903512458,-37.30033480406725,4.375815659719044,0.0,-27.31319903512458,3.3755126,0.0,4.375815659719044,10,-37.30033480406725,2,4.6209793,-37.30033480406725,0.0,-42.64121907133119,38.020695,-37.30033480406725,0.51219016,2,8.219797,-42.64121907133119,10,136000
0.0,-29.069498572728918,-36.18227925953602,4.908799303402175,0.0,-29.069498572728918,2.5259523,0.0,4.908799303402175,10,-36.18227925953602,3,6.5670786,-36.18227925953601,0.0,-47.3264393151028,55.555943,-36.18227925953601,0.39736566,3,7.6274056,-47.3264393151028,10,148000
0.0,-23.69719200726541,-31.313105691508973,4.527476880481165,0.0,-23.69719200726541,1.8539256,0.0,4.527476880481165,10,-31.313105691508973,4,7.982012,-31.313105691508973,0.0,-38.06030726428003,70.62356,-31.313105691508973,0.30937082,4,8.41451,-38.06030726428003,10,160000
0.0,-27.99493108171063,-36.06396886561187,3.7892117788307638,0.0,-27.99493108171063,1.3474107,0.0,3.7892117788307638,10,-36.06396886561187,5,10.211037,-36.06396886561187,0.0,-40.656246383696,85.00176,-36.06396886561187,0.2415369,5,7.6387296,-40.656246383696,10,172000
0.0,-28.065703936994264,-37.02087611308149,4.660312858365909,0.0,-28.065703936994264,0.963683,0.0,4.660312858365909,10,-37.02087611308149,6,12.063222,-37.02087611308151,0.0,-42.23255784523929,96.709435,-37.02087611308151,0.18908785,6,7.8305883,-42.23255784523929,10,184000
0.0,-25.818062235905206,-31.168942887427033,3.8886421213458955,0.0,-25.818062235905206,0.6843883,0.0,3.8886421213458955,10,-31.168942887427033,7,13.1297655,-31.168942887427033,0.0,-37.10805755976043,105.670235,-31.168942887427033,0.14827225,7,7.668033,-37.10805755976043,10,196000
0.0,-20.849761823501293,-30.49189815050001,5.682739009105215,0.0,-20.849761823501293,0.48094308,0.0,5.682739009105215,10,-30.49189815050001,8,14.396496,-30.491898150500013,0.0,-39.19693806618147,113.37421,-30.491898150500013,0.116493285,8,7.744483,-39.19693806618147,10,208000
0.0,-22.049438436803175,-33.77904980791256,5.751600157056983,0.0,-22.049438436803175,0.32671148,0.0,5.751600157056983,10,-33.77904980791256,9,14.464056,-33.77904980791256,0.0,-42.648354795301074,119.6465,-33.77904980791256,0.09188514,9,7.7838025,-42.648354795301074,10,220000
0.0,-23.81858556916893,-33.703605159300395,6.159039940040796,0.0,-23.81858556916893,0.21759732,0.0,6.159039940040796,10,-33.703605159300395,10,14.875873,-33.70360515930038,0.0,-45.1040772859777,125.06016,-33.70360515930038,0.07285249,10,7.666656,-45.1040772859777,10,232000
0.0,-20.745820986351003,-27.773341692247726,5.12402462258816,0.0,-20.745820986351003,0.14378454,0.0,5.12402462258816,10,-27.773341692247726,11,15.030713,-27.77334169224772,0.0,-37.790354518880974,129.26964,-27.77334169224772,0.057921074,11,7.7000575,-37.790354518880974,10,244000
0.0,-23.981013129122193,-24.836349038200204,0.7407242951503066,0.0,-23.981013129122193,0.09453543,0.0,0.7407242951503066,10,-24.836349038200204,12,14.977684,-24.836349038200208,0.0,-26.021173588007805,134.19441,-24.836349038200208,0.046159584,12,7.7345138,-26.021173588007805,10,256000
0.0,-25.386434013500402,-26.28203887362057,0.41825482209768705,0.0,-25.386434013500402,0.061255194,0.0,0.41825482209768705,10,-26.28203887362057,13,14.397939,-26.282038873620575,0.0,-26.680120240157894,137.9318,-26.282038873620575,0.03685158,13,7.6923866,-26.680120240157894,10,268000
0.0,-26.58293803750638,-27.32742892933834,0.4377080673921088,0.0,-26.58293803750638,0.033377945,0.0,0.4377080673921088,10,-27.32742892933834,14,14.006109,-27.327428929338332,0.0,-28.02632601463882,141.64877,-27.327428929338332,0.029912407,14,7.6732783,-28.02632601463882,10,280000
0.0,-28.541876704095642,-29.316681657905878,0.6278685344401129,0.0,-28.541876704095642,0.013323882,0.0,0.6278685344401129,10,-29.316681657905878,15,13.912229,-29.316681657905878,0.0,-30.863880730948203,145.04228,-29.316681657905878,0.025134638,15,7.6806135,-30.863880730948203,10,292000
0.0,-25.61148068399379,-26.09216381104286,0.35942159835109444,0.0,-25.61148068399379,0.0024280616,0.0,0.35942159835109444,10,-26.09216381104286,16,13.573052,-26.092163811042866,0.0,-26.778749242097508,147.39227,-26.092163811042866,0.022911925,16,7.677986,-26.778749242097508,10,304000
0.0,-25.84757002361488,-26.410982845739472,0.3834758590018833,0.0,-25.84757002361488,-0.0018376864,0.0,0.3834758590018833,10,-26.410982845739472,17,13.344147,-26.41098284573946,0.0,-27.04095548275439,149.51962,-26.41098284573946,0.023140907,17,7.6665263,-27.04095548275439,10,316000
0.0,-25.83868703239043,-26.3154607258561,0.32068555454988035,0.0,-25.83868703239043,-0.00037060757,0.0,0.32068555454988035,10,-26.3154607258561,18,12.693813,-26.315460725856106,0.0,-26.892519297881996,150.06128,-26.315460725856106,0.02445531,18,7.648003,-26.892519297881996,10,328000
0.0,-24.55383364846174,-24.917907673676176,0.2533987792485079,0.0,-24.55383364846174,0.00023808987,0.0,0.2533987792485079,10,-24.917907673676176,19,12.769467,-24.917907673676183,0.0,-25.46702848363234,151.39241,-24.917907673676183,0.024479374,19,7.6742024,-25.46702848363234,10,340000
0.0,-24.70205153677996,-25.457624492586497,0.40334174118823884,0.0,-24.70205153677996,-7.177969e-05,0.0,0.40334174118823884,10,-25.457624492586497,20,12.679594,-25.4576244925865,0.0,-25.914348677571486,151.86569,-25.4576244925865,0.02450084,20,7.6796846,-25.914348677571486,10,352000
0.0,-23.82876691507973,-24.95761521347078,0.5168181481304557,0.0,-23.82876691507973,0.0002181897,0.0,0.5168181481304557,10,-24.95761521347078,21,12.325571,-24.95761521347078,0.0,-25.85111108449754,152.03769,-24.95761521347078,0.024540745,21,7.6421533,-25.85111108449754,10,364000
0.0,-23.132714392605756,-23.611166303664803,0.2666327760498653,0.0,-23.132714392605756,0.0003029703,0.0,0.2666327760498653,10,-23.611166303664803,22,12.003729,-23.611166303664806,0.0,-23.964133219676928,151.85681,-23.611166303664806,0.023851288,22,7.6791983,-23.964133219676928,10,376000
0.0,-23.167378943432453,-23.71480666809187,0.3918404410933991,0.0,-23.167378943432453,0.0006665498,0.0,0.3918404410933991,10,-23.71480666809187,23,12.028766,-23.71480666809187,0.0,-24.493430228495235,151.54176,-23.71480666809187,0.023494394,23,7.658296,-24.493430228495235,10,388000
0.0,-22.44758791447918,-22.896160488756856,0.31361449265531266,0.0,-22.44758791447918,-6.421426e-05,0.0,0.31361449265531266,10,-22.896160488756856,24,11.755293,-22.89616048875685,0.0,-23.545528640742,151.29701,-22.89616048875685,0.023367574,24,7.6488457,-23.545528640742,10,400000
0.0,-23.6140350445369,-24.460806739486948,0.39200712926352577,0.0,-23.6140350445369,-0.00017314464,0.0,0.39200712926352577,10,-24.460806739486948,25,11.430791,-24.46080673948695,0.0,-25.17671148352292,150.34383,-24.46080673948695,0.023455825,25,7.6579556,-25.17671148352292,10,412000
0.0,-23.64238452429403,-24.410271735413865,0.3682147548981369,0.0,-23.64238452429403,0.0002933404,0.0,0.3682147548981369,10,-24.410271735413865,26,11.3273,-24.410271735413865,0.0,-24.887222745961246,149.88106,-24.410271735413865,0.023450296,26,7.6601186,-24.887222745961246,10,424000
0.0,-23.036010997960105,-23.531202430047493,0.3148588295324914,0.0,-23.036010997960105,0.00082030706,0.0,0.3148588295324914,10,-23.531202430047493,27,11.07679,-23.531202430047497,0.0,-24.150946829573424,148.95998,-23.531202430047497,0.0224425,27,7.6713543,-24.150946829573424,10,436000
0.0,-21.595486098051943,-22.120285651591622,0.294762999350356,0.0,-21.595486098051943,0.0011004093,0.0,0.294762999350356,10,-22.120285651591622,28,10.951625,-22.120285651591622,0.0,-22.624943479484426,148.48277,-22.120285651591622,0.021658618,28,7.6449404,-22.624943479484426,10,448000
0.0,-21.705620039823323,-22.187112162149166,0.24035697325597447,0.0,-21.705620039823323,-0.00046960395,0.0,0.24035697325597447,10,-22.187112162149166,29,10.741825,-22.187112162149162,0.0,-22.48163179845362,147.80875,-22.187112162149162,0.020954357,29,7.6422014,-22.48163179845362,10,460000
0.0,-22.281821675505086,-22.681492157810368,0.2490948867726172,0.0,-22.281821675505086,0.00022882997,0.0,0.2490948867726172,10,-22.681492157810368,30,10.50107,-22.681492157810368,0.0,-23.034139863069644,147.02885,-22.681492157810368,0.021439463,30,7.6499777,-23.034139863069644,10,472000
0.0,-19.915697882020556,-20.881925614359567,0.43564139519473427,0.0,-19.915697882020556,0.00055290334,0.0,0.43564139519473427,10,-20.881925614359567,31,10.176471,-20.88192561435957,0.0,-21.439191306010734,146.01593,-20.88192561435957,0.02111698,31,7.646719,-21.439191306010734,10,484000
0.0,-21.734377597278996,-22.001299769873086,0.16924159660250274,0.0,-21.734377597278996,-7.624256e-05,0.0,0.16924159660250274,10,-22.001299769873086,32,10.080784,-22.00129976987309,0.0,-22.243243594356247,144.76857,-22.00129976987309,0.02125153,32,7.63515,-22.243243594356247,10,496000
0.0,-21.160725350625015,-21.43245225188018,0.21411333708009883,0.0,-21.160725350625015,6.632559e-05,0.0,0.21411333708009883,10,-21.43245225188018,33,9.966601,-21.432452251880175,0.0,-21.841498268134284,143.67635,-21.432452251880175,0.020863073,33,7.6370206,-21.841498268134284,10,508000
0.0,-21.483368131013318,-21.964111737523783,0.29920051659910635,0.0,-21.483368131013318,0.0001997977,0.0,0.29920051659910635,10,-21.964111737523783,34,9.50449,-21.964111737523787,0.0,-22.271331252247972,142.45908,-21.964111737523787,0.020953568,34,7.6438394,-22.271331252247972,10,520000
0.0,-22.011799468822662,-22.576838994263944,0.3474166854073035,0.0,-22.011799468822662,0.00061231287,0.0,0.3474166854073035,10,-22.576838994263944,35,9.669615,-22.576838994263944,0.0,-23.16212882691512,141.38206,-22.576838994263944,0.020347198,35,7.64129,-23.16212882691512,10,532000
0.0,-19.86390747109506,-20.55331304955012,0.4488886851505437,0.0,-19.86390747109506,5.0456492e-05,0.0,0.4488886851505437,10,-20.55331304955012,36,9.272102,-20.55331304955012,0.0,-21.291722370327008,140.34605,-20.55331304955012,0.020297058,36,7.638449,-21.291722370327008,10,544000
0.0,-19.59632715676918,-20.085832539996545,0.27959424920394405,0.0,-19.59632715676918,0.0005084664,0.0,0.27959424920394405,10,-20.085832539996545,37,9.245473,-20.085832539996538,0.0,-20.458548764754465,139.10207,-20.085832539996538,0.019876081,37,7.645604,-20.458548764754465,10,556000
0.0,-18.762656519649667,-19.130944217135468,0.21562295568446885,0.0,-18.762656519649667,-4.3566764e-05,0.0,0.21562295568446885,10,-19.130944217135468,38,9.099871,-19.130944217135468,0.0,-19.49934225076249,138.1312,-19.130944217135468,0.019593151,38,7.643887,-19.49934225076249,10,568000
0.0,-18.83917907657639,-19.423590321777564,0.403098071776435,0.0,-18.83917907657639,-0.0017239251,0.0,0.403098071776435,10,-19.423590321777564,39,8.881666,-19.423590321777564,0.0,-20.254649517536524,136.78079,-19.423590321777564,0.02043047,39,7.6451573,-20.254649517536524,10,580000
0.0,-18.804978453979583,-19.09893792903961,0.2141899650600776,0.0,-18.804978453979583,-0.00064024463,0.0,0.2141899650600776,10,-19.09893792903961,40,8.79184,-19.09893792903961,0.0,-19.477229369739774,135.4906,-19.09893792903961,0.021240933,40,7.6471024,-19.477229369739774,10,592000
0.0,-18.870992660540892,-19.550517370721202,0.27084814935266294,0.0,-18.870992660540892,-0.00088861,0.0,0.27084814935266294,10,-19.550517370721202,41,8.587717,-19.550517370721202,0.0,-19.86971630353825,134.20438,-19.550517370721202,0.022617746,41,7.647013,-19.86971630353825,10,604000
0.0,-18.646627098877154,-18.982278395330972,0.16851424259964645,0.0,-18.646627098877154,0.0008088516,0.0,0.16851424259964645,10,-18.982278395330972,42,8.493516,-18.982278395330972,0.0,-19.199218989909216,132.77321,-18.982278395330972,0.022541698,42,7.645086,-19.199218989909216,10,616000
0.0,-18.787143179457807,-19.290732315025075,0.27193351158883533,0.0,-18.787143179457807,0.0005913777,0.0,0.27193351158883533,10,-19.290732315025075,43,8.504738,-19.290732315025075,0.0,-19.718887660783132,131.50775,-19.290732315025075,0.02246524,43,7.647841,-19.718887660783132,10,628000
0.0,-19.125663318171053,-19.475272353610762,0.17372199235337268,0.0,-19.125663318171053,0.00044495834,0.0,0.17372199235337268,10,-19.475272353610762,44,8.175632,-19.475272353610766,0.0,-19.72424250132515,130.08607,-19.475272353610766,0.0219614,44,7.629035,-19.72424250132515,10,640000
0.0,-18.00240953458655,-18.391233657177235,0.24131962408166707,0.0,-18.00240953458655,-0.00066352234,0.0,0.24131962408166707,10,-18.391233657177235,45,8.000753,-18.39123365717724,0.0,-18.749554223773877,128.71716,-18.39123365717724,0.021594534,45,7.63394,-18.749554223773877,10,652000
