MetaTest/pick-place-v1/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/AverageReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/pick-place-v1/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/pick-place-v1/NumEpisodes,MetaTest/pick-place-v1/TerminationRate,MetaTrain/Average/QfLoss,MetaTest/Average/SuccessRate,MetaTest/Average/Iteration,MetaTrain/Average/PolicyLoss,MetaTest/pick-place-v1/AverageDiscountedReturn,MetaTest/pick-place-v1/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/MinReturn,MetaTest/pick-place-v1/AverageReturn,MetaTest/pick-place-v1/MaxReturn,MetaTest/pick-place-v1/SuccessRate,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/Average/TerminationRate,MetaTrain/Average/Alpha
0,13.555130760705158,-39.04802433970851,8.635704,-59.115850882960856,10,10,0.0,1.7859662,0.0,0,2.209129,-39.048024339708505,13.555130760705158,-39.048024339708505,5.8525367,-59.115850882960856,-39.04802433970851,-13.654500733574752,0.0,-13.654500733574752,112000,0.0,0.8699707
1,4.076605079053171,-31.568907249087694,8.160655,-37.09454358948345,10,10,0.0,3.3400729,0.0,1,14.557873,-31.568907249087705,4.076605079053171,-31.568907249087705,4.4485645,-37.09454358948345,-31.568907249087694,-24.177739889371495,0.0,-24.177739889371495,124000,0.0,0.6639015
2,3.8140486349832,-26.529193771289062,9.074625,-33.44481144049755,10,10,0.0,4.7117577,0.0,2,30.51426,-26.529193771289066,3.8140486349832,-26.529193771289066,3.3851495,-33.44481144049755,-26.529193771289062,-21.901325308245546,0.0,-21.901325308245546,136000,0.0,0.5120759
3,3.426474283587912,-25.441456924444388,7.634204,-33.750295256618344,10,10,0.0,6.4814444,0.0,3,47.903923,-25.441456924444385,3.426474283587912,-25.441456924444385,2.544661,-33.750295256618344,-25.441456924444388,-20.722952292518727,0.0,-20.722952292518727,148000,0.0,0.39681524
4,2.885580460494482,-30.79005308125242,7.6318774,-34.324887859056645,10,10,0.0,7.844365,0.0,4,64.76786,-30.79005308125241,2.885580460494482,-30.79005308125241,1.8827358,-34.324887859056645,-30.79005308125242,-25.508802473693045,0.0,-25.508802473693045,160000,0.0,0.30861366
5,4.195386541610638,-26.744267035290353,8.1336565,-31.288276716953984,10,10,0.0,8.856166,0.0,5,79.12394,-26.744267035290346,4.195386541610638,-26.744267035290346,1.3746343,-31.288276716953984,-26.744267035290353,-18.55522717876326,0.0,-18.55522717876326,172000,0.0,0.24074747
6,3.0390119722245386,-29.06387971243879,7.9144335,-31.843678820715848,10,10,0.0,9.985588,0.0,6,92.48948,-29.06387971243879,3.0390119722245386,-29.06387971243879,0.98420054,-31.843678820715848,-29.06387971243879,-22.5486177690546,0.0,-22.5486177690546,184000,0.0,0.18832767
7,4.078446620305657,-25.2171534378957,7.626253,-32.55839519535809,10,10,0.0,11.318268,0.0,7,104.54781,-25.217153437895707,4.078446620305657,-25.217153437895707,0.6969772,-32.55839519535809,-25.2171534378957,-19.01926467198854,0.0,-19.01926467198854,196000,0.0,0.1477128
8,4.238943949119203,-26.723254296451625,7.734661,-32.227458217678084,10,10,0.0,12.249715,0.0,8,115.13992,-26.723254296451625,4.238943949119203,-26.723254296451625,0.4901814,-32.227458217678084,-26.723254296451625,-19.48641509753116,0.0,-19.48641509753116,208000,0.0,0.11607672
9,4.815902992290077,-26.786230260409262,7.683642,-32.05996503221799,10,10,0.0,12.873446,0.0,9,123.280525,-26.786230260409262,4.815902992290077,-26.786230260409262,0.3446166,-32.05996503221799,-26.786230260409262,-19.529184110974608,0.0,-19.529184110974608,220000,0.0,0.091313444
