TotalEnvSteps,MetaTest/pick-place-wall-v1/TerminationRate,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/pick-place-wall-v1/SuccessRate,MetaTest/pick-place-wall-v1/AverageDiscountedReturn,MetaTrain/Average/Alpha,MetaTrain/Average/ContrastiveLoss,MetaTest/pick-place-wall-v1/Iteration,MetaTest/pick-place-wall-v1/StdReturn,MetaTrain/Average/AlphaLoss,MetaTest/pick-place-wall-v1/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/pick-place-wall-v1/MinReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/QfLoss,MetaTest/Average/MinReturn,MetaTest/Average/Iteration,MetaTrain/Average/PolicyLoss,MetaTest/Average/StdReturn,MetaTest/pick-place-wall-v1/NumEpisodes,MetaTest/Average/MaxReturn,MetaTest/pick-place-wall-v1/AverageReturn
112000,0.0,0.0,-32.233769670365334,0.0,-32.23376967036533,0.86938757,8.513773,0,22.779575809717418,5.8435,10.492746931542744,-32.23376967036533,10,-66.14652867115929,0.0,3.4100053,-66.14652867115929,0,2.3707035,22.779575809717418,10,10.492746931542744,-32.233769670365334
124000,0.0,0.0,-31.37217257725962,0.0,-31.37217257725962,0.66274357,7.6629076,1,6.052404153673387,4.4335914,-24.852725474292257,-31.37217257725962,10,-44.636844067441785,0.0,3.0115473,-44.636844067441785,1,13.68777,6.052404153673387,10,-24.852725474292257,-31.37217257725962
136000,0.0,0.0,-34.71944026896825,0.0,-34.71944026896825,0.5112304,9.902485,2,9.835176210215314,3.3774176,-26.46001580378282,-34.71944026896825,10,-57.88286192309945,0.0,5.3622723,-57.88286192309945,2,29.401903,9.835176210215314,10,-26.46001580378282,-34.71944026896825
148000,0.0,0.0,-26.46168565713013,0.0,-26.46168565713014,0.39625943,7.625205,3,4.053457301993694,2.5564349,-20.737333751907325,-26.46168565713014,10,-34.6703491441229,0.0,7.669168,-34.6703491441229,3,47.137196,4.053457301993694,10,-20.737333751907325,-26.46168565713013
160000,0.0,0.0,-26.152828886028693,0.0,-26.152828886028686,0.3079661,7.6328464,4,2.32645063124802,1.9063222,-22.27815450599128,-26.152828886028686,10,-31.065824132043655,0.0,8.835294,-31.065824132043655,4,64.81146,2.32645063124802,10,-22.27815450599128,-26.152828886028693
172000,0.0,0.0,-27.76740880521527,0.0,-27.76740880521526,0.23988394,7.8479996,5,3.629062391512899,1.4010946,-24.616673387644315,-27.76740880521526,10,-36.59300345679065,0.0,9.540857,-36.59300345679065,5,81.993935,3.629062391512899,10,-24.616673387644315,-27.76740880521527
184000,0.0,0.0,-26.367463384638178,0.0,-26.36746338463817,0.18736008,7.6390834,6,3.4557018339407612,1.0177696,-21.489023640316653,-26.36746338463817,10,-32.978573987681735,0.0,10.478627,-32.978573987681735,6,97.37034,3.4557018339407612,10,-21.489023640316653,-26.367463384638178
196000,0.0,0.0,-23.639782365878144,0.0,-23.63978236587814,0.14663717,7.863392,7,2.7965259586469475,0.7284531,-19.575786542514624,-23.63978236587814,10,-28.406344640574535,0.0,11.250662,-28.406344640574535,7,111.21397,2.7965259586469475,10,-19.575786542514624,-23.639782365878144
208000,0.0,0.0,-21.634603468423137,0.0,-21.634603468423144,0.11503557,7.6270075,8,2.6321088388256157,0.5149265,-18.708359173898963,-21.634603468423144,10,-25.912230891828045,0.0,12.390464,-25.912230891828045,8,122.83311,2.6321088388256157,10,-18.708359173898963,-21.634603468423137
220000,0.0,0.0,-19.222787487595067,0.0,-19.222787487595063,0.09050586,7.7137265,9,1.3116493975466585,0.35877565,-17.053179386134104,-19.222787487595063,10,-21.253799246695483,0.0,12.751739,-21.253799246695483,9,133.12769,1.3116493975466585,10,-17.053179386134104,-19.222787487595067
232000,0.0,0.0,-20.963184183367833,0.0,-20.963184183367837,0.07138833,7.638255,10,1.3444344486686215,0.2459458,-19.296169699481332,-20.963184183367837,10,-23.609266634275468,0.0,13.385067,-23.609266634275468,10,141.59772,1.3444344486686215,10,-19.296169699481332,-20.963184183367833
244000,0.0,0.0,-23.993557204535445,0.0,-23.993557204535442,0.056485265,7.6634984,11,1.0935224187234398,0.16531014,-22.416354891710405,-23.993557204535442,10,-25.8554240597171,0.0,13.957369,-25.8554240597171,11,148.81525,1.0935224187234398,10,-22.416354891710405,-23.993557204535445
256000,0.0,0.0,-21.22105285539198,0.0,-21.221052855391985,0.044959664,7.6766143,12,1.1990469976152633,0.10606306,-19.52275175646268,-21.221052855391985,10,-23.040025842365647,0.0,14.266445,-23.040025842365647,12,154.32443,1.1990469976152633,10,-19.52275175646268,-21.22105285539198
268000,0.0,0.0,-22.60148643590379,0.0,-22.60148643590379,0.035978258,7.6832576,13,1.4765467760014594,0.066350654,-20.258522366657374,-22.60148643590379,10,-25.8179955292987,0.0,13.899748,-25.8179955292987,13,158.06694,1.4765467760014594,10,-20.258522366657374,-22.60148643590379
280000,0.0,0.0,-21.571348703527423,0.0,-21.571348703527423,0.02898142,7.9116488,14,1.512543668611132,0.04084844,-18.848429360355404,-21.571348703527423,10,-23.680375113828255,0.0,14.197871,-23.680375113828255,14,161.38988,1.512543668611132,10,-18.848429360355404,-21.571348703527423
292000,0.0,0.0,-24.17811318690722,0.0,-24.17811318690722,0.023585722,7.659919,15,1.3605762227537082,0.022999173,-21.954715088478252,-24.17811318690722,10,-26.63231269052584,0.0,14.362867,-26.63231269052584,15,163.94194,1.3605762227537082,10,-21.954715088478252,-24.17811318690722
304000,0.0,0.0,-21.19730229353322,0.0,-21.19730229353322,0.019724514,7.709385,16,1.2204083340246412,0.0105807595,-19.912356955996344,-21.19730229353322,10,-23.736462324541296,0.0,14.179096,-23.736462324541296,16,165.38432,1.2204083340246412,10,-19.912356955996344,-21.19730229353322
316000,0.0,0.0,-21.172369246393526,0.0,-21.172369246393526,0.017298076,7.647574,17,1.3793844744099204,0.0033708483,-19.013485926770628,-21.172369246393526,10,-23.236051230414397,0.0,14.533129,-23.236051230414397,17,166.32019,1.3793844744099204,10,-19.013485926770628,-21.172369246393526
328000,0.0,0.0,-23.60083952607167,0.0,-23.600839526071674,0.01597253,7.6864743,18,0.6635695020730172,0.00088760053,-22.652154533246968,-23.600839526071674,10,-24.737616394749782,0.0,14.66606,-24.737616394749782,18,166.24344,0.6635695020730172,10,-22.652154533246968,-23.60083952607167
340000,0.0,0.0,-20.87367094277849,0.0,-20.873670942778496,0.016720623,7.6421494,19,1.2205907036417167,-0.0016110021,-19.210646965220935,-20.873670942778496,10,-23.145194584441658,0.0,14.61176,-23.145194584441658,19,166.5535,1.2205907036417167,10,-19.210646965220935,-20.87367094277849
352000,0.0,0.0,-17.914825800376562,0.0,-17.91482580037656,0.017382909,7.67179,20,0.957883654947514,-0.00039959772,-16.70471791138596,-17.91482580037656,10,-19.77540621816546,0.0,15.016315,-19.77540621816546,20,166.32266,0.957883654947514,10,-16.70471791138596,-17.914825800376562
364000,0.0,0.0,-21.085128486471795,0.0,-21.085128486471785,0.018485423,7.660702,21,0.6232788667135848,-0.0006666636,-20.284735794598145,-21.085128486471785,10,-22.553529636757034,0.0,15.233352,-22.553529636757034,21,165.56839,0.6232788667135848,10,-20.284735794598145,-21.085128486471795
376000,0.0,0.0,-20.23211001617233,0.0,-20.23211001617233,0.018704562,7.6850643,22,0.7437251114817389,-0.00076203106,-19.188196055596574,-20.23211001617233,10,-21.235439838975793,0.0,15.318224,-21.235439838975793,22,164.06055,0.7437251114817389,10,-19.188196055596574,-20.23211001617233
388000,0.0,0.0,-17.839403152647954,0.0,-17.839403152647964,0.019440167,7.641624,23,1.3846324082739419,-0.00013134527,-16.218935647166585,-17.839403152647964,10,-21.21577449066983,0.0,16.011751,-21.21577449066983,23,163.26315,1.3846324082739419,10,-16.218935647166585,-17.839403152647954
400000,0.0,0.0,-23.232152764095495,0.0,-23.232152764095495,0.018779602,7.6610737,24,6.575121182038993,-8.488643e-05,-16.432317950224633,-23.232152764095495,10,-32.672855718493196,0.0,16.554907,-32.672855718493196,24,161.96887,6.575121182038993,10,-16.432317950224633,-23.232152764095495
412000,0.0,0.0,-23.493964407818527,0.0,-23.49396440781853,0.01936457,7.6422954,25,7.015064574533209,0.00017484986,-15.455920755171764,-23.49396440781853,10,-34.10570485891967,0.0,16.95543,-34.10570485891967,25,160.6886,7.015064574533209,10,-15.455920755171764,-23.493964407818527
424000,0.0,0.0,-23.899201620582993,0.0,-23.89920162058299,0.019806454,7.667498,26,6.000574905607659,-0.00061913824,-16.52044883681766,-23.89920162058299,10,-32.699403347701,0.0,18.40445,-32.699403347701,26,159.06715,6.000574905607659,10,-16.52044883681766,-23.899201620582993
436000,0.0,0.0,-25.403706562028532,0.0,-25.403706562028532,0.020629717,7.6464677,27,7.727140827877441,-0.0002979733,-15.53631424521,-25.403706562028532,10,-34.05505238670102,0.0,19.150146,-34.05505238670102,27,157.96558,7.727140827877441,10,-15.53631424521,-25.403706562028532
448000,0.0,0.0,-23.414273373836792,0.0,-23.41427337383679,0.020284185,7.6497283,28,6.179821533462114,0.0006017191,-16.32968341766504,-23.41427337383679,10,-33.50034352096309,0.0,20.286505,-33.50034352096309,28,155.89899,6.179821533462114,10,-16.32968341766504,-23.414273373836792
460000,0.0,0.0,-24.902756310765668,0.0,-24.902756310765664,0.019953549,7.6343827,29,7.881883470398316,1.7064169e-05,-16.63329853451548,-24.902756310765664,10,-33.93799899258782,0.0,23.275335,-33.93799899258782,29,154.42233,7.881883470398316,10,-16.63329853451548,-24.902756310765668
472000,0.0,0.0,156.53358046363527,0.0,156.53358046363525,0.019292649,7.6375413,30,171.9922608461156,0.00016707057,451.180911172797,156.53358046363525,10,-120.76048874501765,0.0,27.652534,-120.76048874501765,30,151.4025,171.9922608461156,10,451.180911172797,156.53358046363527
484000,0.0,0.0,-91.91135644290091,0.0,-91.9113564429009,0.0270701,133.83224,31,12.938004033267347,-0.19124947,-70.01301772945392,-91.9113564429009,10,-108.32366868476609,0.0,1571.0638,-108.32366868476609,31,110.11193,12.938004033267347,10,-70.01301772945392,-91.91135644290091
496000,0.0,0.0,-87.84509987953159,0.0,-87.84509987953159,0.03971895,9.325617,32,7.603934216351476,-0.30508575,-75.79683043808147,-87.84509987953159,10,-97.12885546776286,0.0,2299.8008,-97.12885546776286,32,16.229353,7.603934216351476,10,-75.79683043808147,-87.84509987953159
