MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/plate-slide-back-side-v1/Iteration,MetaTest/plate-slide-back-side-v1/MaxReturn,MetaTrain/Average/PolicyLoss,MetaTest/plate-slide-back-side-v1/AverageDiscountedReturn,MetaTest/plate-slide-back-side-v1/AverageReturn,MetaTest/plate-slide-back-side-v1/SuccessRate,MetaTest/Average/SuccessRate,MetaTest/plate-slide-back-side-v1/NumEpisodes,MetaTest/plate-slide-back-side-v1/TerminationRate,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/QfLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/Average/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,MetaTrain/Average/Alpha,MetaTest/plate-slide-back-side-v1/StdReturn,MetaTest/plate-slide-back-side-v1/MinReturn,MetaTest/Average/Iteration,MetaTest/Average/NumEpisodes,MetaTrain/Average/AlphaLoss
0.0,112000,0,-30.236019008678994,3.5727625,-41.28416401051872,-41.28416401051873,0.0,0.0,10,0.0,8.088295,0.6184367,-41.28416401051872,-50.72828090435984,6.024705178583648,-41.28416401051873,-30.236019008678994,0.86938715,6.024705178583648,-50.72828090435984,0,10,5.8516865
0.0,124000,1,-27.57829445885925,16.80397,-37.70146256439327,-37.701462564393275,0.0,0.0,10,0.0,11.70632,0.7252313,-37.70146256439327,-46.637899520190764,6.08974252976407,-37.701462564393275,-27.57829445885925,0.66254663,6.08974252976407,-46.637899520190764,1,10,4.454006
0.0,136000,2,-59.98985901643991,28.81393,-64.07178429981042,-64.07178429981045,0.0,0.0,10,0.0,7.942903,1084.9666,-64.07178429981042,-65.45410965669954,1.5438173028351159,-64.07178429981045,-59.98985901643991,0.5125813,1.5438173028351159,-65.45410965669954,2,10,3.2132754
0.0,148000,3,-55.572767914733994,-12.170636,-56.805399808602864,-56.805399808602886,0.0,0.0,10,0.0,8.99247,758.9054,-56.805399808602864,-57.42065225085125,0.5867141139147656,-56.805399808602886,-55.572767914733994,0.41105384,0.5867141139147656,-57.42065225085125,3,10,1.5805312
0.0,160000,4,-29.44200380940779,-81.69384,-35.79939572584221,-35.799395725842196,0.0,0.0,10,0.0,15.107681,820.8186,-35.79939572584221,-44.333602310325674,4.446500279989284,-35.799395725842196,-29.44200380940779,0.3394915,4.446500279989284,-44.333602310325674,4,10,1.0261363
0.0,172000,5,-89.50666507957978,-118.06238,-90.33779466899762,-90.33779466899763,0.0,0.0,10,0.0,17.0421,900.81635,-90.33779466899762,-90.98428978380407,0.4659557223594955,-90.33779466899763,-89.50666507957978,0.27389625,0.4659557223594955,-90.98428978380407,5,10,0.6651765
0.0,184000,6,-29.88120583361864,-314.3595,-35.02767470414031,-35.027674704140296,0.0,0.0,10,0.0,36.549908,1356.4163,-35.02767470414031,-38.62144888759163,2.3393760004321997,-35.027674704140296,-29.88120583361864,0.27070972,2.3393760004321997,-38.62144888759163,6,10,-0.44298735
0.0,196000,7,-74.50789883000452,-325.93582,-74.8029401171138,-74.80294011711379,0.0,0.0,10,0.0,62.290424,2799.933,-74.8029401171138,-74.99565397503649,0.1356990480286439,-74.80294011711379,-74.50789883000452,0.2820201,0.1356990480286439,-74.99565397503649,7,10,0.13879551
0.0,208000,8,-16.60732214430477,-2111.6208,-27.17468431818012,-27.174684318180123,0.0,0.0,10,0.0,25.611546,5500.729,-27.17468431818012,-40.70373369666206,9.96498252316597,-27.174684318180123,-16.60732214430477,0.35323548,9.96498252316597,-40.70373369666206,8,10,-3.232918
0.0,220000,9,-23.264152078910303,-2351.855,-41.52460872579793,-41.52460872579793,0.0,0.0,10,0.0,24.404692,4594.3066,-41.52460872579793,-63.19935392851417,18.112985900032825,-41.52460872579793,-23.264152078910303,0.49372858,18.112985900032825,-63.19935392851417,9,10,-3.5257206
