MetaTest/push-v1/Iteration,MetaTrain/Average/Alpha,MetaTest/push-v1/MinReturn,MetaTest/Average/StdReturn,MetaTest/push-v1/NumEpisodes,MetaTest/push-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/push-v1/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/push-v1/TerminationRate,TotalEnvSteps,MetaTest/Average/Iteration,MetaTrain/Average/PolicyLoss,MetaTrain/Average/QfLoss,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTest/push-v1/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTest/push-v1/AverageReturn,MetaTest/push-v1/MaxReturn,MetaTest/Average/TerminationRate
0,0.87012166,-37.10905681087621,175.47168726891587,10,175.47168726891587,31.39545669172178,10,31.39545669172187,5.8282394,0.0,112000,0,-0.85866016,98.94784,8.239211,557.0297584538786,-37.10905681087621,0.0,31.39545669172187,0.0,31.39545669172178,557.0297584538786,0.0
1,0.6676704,-81.26803215197738,24.17079546795344,10,24.17079546795344,-51.85114783819222,10,-51.85114783819224,4.131662,0.0,124000,1,-0.52958304,765.03937,12.906069,0.2447893269649289,-81.26803215197738,0.0,-51.85114783819224,0.0,-51.85114783819222,0.2447893269649289,0.0
2,0.53014195,-94.37884002873714,154.85278291404154,10,154.85278291404154,11.503926974925507,10,11.503926974925523,2.1151347,0.0,136000,2,-80.22808,1300.9712,19.097878,346.22898126696856,-94.37884002873714,0.0,11.503926974925523,0.0,11.503926974925507,346.22898126696856,0.0
3,0.48228362,-62.97578704264004,4.916423240771235,10,4.916423240771235,-57.05336132345995,10,-57.05336132345995,-0.0404616,0.0,148000,3,-281.73016,1987.266,19.644464,-50.02838070842575,-62.97578704264004,0.0,-57.05336132345995,0.0,-57.05336132345995,-50.02838070842575,0.0
4,0.5397601,-59.34631183704304,39.87678559455991,10,39.87678559455991,-36.093412160623146,10,-36.093412160623124,-0.42316642,0.0,160000,4,-358.3382,2307.586,25.05324,82.49788138489703,-59.34631183704304,0.0,-36.093412160623124,0.0,-36.093412160623146,82.49788138489703,0.0
5,0.6425096,-23.084488686120693,403.2288009186979,10,403.2288009186979,201.54747749103075,10,201.54747749103063,-0.45009834,0.0,172000,5,-511.60495,3036.2258,32.92101,1373.8353474037772,-23.084488686120693,0.0,201.54747749103063,0.0,201.54747749103075,1373.8353474037772,0.0
6,0.9255557,-41.10118149511547,67.26706923036244,10,67.26706923036244,6.179790293375364,10,6.179790293375366,-2.6355824,0.0,184000,6,-1327.9935,10750.498,23.985086,176.36859947166747,-41.10118149511547,0.0,6.179790293375366,0.0,6.179790293375364,176.36859947166747,0.0
7,1.2510475,-93.22640520305798,78.21717269908392,10,78.21717269908392,-16.313196090975282,10,-16.31319609097527,-2.0229387,0.0,196000,7,-1252.6703,10434.201,34.802902,110.78741858465897,-93.22640520305798,0.0,-16.31319609097527,0.0,-16.313196090975282,110.78741858465897,0.0
8,1.3518604,-116.1517979099614,2591.0919499741417,10,2591.0919499741417,779.2840126090491,10,779.2840126090498,1.9170756,0.0,208000,8,-870.0645,62707.74,269.6402,8552.24773241864,-116.1517979099614,0.0,779.2840126090498,0.0,779.2840126090491,8552.24773241864,0.0
9,1.1258018,-56.2124940604152,49031.4854492483,10,49031.4854492483,16306.042633970636,10,16306.042633970626,0.83882254,0.0,220000,9,-1168.8477,104434.08,486.40115,163400.46319108913,-56.2124940604152,0.1,16306.042633970626,0.1,16306.042633970636,163400.46319108913,0.0
