MetaTrain/Average/PolicyLoss,MetaTest/reach-wall-v1/SuccessRate,MetaTest/reach-wall-v1/MaxReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/TerminationRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/MinReturn,MetaTrain/Average/QfLoss,MetaTest/reach-wall-v1/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,MetaTest/reach-wall-v1/AverageReturn,MetaTest/Average/StdReturn,MetaTest/reach-wall-v1/MinReturn,MetaTest/reach-wall-v1/TerminationRate,TotalEnvSteps,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/Alpha,MetaTest/reach-wall-v1/NumEpisodes,MetaTest/reach-wall-v1/Iteration,MetaTest/Average/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/Iteration,MetaTest/reach-wall-v1/StdReturn
-7278.943,0.0,8602.581400156649,83098.914,0.0,-1.1245848,3855.1768453730538,5724198.5,6191.48989681656,8602.581400156649,0.0,6191.48989681656,1377.899288249297,3855.1768453730538,0.0,112000,6191.48989681656,1.0560428,10,0,6191.48989681656,10,0,1377.899288249297
-15523.518,0.0,6895.825921024848,17579.754,0.0,-7.3857822,311.23899136035834,5398019.5,1094.9180046615709,6895.825921024848,0.0,1094.9180046615706,1936.6583024018662,311.23899136035834,0.0,124000,1094.9180046615709,1.3412261,10,1,1094.9180046615706,10,1,1936.6583024018662
-14386.902,0.0,46467.90432860078,2313.22,0.0,-6.7839227,914.7120202770072,4015566.8,24685.38922435757,46467.90432860078,0.0,24685.389224357572,14657.559897647601,914.7120202770072,0.0,136000,24685.38922435757,1.8161854,10,2,24685.389224357572,10,2,14657.559897647601
-29530.273,0.4,124706.13815787628,1021.5749,0.0,-13.411768,26527.280786894247,3410197.5,77461.70920457551,124706.13815787628,0.4,77461.70920457553,37660.56167460381,26527.280786894247,0.0,148000,77461.70920457551,2.4715497,10,3,77461.70920457553,10,3,37660.56167460381
-47759.703,0.1,171355.23131505284,540.9965,0.0,-33.194134,23178.318280824922,3647409.8,76151.1852048378,171355.23131505284,0.1,76151.18520483779,48234.39620279332,23178.318280824922,0.0,160000,76151.1852048378,3.6960387,10,4,76151.18520483779,10,4,48234.39620279332
-67249.56,0.0,54670.86478226057,485.5194,0.0,-43.680717,24838.337589202267,3668262.5,34419.881955737044,54670.86478226057,0.0,34419.88195573706,9589.401054917767,24838.337589202267,0.0,172000,34419.881955737044,5.194406,10,5,34419.88195573706,10,5,9589.401054917767
-84711.15,0.0,59758.38640637422,752.45435,0.0,-56.036804,1208.297211982729,3875443.2,37388.02677472828,59758.38640637422,0.0,37388.02677472828,15251.276251521043,1208.297211982729,0.0,184000,37388.02677472828,7.23893,10,6,37388.02677472828,10,6,15251.276251521043
-105753.89,0.0,78191.91732221875,597.3318,0.0,-82.16903,13495.020531489265,4582115.5,44076.149209764786,78191.91732221875,0.0,44076.14920976479,21886.833102641995,13495.020531489265,0.0,196000,44076.149209764786,10.162931,10,7,44076.14920976479,10,7,21886.833102641995
-129293.71,0.1,39746.22644303288,912.0477,0.0,-121.849174,11756.88990216915,5313635.5,20647.068967778963,39746.22644303288,0.1,20647.06896777896,7472.627005372907,11756.88990216915,0.0,208000,20647.068967778963,14.429469,10,8,20647.06896777896,10,8,7472.627005372907
-176765.77,0.1,119880.66956289894,739.01135,0.0,-172.50453,46483.261070844215,7348437.0,76862.55117511578,119880.66956289894,0.1,76862.55117511578,20887.598684124772,46483.261070844215,0.0,220000,76862.55117511578,20.336527,10,9,76862.55117511578,10,9,20887.598684124772
