MetaTest/Average/Iteration,MetaTest/Average/SuccessRate,MetaTest/button-press-wall-v1/MinReturn,MetaTest/button-press-wall-v1/MaxReturn,MetaTest/button-press-wall-v1/NumEpisodes,MetaTest/button-press-wall-v1/TerminationRate,MetaTrain/Average/PolicyLoss,MetaTest/Average/StdReturn,MetaTest/button-press-wall-v1/StdReturn,MetaTrain/Average/ContrastiveLoss,TotalEnvSteps,MetaTest/Average/TerminationRate,MetaTrain/Average/Alpha,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTrain/Average/AlphaLoss,MetaTrain/Average/QfLoss,MetaTest/Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/button-press-wall-v1/SuccessRate,MetaTest/button-press-wall-v1/AverageDiscountedReturn,MetaTest/button-press-wall-v1/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/button-press-wall-v1/Iteration
0,0.2,-81.68063398154294,-27.947417554363852,10,0.0,-366.9544,16.629331783186785,16.629331783186785,8163.554,56000,0.0,0.9636239,-27.947417554363852,-81.68063398154294,1.5551573,2981921.8,-59.94246350541647,-59.94246350541647,0.2,-59.94246350541647,-59.94246350541647,10,0
1,0.0,-84.47767523478035,-48.782052161819614,10,0.0,-912.0444,10.849407434205325,10.849407434205325,9083.414,62000,0.0,0.9325469,-48.782052161819614,-84.47767523478035,1.2278627,2874234.2,-71.11258999213737,-71.11258999213734,0.0,-71.11258999213734,-71.11258999213737,10,1
2,0.0,-88.43524400388615,-73.1691798266084,10,0.0,-1786.6165,4.870896250845595,4.870896250845595,6753.8643,68000,0.0,0.9910553,-73.1691798266084,-88.43524400388615,-5.8541903,4173614.2,-81.15209434848217,-81.15209434848217,0.0,-81.15209434848217,-81.15209434848217,10,2
3,0.0,-134.02078283145173,-120.36431204689455,10,0.0,-1941.249,4.736430385248118,4.736430385248118,3265.4817,74000,0.0,1.2315618,-120.36431204689455,-134.02078283145173,-8.703891,3863190.8,-128.70629322500636,-128.7062932250064,0.0,-128.7062932250064,-128.70629322500636,10,3
4,0.0,-126.9314290716952,-77.7159263576933,10,0.0,-2347.8464,14.199828011348675,14.199828011348675,2597.4673,80000,0.0,1.4630253,-77.7159263576933,-126.9314290716952,-11.324815,3712144.5,-104.45486052515011,-104.45486052515014,0.0,-104.45486052515014,-104.45486052515011,10,4
5,0.0,-95.22044806197886,-71.61873152467302,10,0.0,-1810.8196,6.798367365904701,6.798367365904701,2307.0505,86000,0.0,1.6308047,-71.61873152467302,-95.22044806197886,-2.8862655,2965667.8,-78.35093461293783,-78.35093461293782,0.0,-78.35093461293782,-78.35093461293783,10,5
6,0.0,-93.0968908468718,-20.043500917988933,10,0.0,-2830.0376,21.523938707649698,21.523938707649698,3826.717,92000,0.0,1.7091367,-20.043500917988933,-93.0968908468718,-3.580147,2764737.0,-71.08338448183962,-71.0833844818396,0.0,-71.0833844818396,-71.08338448183962,10,6
7,0.0,-94.91145988967479,-57.18971920063354,10,0.0,-4557.166,10.409168415603734,10.409168415603734,10487.551,98000,0.0,1.9436098,-57.18971920063354,-94.91145988967479,-8.07395,2595410.5,-82.82158941074799,-82.82158941074799,0.0,-82.82158941074799,-82.82158941074799,10,7
8,0.0,-129.44952904163137,-16.96207110116219,10,0.0,-5283.936,29.02248596209455,29.02248596209455,15578.097,104000,0.0,2.2052526,-16.96207110116219,-129.44952904163137,-6.7321906,2618770.0,-92.09198495452695,-92.09198495452694,0.0,-92.09198495452694,-92.09198495452695,10,8
9,0.0,-125.654130123843,-53.866324455947954,10,0.0,-7428.0967,19.24822059349246,19.24822059349246,7609.579,110000,0.0,2.5414302,-53.866324455947954,-125.654130123843,-11.0081,2565022.0,-92.38098723901234,-92.38098723901234,0.0,-92.38098723901234,-92.38098723901234,10,9
