MetaTest/Average/SuccessRate,MetaTest/pick-out-of-hole-v1/MaxReturn,MetaTest/pick-out-of-hole-v1/MinReturn,TotalEnvSteps,MetaTest/Average/MaxReturn,MetaTrain/Average/Alpha,MetaTest/pick-out-of-hole-v1/SuccessRate,MetaTest/pick-out-of-hole-v1/AverageDiscountedReturn,MetaTrain/Average/PolicyLoss,MetaTrain/Average/AlphaLoss,MetaTest/Average/Iteration,MetaTest/Average/NumEpisodes,MetaTest/pick-out-of-hole-v1/TerminationRate,MetaTest/Average/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/pick-out-of-hole-v1/NumEpisodes,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/pick-out-of-hole-v1/AverageReturn,MetaTrain/Average/QfLoss,MetaTest/pick-out-of-hole-v1/StdReturn,MetaTest/pick-out-of-hole-v1/Iteration
0.0,-52.55089387952057,-97.27822792915974,56000,-52.55089387952057,0.9304436,0.0,-78.65215007185886,0.19650626,6.2631745,0,10,0.0,-97.27822792915974,-78.65215007185886,10,8.2739935,15.333116355008759,0.0,-78.65215007185881,-78.65215007185881,1.1648562,15.333116355008759,0
0.0,-43.282030292233145,-70.25411372419455,62000,-43.282030292233145,0.80855316,0.0,-61.153131499225665,6.31597,5.4379697,1,10,0.0,-70.25411372419455,-61.153131499225665,10,9.47023,7.539650224885961,0.0,-61.153131499225665,-61.153131499225665,3.5625362,7.539650224885961,1
0.0,-42.15880045752589,-74.75479410590108,68000,-42.15880045752589,0.7065984,0.0,-56.01224321071929,13.3148365,4.7418494,2,10,0.0,-74.75479410590108,-56.01224321071929,10,7.642485,9.636620949347424,0.0,-56.01224321071929,-56.01224321071929,1.8095491,9.636620949347424,2
0.0,-34.49518017139318,-51.98522811098537,74000,-34.49518017139318,0.61966556,0.0,-42.90219015940741,22.947384,4.140378,3,10,0.0,-51.98522811098537,-42.90219015940741,10,7.6284857,4.984173167860857,0.0,-42.9021901594074,-42.9021901594074,3.537932,4.984173167860857,3
0.0,-33.43377096426382,-62.54686702221327,80000,-33.43377096426382,0.544505,0.0,-40.950829987084305,31.677507,3.6119213,4,10,0.0,-62.54686702221327,-40.950829987084305,10,7.630119,8.4256012926582,0.0,-40.950829987084305,-40.950829987084305,4.305397,8.4256012926582,4
0.0,-32.520860787663956,-56.14473302139333,86000,-32.520860787663956,0.47906548,0.0,-41.45568919599562,39.856163,3.136204,5,10,0.0,-56.14473302139333,-41.45568919599562,10,8.531789,6.785439432587813,0.0,-41.45568919599562,-41.45568919599562,4.6187077,6.785439432587813,5
0.0,-27.199177908245222,-51.84300766786526,92000,-27.199177908245222,0.42212853,0.0,-39.43834269916293,47.323624,2.7122805,6,10,0.0,-51.84300766786526,-39.43834269916293,10,7.6278577,7.725697289332203,0.0,-39.438342699162945,-39.438342699162945,6.0445213,7.725697289332203,6
0.0,-31.79833859881279,-40.663660514741494,98000,-31.79833859881279,0.3721293,0.0,-35.67930106759101,54.569122,2.3337636,7,10,0.0,-40.663660514741494,-35.67930106759101,10,7.6265388,3.3171882674221336,0.0,-35.67930106759101,-35.67930106759101,6.617235,3.3171882674221336,7
0.0,-32.428283448966084,-38.66617184937887,104000,-32.428283448966084,0.32832703,0.0,-35.402163010999644,61.050774,2.001214,8,10,0.0,-38.66617184937887,-35.402163010999644,10,8.655619,1.8930786654401557,0.0,-35.40216301099964,-35.40216301099964,7.6440773,1.8930786654401557,8
0.0,-25.610460748076054,-35.034649054822204,110000,-25.610460748076054,0.2899756,0.0,-30.420409310567816,66.19958,1.7109753,9,10,0.0,-35.034649054822204,-30.420409310567816,10,7.643141,2.7756033610371618,0.0,-30.420409310567823,-30.420409310567823,8.02503,2.7756033610371618,9
0.0,-26.922735045732914,-38.21145787683156,116000,-26.922735045732914,0.25613415,0.0,-33.27572660564298,72.592514,1.4617451,10,10,0.0,-38.21145787683156,-33.27572660564298,10,7.6271386,3.7859327076776186,0.0,-33.27572660564299,-33.27572660564299,9.113956,3.7859327076776186,10
0.0,-29.505733235471517,-42.48503599969854,122000,-29.505733235471517,0.2264562,0.0,-38.02560410390781,77.48354,1.2440854,11,10,0.0,-42.48503599969854,-38.02560410390781,10,7.6286964,3.5245494895476597,0.0,-38.02560410390781,-38.02560410390781,9.930561,3.5245494895476597,11
