MetaTest/Average/SuccessRate,MetaTrain/Average/QfLoss,MetaTest/pick-place-v1/StdReturn,MetaTest/pick-place-v1/NumEpisodes,MetaTest/Average/MinReturn,MetaTest/Average/StdReturn,MetaTest/pick-place-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/pick-place-v1/SuccessRate,MetaTest/pick-place-v1/Iteration,MetaTrain/Average/AlphaLoss,MetaTrain/Average/PolicyLoss,MetaTest/pick-place-v1/MaxReturn,MetaTest/Average/AverageReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/pick-place-v1/TerminationRate,MetaTrain/Average/Alpha,MetaTest/pick-place-v1/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/pick-place-v1/AverageReturn
0.0,1.3633565,50.91960053265011,10,-60.071958234508976,50.91960053265011,-60.071958234508976,-19.77836638381363,108.9351887663491,56000,0.0,0,6.2666264,-0.41448736,108.9351887663491,-19.778366383813644,8.399235,0,0.0,0.0,0.9311658,-19.77836638381363,10,-19.778366383813644
0.0,1.8212769,8.426274910280238,10,-54.4103144344013,8.426274910280238,-54.4103144344013,-41.753085863460015,-31.671062294111323,62000,0.0,1,5.4444537,3.7072914,-31.671062294111323,-41.753085863460015,9.295636,1,0.0,0.0,0.80946255,-41.753085863460015,10,-41.753085863460015
0.0,3.989232,8.646383290373558,10,-53.53337765719197,8.646383290373558,-53.53337765719197,-36.850999808386504,-26.330263340594083,68000,0.0,2,4.749506,9.452875,-26.330263340594083,-36.85099980838651,7.6769624,2,0.0,0.0,0.7072719,-36.850999808386504,10,-36.85099980838651
0.0,5.126862,7.140128009691866,10,-49.83911259169928,7.140128009691866,-49.83911259169928,-33.64287702342652,-25.098414426278033,74000,0.0,3,4.1481867,16.659052,-25.098414426278033,-33.64287702342652,7.6393647,3,0.0,0.0,0.619869,-33.64287702342652,10,-33.64287702342652
0.0,5.1476717,5.9573701135049015,10,-45.66230958471026,5.9573701135049015,-45.66230958471026,-29.370610069960424,-22.96136554081238,80000,0.0,4,3.6211095,23.3102,-22.96136554081238,-29.370610069960424,8.708738,4,0.0,0.0,0.54460824,-29.370610069960424,10,-29.370610069960424
0.0,6.215085,3.11881200355962,10,-32.303198945493776,3.11881200355962,-32.303198945493776,-27.7551838326834,-22.81178412928129,86000,0.0,5,3.1533062,30.8352,-22.81178412928129,-27.755183832683407,7.6322503,5,0.0,0.0,0.4791948,-27.7551838326834,10,-27.755183832683407
0.0,6.89265,1.5752012353517681,10,-30.16263305082843,1.5752012353517681,-30.16263305082843,-28.20759994812813,-24.976446529748774,92000,0.0,6,2.7404716,38.370243,-24.976446529748774,-28.207599948128138,7.6247506,6,0.0,0.0,0.4219861,-28.20759994812813,10,-28.207599948128138
0.0,7.367185,3.3912944468152326,10,-33.618823454458145,3.3912944468152326,-33.618823454458145,-26.557497444046646,-20.06808585616067,98000,0.0,7,2.3732173,45.191174,-20.06808585616067,-26.557497444046646,7.6271205,7,0.0,0.0,0.3718673,-26.557497444046646,10,-26.557497444046646
0.0,7.6488037,2.695741046546937,10,-30.388491595159138,2.695741046546937,-30.388491595159138,-25.78993809547373,-21.837864113328102,104000,0.0,8,2.0476654,51.33014,-21.837864113328102,-25.78993809547373,7.807005,8,0.0,0.0,0.32783768,-25.78993809547373,10,-25.78993809547373
0.0,8.323566,2.435475600425155,10,-32.19881646969614,2.435475600425155,-32.19881646969614,-28.8719042586843,-23.754324472167628,110000,0.0,9,1.7575865,58.247406,-23.754324472167628,-28.871904258684303,7.6288047,9,0.0,0.0,0.28912678,-28.8719042586843,10,-28.871904258684303
0.0,8.785274,3.0778771864499213,10,-32.9084578758033,3.0778771864499213,-32.9084578758033,-28.975743310725864,-23.29655857490755,116000,0.0,10,1.5033416,64.701385,-23.29655857490755,-28.975743310725864,7.629413,10,0.0,0.0,0.2551777,-28.975743310725864,10,-28.975743310725864
0.0,9.045337,3.800121938245302,10,-31.50294234023872,3.800121938245302,-31.50294234023872,-23.011152758197404,-19.126524305573827,122000,0.0,11,1.2775959,70.79022,-19.126524305573827,-23.011152758197404,8.583799,11,0.0,0.0,0.22541928,-23.011152758197404,10,-23.011152758197404
0.0,10.164869,4.797363420933869,10,-33.04064630841595,4.797363420933869,-33.04064630841595,-27.012888377208082,-19.151737948060788,128000,0.0,12,1.0904914,75.649826,-19.151737948060788,-27.012888377208082,7.6269403,12,0.0,0.0,0.19933663,-27.012888377208082,10,-27.012888377208082
0.0,9.688996,4.079009137219843,10,-31.026393124539307,4.079009137219843,-31.026393124539307,-25.43741314094706,-19.073840811184517,134000,0.0,13,0.92735124,80.36725,-19.073840811184517,-25.43741314094706,7.627893,13,0.0,0.0,0.17630316,-25.43741314094706,10,-25.43741314094706
0.0,10.523738,4.2071590112298365,10,-31.44515414180414,4.2071590112298365,-31.44515414180414,-23.563517639114828,-19.218140201408243,140000,0.0,14,0.7867014,85.307045,-19.218140201408243,-23.56351763911484,7.629747,14,0.0,0.0,0.15602458,-23.563517639114828,10,-23.56351763911484
0.0,10.129656,4.864795118405305,10,-33.254572326309585,4.864795118405305,-33.254572326309585,-26.305998559132906,-18.027880595326145,146000,0.0,15,0.6683347,89.13444,-18.027880595326145,-26.305998559132906,8.442831,15,0.0,0.0,0.13800418,-26.305998559132906,10,-26.305998559132906
0.0,10.416111,1.368531027917075,10,-22.79627884969664,1.368531027917075,-22.79627884969664,-20.541644555411146,-17.98724035433706,152000,0.0,16,0.566157,93.11105,-17.98724035433706,-20.541644555411146,7.626875,16,0.0,0.0,0.12213588,-20.541644555411146,10,-20.541644555411146
0.0,11.289371,1.184261002842844,10,-21.05274345960578,1.184261002842844,-21.05274345960578,-18.621527218319923,-16.351782039032564,158000,0.0,17,0.48115528,97.08573,-16.351782039032564,-18.621527218319923,7.6330576,17,0.0,0.0,0.10807584,-18.621527218319923,10,-18.621527218319923
0.0,10.498454,3.842979287221736,10,-27.388924503680943,3.842979287221736,-27.388924503680943,-21.481719912998717,-17.859859165855113,164000,0.0,18,0.40870783,99.61142,-17.859859165855113,-21.48171991299872,8.106073,18,0.0,0.0,0.09564968,-21.481719912998717,10,-21.48171991299872
0.0,10.3834915,1.4514700875688842,10,-22.406991750275512,1.4514700875688842,-22.406991750275512,-20.678787268390646,-17.303318390496838,170000,0.0,19,0.34336933,102.33388,-17.303318390496838,-20.67878726839065,7.625714,19,0.0,0.0,0.08465085,-20.678787268390646,10,-20.67878726839065
0.0,10.951255,2.2914330521550235,10,-23.977800920870852,2.2914330521550235,-23.977800920870852,-19.812500172342173,-16.928937677009873,176000,0.0,20,0.2902561,105.26191,-16.928937677009873,-19.812500172342176,7.6398244,20,0.0,0.0,0.07500267,-19.812500172342173,10,-19.812500172342176
0.0,10.586605,2.2542123822247615,10,-26.012514215637427,2.2542123822247615,-26.012514215637427,-22.37771456203769,-18.730501403189255,182000,0.0,21,0.23969874,108.17964,-18.730501403189255,-22.37771456203768,7.841567,21,0.0,0.0,0.066504486,-22.37771456203769,10,-22.37771456203768
0.0,10.605834,1.8612770123778306,10,-21.26442972241621,1.8612770123778306,-21.26442972241621,-18.20656607923785,-15.411225213606544,188000,0.0,22,0.19577047,110.33434,-15.411225213606544,-18.206566079237852,7.6256356,22,0.0,0.0,0.05906755,-18.20656607923785,10,-18.206566079237852
0.0,11.601922,2.466995847904973,10,-23.428530301811072,2.466995847904973,-23.428530301811072,-19.675752893030978,-15.50567208701219,194000,0.0,23,0.15993473,112.38094,-15.50567208701219,-19.675752893030975,7.635988,23,0.0,0.0,0.05256269,-19.675752893030978,10,-19.675752893030975
0.0,10.377042,1.6409290146305708,10,-22.653205378570327,1.6409290146305708,-22.653205378570327,-19.554005838011495,-17.621084525936332,200000,0.0,24,0.12970963,114.455734,-17.621084525936332,-19.554005838011495,7.720536,24,0.0,0.0,0.04685178,-19.554005838011495,10,-19.554005838011495
0.0,10.958703,1.9749734884827652,10,-21.466307544983138,1.9749734884827652,-21.466307544983138,-17.675106312683443,-15.586860234857355,206000,0.0,25,0.10131859,116.24708,-15.586860234857355,-17.67510631268344,7.647258,25,0.0,0.0,0.041840255,-17.675106312683443,10,-17.67510631268344
