MetaTest/Average/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/Average/MaxReturn,MetaTest/window-open-v1/SuccessRate,MetaTest/window-open-v1/TerminationRate,MetaTrain/Average/Alpha,MetaTest/Average/StdReturn,MetaTest/window-open-v1/NumEpisodes,TotalEnvSteps,MetaTest/window-open-v1/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/QfLoss,MetaTest/Average/SuccessRate,MetaTest/Average/Iteration,MetaTrain/Average/AlphaLoss,MetaTest/Average/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/PolicyLoss,MetaTest/window-open-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTest/window-open-v1/AverageDiscountedReturn,MetaTest/window-open-v1/MaxReturn,MetaTest/window-open-v1/MinReturn,MetaTest/window-open-v1/AverageReturn
0.0,10,-28.88532061777609,0.0,0.0,0.9350176,14.416424428737791,10,56000,0,-61.59734345966674,3055.8389,0.0,0,5.2844963,-76.39009239092162,16.551716,-20.923067,14.416424428737791,-61.59734345966676,-61.59734345966674,-28.88532061777609,-76.39009239092162,-61.59734345966676
0.0,10,-29.05882082707093,0.0,0.0,0.8178599,33.192949032723966,10,62000,1,-59.17666195525112,2793.651,0.0,1,4.3511744,-123.46749000370471,23.861275,-40.676476,33.192949032723966,-59.176661955251134,-59.17666195525112,-29.05882082707093,-123.46749000370471,-59.176661955251134
0.0,10,-21.779231074248198,0.0,0.0,0.7180434,28.51397586744518,10,68000,2,-53.38927192208369,2514.097,0.0,2,3.7574458,-108.35090166707391,43.30828,-51.306507,28.51397586744518,-53.38927192208367,-53.38927192208369,-21.779231074248198,-108.35090166707391,-53.38927192208367
0.0,10,-31.626360301249527,0.0,0.0,0.6442828,19.62770762748841,10,74000,3,-82.47136067620815,2015.8804,0.0,3,1.8568965,-101.00352666929885,42.87259,-58.65328,19.62770762748841,-82.47136067620815,-82.47136067620815,-31.626360301249527,-101.00352666929885,-82.47136067620815
0.0,10,496.70656707765824,0.0,0.0,0.5965387,168.57218026140458,10,80000,4,-1.2582924436631786,1937.0348,0.0,4,1.5655233,-105.49978380111367,38.44443,-93.48752,168.57218026140458,-1.2582924436631573,-1.2582924436631786,496.70656707765824,-105.49978380111367,-1.2582924436631573
0.0,10,76.9738003277221,0.0,0.0,0.5374043,40.63005087889109,10,86000,5,-28.320030673484062,3124.5334,0.0,5,1.1406571,-78.85601835414465,36.695045,-203.87517,40.63005087889109,-28.32003067348404,-28.320030673484062,76.9738003277221,-78.85601835414465,-28.32003067348404
0.0,10,-19.63581101963836,0.0,0.0,0.5462716,36.74088335814871,10,92000,6,-69.55133873820286,2609456.5,0.0,6,-3.046141,-137.86483958476694,5475.495,-2525.71,36.74088335814871,-69.55133873820286,-69.55133873820286,-19.63581101963836,-137.86483958476694,-69.55133873820286
0.0,10,-98.41060627290321,0.0,0.0,0.5470918,10.102860200300928,10,98000,7,-120.76174602805801,29573.818,0.0,7,1.9009207,-134.79715591516944,3373.487,-847.82965,10.102860200300928,-120.76174602805807,-120.76174602805801,-98.41060627290321,-134.79715591516944,-120.76174602805807
0.0,10,-1.2144036905681777,0.0,0.0,0.5161181,35.04892033900753,10,104000,8,-98.29988013943793,30706.035,0.0,8,1.0386069,-124.58179521304876,1871.7844,-517.46954,35.04892033900753,-98.2998801394379,-98.29988013943793,-1.2144036905681777,-124.58179521304876,-98.2998801394379
0.0,10,-27.757746053778476,0.0,0.0,0.53002226,18.39525914993071,10,110000,9,-50.90261387440646,29026.695,0.0,9,-1.5844047,-92.15590010500372,1020.93787,-2241.1025,18.39525914993071,-50.90261387440647,-50.90261387440646,-27.757746053778476,-92.15590010500372,-50.90261387440647
0.0,10,-16.67238926283578,0.0,0.0,0.58985883,13.303076856594634,10,116000,10,-37.96757530766976,33236.23,0.0,10,-1.4320924,-58.61662749620879,976.4775,-2386.416,13.303076856594634,-37.96757530766975,-37.96757530766976,-16.67238926283578,-58.61662749620879,-37.96757530766975
0.0,10,-11.519732897032398,0.0,0.0,0.6221912,21.358816973844746,10,122000,11,-64.3682139744277,28368.662,0.0,11,0.115337744,-86.78770426039586,753.8812,-1722.9098,21.358816973844746,-64.36821397442769,-64.3682139744277,-11.519732897032398,-86.78770426039586,-64.36821397442769
0.0,10,-31.016128494078394,0.0,0.0,0.552,11.451741905482603,10,128000,12,-50.372236734572894,33800.867,0.0,12,2.5266826,-66.55896274560762,1786.8823,-570.3364,11.451741905482603,-50.37223673457289,-50.372236734572894,-31.016128494078394,-66.55896274560762,-50.37223673457289
0.0,10,1855.3029929270006,0.0,0.0,0.4692419,655.7511799886186,10,134000,13,286.0871805034725,27542.164,0.0,13,2.0849397,-49.824197423408926,499.21243,-253.7337,655.7511799886186,286.08718050347227,286.0871805034725,1855.3029929270006,-49.824197423408926,286.08718050347227
0.0,10,-66.09215188309757,0.0,0.0,0.41189644,9.793648176658422,10,140000,14,-78.16933929558881,28548.703,0.0,14,1.5931876,-94.5923820644501,755.63965,-251.46194,9.793648176658422,-78.1693392955888,-78.16933929558881,-66.09215188309757,-94.5923820644501,-78.1693392955888
0.0,10,-52.392519488002264,0.0,0.0,0.36781493,9.002178270835788,10,146000,15,-67.01616848106966,27719.932,0.0,15,1.1181891,-81.01637193056266,263.85648,-228.28226,9.002178270835788,-67.01616848106964,-67.01616848106966,-52.392519488002264,-81.01637193056266,-67.01616848106964
0.0,10,-61.27595595309747,0.0,0.0,0.34137827,5.908732014574279,10,152000,16,-68.16237262215846,49611.227,0.0,16,0.36211804,-80.95604438698945,786.64124,-281.73706,5.908732014574279,-68.16237262215847,-68.16237262215846,-61.27595595309747,-80.95604438698945,-68.16237262215847
0.0,10,-19.445799720024073,0.0,0.0,0.33072606,4.3867809824026205,10,158000,17,-28.070942979239895,105282.32,0.0,17,0.31373414,-35.58372592511499,841.527,-350.99957,4.3867809824026205,-28.07094297923991,-28.070942979239895,-19.445799720024073,-35.58372592511499,-28.07094297923991
0.0,10,-61.192997777133016,0.0,0.0,0.31811425,11.973938082628136,10,164000,18,-79.86645259928557,97074.555,0.0,18,0.148391,-98.03538760612159,361.05743,-619.04456,11.973938082628136,-79.86645259928555,-79.86645259928557,-61.192997777133016,-98.03538760612159,-79.86645259928555
0.0,10,-59.360485170439915,0.0,0.0,0.34134144,10.6787771685291,10,170000,19,-75.82287986079027,166969.38,0.0,19,-2.0194237,-88.17612316250504,2097.3481,-2086.5613,10.6787771685291,-75.82287986079025,-75.82287986079027,-59.360485170439915,-88.17612316250504,-75.82287986079025
0.0,10,-61.85147798874049,0.0,0.0,0.42027497,11.342007980563132,10,176000,20,-79.60057325695144,195979.58,0.0,20,-3.9648392,-93.52510973243137,1231.0853,-3352.6604,11.342007980563132,-79.60057325695144,-79.60057325695144,-61.85147798874049,-93.52510973243137,-79.60057325695144
0.0,10,-62.83325342530421,0.0,0.0,0.5203459,10.719290058247914,10,182000,21,-74.3854351581225,187684.31,0.0,21,-8.421822,-92.4630164077711,662.6236,-5311.8306,10.719290058247914,-74.38543515812252,-74.3854351581225,-62.83325342530421,-92.4630164077711,-74.38543515812252
0.0,10,-53.21434275904311,0.0,0.0,0.6372639,13.513557983453644,10,188000,22,-68.60012952611811,192879.48,0.0,22,-11.30435,-96.16133279540774,154.63257,-6539.3877,13.513557983453644,-68.6001295261181,-68.60012952611811,-53.21434275904311,-96.16133279540774,-68.6001295261181
0.0,10,-64.70840802548923,0.0,0.0,0.76330507,18.253588778542476,10,194000,23,-97.58526037521072,651584.1,0.0,23,-13.406155,-116.0710482608469,619.4511,-8947.355,18.253588778542476,-97.58526037521071,-97.58526037521072,-64.70840802548923,-116.0710482608469,-97.58526037521071
0.0,10,-59.82702500104619,0.0,0.0,0.85661435,13.727552043047774,10,200000,24,-86.23777390690843,393811.38,0.0,24,-5.1363983,-113.60199836429312,1028.1511,-7296.0303,13.727552043047774,-86.23777390690846,-86.23777390690843,-59.82702500104619,-113.60199836429312,-86.23777390690846
0.0,10,-78.34744588346348,0.0,0.0,0.9145984,4.482931048084549,10,206000,25,-85.6562723381299,570454.1,0.0,25,-3.7314389,-91.63578393540705,1240.4084,-5274.85,4.482931048084549,-85.65627233812987,-85.6562723381299,-78.34744588346348,-91.63578393540705,-85.65627233812987
0.0,10,-34.70198464150999,0.0,0.0,1.0096792,29.09028935690596,10,212000,26,-73.26185228253874,603061.75,0.0,26,-4.155506,-126.96703878954648,1503.3981,-11748.662,29.09028935690596,-73.2618522825387,-73.26185228253874,-34.70198464150999,-126.96703878954648,-73.2618522825387
0.0,10,40760.590552517715,0.1,0.0,1.1248246,12246.230947039861,10,218000,27,4021.923198876086,572061.44,0.1,27,-3.5100172,-93.01429720285964,7677.6426,-11953.358,12246.230947039861,4021.923198876084,4021.923198876086,40760.590552517715,-93.01429720285964,4021.923198876084
0.0,10,-25.37085099748822,0.1,0.0,1.1014856,15.876969460003178,10,224000,28,-64.93116396904848,620351.9,0.1,28,2.650109,-84.55972886052949,14283.076,-4616.1865,15.876969460003178,-64.93116396904848,-64.93116396904848,-25.37085099748822,-84.55972886052949,-64.93116396904848
0.0,10,-46.95081699870691,0.0,0.0,1.0068548,6.095516231805124,10,230000,29,-56.00878038277234,735601.0,0.0,29,3.2686126,-67.19731241767549,2789.948,-4496.351,6.095516231805124,-56.00878038277233,-56.00878038277234,-46.95081699870691,-67.19731241767549,-56.00878038277233
0.0,10,-57.512200985364395,0.0,0.0,0.96562326,13.954656836971917,10,236000,30,-80.1014486867262,852976.2,0.0,30,-0.17861205,-97.29254065650586,4088.9375,-8614.826,13.954656836971917,-80.10144868672623,-80.1014486867262,-57.512200985364395,-97.29254065650586,-80.10144868672623
0.0,10,-19.147950734590093,0.0,0.0,1.0186292,17.97541883341685,10,242000,31,-40.14799636075754,1270187.2,0.0,31,-12.554098,-87.39348020599779,5673.313,-21420.348,17.97541883341685,-40.14799636075752,-40.14799636075754,-19.147950734590093,-87.39348020599779,-40.14799636075752
0.0,10,19603.40209372055,0.0,0.0,1.231316,5893.937519322057,10,248000,32,1921.6390155230242,1030361.4,0.0,32,-13.925914,-69.75345699089854,11270.518,-20869.56,5893.937519322057,1921.6390155230233,1921.6390155230242,19603.40209372055,-69.75345699089854,1921.6390155230233
0.0,10,-30.647997662724645,0.0,0.0,1.3628945,11.854349049290029,10,254000,33,-54.348869926180626,755667.8,0.0,33,-14.279441,-66.70011345738973,7629.3364,-17814.725,11.854349049290029,-54.34886992618061,-54.348869926180626,-30.647997662724645,-66.70011345738973,-54.34886992618061
0.0,10,42.60847302467649,0.0,0.0,1.6381574,33.65788649010802,10,260000,34,-53.23205332498149,572294.2,0.0,34,-24.694302,-81.959183883199,5042.6807,-35770.19,33.65788649010802,-53.232053324981486,-53.23205332498149,42.60847302467649,-81.959183883199,-53.232053324981486
0.0,10,-15.494294681878527,0.0,0.0,1.9432273,17.4640590306983,10,266000,35,-47.78145623328116,698435.75,0.0,35,-24.24258,-64.42450966144412,10304.23,-28146.27,17.4640590306983,-47.78145623328116,-47.78145623328116,-15.494294681878527,-64.42450966144412,-47.78145623328116
0.0,10,-11.398827909969542,0.0,0.0,2.173399,15.610103786781629,10,272000,36,-34.876438404815914,475111.03,0.0,36,-16.69539,-56.765695506836636,10053.586,-18289.055,15.610103786781629,-34.87643840481591,-34.876438404815914,-11.398827909969542,-56.765695506836636,-34.87643840481591
0.0,10,-16.79053730910452,0.0,0.0,2.543872,13.803218071031726,10,278000,37,-39.71811489825983,494444.1,0.0,37,-27.697159,-60.56482018465569,6183.67,-26339.645,13.803218071031726,-39.71811489825983,-39.71811489825983,-16.79053730910452,-60.56482018465569,-39.71811489825983
0.0,10,188.74448238720774,0.0,0.0,2.8916783,74.3714244347129,10,284000,38,-33.92300725310653,1333731.0,0.0,38,-13.089578,-67.73502343969417,6938.681,-18341.025,74.3714244347129,-33.92300725310654,-33.92300725310653,188.74448238720774,-67.73502343969417,-33.92300725310654
