MetaTest/Average/AverageReturn,MetaTest/assembly-v1/Iteration,MetaTest/assembly-v1/StdReturn,MetaTest/Average/MinReturn,MetaTest/assembly-v1/TerminationRate,MetaTest/Average/NumEpisodes,TotalEnvSteps,MetaTest/assembly-v1/MaxReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTrain/Average/AlphaLoss,MetaTest/assembly-v1/AverageReturn,MetaTest/assembly-v1/SuccessRate,MetaTest/assembly-v1/MinReturn,MetaTest/assembly-v1/NumEpisodes,MetaTest/assembly-v1/AverageDiscountedReturn,MetaTrain/Average/QfLoss,MetaTrain/Average/Alpha,MetaTest/Average/TerminationRate,MetaTrain/Average/ContrastiveLoss
-37.35620203354567,0,9.872652846125012,-51.668479474333985,0.0,10,224000,-18.454803547004328,4.0375414,9.872652846125012,0.0,0,-37.35620203354567,-18.454803547004328,5.1515265,-37.35620203354567,0.0,-51.668479474333985,10,-37.35620203354567,2.0528374,0.7665789,0.0,8.05236
-29.956698299838557,1,7.408339060308783,-44.36994056545258,0.0,10,248000,-19.515010406267223,25.150984,7.408339060308783,0.0,1,-29.956698299838557,-19.515010406267223,3.0077276,-29.956698299838557,0.0,-44.36994056545258,10,-29.956698299838557,2.4162207,0.4535506,0.0,10.212992
-19.75085411631258,2,2.6244660045499915,-24.480627404508446,0.0,10,272000,-15.913555845648819,53.099,2.6244660045499915,0.0,2,-19.75085411631259,-15.913555845648819,1.7095449,-19.75085411631258,0.0,-24.480627404508446,10,-19.75085411631259,3.7922182,0.27306,0.0,8.429424
-16.53978535854144,3,0.8333721659972058,-17.845258539021803,0.0,10,296000,-15.456041152982694,80.512794,0.8333721659972058,0.0,3,-16.539785358541433,-15.456041152982694,0.9017138,-16.53978535854144,0.0,-17.845258539021803,10,-16.539785358541433,5.3742423,0.16629754,0.0,7.821127
-16.523067648035294,4,0.3257480646719368,-17.04698629282916,0.0,10,320000,-16.024516807597617,102.04826,0.3257480646719368,0.0,4,-16.523067648035294,-16.024516807597617,0.4367832,-16.523067648035294,0.0,-17.04698629282916,10,-16.523067648035294,6.5651813,0.102659896,0.0,7.8836317
-16.481708809500354,5,0.22172842018493769,-16.891655664536746,0.0,10,344000,-16.214572938308752,118.076546,0.22172842018493769,0.0,5,-16.481708809500354,-16.214572938308752,0.19007966,-16.481708809500354,0.0,-16.891655664536746,10,-16.481708809500354,7.412492,0.064642474,0.0,7.8138757
-16.06585535493055,6,0.16945991464582275,-16.438671533910824,0.0,10,368000,-15.769969050156751,128.87701,0.16945991464582275,0.0,6,-16.065855354930548,-15.769969050156751,0.069447815,-16.06585535493055,0.0,-16.438671533910824,10,-16.065855354930548,7.9275537,0.041876025,0.0,7.7398453
-15.165382980685678,7,0.19027886094054783,-15.504000721562377,0.0,10,392000,-14.844068706921243,135.26363,0.19027886094054783,0.0,7,-15.165382980685678,-14.844068706921243,0.018260622,-15.165382980685678,0.0,-15.504000721562377,10,-15.165382980685678,8.625133,0.028697353,0.0,7.7640696
-14.724289721915497,8,0.3215325657759501,-15.185422651725201,0.0,10,416000,-14.260252586113845,139.45306,0.3215325657759501,0.0,8,-14.7242897219155,-14.260252586113845,0.002141632,-14.724289721915497,0.0,-15.185422651725201,10,-14.7242897219155,8.833301,0.022965904,0.0,7.6653404
-14.915472439601151,9,0.15906598367476518,-15.217042786150087,0.0,10,440000,-14.671026484576759,142.5037,0.15906598367476518,0.0,9,-14.91547243960115,-14.671026484576759,6.196843e-05,-14.915472439601151,0.0,-15.217042786150087,10,-14.91547243960115,8.898453,0.02223334,0.0,7.6696167
-15.186176755423068,10,0.18061191626166428,-15.462040823832636,0.0,10,464000,-14.954086833024936,143.82533,0.18061191626166428,0.0,10,-15.186176755423068,-14.954086833024936,0.00040961916,-15.186176755423068,0.0,-15.462040823832636,10,-15.186176755423068,9.1689005,0.022046875,0.0,7.67177
-15.690143076761421,11,0.39417253063565966,-16.545403991594313,0.0,10,488000,-15.157195203157782,143.75752,0.39417253063565966,0.0,11,-15.69014307676142,-15.157195203157782,0.000640745,-15.690143076761421,0.0,-16.545403991594313,10,-15.69014307676142,9.128378,0.021259265,0.0,7.681485
-14.999030269575448,12,0.1245787218024682,-15.238660883346915,0.0,10,512000,-14.76606510407473,143.01807,0.1245787218024682,0.0,12,-14.999030269575451,-14.76606510407473,0.0007714466,-14.999030269575448,0.0,-15.238660883346915,10,-14.999030269575451,9.038319,0.019639838,0.0,7.6659055
-14.52441963824641,13,0.22076821015548864,-14.848384180046882,0.0,10,536000,-14.158210761531278,142.94086,0.22076821015548864,0.0,13,-14.524419638246414,-14.158210761531278,0.0003326301,-14.52441963824641,0.0,-14.848384180046882,10,-14.524419638246414,8.999999,0.018934349,0.0,7.653811
-14.262028021543324,14,0.17585708654682664,-14.542594348077822,0.0,10,560000,-13.971997067506418,140.58762,0.17585708654682664,0.0,14,-14.26202802154332,-13.971997067506418,0.0001653711,-14.262028021543324,0.0,-14.542594348077822,10,-14.26202802154332,8.531547,0.01837535,0.0,7.658242
-13.762409064509711,15,0.16386509221983744,-13.965369113744165,0.0,10,584000,-13.434877774586107,138.95743,0.16386509221983744,0.0,15,-13.762409064509715,-13.434877774586107,5.4841334e-05,-13.762409064509711,0.0,-13.965369113744165,10,-13.762409064509715,8.312767,0.018952671,0.0,7.6501317
-13.770090412162492,16,0.11011964043837302,-13.944877816303624,0.0,10,608000,-13.536263090595321,137.80162,0.11011964043837302,0.0,16,-13.770090412162489,-13.536263090595321,0.00013960087,-13.770090412162492,0.0,-13.944877816303624,10,-13.770090412162489,8.253981,0.01868193,0.0,7.6530557
-14.01216345942736,17,0.12591564225985222,-14.243311732585532,0.0,10,632000,-13.863230830136006,135.22975,0.12591564225985222,0.0,17,-14.012163459427356,-13.863230830136006,0.000366655,-14.01216345942736,0.0,-14.243311732585532,10,-14.012163459427356,7.8490605,0.018228812,0.0,7.6674166
-14.496832247716776,18,0.36602624882349993,-15.063836638370327,0.0,10,656000,-13.816208062822309,132.72081,0.36602624882349993,0.0,18,-14.496832247716776,-13.816208062822309,-0.0001826352,-14.496832247716776,0.0,-15.063836638370327,10,-14.496832247716776,7.606698,0.01797655,0.0,7.64072
-14.324052562967719,19,0.24854885608931157,-14.767970027411426,0.0,10,680000,-13.894949174281622,130.48624,0.24854885608931157,0.0,19,-14.324052562967719,-13.894949174281622,-0.0003365263,-14.324052562967719,0.0,-14.767970027411426,10,-14.324052562967719,7.5008345,0.018315675,0.0,7.6467557
-13.981094650266176,20,0.23578178000892994,-14.293766999697588,0.0,10,704000,-13.370020701104762,128.25105,0.23578178000892994,0.0,20,-13.981094650266177,-13.370020701104762,0.00045270514,-13.981094650266176,0.0,-14.293766999697588,10,-13.981094650266177,7.1237736,0.018323174,0.0,7.636223
-13.91128218386928,21,0.17776180282126428,-14.231171585236124,0.0,10,728000,-13.70077003305553,126.48425,0.17776180282126428,0.0,21,-13.91128218386928,-13.70077003305553,-0.00027554113,-13.91128218386928,0.0,-14.231171585236124,10,-13.91128218386928,7.1394334,0.018318687,0.0,7.637973
-14.283110108276029,22,0.24639136057939517,-14.815385002376736,0.0,10,752000,-13.996837093360597,124.416435,0.24639136057939517,0.0,22,-14.283110108276029,-13.996837093360597,0.0005176833,-14.283110108276029,0.0,-14.815385002376736,10,-14.283110108276029,6.9217663,0.018272154,0.0,7.6377864
-13.437601232271225,23,0.2606619890573117,-14.051932657685104,0.0,10,776000,-13.154688410439546,122.081665,0.2606619890573117,0.0,23,-13.43760123227122,-13.154688410439546,0.00027165143,-13.437601232271225,0.0,-14.051932657685104,10,-13.43760123227122,6.8348145,0.017336704,0.0,7.6357245
-13.160658155594486,24,0.19648692148599664,-13.564247692895913,0.0,10,800000,-12.874525059886167,119.44988,0.19648692148599664,0.0,24,-13.160658155594486,-12.874525059886167,-0.00033621554,-13.160658155594486,0.0,-13.564247692895913,10,-13.160658155594486,6.4576054,0.01741431,0.0,7.629104
-13.458620289344456,25,0.24843727979722485,-13.82381569496365,0.0,10,824000,-13.009660297807574,117.585686,0.24843727979722485,0.0,25,-13.458620289344458,-13.009660297807574,-0.00021707577,-13.458620289344456,0.0,-13.82381569496365,10,-13.458620289344458,6.424661,0.018392464,0.0,7.626304
-13.300567984918851,26,0.1651038479281895,-13.58465944061672,0.0,10,848000,-13.080046883903773,114.990616,0.1651038479281895,0.0,26,-13.300567984918848,-13.080046883903773,3.1818352e-05,-13.300567984918851,0.0,-13.58465944061672,10,-13.300567984918848,6.3038497,0.018367635,0.0,7.6260996
-13.20822782676876,27,0.2737183860399767,-13.601347180674807,0.0,10,872000,-12.604369004837395,112.859825,0.2737183860399767,0.0,27,-13.20822782676876,-12.604369004837395,-5.1507322e-05,-13.20822782676876,0.0,-13.601347180674807,10,-13.20822782676876,6.1773534,0.018057194,0.0,7.6256523
-13.381443053702231,28,0.3842764660657845,-14.053316057507795,0.0,10,896000,-12.695402026330266,110.86396,0.3842764660657845,0.0,28,-13.381443053702228,-12.695402026330266,0.0006827308,-13.381443053702231,0.0,-14.053316057507795,10,-13.381443053702228,6.1700726,0.017967965,0.0,7.626301
-13.819970769901198,29,0.46091201663603254,-14.703428282134231,0.0,10,920000,-13.126502170391861,109.25315,0.46091201663603254,0.0,29,-13.819970769901198,-13.126502170391861,0.00022286102,-13.819970769901198,0.0,-14.703428282134231,10,-13.819970769901198,6.1625834,0.017086448,0.0,7.6258106
-14.185987428284426,30,0.42161143440354165,-15.019125105212058,0.0,10,944000,-13.460368723256291,107.537796,0.42161143440354165,0.0,30,-14.185987428284426,-13.460368723256291,0.0009647104,-14.185987428284426,0.0,-15.019125105212058,10,-14.185987428284426,5.931869,0.015814112,0.0,7.6248984
-15.269279980351602,31,0.7823301973826988,-16.88858164737375,0.0,10,968000,-14.209813299603741,106.23992,0.7823301973826988,0.0,31,-15.269279980351598,-14.209813299603741,0.0006321763,-15.269279980351602,0.0,-16.88858164737375,10,-15.269279980351598,5.8193493,0.01503512,0.0,7.6248307
-14.348232599894981,32,0.8591350887801504,-16.1818741292029,0.0,10,992000,-13.365245198303326,104.94924,0.8591350887801504,0.0,32,-14.348232599894988,-13.365245198303326,0.00018147999,-14.348232599894981,0.0,-16.1818741292029,10,-14.348232599894988,5.807441,0.014275728,0.0,7.6248536
