MetaTest/Average/MinReturn,MetaTrain/Average/AlphaLoss,MetaTest/button-press-wall-v1/SuccessRate,MetaTest/button-press-wall-v1/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/button-press-wall-v1/NumEpisodes,MetaTest/Average/NumEpisodes,MetaTest/button-press-wall-v1/StdReturn,MetaTest/button-press-wall-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/button-press-wall-v1/Iteration,MetaTest/button-press-wall-v1/AverageReturn,MetaTest/Average/Iteration,MetaTrain/Average/ContrastiveLoss,MetaTest/button-press-wall-v1/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/StdReturn,MetaTrain/Average/QfLoss,TotalEnvSteps,MetaTrain/Average/PolicyLoss,MetaTrain/Average/Alpha,MetaTest/button-press-wall-v1/MinReturn
-82.49397688003765,-1.6200558,0.0,-73.46976597676144,-73.46976597676145,10,10,4.33947197973694,0.0,-73.46976597676144,0.0,-67.17975743231514,0,-73.46976597676145,0,122.04022,-67.17975743231514,0.0,4.33947197973694,1292634.9,224000,-784.1495,1.0522717,-82.49397688003765
-90.66610328183803,-18.731352,0.0,-79.41565980731964,-79.41565980731966,10,10,11.040495778724805,0.0,-79.41565980731964,0.0,-49.561384266690325,1,-79.41565980731966,1,293.63788,-49.561384266690325,0.0,11.040495778724805,1475275.6,248000,-8781.449,2.1276832,-90.66610328183803
-50.3859668179958,-33.559017,0.0,55.84630683051638,55.84630683051644,10,10,261.42094980852085,0.0,55.84630683051638,0.0,839.3059807980219,2,55.84630683051644,2,326.69965,839.3059807980219,0.0,261.42094980852085,1867682.9,272000,-15459.714,4.180537,-50.3859668179958
-39.051499348904535,-68.904366,0.0,29095.168787040115,29095.16878704012,10,10,36021.53039436899,0.0,29095.168787040115,0.0,85066.54874739429,3,29095.16878704012,3,507.18713,85066.54874739429,0.0,36021.53039436899,4030797.8,296000,-29580.64,8.318425,-39.051499348904535
-45.07935630182682,-57.126953,0.1,114.35038368323782,114.35038368323781,10,10,427.56369131795947,0.0,114.35038368323782,0.1,1396.7778862948019,4,114.35038368323781,4,19513.494,1396.7778862948019,0.0,427.56369131795947,4690184.0,320000,-87753.37,14.884361,-45.07935630182682
-57.14220416249708,-65.19743,0.5,82911.31113957686,82911.3111395769,10,10,88313.54699874976,0.0,82911.31113957686,0.5,262253.64982993435,5,82911.3111395769,5,4391.2407,262253.64982993435,0.0,88313.54699874976,8690593.0,344000,-63651.793,26.533283,-57.14220416249708
-21.820394102508367,40.043453,0.0,1272.3699175507932,1272.3699175507938,10,10,1775.0629792931293,0.0,1272.3699175507932,0.0,5147.860788488439,6,1272.3699175507938,6,29022.219,5147.860788488439,0.0,1775.0629792931293,8416180.0,368000,-14785.84,27.730988,-21.820394102508367
-19.114194164106216,-15.63655,0.3,122248.28922779225,122248.28922779225,10,10,106026.41125577435,0.0,122248.28922779225,0.3,306258.4908464104,7,122248.28922779225,7,30428.56,306258.4908464104,0.0,106026.41125577435,8602249.0,392000,-23422.912,24.583277,-19.114194164106216
-42.296188105432115,-89.07917,0.1,63567.43487962163,63567.43487962163,10,10,78909.91509490059,0.0,63567.43487962163,0.1,198365.40209241142,8,63567.43487962163,8,24402.572,198365.40209241142,0.0,78909.91509490059,17006468.0,416000,-48981.375,43.090244,-42.296188105432115
-21.272415096421827,-111.51952,0.7,245349.9812537985,245349.98125379844,10,10,87279.34946741626,0.0,245349.9812537985,0.7,301332.1958661333,9,245349.98125379844,9,3688.3616,301332.1958661333,0.0,87279.34946741626,28632126.0,440000,-82946.82,76.29197,-21.272415096421827
