MetaTrain/Average/Alpha,MetaTrain/Average/PolicyLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/dial-turn-v1/MaxReturn,TotalEnvSteps,MetaTest/Average/SuccessRate,MetaTrain/Average/ContrastiveLoss,MetaTest/dial-turn-v1/MinReturn,MetaTest/dial-turn-v1/AverageDiscountedReturn,MetaTrain/Average/QfLoss,MetaTrain/Average/AlphaLoss,MetaTest/Average/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/dial-turn-v1/SuccessRate,MetaTest/dial-turn-v1/AverageReturn,MetaTest/dial-turn-v1/Iteration,MetaTest/dial-turn-v1/TerminationRate,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/dial-turn-v1/StdReturn,MetaTest/dial-turn-v1/NumEpisodes
0.7665518,-0.2451637,-28.863508826695305,-20.64733198994595,224000,0.0,9.666247,-37.139243419980254,-28.863508826695305,1.9926519,5.1569867,-28.863508826695302,10,5.353744806141136,0.0,-28.863508826695302,0,0.0,0,-37.139243419980254,0.0,-20.64733198994595,5.353744806141136,10
0.4565072,11.193242,-79.67546157319741,-71.84447448938712,248000,0.0,10.387941,-84.41868295941697,-79.67546157319741,804.7051,2.7704265,-79.67546157319741,10,4.047044143691675,0.0,-79.67546157319741,1,0.0,1,-84.41868295941697,0.0,-71.84447448938712,4.047044143691675,10
0.2824149,23.18863,37.714239748158015,568.2143949101213,272000,0.4,7.849497,-43.031432553874446,37.714239748158015,515.5897,1.4115303,37.71423974815799,10,179.50033950768332,0.4,37.71423974815799,2,0.0,2,-43.031432553874446,0.0,568.2143949101213,179.50033950768332,10
0.20634635,-51.91354,1163.618877886252,4007.014658097853,296000,0.8,9.08126,-39.95411127268682,1163.618877886252,795.4624,0.11546272,1163.618877886252,10,1794.6805454477249,0.8,1163.618877886252,3,0.0,3,-39.95411127268682,0.0,4007.014658097853,1794.6805454477249,10
0.3069714,-394.90292,-36.38955123911628,-26.10327727109671,320000,0.0,33.586792,-53.7136473237199,-36.38955123911628,18965.926,-1.0668132,-36.38955123911627,10,7.4603028334230155,0.0,-36.38955123911627,4,0.0,4,-53.7136473237199,0.0,-26.10327727109671,7.4603028334230155,10
0.5480188,-705.2031,3.415511060960237,328.5375538139273,344000,0.4,32.99763,-44.367984975101855,3.415511060960237,26545.188,-1.1776044,3.415511060960248,10,108.62995591462108,0.4,3.415511060960248,5,0.0,5,-44.367984975101855,0.0,328.5375538139273,108.62995591462108,10
0.8987513,-1608.4683,-56.035041762519384,-28.317240757916142,368000,0.1,2154.6655,-77.47387298611689,-56.035041762519384,361408.6,-1.879173,-56.03504176251939,10,13.070372145857066,0.1,-56.03504176251939,6,0.0,6,-77.47387298611689,0.0,-28.317240757916142,13.070372145857066,10
1.1576484,-6498.34,-67.55530227354718,-50.11264019967902,392000,0.1,7324.9585,-92.6500513437735,-67.55530227354718,3029948.5,-0.5841797,-67.5553022735472,10,10.625528397010562,0.1,-67.5553022735472,7,0.0,7,-92.6500513437735,0.0,-50.11264019967902,10.625528397010562,10
0.8847129,77.59487,-55.21026374990036,-33.502200094147604,416000,0.0,4772.3496,-81.61372833233081,-55.21026374990036,367575.3,2.5270839,-55.21026374990038,10,15.279813584807984,0.0,-55.21026374990038,8,0.0,8,-81.61372833233081,0.0,-33.502200094147604,15.279813584807984,10
0.7286821,-86.30168,-44.63969098306401,-29.675275594999214,440000,0.1,1507.2782,-67.7526988120072,-44.63969098306401,280095.1,-0.0076534385,-44.63969098306401,10,12.343194339056824,0.1,-44.63969098306401,9,0.0,9,-67.7526988120072,0.0,-29.675275594999214,12.343194339056824,10
0.78366196,-857.285,-95.76970348280376,-58.98686470308449,464000,0.0,3927.537,-114.75453022145943,-95.76970348280376,290861.84,-0.12416924,-95.76970348280379,10,14.595421067804892,0.0,-95.76970348280379,10,0.0,10,-114.75453022145943,0.0,-58.98686470308449,14.595421067804892,10
1.0065819,-460.5424,-96.10934424348805,-82.08268990279915,488000,0.0,2378.962,-110.68003654998782,-96.10934424348805,248651.84,-0.99892503,-96.10934424348802,10,8.43257644922964,0.0,-96.10934424348802,11,0.0,11,-110.68003654998782,0.0,-82.08268990279915,8.43257644922964,10
1.3112859,-1440.7699,-93.32016993843139,-56.66259255055492,512000,0.0,2498.1885,-109.43352974321415,-93.32016993843139,207898.19,-0.622268,-93.32016993843138,10,15.8402789716472,0.0,-93.32016993843138,12,0.0,12,-109.43352974321415,0.0,-56.66259255055492,15.8402789716472,10
1.5902568,-2575.0835,-70.49656919573354,-60.95120890046743,536000,0.0,3660.8044,-79.9119195286614,-70.49656919573354,218846.11,-0.68789214,-70.49656919573353,10,6.217496603106782,0.0,-70.49656919573353,13,0.0,13,-79.9119195286614,0.0,-60.95120890046743,6.217496603106782,10
1.5285507,-1476.5166,-34.53427163536498,-22.83983785457501,560000,0.1,3261.6587,-45.040469460773856,-34.53427163536498,194030.81,0.71252173,-34.53427163536499,10,6.579278374113301,0.1,-34.53427163536499,14,0.0,14,-45.040469460773856,0.0,-22.83983785457501,6.579278374113301,10
1.487978,-1339.6508,-39.3599075062731,-21.85918890504764,584000,0.0,2194.7666,-116.90320423373349,-39.3599075062731,176528.22,-1.7194656,-39.359907506273096,10,26.533565631567406,0.0,-39.359907506273096,15,0.0,15,-116.90320423373349,0.0,-21.85918890504764,26.533565631567406,10
2.4988277,-6284.804,-23.204340927033947,-15.535229091406803,608000,0.6,1470.1847,-29.898613548581295,-23.204340927033947,183738.48,-4.381114,-23.204340927033943,10,4.458630794325876,0.6,-23.204340927033943,16,0.0,16,-29.898613548581295,0.0,-15.535229091406803,4.458630794325876,10
2.6963894,-7232.832,-37.42965463750096,-9.82860498568858,632000,0.2,1863.5477,-74.24193962034175,-37.42965463750096,166695.23,1.069387,-37.42965463750097,10,17.588178234791805,0.2,-37.42965463750097,17,0.0,17,-74.24193962034175,0.0,-9.82860498568858,17.588178234791805,10
2.0838687,-4406.56,-33.74227549201593,-13.002680280714756,656000,0.1,2715.796,-47.90758362839345,-33.74227549201593,169142.11,0.91720086,-33.74227549201593,10,9.165885361377986,0.1,-33.74227549201593,18,0.0,18,-47.90758362839345,0.0,-13.002680280714756,9.165885361377986,10
1.4447683,-1406.7068,-75.0111100645515,-57.27670284321085,680000,0.0,2302.303,-89.01973293747547,-75.0111100645515,164391.11,2.2812295,-75.0111100645515,10,10.148030460235113,0.0,-75.0111100645515,19,0.0,19,-89.01973293747547,0.0,-57.27670284321085,10.148030460235113,10
1.3734211,-2233.0918,-50.983021663746506,-17.67985132820551,704000,0.0,3960.0723,-87.59476561955934,-50.983021663746506,194377.45,-1.0071617,-50.983021663746506,10,21.642247803150322,0.0,-50.983021663746506,20,0.0,20,-87.59476561955934,0.0,-17.67985132820551,21.642247803150322,10
1.684587,-5591.067,-56.50638606860637,-32.23850421561438,728000,0.0,2799.6804,-70.05518477146956,-56.50638606860637,230877.31,-0.6608055,-56.50638606860637,10,9.92060530693243,0.0,-56.50638606860637,21,0.0,21,-70.05518477146956,0.0,-32.23850421561438,9.92060530693243,10
1.8189299,-14545.819,-74.31265250787102,-56.04115030063893,752000,0.0,3369.82,-83.22622535037084,-74.31265250787102,360086.53,-5.5627265,-74.312652507871,10,7.722255565858969,0.0,-74.312652507871,22,0.0,22,-83.22622535037084,0.0,-56.04115030063893,7.722255565858969,10
3.1007965,-16958.756,-66.0588837949153,-28.136503937879585,776000,0.0,1461.3063,-82.44988222730878,-66.0588837949153,302783.16,-6.7852583,-66.05888379491532,10,16.32540515397489,0.0,-66.05888379491532,23,0.0,23,-82.44988222730878,0.0,-28.136503937879585,16.32540515397489,10
3.444078,-6521.995,-69.83027793014602,-37.01942713304708,800000,0.0,2243.535,-105.19685831267547,-69.83027793014602,242621.23,4.29201,-69.83027793014602,10,20.800983699330363,0.0,-69.83027793014602,24,0.0,24,-105.19685831267547,0.0,-37.01942713304708,20.800983699330363,10
2.1538763,-2586.3796,-44.59545633574613,-30.510786680824346,824000,0.0,6674.491,-82.47018506568342,-44.59545633574613,252062.38,3.4070313,-44.595456335746114,10,16.724586832191108,0.0,-44.595456335746114,25,0.0,25,-82.47018506568342,0.0,-30.510786680824346,16.724586832191108,10
2.1293325,-3130.819,-55.68444379139909,-25.026397071162926,848000,0.2,3403.3145,-96.28437095285125,-55.68444379139909,241151.19,-0.9532438,-55.68444379139909,10,20.18936179210638,0.2,-55.68444379139909,26,0.0,26,-96.28437095285125,0.0,-25.026397071162926,20.18936179210638,10
3.0473585,-47280.41,-84.46004499948727,-63.85235505750469,872000,0.1,1123.2971,-110.92636022515447,-84.46004499948727,648984.3,-18.832598,-84.46004499948728,10,14.484312667952377,0.1,-84.46004499948728,27,0.0,27,-110.92636022515447,0.0,-63.85235505750469,14.484312667952377,10
