MetaTest/drawer-close-v1/Iteration,MetaTest/drawer-close-v1/MaxReturn,MetaTest/drawer-close-v1/AverageDiscountedReturn,MetaTest/drawer-close-v1/MinReturn,MetaTest/drawer-close-v1/AverageReturn,MetaTest/Average/AverageReturn,MetaTest/drawer-close-v1/TerminationRate,MetaTest/Average/StdReturn,MetaTest/drawer-close-v1/NumEpisodes,MetaTest/Average/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/TerminationRate,MetaTrain/Average/PolicyLoss,MetaTest/Average/MaxReturn,MetaTrain/Average/Alpha,MetaTest/Average/NumEpisodes,MetaTest/Average/Iteration,MetaTrain/Average/QfLoss,MetaTest/drawer-close-v1/SuccessRate,MetaTest/drawer-close-v1/StdReturn,TotalEnvSteps,MetaTest/Average/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/ContrastiveLoss
0,-69.80089534714232,-85.4936138372536,-98.42060224735309,-85.4936138372536,-85.4936138372536,0.0,8.213042505621473,10,0.1,4.768864,0.0,0.32287768,-69.80089534714232,0.77070385,10,0,1880.8912,0.1,8.213042505621473,224000,-98.42060224735309,-85.4936138372536,7.8217707
1,52.20151187083751,-17.577867786046962,-57.36972269908444,-17.577867786046973,-17.577867786046973,0.0,28.21802339004923,10,0.0,2.1804864,0.0,-2.3553596,52.20151187083751,0.47290906,10,1,2084.6833,0.0,28.21802339004923,248000,-57.36972269908444,-17.577867786046962,8.434809
2,-21.71222571323272,-75.40972755606956,-108.29700167587363,-75.40972755606953,-75.40972755606953,0.0,29.016050614364385,10,0.1,0.012742035,0.0,-238.29985,-21.71222571323272,0.35731214,10,2,2261.802,0.1,29.016050614364385,272000,-108.29700167587363,-75.40972755606956,8.426709
3,-20.81093123409425,-39.24737389649866,-85.75820643263621,-39.24737389649867,-39.24737389649867,0.0,19.336085540428513,10,0.2,-1.3783555,0.0,-601.1585,-20.81093123409425,0.6129233,10,3,2825.574,0.2,19.336085540428513,296000,-85.75820643263621,-39.24737389649866,10.38243
4,-15.535235737745912,-40.16396795478099,-96.62787233972743,-40.16396795478099,-40.16396795478099,0.0,32.701758296040474,10,0.4,-0.270888,0.0,-791.459,-15.535235737745912,0.9649942,10,4,26370.27,0.4,32.701758296040474,320000,-96.62787233972743,-40.16396795478099,29.636402
5,-12.852018463539933,-37.781933775330835,-87.11020028085399,-37.781933775330835,-37.781933775330835,0.0,23.73415256670742,10,0.0,0.33765605,0.0,-749.4532,-12.852018463539933,0.8547608,10,5,28691.832,0.0,23.73415256670742,344000,-87.11020028085399,-37.781933775330835,113.87011
6,-12.608740628326156,-66.63516968128044,-108.07299761103857,-66.63516968128044,-66.63516968128044,0.0,28.029655218783105,10,0.0,-0.8950338,0.0,-1457.0706,-12.608740628326156,0.820669,10,6,49447.86,0.0,28.029655218783105,368000,-108.07299761103857,-66.63516968128044,94.69321
7,-14.896803039432509,-69.39295734144734,-82.48965132213355,-69.39295734144734,-69.39295734144734,0.0,19.20696023083627,10,0.0,-4.7370677,0.0,-3884.9885,-14.896803039432509,1.65546,10,7,121630.914,0.0,19.20696023083627,392000,-82.48965132213355,-69.39295734144734,76.286316
8,-19.9545357297418,-73.12522791860832,-112.61162590458198,-73.12522791860836,-73.12522791860836,0.0,33.40162532984276,10,0.3,-7.535775,0.0,-8100.27,-19.9545357297418,3.1155488,10,8,210647.58,0.3,33.40162532984276,416000,-112.61162590458198,-73.12522791860832,124.86092
9,-24.499023167763937,-50.406129361160524,-91.67773736554544,-50.40612936116055,-50.40612936116055,0.0,25.292444467188005,10,0.2,-3.8381922,0.0,-11170.732,-24.499023167763937,5.279432,10,9,216316.27,0.2,25.292444467188005,440000,-91.67773736554544,-50.406129361160524,376.5728
