MetaTest/hand-insert-v1/AverageReturn,MetaTest/hand-insert-v1/StdReturn,MetaTest/hand-insert-v1/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/hand-insert-v1/MaxReturn,MetaTrain/Average/QfLoss,MetaTrain/Average/PolicyLoss,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/hand-insert-v1/MinReturn,MetaTest/hand-insert-v1/NumEpisodes,MetaTrain/Average/AlphaLoss,MetaTrain/Average/Alpha,MetaTest/hand-insert-v1/Iteration,MetaTest/hand-insert-v1/AverageDiscountedReturn,MetaTest/hand-insert-v1/SuccessRate,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,TotalEnvSteps,MetaTrain/Average/ContrastiveLoss
-71.0118442015937,7.100203741569206,0.0,-58.99640123401833,0.0,10,-58.99640123401833,5439.7163,-56.022434,0,-71.01184420159369,-79.57141199855369,10,4.1861534,0.77672637,0,-71.01184420159369,0.0,7.100203741569206,0.0,-71.0118442015937,-79.57141199855369,224000,8.4896965
-31.646039068288502,13.334233417838906,0.0,-18.595336781382837,0.0,10,-18.595336781382837,23674.594,-1743.4308,1,-31.646039068288495,-68.37813663071344,10,-4.6463323,0.81577724,1,-31.646039068288495,0.0,13.334233417838906,0.0,-31.646039068288502,-68.37813663071344,248000,18.747524
-120.77938976497742,3.953493706089904,0.0,-115.04100414904653,0.0,10,-115.04100414904653,560768.9,-3785.1917,2,-120.77938976497742,-128.50267717028473,10,-12.796162,1.7086723,2,-120.77938976497742,0.0,3.953493706089904,0.0,-120.77938976497742,-128.50267717028473,272000,941.54193
11198.945385379295,33756.19732315121,0.0,112467.53065941541,0.0,10,112467.53065941541,1963831.9,-3941.0881,3,11198.9453853793,-67.38488364555869,10,-6.5921736,2.4139888,3,11198.9453853793,0.1,33756.19732315121,0.1,11198.945385379295,-67.38488364555869,296000,7976.594
103246.54566344709,149198.41291861286,0.0,373744.4890679368,0.0,10,373744.4890679368,6176574.0,-31038.857,4,103246.54566344708,-59.33288146313763,10,-25.198555,4.3674803,4,103246.54566344708,0.7,149198.41291861286,0.7,103246.54566344709,-59.33288146313763,320000,9197.785
105747.07567409526,126842.6451564777,0.0,323462.8819012308,0.0,10,323462.8819012308,23767602.0,-145690.97,5,105747.07567409526,-30.23356445859714,10,-111.98008,9.02467,5,105747.07567409526,0.8,126842.6451564777,0.8,105747.07567409526,-30.23356445859714,344000,6724.1626
278801.2951824564,93150.80845471699,0.0,343737.41421155736,0.0,10,343737.41421155736,59530764.0,-338322.62,6,278801.2951824563,22162.942298553862,10,-255.45024,18.51015,6,278801.2951824563,1.0,93150.80845471699,1.0,278801.2951824564,22162.942298553862,368000,1437.3807
3716.468823561935,7604.2682492221575,0.0,19943.038747143422,0.0,10,19943.038747143422,121152270.0,-526828.8,7,3716.4688235619337,-121.75254077692568,10,-437.1244,36.238014,7,3716.4688235619337,0.2,7604.2682492221575,0.2,3716.468823561935,-121.75254077692568,392000,1485.1091
90868.13472243238,123362.60623111902,0.0,322813.68836376705,0.0,10,322813.68836376705,186683780.0,-669242.25,8,90868.13472243238,-24.90588125520097,10,-649.6292,69.26091,8,90868.13472243238,0.8,123362.60623111902,0.8,90868.13472243238,-24.90588125520097,416000,2247.1594
214399.18090420347,164566.59776729497,0.0,375135.0388864028,0.0,10,375135.0388864028,271257060.0,-837940.9,9,214399.1809042035,-14.674862974280396,10,-998.486,133.1158,9,214399.1809042035,0.9,164566.59776729497,0.9,214399.18090420347,-14.674862974280396,440000,1405.2603
