MetaTest/Average/Iteration,MetaTest/pick-out-of-hole-v1/MaxReturn,MetaTest/pick-out-of-hole-v1/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/AlphaLoss,MetaTest/pick-out-of-hole-v1/MinReturn,MetaTest/pick-out-of-hole-v1/TerminationRate,MetaTest/Average/MinReturn,MetaTrain/Average/QfLoss,MetaTest/Average/SuccessRate,MetaTest/Average/AverageReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/pick-out-of-hole-v1/AverageReturn,MetaTest/pick-out-of-hole-v1/SuccessRate,MetaTest/Average/StdReturn,TotalEnvSteps,MetaTrain/Average/Alpha,MetaTest/Average/AverageDiscountedReturn,MetaTest/pick-out-of-hole-v1/StdReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/MaxReturn,MetaTrain/Average/PolicyLoss,MetaTest/pick-out-of-hole-v1/Iteration,MetaTest/pick-out-of-hole-v1/NumEpisodes
0,-36.37360178783274,-48.349064813321675,0.0,5.1436143,-57.338996996036734,0.0,-57.338996996036734,2.3836815,0.0,-48.34906481332168,8.178636,-48.34906481332168,0.0,7.0300730535257925,224000,0.76593244,-48.349064813321675,7.0300730535257925,10,-36.37360178783274,10.718575,0,10
1,-32.466169446799164,-37.09272526429061,0.0,2.9482772,-42.04076082399527,0.0,-42.04076082399527,5.627493,0.0,-37.0927252642906,7.8100133,-37.0927252642906,0.0,3.265464342404986,248000,0.4539361,-37.09272526429061,3.265464342404986,10,-32.466169446799164,46.737427,1,10
2,-31.05090534311173,-35.39160687788292,0.0,1.5964508,-40.18473039880135,0.0,-40.18473039880135,9.305794,0.0,-35.391606877882936,7.7576094,-35.391606877882936,0.0,2.6706780208355108,272000,0.2749407,-35.39160687788292,2.6706780208355108,10,-31.05090534311173,81.53416,2,10
3,-26.870112444223942,-36.339934442188714,0.0,0.8124583,-41.47017101260617,0.0,-41.47017101260617,12.898305,0.0,-36.339934442188714,7.7641826,-36.339934442188714,0.0,4.706095980546357,296000,0.16857249,-36.339934442188714,4.706095980546357,10,-26.870112444223942,109.42764,3,10
4,-26.324013338585686,-36.09813671419555,0.0,0.3892156,-43.404949287460475,0.0,-43.404949287460475,15.387676,0.0,-36.09813671419555,7.6945577,-36.09813671419555,0.0,5.261536717123318,320000,0.10452473,-36.09813671419555,5.261536717123318,10,-26.324013338585686,130.42633,4,10
5,-23.208800766642767,-25.77207493332052,0.0,0.17178288,-34.50860167195131,0.0,-34.50860167195131,16.657562,0.0,-25.77207493332053,7.7079706,-25.77207493332053,0.0,3.557715564879592,344000,0.065740004,-25.77207493332052,3.557715564879592,10,-23.208800766642767,145.36284,5,10
6,-26.084987055235665,-27.509288875376246,0.0,0.06417424,-29.174032296049678,0.0,-29.174032296049678,17.44823,0.0,-27.50928887537625,7.675948,-27.50928887537625,0.0,1.0775350013268126,368000,0.042446602,-27.509288875376246,1.0775350013268126,10,-26.084987055235665,155.76984,6,10
7,-27.545641686187075,-28.178676896438937,0.0,0.011762125,-28.92116039297346,0.0,-28.92116039297346,16.89403,0.0,-28.17867689643893,7.6905985,-28.17867689643893,0.0,0.4714910033695378,392000,0.030437488,-28.178676896438937,0.4714910033695378,10,-27.545641686187075,162.10675,7,10
8,-27.3703844941404,-28.224070259672352,0.0,-0.0008340108,-29.06837831190694,0.0,-29.06837831190694,16.705132,0.0,-28.224070259672352,7.674729,-28.224070259672352,0.0,0.5462848323486124,416000,0.02863992,-28.224070259672352,0.5462848323486124,10,-27.3703844941404,168.42651,8,10
9,-24.02538314938623,-24.36140318628652,0.0,-0.00076813594,-24.930690900898888,0.0,-24.930690900898888,16.12825,0.0,-24.361403186286527,7.6661377,-24.361403186286527,0.0,0.2744537922002481,440000,0.030116208,-24.36140318628652,0.2744537922002481,10,-24.02538314938623,171.05475,9,10
