MetaTrain/Average/ContrastiveLoss,MetaTest/pick-place-wall-v1/Iteration,MetaTest/Average/NumEpisodes,MetaTest/pick-place-wall-v1/NumEpisodes,MetaTrain/Average/PolicyLoss,MetaTest/pick-place-wall-v1/AverageReturn,MetaTest/Average/StdReturn,MetaTrain/Average/QfLoss,MetaTest/Average/AverageReturn,MetaTest/pick-place-wall-v1/TerminationRate,MetaTest/pick-place-wall-v1/MaxReturn,MetaTest/pick-place-wall-v1/MinReturn,MetaTest/Average/Iteration,MetaTest/Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/Alpha,MetaTest/Average/MinReturn,TotalEnvSteps,MetaTest/pick-place-wall-v1/StdReturn,MetaTest/pick-place-wall-v1/AverageDiscountedReturn,MetaTest/pick-place-wall-v1/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/SuccessRate
8.711984,0,10,10,8.027223,-35.61374795023113,9.675818748978116,2.6902676,-35.61374795023113,0.0,-23.208580548232742,-50.889592057533534,0,-23.208580548232742,-35.61374795023114,0.0,0.7665836,-50.889592057533534,224000,9.675818748978116,-35.61374795023114,0.0,5.1478825,0.0
7.832919,1,10,10,39.069492,-32.33133281675497,7.038962604223145,6.1768546,-32.33133281675497,0.0,-24.951536977344606,-45.869901420786015,1,-24.951536977344606,-32.33133281675499,0.0,0.4542082,-45.869901420786015,248000,7.038962604223145,-32.33133281675499,0.0,2.9631777,0.0
7.6861086,2,10,10,75.71149,-27.093133976245866,3.8087824500120884,8.588526,-27.093133976245866,0.0,-21.97240700409675,-32.83108730306727,2,-21.97240700409675,-27.093133976245866,0.0,0.27456647,-32.83108730306727,272000,3.8087824500120884,-27.093133976245866,0.0,1.6423563,0.0
7.748417,3,10,10,108.62114,-26.932040864405803,3.2281945169390394,11.070169,-26.932040864405803,0.0,-21.348794338849004,-31.59743623521977,3,-21.348794338849004,-26.9320408644058,0.0,0.16772006,-31.59743623521977,296000,3.2281945169390394,-26.9320408644058,0.0,0.8541231,0.0
7.661179,4,10,10,134.5194,-20.03052619759364,2.6284613790513696,13.3216505,-20.03052619759364,0.0,-17.704591395199344,-25.040895258435835,4,-17.704591395199344,-20.03052619759365,0.0,0.103730574,-25.040895258435835,320000,2.6284613790513696,-20.03052619759365,0.0,0.41161528,0.0
7.6563396,5,10,10,153.08446,-22.508734992647,1.4662226338389335,14.755379,-22.508734992647,0.0,-20.299809610201756,-25.123187518174145,5,-20.299809610201756,-22.508734992647,0.0,0.06508571,-25.123187518174145,344000,1.4662226338389335,-22.508734992647,0.0,0.18543412,0.0
7.6470428,6,10,10,166.2221,-23.566280894508274,1.2711535930128317,15.994124,-23.566280894508274,0.0,-21.910656790009053,-26.82765455649691,6,-21.910656790009053,-23.566280894508274,0.0,0.041634087,-26.82765455649691,368000,1.2711535930128317,-23.566280894508274,0.0,0.07406433,0.0
7.6472697,7,10,10,174.57938,-22.01610568567539,1.2103888474014561,16.846848,-22.01610568567539,0.0,-19.976886712831664,-23.986002936465916,7,-19.976886712831664,-22.016105685675388,0.0,0.02773764,-23.986002936465916,392000,1.2103888474014561,-22.016105685675388,0.0,0.023444923,0.0
7.6435094,8,10,10,179.76819,-24.47936278764289,1.693994018433114,17.771643,-24.47936278764289,0.0,-22.37999768427563,-27.648601886079156,8,-22.37999768427563,-24.479362787642888,0.0,0.022793133,-27.648601886079156,416000,1.693994018433114,-24.479362787642888,0.0,0.00019014001,0.0
7.637507,9,10,10,182.86497,-25.907363055858497,1.3386607937780015,18.260515,-25.907363055858497,0.0,-24.012142169701455,-28.41317660478797,9,-24.012142169701455,-25.907363055858497,0.0,0.024914159,-28.41317660478797,440000,1.3386607937780015,-25.907363055858497,0.0,-0.0013570023,0.0
7.6314454,10,10,10,184.224,-21.509384504507494,1.1012040562568295,19.919472,-21.509384504507494,0.0,-19.89049358296743,-23.540685555719474,10,-19.89049358296743,-21.50938450450749,0.0,0.025566494,-23.540685555719474,464000,1.1012040562568295,-21.50938450450749,0.0,0.0006377573,0.0
7.628673,11,10,10,184.35571,126.37841686876877,187.90529167296768,21.164595,126.37841686876877,0.0,447.5261840903672,-19.471055065748377,11,447.5261840903672,126.37841686876877,0.0,0.025673693,-19.471055065748377,488000,187.90529167296768,126.37841686876877,0.0,-0.0010319503,0.0
10.39241,12,10,10,178.38258,55.400509547438936,119.90067939718203,28.41177,55.400509547438936,0.0,381.10814197668174,-69.42369501870566,12,381.10814197668174,55.40050954743896,0.0,0.031969924,-69.42369501870566,512000,119.90067939718203,55.40050954743896,0.0,-0.010797169,0.0
