TotalEnvSteps,MetaTest/Average/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/PolicyLoss,MetaTrain/Average/Alpha,MetaTest/Average/NumEpisodes,MetaTest/Average/MaxReturn,MetaTrain/Average/AlphaLoss,MetaTest/plate-slide-v1/AverageReturn,MetaTest/plate-slide-v1/StdReturn,MetaTest/plate-slide-v1/NumEpisodes,MetaTest/plate-slide-v1/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTest/Average/Iteration,MetaTest/plate-slide-v1/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/MinReturn,MetaTest/plate-slide-v1/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/plate-slide-v1/SuccessRate,MetaTrain/Average/QfLoss,MetaTest/plate-slide-v1/Iteration,MetaTest/Average/TerminationRate,MetaTest/plate-slide-v1/MaxReturn
224000,838.5358097874511,412.150811138548,-6.8446846,0.77218384,10,2718.029372078757,4.643754,412.15081113854785,838.5358097874511,10,412.150811138548,0.0,0,-48.438830028532806,24.640978,-48.438830028532806,0.0,412.15081113854785,0.0,2145.271,0,0.0,2718.029372078757
248000,6.858346384698086,-45.535570942955346,-798.29376,0.59101427,10,-35.85592923525742,0.08759411,-45.53557094295534,6.858346384698086,10,-45.535570942955346,0.0,1,-60.229615052197374,210.86293,-60.229615052197374,0.0,-45.53557094295534,0.0,50477.566,1,0.0,-35.85592923525742
272000,58.858579342532245,-15.83346207791123,-1953.0432,0.67740667,10,125.89003433510874,-0.71156675,-15.833462077911225,58.858579342532245,10,-15.83346207791123,0.0,2,-55.82582598686351,113.26411,-55.82582598686351,0.0,-15.833462077911225,0.0,103964.62,2,0.0,125.89003433510874
296000,217.47243349551232,188.6556476659152,-4718.107,1.2396903,10,643.1969287393249,-4.0738482,188.6556476659153,217.47243349551232,10,188.6556476659152,0.0,3,-49.70122070352709,187.3539,-49.70122070352709,0.0,188.6556476659153,0.0,140055.81,3,0.0,643.1969287393249
320000,750.5648207063889,1329.6044517761397,-16091.508,2.6016212,10,2689.6891959316877,-17.551859,1329.6044517761397,750.5648207063889,10,1329.6044517761397,0.0,4,84.65052896679408,536.50745,84.65052896679408,0.0,1329.6044517761397,0.0,427250.72,4,0.0,2689.6891959316877
344000,3691.3659084617125,1934.8454734770235,-28462.363,5.266871,10,12861.147394907366,-35.14821,1934.8454734770232,3691.3659084617125,10,1934.8454734770235,0.0,5,-38.80109386815397,192.69836,-38.80109386815397,0.0,1934.8454734770232,0.0,523347.1,5,0.0,12861.147394907366
368000,178.5217460839142,17.686971904487184,-36344.5,10.100107,10,552.2582384192516,-51.07225,17.6869719044872,178.5217460839142,10,17.686971904487184,0.0,6,-57.3115621046425,114.03332,-57.3115621046425,0.0,17.6869719044872,0.0,614708.6,6,0.0,552.2582384192516
392000,22.10378684658811,-66.8156869125605,-35109.855,18.25095,10,-41.47138889384634,-44.18489,-66.8156869125605,22.10378684658811,10,-66.8156869125605,0.0,7,-94.8610071154064,55.43836,-94.8610071154064,0.0,-66.8156869125605,0.0,630991.75,7,0.0,-41.47138889384634
416000,17.224945528794436,-81.20838656628065,-28086.438,21.4978,10,-33.10074269395243,8.686846,-81.20838656628067,17.224945528794436,10,-81.20838656628065,0.0,8,-93.73527402409532,202.53012,-93.73527402409532,0.0,-81.20838656628067,0.0,491797.16,8,0.0,-33.10074269395243
440000,32.39843915286039,-56.26956927151785,-24494.834,15.4839115,10,22.41199108886779,3.8357096,-56.26956927151788,32.39843915286039,10,-56.26956927151785,0.0,9,-95.8865167233131,169.89447,-95.8865167233131,0.0,-56.26956927151788,0.0,402604.1,9,0.0,22.41199108886779
464000,1976.4817700357644,678.9926480910501,-22656.934,13.4007635,10,6595.67589836837,0.8641108,678.99264809105,1976.4817700357644,10,678.9926480910501,0.0,10,-115.90937381884342,188.43942,-115.90937381884342,0.0,678.99264809105,0.0,354386.03,10,0.0,6595.67589836837
488000,37.78447943132298,-98.19474151569376,-20106.633,13.626562,10,-15.222155745853906,-1.3735627,-98.19474151569375,37.78447943132298,10,-98.19474151569376,0.0,11,-120.34561747240701,253.31763,-120.34561747240701,0.0,-98.19474151569375,0.0,321339.3,11,0.0,-15.222155745853906
512000,26204.659879393097,28242.35357102948,-18458.82,12.957043,10,67225.82065891793,1.1899036,28242.353571029485,26204.659879393097,10,28242.35357102948,0.0,12,1374.0351086015348,656.3756,1374.0351086015348,0.0,28242.353571029485,0.0,274740.9,12,0.0,67225.82065891793
536000,18187.590847806518,13334.532344493695,-16007.102,12.67924,10,57561.63920974511,-1.2569644,13334.532344493695,18187.590847806518,10,13334.532344493695,0.1,13,-87.94257315809138,1046.1874,-87.94257315809138,0.0,13334.532344493695,0.1,461547.5,13,0.0,57561.63920974511
560000,8640.752726069204,5442.752024545599,-15793.276,13.510757,10,21770.57580904242,0.17472085,5442.752024545598,8640.752726069204,10,5442.752024545599,0.0,14,-36.86874963312314,2798.835,-36.86874963312314,0.0,5442.752024545598,0.0,586118.25,14,0.0,21770.57580904242
584000,5971.680967595454,4998.8591661150895,-18089.955,14.158801,10,16085.087065093432,-1.5929749,4998.859166115089,5971.680967595454,10,4998.8591661150895,0.0,15,-66.47579723979487,1076.8788,-66.47579723979487,0.0,4998.859166115089,0.0,827695.4,15,0.0,16085.087065093432
608000,13413.853394966329,7863.899936380342,-23344.08,16.354727,10,34849.18554120516,-0.84047794,7863.899936380342,13413.853394966329,10,7863.899936380342,0.1,16,-78.01830226228105,940.1033,-78.01830226228105,0.0,7863.899936380342,0.1,1269620.5,16,0.0,34849.18554120516
632000,35333.46394894992,28337.410251328583,-26669.281,15.987033,10,121648.17324731102,0.6857399,28337.410251328587,35333.46394894992,10,28337.410251328583,0.1,17,-57.46974447413447,1147.116,-57.46974447413447,0.0,28337.410251328587,0.1,1821973.5,17,0.0,121648.17324731102
656000,33852.03438755165,39680.898376711775,-32300.703,17.056612,10,113638.01613846909,-1.5369416,39680.898376711775,33852.03438755165,10,39680.898376711775,0.2,18,-27.967540432958597,1705.3574,-27.967540432958597,0.0,39680.898376711775,0.2,2851390.5,18,0.0,113638.01613846909
680000,31099.768498414636,28461.9898718848,-38991.473,20.547268,10,92381.08364363431,-1.5257142,28461.9898718848,31099.768498414636,10,28461.9898718848,0.3,19,-98.36145758351688,1172.7102,-98.36145758351688,0.0,28461.9898718848,0.3,4446497.5,19,0.0,92381.08364363431
704000,20730.262119725296,13600.85407345906,-44955.086,21.872047,10,62667.59196340753,-1.8464942,13600.854073459053,20730.262119725296,10,13600.85407345906,0.4,20,-53.26098054104057,1671.4492,-53.26098054104057,0.0,13600.854073459053,0.4,6195439.5,20,0.0,62667.59196340753
728000,3139.323974144168,1463.892164800687,-49701.55,24.817162,10,9668.968225587563,-1.4615173,1463.8921648006872,3139.323974144168,10,1463.892164800687,0.7,21,-26.900961529777618,2733.8225,-26.900961529777618,0.0,1463.8921648006872,0.7,8154381.0,21,0.0,9668.968225587563
752000,644.7953400997467,190.28953275457144,-50279.61,26.539122,10,2124.589877554117,-1.6369941,190.2895327545711,644.7953400997467,10,190.28953275457144,0.3,22,-40.70172963916423,5350.894,-40.70172963916423,0.0,190.2895327545711,0.3,9182409.0,22,0.0,2124.589877554117
776000,801.9089615106849,222.12787620629246,-55560.742,29.836752,10,2627.5325188753636,-1.646313,222.12787620629268,801.9089615106849,10,222.12787620629246,0.1,23,-73.47556236640983,10040.132,-73.47556236640983,0.0,222.12787620629268,0.1,10675146.0,23,0.0,2627.5325188753636
800000,32686.971845884007,10872.784719013825,-59646.07,31.262274,10,108933.69967786346,0.15464002,10872.784719013824,32686.971845884007,10,10872.784719013825,0.8,24,-30.08862786670296,6638.394,-30.08862786670296,0.0,10872.784719013824,0.8,10475317.0,24,0.0,108933.69967786346
824000,269.70913267950755,56.97985478798337,-60204.562,29.04897,10,865.3777038296095,1.4909986,56.97985478798341,269.70913267950755,10,56.97985478798337,0.5,25,-57.98932880168885,7531.702,-57.98932880168885,0.0,56.97985478798341,0.5,11014197.0,25,0.0,865.3777038296095
