MetaTest/push-back-v1/AverageDiscountedReturn,MetaTest/push-back-v1/SuccessRate,MetaTrain/Average/Alpha,MetaTest/push-back-v1/Iteration,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/MaxReturn,MetaTest/push-back-v1/TerminationRate,MetaTest/push-back-v1/MinReturn,MetaTest/push-back-v1/StdReturn,MetaTest/Average/MinReturn,MetaTrain/Average/AlphaLoss,MetaTest/push-back-v1/NumEpisodes,MetaTest/Average/SuccessRate,MetaTest/push-back-v1/MaxReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,TotalEnvSteps,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/NumEpisodes,MetaTrain/Average/QfLoss,MetaTest/push-back-v1/AverageReturn,MetaTest/Average/AverageReturn,MetaTrain/Average/PolicyLoss
-42.63802313054835,0.0,0.76640844,0,8.740184,-35.54876295767553,0.0,-53.59431661880434,6.449989526993707,-53.59431661880434,5.147703,10,0.0,-35.54876295767553,0,-42.63802313054835,224000,6.449989526993707,0.0,10,3.2823238,-42.63802313054835,-42.63802313054835,11.209415
-34.29297252689591,0.0,0.45419887,1,7.6422267,-28.779500394080685,0.0,-43.57128038752329,4.675258724978417,-43.57128038752329,2.9566138,10,0.0,-28.779500394080685,1,-34.29297252689591,248000,4.675258724978417,0.0,10,4.956124,-34.29297252689591,-34.29297252689591,47.16757
-30.16133080371904,0.0,0.2752362,2,8.531196,-25.651045338052246,0.0,-34.03910531398475,2.3617807565685616,-34.03910531398475,1.5987922,10,0.0,-25.651045338052246,2,-30.16133080371904,272000,2.3617807565685616,0.0,10,8.966261,-30.161330803719046,-30.161330803719046,81.377525
-32.18247090831906,0.0,0.16920891,3,7.9784164,-27.266806083547564,0.0,-34.33986774881768,2.013377028979633,-34.33986774881768,0.8029798,10,0.0,-27.266806083547564,3,-32.18247090831906,296000,2.013377028979633,0.0,10,12.966624,-32.182470908319054,-32.182470908319054,108.19384
-31.71822973772699,0.0,0.10558671,4,7.632164,-21.874664669271738,0.0,-35.12361393848744,3.6911213052218264,-35.12361393848744,0.36789212,10,0.0,-21.874664669271738,4,-31.71822973772699,320000,3.6911213052218264,0.0,10,15.858223,-31.718229737727,-31.718229737727,127.69191
-22.70301487529423,0.0,0.06763559,5,7.7864122,-20.2071288579111,0.0,-32.42507410644383,3.5885377533948843,-32.42507410644383,0.14282867,10,0.0,-20.2071288579111,5,-22.70301487529423,344000,3.5885377533948843,0.0,10,17.391438,-22.703014875294222,-22.703014875294222,139.47029
-21.805507632441415,0.0,0.045680866,6,7.6667423,-19.581652881629577,0.0,-24.81391589674408,1.5148760064060007,-24.81391589674408,0.040078126,10,0.0,-19.581652881629577,6,-21.805507632441415,368000,1.5148760064060007,0.0,10,18.15173,-21.805507632441422,-21.805507632441422,148.81834
-24.695046701219752,0.0,0.0359599,7,7.712505,-19.981607383900663,0.0,-30.85437337255058,3.338208358248944,-30.85437337255058,0.004865308,10,0.0,-19.981607383900663,7,-24.695046701219752,392000,3.338208358248944,0.0,10,17.874603,-24.695046701219745,-24.695046701219745,153.63318
-27.446639229135975,0.0,0.030444961,8,7.73159,-23.39592703515162,0.0,-29.65716132158489,2.1599325201650195,-29.65716132158489,0.0054545095,10,0.0,-23.39592703515162,8,-27.446639229135975,416000,2.1599325201650195,0.0,10,17.452051,-27.446639229135975,-27.446639229135975,158.496
-21.835383373443754,0.0,0.02806765,9,7.664877,-19.007388446578197,0.0,-24.907283103622724,1.7335456406852068,-24.907283103622724,-0.0004862415,10,0.0,-19.007388446578197,9,-21.835383373443754,440000,1.7335456406852068,0.0,10,16.767069,-21.835383373443758,-21.835383373443758,162.92131
-23.432221410395375,0.0,0.030014822,10,7.743996,-21.221976943800943,0.0,-25.260260677733747,1.403377334750134,-25.260260677733747,-0.001849894,10,0.0,-21.221976943800943,10,-23.432221410395375,464000,1.403377334750134,0.0,10,16.48655,-23.43222141039538,-23.43222141039538,164.96988
-22.81393511178583,0.0,0.03192683,11,7.655715,-21.206676538559503,0.0,-26.140738951049183,1.4351233463337811,-26.140738951049183,-0.00025121946,10,0.0,-21.206676538559503,11,-22.81393511178583,488000,1.4351233463337811,0.0,10,15.660986,-22.81393511178583,-22.81393511178583,165.42114
-24.803242962439448,0.0,0.031864777,12,7.6636486,-23.30389827566196,0.0,-28.1683938514327,1.437805718471788,-28.1683938514327,0.0005571094,10,0.0,-23.30389827566196,12,-24.803242962439448,512000,1.437805718471788,0.0,10,15.687174,-24.803242962439448,-24.803242962439448,165.9426
-21.869997590207415,0.0,0.030889057,13,7.706043,-19.811656966587613,0.0,-24.371399222813235,1.4124302701438618,-24.371399222813235,0.0006135956,10,0.0,-19.811656966587613,13,-21.869997590207415,536000,1.4124302701438618,0.0,10,15.447426,-21.86999759020741,-21.86999759020741,165.55011
-21.604287909506425,0.0,0.029410468,14,7.642347,-18.826447341762883,0.0,-25.31437882891462,2.1412204112840354,-25.31437882891462,0.0006693027,10,0.0,-18.826447341762883,14,-21.604287909506425,560000,2.1412204112840354,0.0,10,14.779382,-21.604287909506432,-21.604287909506432,163.90128
-20.357657878041508,0.0,0.028115338,15,7.652399,-17.687057209321942,0.0,-24.209817829984544,1.6256825859250292,-24.209817829984544,0.0010915911,10,0.0,-17.687057209321942,15,-20.357657878041508,584000,1.6256825859250292,0.0,10,14.522541,-20.357657878041504,-20.357657878041504,162.50853
