MetaTrain/Average/AlphaLoss,MetaTest/Average/MinReturn,MetaTrain/Average/Alpha,MetaTest/Average/StdReturn,MetaTest/reach-v1/MaxReturn,TotalEnvSteps,MetaTest/reach-v1/SuccessRate,MetaTrain/Average/QfLoss,MetaTest/Average/Iteration,MetaTest/reach-v1/MinReturn,MetaTest/reach-v1/TerminationRate,MetaTest/reach-v1/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/reach-v1/StdReturn,MetaTrain/Average/PolicyLoss,MetaTest/reach-v1/Iteration,MetaTest/reach-v1/NumEpisodes,MetaTest/Average/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/reach-v1/AverageReturn,MetaTrain/Average/ContrastiveLoss
-1.1120018,1275.5041169323406,1.1215707,2059.3100675852666,8206.064007327504,224000,0.0,6026120.0,0,1275.5041169323406,0.0,5552.887621532859,8206.064007327504,0.0,5552.88762153286,10,2059.3100675852666,-12498.991,0,10,0.0,5552.887621532859,5552.88762153286,42512.168
-3.4821923,21847.578635884056,1.6814063,34248.88731466268,147827.63546266634,248000,0.0,5004892.5,1,21847.578635884056,0.0,57334.12123490292,147827.63546266634,0.0,57334.1212349029,10,34248.88731466268,-21908.213,1,10,0.0,57334.12123490292,57334.1212349029,5508.9463
-21.874527,30469.65514323562,3.3404093,32625.36536467199,130145.66618251249,272000,0.0,4301662.0,2,30469.65514323562,0.0,59755.66158849477,130145.66618251249,0.0,59755.66158849478,10,32625.36536467199,-47468.85,2,10,0.0,59755.66158849477,59755.66158849478,2497.916
-48.134205,18032.85031711504,6.775656,18942.82909117176,93940.09105231102,296000,0.1,5381664.5,3,18032.85031711504,0.0,42908.38291162027,93940.09105231102,0.1,42908.38291162027,10,18942.82909117176,-100433.45,3,10,0.0,42908.38291162027,42908.38291162027,1104.0288
-85.61995,30675.33331806231,13.290576,53872.513709542414,210670.21816666255,320000,0.2,5536408.0,4,30675.33331806231,0.0,111906.90574721177,210670.21816666255,0.2,111906.90574721177,10,53872.513709542414,-136146.56,4,10,0.0,111906.90574721177,111906.90574721177,1095.9072
-123.74922,36812.56137624512,25.368362,45734.04706654866,184468.20447111453,344000,0.1,6736002.0,5,36812.56137624512,0.0,87722.14048149649,184468.20447111453,0.1,87722.14048149648,10,45734.04706654866,-171664.48,5,10,0.0,87722.14048149649,87722.14048149648,1017.3873
-267.94897,18268.947763333337,50.390263,41633.683710769306,176707.85167066747,368000,0.1,10009813.0,6,18268.947763333337,0.0,77907.2578491145,176707.85167066747,0.1,77907.25784911453,10,41633.683710769306,-211327.69,6,10,0.0,77907.2578491145,77907.25784911453,1169.8384
-265.67032,29700.97263906605,92.78502,35627.77154194767,123767.68662846257,392000,0.4,14129389.0,7,29700.97263906605,0.0,83630.44135751575,123767.68662846257,0.4,83630.44135751578,10,35627.77154194767,-261861.55,7,10,0.0,83630.44135751575,83630.44135751578,1202.4238
-216.33614,22479.38839168717,160.41344,57840.20613196689,191720.79559485405,416000,0.1,18655088.0,8,22479.38839168717,0.0,87103.49329087304,191720.79559485405,0.1,87103.49329087304,10,57840.20613196689,-332340.75,8,10,0.0,87103.49329087304,87103.49329087304,1449.5911
-68.67469,24158.299869448587,229.82253,50437.44020059556,196654.14928213923,440000,0.2,19999282.0,9,24158.299869448587,0.0,89552.69228778954,196654.14928213923,0.2,89552.69228778954,10,50437.44020059556,-367117.7,9,10,0.0,89552.69228778954,89552.69228778954,1441.7351
-0.5185498,41125.41592260074,245.59238,51834.74979595539,170365.0275131405,464000,0.4,21054256.0,10,41125.41592260074,0.0,111022.88929212368,170365.0275131405,0.4,111022.8892921237,10,51834.74979595539,-371132.94,10,10,0.0,111022.88929212368,111022.8892921237,1637.7308
-4.9905686,47353.48263672322,252.3321,85998.79344036426,295281.168578278,488000,0.4,25029436.0,11,47353.48263672322,0.0,131538.66843992117,295281.168578278,0.4,131538.66843992117,10,85998.79344036426,-380435.9,11,10,0.0,131538.66843992117,131538.66843992117,1598.573
-16.385313,23621.2755803106,261.23975,38177.601081502224,145599.6602205313,512000,0.1,30384128.0,12,23621.2755803106,0.0,78213.4383181888,145599.6602205313,0.1,78213.43831818878,10,38177.601081502224,-398090.34,12,10,0.0,78213.4383181888,78213.43831818878,1514.9949
-12.19791,33908.9406481051,280.4756,21885.345838095625,100693.05291407104,536000,0.1,37418540.0,13,33908.9406481051,0.0,69058.07865329759,100693.05291407104,0.1,69058.07865329759,10,21885.345838095625,-411427.62,13,10,0.0,69058.07865329759,69058.07865329759,1598.8433
-21.471287,38568.76210844056,300.68625,41957.06299649205,172115.8339086921,560000,0.1,43995990.0,14,38568.76210844056,0.0,88054.82599039564,172115.8339086921,0.1,88054.82599039565,10,41957.06299649205,-436734.66,14,10,0.0,88054.82599039564,88054.82599039565,1894.1577
-26.69874,43852.0423204332,334.738,63417.00914521108,228407.2524334438,584000,0.3,52151876.0,15,43852.0423204332,0.0,125967.8623821422,228407.2524334438,0.3,125967.8623821422,10,63417.00914521108,-458204.0,15,10,0.0,125967.8623821422,125967.8623821422,2337.1484
-36.671394,41602.147583887934,378.3299,54460.90498136625,195694.79174799737,608000,0.3,62964212.0,16,41602.147583887934,0.0,90404.7606103817,195694.79174799737,0.3,90404.76061038171,10,54460.90498136625,-487213.78,16,10,0.0,90404.7606103817,90404.76061038171,2437.692
-4.020995,22825.652437980818,407.82755,49242.38791072265,203164.8590650031,632000,0.1,71188776.0,17,22825.652437980818,0.0,79468.13171348948,203164.8590650031,0.1,79468.1317134895,10,49242.38791072265,-506318.97,17,10,0.0,79468.13171348948,79468.1317134895,1899.2238
23.410059,31553.982893926073,390.64206,46879.93250170103,204576.56366943405,656000,0.1,77184530.0,18,31553.982893926073,0.0,73965.42388952845,204576.56366943405,0.1,73965.42388952844,10,46879.93250170103,-515951.75,18,10,0.0,73965.42388952845,73965.42388952844,1740.6725
13.126001,28034.722321161447,378.37512,31894.423764281782,121572.47909233462,680000,0.0,79068370.0,19,28034.722321161447,0.0,62829.62628179272,121572.47909233462,0.0,62829.62628179272,10,31894.423764281782,-527212.75,19,10,0.0,62829.62628179272,62829.62628179272,2283.2195
8.327312,29953.85626873637,359.1853,43966.21648061344,175196.7833535043,704000,0.2,83893020.0,20,29953.85626873637,0.0,77877.19847002147,175196.7833535043,0.2,77877.19847002145,10,43966.21648061344,-546105.5,20,10,0.0,77877.19847002147,77877.19847002145,1823.7574
1.9910982,17031.981313993143,356.8124,38405.72848587578,152185.7450420363,728000,0.1,87022810.0,21,17031.981313993143,0.0,52040.40407441037,152185.7450420363,0.1,52040.40407441037,10,38405.72848587578,-553819.44,21,10,0.0,52040.40407441037,52040.40407441037,2500.0686
8.319527,42943.18792030628,348.59906,46489.73049910341,171108.24559705338,752000,0.4,88574590.0,22,42943.18792030628,0.0,104926.72931713083,171108.24559705338,0.4,104926.72931713083,10,46489.73049910341,-549857.1,22,10,0.0,104926.72931713083,104926.72931713083,3029.1072
-5.743445,33492.28829241164,349.6016,24828.934636353915,115979.68463060498,776000,0.3,90147496.0,23,33492.28829241164,0.0,78717.92720544516,115979.68463060498,0.3,78717.92720544511,10,24828.934636353915,-559320.2,23,10,0.0,78717.92720544516,78717.92720544511,3403.633
19.201801,24637.511733009615,339.20087,32055.287941313407,118071.96603980171,800000,0.2,94310184.0,24,24637.511733009615,0.0,75374.169009374,118071.96603980171,0.2,75374.169009374,10,32055.287941313407,-559524.56,24,10,0.0,75374.169009374,75374.169009374,3416.35
