MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/reach-wall-v1/AverageReturn,MetaTest/Average/Iteration,MetaTest/reach-wall-v1/Iteration,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/PolicyLoss,MetaTest/Average/StdReturn,MetaTest/reach-wall-v1/AverageDiscountedReturn,MetaTest/reach-wall-v1/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/reach-wall-v1/SuccessRate,MetaTest/reach-wall-v1/MinReturn,MetaTest/reach-wall-v1/NumEpisodes,MetaTest/reach-wall-v1/StdReturn,MetaTest/reach-wall-v1/TerminationRate,MetaTest/Average/MaxReturn,MetaTrain/Average/QfLoss,MetaTest/Average/MinReturn,MetaTrain/Average/Alpha,MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/Average/NumEpisodes
0.0,224000,8619.297808665357,0,0,40000.508,-11733.192,4181.094297721526,8619.29780866536,15990.191262609434,8619.29780866536,-1.5413675,0.0,3465.018954036521,10,4181.094297721526,0.0,15990.191262609434,5375127.0,3465.018954036521,1.166485,8619.297808665357,0.0,10
0.0,248000,12904.009663782806,1,1,706.4984,-23017.752,9417.557009680204,12904.00966378281,36782.81662534063,12904.00966378281,-8.358659,0.0,3174.711916484846,10,9417.557009680204,0.0,36782.81662534063,3505696.8,3174.711916484846,1.8665857,12904.009663782806,0.0,10
0.0,272000,87222.72474648591,2,2,795.1504,-57527.027,52732.59874714636,87222.72474648591,182027.9962684727,87222.72474648591,-20.52996,0.1,29689.620599670707,10,52732.59874714636,0.0,182027.9962684727,3944261.0,29689.620599670707,3.6749449,87222.72474648591,0.1,10
0.0,296000,102064.0849823451,3,3,2055.7932,-89574.69,112599.52119279605,102064.08498234514,318291.07780990296,102064.08498234514,-35.32328,0.2,800.4510707204213,10,112599.52119279605,0.0,318291.07780990296,6310211.5,800.4510707204213,7.1632,102064.0849823451,0.2,10
0.0,320000,142071.32235214984,4,4,2198.6233,-126700.414,57462.678700370554,142071.32235214981,242028.70605501134,142071.32235214981,-73.834404,0.3,43402.321183078275,10,57462.678700370554,0.0,242028.70605501134,9507018.0,43402.321183078275,14.158928,142071.32235214984,0.3,10
0.0,344000,129261.97232199114,5,5,2027.1968,-192492.95,43425.271558674,129261.97232199114,187714.09686386684,129261.97232199114,-179.05743,0.2,66705.48994048686,10,43425.271558674,0.0,187714.09686386684,14134876.0,66705.48994048686,28.663612,129261.97232199114,0.2,10
0.0,368000,113316.57001949695,6,6,1400.9048,-252629.95,73942.67169816325,113316.57001949695,261150.1455088776,113316.57001949695,-313.001,0.6,38715.24288329913,10,73942.67169816325,0.0,261150.1455088776,18110736.0,38715.24288329913,56.640305,113316.57001949695,0.6,10
0.0,392000,116756.4657820127,7,7,958.9371,-313985.97,51684.25889198306,116756.46578201275,220932.92790060362,116756.46578201275,-321.92032,0.3,59229.40785607232,10,51684.25889198306,0.0,220932.92790060362,18598296.0,59229.40785607232,104.32534,116756.4657820127,0.3,10
0.0,416000,114498.68790270672,8,8,1017.21313,-346597.0,30527.82059332966,114498.6879027067,171972.11775272,114498.6879027067,-128.21175,0.1,76674.07380390837,10,30527.82059332966,0.0,171972.11775272,21442818.0,76674.07380390837,166.33258,114498.68790270672,0.1,10
0.0,440000,136316.74150653975,9,9,1077.3584,-366714.62,47117.428678824945,136316.74150653978,210942.2989052097,136316.74150653978,-13.105287,0.6,41040.35360849589,10,47117.428678824945,0.0,210942.2989052097,25997676.0,41040.35360849589,205.25671,136316.74150653975,0.6,10
0.0,464000,106782.64408124262,10,10,1135.2842,-393023.94,33169.640103561185,106782.64408124259,167507.1012782158,106782.64408124259,-5.682074,0.3,51697.64215040328,10,33169.640103561185,0.0,167507.1012782158,31474222.0,51697.64215040328,216.93698,106782.64408124262,0.3,10
0.0,488000,131036.31820673143,11,11,1321.189,-400857.75,89981.72610464852,131036.31820673139,358686.7529556098,131036.31820673139,21.360819,0.3,41793.309626479284,10,89981.72610464852,0.0,358686.7529556098,35817676.0,41793.309626479284,204.50943,131036.31820673143,0.3,10
0.0,512000,118935.10619366127,12,12,1478.661,-409031.0,43887.3177685541,118935.10619366127,182194.12921813002,118935.10619366127,9.165634,0.4,50077.76610661122,10,43887.3177685541,0.0,182194.12921813002,40886490.0,50077.76610661122,181.41733,118935.10619366127,0.4,10
0.0,536000,136108.58420203972,13,13,1452.9795,-418814.7,94030.47362038713,136108.58420203972,314409.636226364,136108.58420203972,-0.3522915,0.5,26663.586728768198,10,94030.47362038713,0.0,314409.636226364,46767972.0,26663.586728768198,179.39821,136108.58420203972,0.5,10
0.0,560000,182724.37504524036,14,14,1469.0847,-439095.6,68487.3859878125,182724.37504524042,267804.62071736995,182724.37504524042,-9.614902,0.8,48432.457209526685,10,68487.3859878125,0.0,267804.62071736995,54470044.0,48432.457209526685,188.58493,182724.37504524036,0.8,10
0.0,584000,167750.47400298348,15,15,2200.539,-455944.16,35675.3523489456,167750.47400298348,244649.4998824382,167750.47400298348,-8.794609,0.5,128581.05210624497,10,35675.3523489456,0.0,244649.4998824382,60734660.0,128581.05210624497,200.61728,167750.47400298348,0.5,10
0.0,608000,128159.81892921733,16,16,2175.0227,-473816.84,62473.894818286484,128159.81892921733,281677.51695945114,128159.81892921733,-11.118036,0.3,73646.15326697269,10,62473.894818286484,0.0,281677.51695945114,65521916.0,73646.15326697269,216.96706,128159.81892921733,0.3,10
0.0,632000,136488.90408760944,17,17,2069.169,-501097.9,47512.033928080025,136488.90408760947,207419.27586631654,136488.90408760947,-21.090096,0.4,65039.184651148884,10,47512.033928080025,0.0,207419.27586631654,71570240.0,65039.184651148884,237.17644,136488.90408760944,0.4,10
0.0,656000,134672.03932966426,18,18,1589.445,-537851.8,53921.6353359252,134672.03932966426,261204.2914882337,134672.03932966426,-18.932308,0.3,69928.71166963744,10,53921.6353359252,0.0,261204.2914882337,81055736.0,69928.71166963744,274.53696,134672.03932966426,0.3,10
0.0,680000,145522.8575268551,19,19,1237.7035,-576018.75,43180.13836939788,145522.85752685502,260289.45340159503,145522.85752685502,-23.674442,0.3,90664.11487310349,10,43180.13836939788,0.0,260289.45340159503,87538990.0,90664.11487310349,310.03046,145522.8575268551,0.3,10
0.0,704000,138987.69851809816,20,20,1338.5942,-595004.94,47909.70232209104,138987.69851809816,262488.5620092839,138987.69851809816,-4.9314046,0.2,65691.44463805402,10,47909.70232209104,0.0,262488.5620092839,91981250.0,65691.44463805402,333.22104,138987.69851809816,0.2,10
