MetaTrain/Average/QfLoss,MetaTest/shelf-place-v1/Iteration,MetaTest/shelf-place-v1/NumEpisodes,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate,MetaTest/shelf-place-v1/TerminationRate,MetaTrain/Average/Alpha,TotalEnvSteps,MetaTrain/Average/ContrastiveLoss,MetaTest/shelf-place-v1/StdReturn,MetaTrain/Average/AlphaLoss,MetaTest/shelf-place-v1/AverageReturn,MetaTest/Average/Iteration,MetaTest/shelf-place-v1/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/shelf-place-v1/SuccessRate,MetaTest/Average/NumEpisodes,MetaTest/shelf-place-v1/MinReturn,MetaTest/shelf-place-v1/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/PolicyLoss
2.1241443,0,10,-33.7786070662156,8.38126289787298,0.0,0.0,0.7665687,224000,8.408295,8.38126289787298,5.1546144,-33.7786070662156,0,-21.725674010523925,-33.77860706621559,0.0,10,-49.1094060401519,-33.77860706621559,-21.725674010523925,-49.1094060401519,0.0,3.231919
4.9692273,1,10,-27.433029670406377,3.927356167786293,0.0,0.0,0.4535365,248000,7.8427253,3.927356167786293,3.0096564,-27.433029670406377,1,-19.148357101614653,-27.433029670406363,0.0,10,-33.40242890442179,-27.433029670406363,-19.148357101614653,-33.40242890442179,0.0,27.035515
7.410647,2,10,-27.999312894313437,2.430610928991125,0.0,0.0,0.2728081,272000,7.6627254,2.430610928991125,1.7263452,-27.999312894313437,2,-23.620197217080204,-27.999312894313437,0.0,10,-31.18007475158286,-27.999312894313437,-23.620197217080204,-31.18007475158286,0.0,57.140396
9.992255,3,10,-30.116317916624837,2.4729982137167505,0.0,0.0,0.1655106,296000,7.6796727,2.4729982137167505,0.9363166,-30.116317916624837,3,-24.759881245692736,-30.116317916624844,0.0,10,-33.77776071739289,-30.116317916624844,-24.759881245692736,-33.77776071739289,0.0,85.75855
12.230722,4,10,-30.696882978097307,4.377761429750172,0.0,0.0,0.1014358,320000,7.647624,4.377761429750172,0.47483692,-30.696882978097307,4,-20.053440022242032,-30.6968829780973,0.0,10,-34.86214417786347,-30.6968829780973,-20.053440022242032,-34.86214417786347,0.0,109.050705
13.614703,5,10,-30.78354506687906,3.146740578753075,0.0,0.0,0.06303788,344000,7.638263,3.146740578753075,0.226453,-30.78354506687906,5,-25.215341672422806,-30.78354506687906,0.0,10,-34.544418629169826,-30.78354506687906,-25.215341672422806,-34.544418629169826,0.0,127.95972
15.071405,6,10,-21.50989712775013,1.2989128783008546,0.0,0.0,0.039821107,368000,7.633012,1.2989128783008546,0.09608989,-21.50989712775013,6,-19.57549218530878,-21.50989712775013,0.0,10,-24.38336244991261,-21.50989712775013,-19.57549218530878,-24.38336244991261,0.0,143.32556
15.822491,7,10,-26.70156147620518,3.708343789505668,0.0,0.0,0.02619738,392000,7.6343527,3.708343789505668,0.031795748,-26.70156147620518,7,-21.032809882472993,-26.70156147620518,0.0,10,-32.02626550038675,-26.70156147620518,-21.032809882472993,-32.02626550038675,0.0,153.6082
16.419212,8,10,-21.87782586616806,1.9776911891492794,0.0,0.0,0.01920237,416000,7.6377473,1.9776911891492794,0.0063731433,-21.87782586616806,8,-17.977007103466853,-21.87782586616806,0.0,10,-24.84999881585722,-21.87782586616806,-17.977007103466853,-24.84999881585722,0.0,160.81064
16.758839,9,10,-23.290105917775033,1.0011788789966214,0.0,0.0,0.017210953,440000,7.639108,1.0011788789966214,-8.550787e-05,-23.290105917775033,9,-20.63044548666308,-23.29010591777503,0.0,10,-24.352755770063244,-23.29010591777503,-20.63044548666308,-24.352755770063244,0.0,166.82303
18.11504,10,10,-23.289558707336898,1.9628679492613874,0.0,0.0,0.016675692,464000,7.6486063,1.9628679492613874,0.0005837633,-23.289558707336898,10,-20.443970984895643,-23.289558707336894,0.0,10,-28.0477318644583,-23.289558707336894,-20.443970984895643,-28.0477318644583,0.0,170.3519
18.47343,11,10,-20.603849587210096,0.6286610098348719,0.0,0.0,0.017292963,488000,7.6287823,0.6286610098348719,-0.00111448,-20.603849587210096,11,-19.240511010493485,-20.603849587210092,0.0,10,-21.261758716243968,-20.603849587210092,-19.240511010493485,-21.261758716243968,0.0,172.63684
19.221672,12,10,-20.132859657577562,0.8858239234305137,0.0,0.0,0.02302775,512000,7.637496,0.8858239234305137,-0.0054542455,-20.132859657577562,12,-19.106457198000854,-20.132859657577566,0.0,10,-22.034540581101066,-20.132859657577566,-19.106457198000854,-22.034540581101066,0.0,172.73854
19.35324,13,10,-19.511003399925293,0.8586787961835078,0.0,0.0,0.029119259,536000,7.635982,0.8586787961835078,-0.003906293,-19.511003399925293,13,-18.15170363597958,-19.511003399925283,0.0,10,-21.023988443112973,-19.511003399925283,-18.15170363597958,-21.023988443112973,0.0,171.9135
19.038862,14,10,-18.39458734903129,0.6061700376873067,0.0,0.0,0.032934837,560000,7.6288037,0.6061700376873067,0.0007095656,-18.39458734903129,14,-17.564108192705667,-18.39458734903129,0.0,10,-19.86232338090267,-18.39458734903129,-17.564108192705667,-19.86232338090267,0.0,168.59544
18.915173,15,10,-19.474014636130324,5.070050407864764,0.0,0.0,0.031056093,584000,7.634233,5.070050407864764,0.00080798863,-19.474014636130324,15,-16.687424726778282,-19.474014636130324,0.0,10,-34.512492015047926,-19.474014636130324,-16.687424726778282,-34.512492015047926,0.0,166.01459
18.920189,16,10,-18.833350715268637,2.2781764830454123,0.0,0.0,0.029953454,608000,7.631006,2.2781764830454123,0.0007527828,-18.833350715268637,16,-16.98033060482421,-18.833350715268644,0.0,10,-24.386946388109077,-18.833350715268644,-16.98033060482421,-24.386946388109077,0.0,163.66806
18.775875,17,10,-17.993555151819606,1.1580522095541246,0.0,0.0,0.029353095,632000,7.6324015,1.1580522095541246,0.0005307252,-17.993555151819606,17,-16.548689974056547,-17.993555151819603,0.0,10,-20.874012933152002,-17.993555151819603,-16.548689974056547,-20.874012933152002,0.0,160.02469
18.149052,18,10,-17.982316773839184,0.7225837642027084,0.0,0.0,0.029100157,656000,7.6365614,0.7225837642027084,-0.0012545128,-17.982316773839184,18,-16.866872908060923,-17.982316773839184,0.0,10,-18.97893049586088,-17.982316773839184,-16.866872908060923,-18.97893049586088,0.0,157.0283
17.732473,19,10,-17.6342559645708,0.8742813631203864,0.0,0.0,0.031212071,680000,7.6246934,0.8742813631203864,-0.0014300523,-17.6342559645708,19,-16.43857341487853,-17.634255964570805,0.0,10,-19.394222898624875,-17.634255964570805,-16.43857341487853,-19.394222898624875,0.0,153.62236
17.565239,20,10,-17.240889117251747,0.7480329218802163,0.0,0.0,0.033178102,704000,7.629944,0.7480329218802163,-0.00050416915,-17.240889117251747,20,-15.645862367900726,-17.240889117251754,0.0,10,-18.310420257957965,-17.240889117251754,-15.645862367900726,-18.310420257957965,0.0,150.83385
17.008955,21,10,-17.35138328179652,0.882654991959878,0.0,0.0,0.034100503,728000,7.6312785,0.882654991959878,-0.00027461513,-17.35138328179652,21,-16.138799682720308,-17.351383281796522,0.0,10,-18.449917736960813,-17.351383281796522,-16.138799682720308,-18.449917736960813,0.0,148.36731
16.890125,22,10,-17.460113835754264,0.8467388763599524,0.0,0.0,0.033045627,752000,7.6271625,0.8467388763599524,0.00035130655,-17.460113835754264,22,-15.803027809352809,-17.460113835754264,0.0,10,-18.610737264945424,-17.460113835754264,-15.803027809352809,-18.610737264945424,0.0,145.813
16.789822,23,10,-17.284829505084506,0.6493968993601179,0.0,0.0,0.033392332,776000,7.6356297,0.6493968993601179,-0.00019168282,-17.284829505084506,23,-16.486466589349078,-17.28482950508451,0.0,10,-18.959878904511076,-17.28482950508451,-16.486466589349078,-18.959878904511076,0.0,142.73946
16.240162,24,10,-17.982630766986624,0.839177550635155,0.0,0.0,0.033490483,800000,7.625613,0.839177550635155,0.000373327,-17.982630766986624,24,-16.621101689638188,-17.98263076698663,0.0,10,-18.88621464549264,-17.98263076698663,-16.621101689638188,-18.88621464549264,0.0,139.49443
16.40602,25,10,-19.016942665501862,1.9843404808742375,0.0,0.0,0.032600563,824000,7.6250567,1.9843404808742375,0.00080858666,-19.016942665501862,25,-16.82342126863172,-19.016942665501855,0.0,10,-24.45823975186272,-19.016942665501855,-16.82342126863172,-24.45823975186272,0.0,137.72072
16.081976,26,10,-17.75511208894303,0.8527307504749959,0.0,0.0,0.0324493,848000,7.626541,0.8527307504749959,-0.00026712663,-17.75511208894303,26,-16.407354421280747,-17.755112088943036,0.0,10,-19.120606174166156,-17.755112088943036,-16.407354421280747,-19.120606174166156,0.0,135.43501
15.18509,27,10,-18.67634310404798,2.746340181175187,0.0,0.0,0.031221142,872000,7.62649,2.746340181175187,0.000117210744,-18.67634310404798,27,-16.62347391543705,-18.67634310404798,0.0,10,-23.45437143519882,-18.67634310404798,-16.62347391543705,-23.45437143519882,0.0,133.92175
14.879416,28,10,-17.160799772422845,0.8315632579035,0.0,0.0,0.030908355,896000,7.625045,0.8315632579035,0.001571516,-17.160799772422845,28,-15.989908157373673,-17.160799772422845,0.0,10,-18.517999054170254,-17.160799772422845,-15.989908157373673,-18.517999054170254,0.0,132.60997
14.321777,29,10,-18.078331478839733,1.044038862028273,0.0,0.0,0.03019572,920000,7.624778,1.044038862028273,-0.0011835628,-18.078331478839733,29,-16.399053236553105,-18.078331478839736,0.0,10,-19.908263827222957,-18.078331478839736,-16.399053236553105,-19.908263827222957,0.0,131.40974
14.191944,30,10,-17.8427847447037,0.9749308030267114,0.0,0.0,0.030332867,944000,7.6246533,0.9749308030267114,0.0011181099,-17.8427847447037,30,-15.39392271046691,-17.842784744703703,0.0,10,-18.810775304964118,-17.842784744703703,-15.39392271046691,-18.810775304964118,0.0,130.04733
14.385467,31,10,-18.32908584563722,1.2168027093474376,0.0,0.0,0.029563151,968000,7.6246486,1.2168027093474376,0.0006763557,-18.32908584563722,31,-16.37762960843944,-18.329085845637216,0.0,10,-20.19963339201515,-18.329085845637216,-16.37762960843944,-20.19963339201515,0.0,128.84192
14.337874,32,10,-17.98577208200023,0.8978424975281688,0.0,0.0,0.02827461,992000,7.624632,0.8978424975281688,0.0013412104,-17.98577208200023,32,-16.94416961984269,-17.98577208200023,0.0,10,-19.43806524889002,-17.98577208200023,-16.94416961984269,-19.43806524889002,0.0,127.46801
14.182369,33,10,-19.970801526056494,3.5889209756594638,0.0,0.0,0.027955163,1016000,7.624632,3.5889209756594638,-0.0013826606,-19.970801526056494,33,-16.551336422695563,-19.970801526056494,0.0,10,-25.553747500576286,-19.970801526056494,-16.551336422695563,-25.553747500576286,0.0,126.34581
13.861105,34,10,-23.695529732361273,10.219376238921917,0.0,0.0,0.027172739,1040000,7.624632,10.219376238921917,0.0026594982,-23.695529732361273,34,-16.441903069829493,-23.69552973236128,0.0,10,-44.81307298254269,-23.69552973236128,-16.441903069829493,-44.81307298254269,0.0,125.41988
13.824154,35,10,-19.727278481801708,2.854042564863707,0.0,0.0,0.025672488,1064000,7.624632,2.854042564863707,-0.00057600794,-19.727278481801708,35,-16.61983083255977,-19.727278481801708,0.0,10,-24.399338953473723,-19.727278481801708,-16.61983083255977,-24.399338953473723,0.0,124.951324
13.985999,36,10,-19.781677172024008,4.304050898137731,0.0,0.0,0.026739484,1088000,7.624632,4.304050898137731,0.00029407736,-19.781677172024008,36,-16.92800636254043,-19.781677172024004,0.0,10,-31.37677067044643,-19.781677172024004,-16.92800636254043,-31.37677067044643,0.0,124.651184
14.055467,37,10,-18.140294556626344,1.5812413590384278,0.0,0.0,0.026651531,1112000,7.624632,1.5812413590384278,-0.0010059696,-18.140294556626344,37,-16.663796054161953,-18.140294556626337,0.0,10,-22.19122281185786,-18.140294556626337,-16.663796054161953,-22.19122281185786,0.0,123.632126
14.170764,38,10,-17.993485227430806,1.6381875053275456,0.0,0.0,0.027235154,1136000,18.09666,1.6381875053275456,0.0008757393,-17.993485227430806,38,-16.372188054245665,-17.993485227430803,0.0,10,-21.157230632861392,-17.993485227430803,-16.372188054245665,-21.157230632861392,0.0,122.59499
14.514949,39,10,-19.665419048157702,4.809911445417177,0.0,0.0,0.026377512,1160000,7.624679,4.809911445417177,0.00034910633,-19.665419048157702,39,-15.562004793429875,-19.665419048157705,0.0,10,-29.334915958069068,-19.665419048157705,-15.562004793429875,-29.334915958069068,0.0,121.45494
14.239879,40,10,-18.40786114665182,1.3412615542373936,0.0,0.0,0.024490189,1184000,7.624743,1.3412615542373936,0.0015367249,-18.40786114665182,40,-17.132415523500185,-18.40786114665181,0.0,10,-22.059556731460365,-18.40786114665181,-17.132415523500185,-22.059556731460365,0.0,120.67787
14.650774,41,10,-18.932909620719947,1.871752120793635,0.0,0.0,0.024348954,1208000,7.624645,1.871752120793635,-0.00063986744,-18.932909620719947,41,-16.76479021803455,-18.932909620719947,0.0,10,-23.311646935127513,-18.932909620719947,-16.76479021803455,-23.311646935127513,0.0,119.96509
14.972099,42,10,-19.02966697319805,1.7569517767140215,0.0,0.0,0.025276367,1232000,7.624632,1.7569517767140215,-0.0009170004,-19.02966697319805,42,-16.78481363908415,-19.029666973198044,0.0,10,-22.401941425791737,-19.029666973198044,-16.78481363908415,-22.401941425791737,0.0,118.96276
14.8927555,43,10,-19.467577263462832,2.705431620723519,0.0,0.0,0.026097545,1256000,7.624632,2.705431620723519,-0.000999098,-19.467577263462832,43,-17.14178775800215,-19.467577263462836,0.0,10,-26.382395484621554,-19.467577263462836,-17.14178775800215,-26.382395484621554,0.0,118.21346
15.553408,44,10,-20.297841695519644,4.613184963198053,0.0,0.0,0.026776597,1280000,7.624632,4.613184963198053,-0.000706203,-20.297841695519644,44,-17.737372286582147,-20.297841695519644,0.0,10,-33.8851920216901,-20.297841695519644,-17.737372286582147,-33.8851920216901,0.0,117.23109
15.81649,45,10,-19.46970824251417,2.3554585915936204,0.0,0.0,0.02866498,1304000,7.624632,2.3554585915936204,-0.0006827202,-19.46970824251417,45,-17.522935388179082,-19.469708242514177,0.0,10,-24.127973822920406,-19.469708242514177,-17.522935388179082,-24.127973822920406,0.0,116.529854
16.519262,46,10,-18.68625020137935,2.096178905959692,0.0,0.0,0.030245177,1328000,7.695268,2.096178905959692,-0.00061643875,-18.68625020137935,46,-16.363872019982487,-18.68625020137935,0.0,10,-24.28162695151858,-18.68625020137935,-16.363872019982487,-24.28162695151858,0.0,116.14222
16.734856,47,10,-18.060001912245188,1.5318049143861643,0.0,0.0,0.029672109,1352000,7.624632,1.5318049143861643,1.4343738e-05,-18.060001912245188,47,-15.641629842572657,-18.060001912245184,0.0,10,-21.274484017317715,-18.060001912245184,-15.641629842572657,-21.274484017317715,0.0,115.63709
17.728325,48,10,-19.91522489080386,3.1594523335421774,0.0,0.0,0.0327743,1376000,7.624632,3.1594523335421774,-0.0031511942,-19.91522489080386,48,-16.833529975582348,-19.915224890803852,0.0,10,-28.522797773048122,-19.915224890803852,-16.833529975582348,-28.522797773048122,0.0,115.47094
17.69412,49,10,-18.44126670475178,1.5625486360574008,0.0,0.0,0.031171685,1400000,7.624632,1.5625486360574008,0.0028842122,-18.44126670475178,49,-16.198317337320425,-18.441266704751776,0.0,10,-21.122473325814035,-18.441266704751776,-16.198317337320425,-21.122473325814035,0.0,115.51714
