MetaTest/sweep-into-v1/NumEpisodes,MetaTest/sweep-into-v1/Iteration,MetaTest/Average/AverageReturn,MetaTrain/Average/AlphaLoss,MetaTest/sweep-into-v1/MinReturn,MetaTest/sweep-into-v1/TerminationRate,TotalEnvSteps,MetaTrain/Average/Alpha,MetaTest/Average/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/sweep-into-v1/AverageDiscountedReturn,MetaTest/sweep-into-v1/MaxReturn,MetaTest/Average/StdReturn,MetaTrain/Average/PolicyLoss,MetaTest/sweep-into-v1/SuccessRate,MetaTest/sweep-into-v1/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTest/sweep-into-v1/StdReturn,MetaTest/Average/Iteration,MetaTrain/Average/QfLoss,MetaTrain/Average/ContrastiveLoss
10,0,8083.983187319575,5.152079,-29.994275324817032,0.0,224000,0.76661766,0.2,8083.983187319558,10,8083.983187319558,69752.72324496094,20724.251499807793,4.508617,0.2,8083.983187319575,0.0,69752.72324496094,-29.994275324817032,20724.251499807793,0,8.25935,9.971195
10,1,2270.1884781549775,1.3147161,-41.29494131419138,0.0,248000,0.49280605,0.0,2270.188478154977,10,2270.188478154977,22390.811626702132,6708.80735055294,-27.213703,0.0,2270.1884781549775,0.0,22390.811626702132,-41.29494131419138,6708.80735055294,1,19475.934,11.17843
10,2,6320.208058148356,-0.9715128,-31.26898482569516,0.0,272000,0.57262963,0.0,6320.208058148357,10,6320.208058148357,20223.804061970674,6733.6771733407595,-430.18726,0.0,6320.208058148356,0.0,20223.804061970674,-31.26898482569516,6733.6771733407595,2,50489.023,38.926533
10,3,11710.431759416804,-5.3677573,7991.775290556941,0.0,296000,1.1535933,1.0,11710.431759416806,10,11710.431759416806,16207.956195726123,2428.6087799897546,-3555.3896,1.0,11710.431759416804,0.0,16207.956195726123,7991.775290556941,2428.6087799897546,3,208576.84,56.432407
10,4,9536.778892531107,-13.1877575,8107.981119928812,0.0,320000,2.2646031,1.0,9536.778892531107,10,9536.778892531107,12362.664889140942,1157.43137728568,-13546.29,1.0,9536.778892531107,0.0,12362.664889140942,8107.981119928812,1157.43137728568,4,706549.8,2731.4094
10,5,-72.39056748337319,-22.335243,-92.52892529848326,0.0,344000,4.2698517,0.0,-72.39056748337319,10,-72.39056748337319,-57.3017441528285,10.07361765502925,-26962.482,0.0,-72.39056748337319,0.0,-57.3017441528285,-92.52892529848326,10.07361765502925,5,1504595.5,1672.865
10,6,-50.0371040990987,-28.480343,-55.777835389341995,0.0,368000,7.655427,0.0,-50.037104099098705,10,-50.037104099098705,-41.315872614056104,5.194967566501324,-35771.2,0.0,-50.0371040990987,0.0,-41.315872614056104,-55.777835389341995,5.194967566501324,6,2257688.5,16152.637
10,7,7987.544076122981,-73.32936,-57.781197917245855,0.0,392000,14.891298,0.4,7987.544076122978,10,7987.544076122978,49677.71883422572,14657.796216170778,-59886.914,0.4,7987.544076122981,0.0,49677.71883422572,-57.781197917245855,14657.796216170778,7,3728692.0,15016.625
10,8,4363.352699329812,-98.5315,-11.57331476748197,0.0,416000,28.218779,0.5,4363.352699329813,10,4363.352699329813,11405.84334864244,4008.3196180828404,-75449.31,0.5,4363.352699329812,0.0,11405.84334864244,-11.57331476748197,4008.3196180828404,8,5235152.0,2267.6184
10,9,-56.605468846474174,-44.20785,-72.86929621982053,0.0,440000,47.24043,0.0,-56.60546884647416,10,-56.60546884647416,-44.33019604604657,10.091836012331614,-78091.28,0.0,-56.605468846474174,0.0,-44.33019604604657,-72.86929621982053,10.091836012331614,9,6171183.5,1022.7992
10,10,15860.3670649788,-5.7361345,-35.87868334908779,0.0,464000,48.517937,0.5,15860.3670649788,10,15860.3670649788,63615.66554691214,17555.34311886759,-66633.89,0.5,15860.3670649788,0.0,63615.66554691214,-35.87868334908779,17555.34311886759,10,6194162.0,2038.1567
10,11,16767.764999709845,-7.3564143,-15.217096847872126,0.0,488000,61.367893,0.4,16767.76499970985,10,16767.76499970985,83015.25234327122,27438.079937928032,-83985.28,0.4,16767.764999709845,0.0,83015.25234327122,-15.217096847872126,27438.079937928032,11,7796396.0,557.0322
10,12,12467.236214132277,4.428979,5814.679349351943,0.0,512000,57.0247,0.9,12467.236214132277,10,12467.236214132277,17165.98423681328,3083.5649178041135,-81975.87,0.9,12467.236214132277,0.0,17165.98423681328,5814.679349351943,3083.5649178041135,12,8231359.5,265.64294
10,13,19826.33397954153,2.8700135,-24.616006073122556,0.0,536000,51.819214,0.5,19826.333979541523,10,19826.333979541523,64878.619052779504,24097.865352899145,-74233.15,0.5,19826.33397954153,0.0,64878.619052779504,-24.616006073122556,24097.865352899145,13,8257845.0,674.5613
10,14,13490.567044102927,1.2708389,-32.873213771472166,0.0,560000,50.411297,0.3,13490.567044102925,10,13490.567044102925,84091.45924624064,24531.072086379914,-68823.79,0.3,13490.567044102927,0.0,84091.45924624064,-32.873213771472166,24531.072086379914,14,8461647.0,696.55237
10,15,21093.5579184299,1.9386431,-47.82208688419849,0.0,584000,45.55618,0.1,21093.55791842989,10,21093.55791842989,97229.54291585193,33302.218384844295,-66308.54,0.1,21093.5579184299,0.0,97229.54291585193,-47.82208688419849,33302.218384844295,15,8660818.0,822.1306
